"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 09:30:00,1008,1071,4762,1713,124,2066,0.0333,4408,72.4,332
2023-03-11 09:32:00,1008,1071,4762,1713,124,2066,0.0333,4408,72.4,332
2023-03-11 09:34:00,1008,1071,4762,1713,124,2066,0.0333,4408,72.4,332
2023-03-11 09:36:00,975,1064,5281,1707,123,2003,0.0667,5129,70.5,691
2023-03-11 09:38:00,975,1064,5281,1707,123,2003,0.0667,5129,70.5,691
2023-03-11 09:40:00,970,1069,5307,1844,129,2062,0.0667,5094,72.9,329
2023-03-11 09:42:00,970,1069,5307,1844,129,2062,0.0667,5094,72.9,329
2023-03-11 09:44:00,970,1069,5307,1844,129,2062,0.0667,5094,72.9,329
2023-03-11 09:46:00,1174,1077,6772,1824,135,2069,0.0333,6384,75.2,694
2023-03-11 09:48:00,1174,1077,6772,1824,135,2069,0.0333,6384,75.2,694
2023-03-11 09:50:00,957,1068,4823,1798,125,2042,0.0333,4629,73.2,318
2023-03-11 09:52:00,957,1068,4823,1798,125,2042,0.0333,4629,73.2,318
2023-03-11 09:54:00,957,1068,4823,1798,125,2042,0.0333,4629,73.2,318
2023-03-11 09:56:00,978,1065,5220,1700,121,2026,0.0333,4978,71.5,701
2023-03-11 09:58:00,978,1065,5220,1700,121,2026,0.0333,4978,71.5,701
2023-03-11 10:00:00,969,1062,4732,1816,125,2014,0.133,4545,71.1,325
2023-03-11 10:02:00,969,1062,4732,1816,125,2014,0.133,4545,71.1,325
2023-03-11 10:04:00,969,1062,4732,1816,125,2014,0.133,4545,71.1,325
2023-03-11 10:06:00,979,1069,5274,1740,123,2099,0.0333,5014,71.5,694
2023-03-11 10:08:00,979,1069,5274,1740,123,2099,0.0333,5014,71.5,694
2023-03-11 10:10:00,1146,1050,4710,1724,123,2023,0.0667,4523,72.7,327
2023-03-11 10:12:00,1146,1050,4710,1724,123,2023,0.0667,4523,72.7,327
2023-03-11 10:14:00,1146,1050,4710,1724,123,2023,0.0667,4523,72.7,327
