"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 09:30:00,14.8,28.0,1531,94.2,5.61,38.6,0,2089,41.1,28.0
2023-03-11 09:31:00,14.8,28.0,1531,94.2,5.61,38.6,0,2089,41.1,28.0
2023-03-11 09:32:00,14.8,28.0,1531,94.2,5.61,38.6,0,2089,41.1,28.0
2023-03-11 09:33:00,14.8,28.0,1531,94.2,5.61,38.6,0,2089,41.1,28.0
2023-03-11 09:34:00,14.8,28.0,1531,94.2,5.61,38.6,0,2089,41.1,28.0
2023-03-11 09:35:00,14.5,28.3,1792,94.9,5.59,38.2,0.00667,2552,42.0,36.7
2023-03-11 09:36:00,14.5,28.3,1792,94.9,5.59,38.2,0.00667,2552,42.0,36.7
2023-03-11 09:37:00,14.5,28.3,1792,94.9,5.59,38.2,0.00667,2552,42.0,36.7
2023-03-11 09:38:00,14.5,28.3,1792,94.9,5.59,38.2,0.00667,2552,42.0,36.7
2023-03-11 09:39:00,14.5,28.3,1792,94.9,5.59,38.2,0.00667,2552,42.0,36.7
2023-03-11 09:40:00,14.5,28.4,1661,108,6.03,39.7,0,2327,42.6,27.7
2023-03-11 09:41:00,14.5,28.4,1661,108,6.03,39.7,0,2327,42.6,27.7
2023-03-11 09:42:00,14.5,28.4,1661,108,6.03,39.7,0,2327,42.6,27.7
2023-03-11 09:43:00,14.5,28.4,1661,108,6.03,39.7,0,2327,42.6,27.7
2023-03-11 09:44:00,14.5,28.4,1661,108,6.03,39.7,0,2327,42.6,27.7
2023-03-11 09:45:00,18.5,28.9,2031,110,6.84,39.1,0.00333,2704,45.1,36.6
2023-03-11 09:46:00,18.5,28.9,2031,110,6.84,39.1,0.00333,2704,45.1,36.6
2023-03-11 09:47:00,18.5,28.9,2031,110,6.84,39.1,0.00333,2704,45.1,36.6
2023-03-11 09:48:00,18.5,28.9,2031,110,6.84,39.1,0.00333,2704,45.1,36.6
2023-03-11 09:49:00,18.5,28.9,2031,110,6.84,39.1,0.00333,2704,45.1,36.6
2023-03-11 09:50:00,14.2,28.2,1578,103,5.65,38.8,0.00333,2222,41.9,27.5
2023-03-11 09:51:00,14.2,28.2,1578,103,5.65,38.8,0.00333,2222,41.9,27.5
2023-03-11 09:52:00,14.2,28.2,1578,103,5.65,38.8,0.00333,2222,41.9,27.5
2023-03-11 09:53:00,14.2,28.2,1578,103,5.65,38.8,0.00333,2222,41.9,27.5
2023-03-11 09:54:00,14.2,28.2,1578,103,5.65,38.8,0.00333,2222,41.9,27.5
2023-03-11 09:55:00,14.4,28.2,1769,94.1,5.54,38.9,0.00333,2460,41.4,37.2
2023-03-11 09:56:00,14.4,28.2,1769,94.1,5.54,38.9,0.00333,2460,41.4,37.2
2023-03-11 09:57:00,14.4,28.2,1769,94.1,5.54,38.9,0.00333,2460,41.4,37.2
2023-03-11 09:58:00,14.4,28.2,1769,94.1,5.54,38.9,0.00333,2460,41.4,37.2
2023-03-11 09:59:00,14.4,28.2,1769,94.1,5.54,38.9,0.00333,2460,41.4,37.2
2023-03-11 10:00:00,14.3,27.6,1535,107,5.72,38.5,0,2174,41.8,27.6
2023-03-11 10:01:00,14.3,27.6,1535,107,5.72,38.5,0,2174,41.8,27.6
2023-03-11 10:02:00,14.3,27.6,1535,107,5.72,38.5,0,2174,41.8,27.6
2023-03-11 10:03:00,14.3,27.6,1535,107,5.72,38.5,0,2174,41.8,27.6
2023-03-11 10:04:00,14.3,27.6,1535,107,5.72,38.5,0,2174,41.8,27.6
2023-03-11 10:05:00,14.4,28.1,1792,98.8,5.59,39.3,0.00667,2480,41.5,36.9
2023-03-11 10:06:00,14.4,28.1,1792,98.8,5.59,39.3,0.00667,2480,41.5,36.9
2023-03-11 10:07:00,14.4,28.1,1792,98.8,5.59,39.3,0.00667,2480,41.5,36.9
2023-03-11 10:08:00,14.4,28.1,1792,98.8,5.59,39.3,0.00667,2480,41.5,36.9
2023-03-11 10:09:00,14.4,28.1,1792,98.8,5.59,39.3,0.00667,2480,41.5,36.9
2023-03-11 10:10:00,17.7,27.6,1525,94.7,5.66,38.9,0,2173,41.2,27.9
2023-03-11 10:11:00,17.7,27.6,1525,94.7,5.66,38.9,0,2173,41.2,27.9
2023-03-11 10:12:00,17.7,27.6,1525,94.7,5.66,38.9,0,2173,41.2,27.9
2023-03-11 10:13:00,17.7,27.6,1525,94.7,5.66,38.9,0,2173,41.2,27.9
2023-03-11 10:14:00,17.7,27.6,1525,94.7,5.66,38.9,0,2173,41.2,27.9
2023-03-11 10:15:00,13.8,28.9,1758,94.4,5.63,38.4,0,2446,41.4,36.4
2023-03-11 10:16:00,13.8,28.9,1758,94.4,5.63,38.4,0,2446,41.4,36.4
2023-03-11 10:17:00,13.8,28.9,1758,94.4,5.63,38.4,0,2446,41.4,36.4
2023-03-11 10:18:00,13.8,28.9,1758,94.4,5.63,38.4,0,2446,41.4,36.4
2023-03-11 10:19:00,13.8,28.9,1758,94.4,5.63,38.4,0,2446,41.4,36.4
2023-03-11 10:20:00,14.0,27.2,1509,93.3,5.56,39.3,0,2111,40.6,27.9
2023-03-11 10:21:00,14.0,27.2,1509,93.3,5.56,39.3,0,2111,40.6,27.9
2023-03-11 10:22:00,14.0,27.2,1509,93.3,5.56,39.3,0,2111,40.6,27.9
2023-03-11 10:23:00,14.0,27.2,1509,93.3,5.56,39.3,0,2111,40.6,27.9
2023-03-11 10:24:00,14.0,27.2,1509,93.3,5.56,39.3,0,2111,40.6,27.9
2023-03-11 10:25:00,14.3,28.3,1777,93.8,5.69,38.0,0,2507,41.5,36.6
2023-03-11 10:26:00,14.3,28.3,1777,93.8,5.69,38.0,0,2507,41.5,36.6
2023-03-11 10:27:00,14.3,28.3,1777,93.8,5.69,38.0,0,2507,41.5,36.6
2023-03-11 10:28:00,14.3,28.3,1777,93.8,5.69,38.0,0,2507,41.5,36.6
2023-03-11 10:29:00,14.3,28.3,1777,93.8,5.69,38.0,0,2507,41.5,36.6
2023-03-11 10:30:00,14.3,28.1,1542,93.5,5.61,39.8,0,2161,41.3,27.8
2023-03-11 10:31:00,14.3,28.1,1542,93.5,5.61,39.8,0,2161,41.3,27.8
2023-03-11 10:32:00,14.3,28.1,1542,93.5,5.61,39.8,0,2161,41.3,27.8
2023-03-11 10:33:00,14.3,28.1,1542,93.5,5.61,39.8,0,2161,41.3,27.8
2023-03-11 10:34:00,14.3,28.1,1542,93.5,5.61,39.8,0,2161,41.3,27.8
2023-03-11 10:35:00,14.3,27.5,1726,93.7,5.64,38.2,0,2441,40.6,36.4
2023-03-11 10:36:00,14.3,27.5,1726,93.7,5.64,38.2,0,2441,40.6,36.4
2023-03-11 10:37:00,14.3,27.5,1726,93.7,5.64,38.2,0,2441,40.6,36.4
2023-03-11 10:38:00,14.3,27.5,1726,93.7,5.64,38.2,0,2441,40.6,36.4
2023-03-11 10:39:00,14.3,27.5,1726,93.7,5.64,38.2,0,2441,40.6,36.4
2023-03-11 10:40:00,17.9,28.5,1552,94.7,5.60,39.2,0,2157,41.9,27.9
2023-03-11 10:41:00,17.9,28.5,1552,94.7,5.60,39.2,0,2157,41.9,27.9
2023-03-11 10:42:00,17.9,28.5,1552,94.7,5.60,39.2,0,2157,41.9,27.9
2023-03-11 10:43:00,17.9,28.5,1552,94.7,5.60,39.2,0,2157,41.9,27.9
2023-03-11 10:44:00,17.9,28.5,1552,94.7,5.60,39.2,0,2157,41.9,27.9
2023-03-11 10:45:00,14.2,27.1,1759,93.2,5.66,38.0,0.00667,2461,42.0,36.8
2023-03-11 10:46:00,14.2,27.1,1759,93.2,5.66,38.0,0.00667,2461,42.0,36.8
2023-03-11 10:47:00,14.2,27.1,1759,93.2,5.66,38.0,0.00667,2461,42.0,36.8
2023-03-11 10:48:00,14.2,27.1,1759,93.2,5.66,38.0,0.00667,2461,42.0,36.8
2023-03-11 10:49:00,14.2,27.1,1759,93.2,5.66,38.0,0.00667,2461,42.0,36.8
2023-03-11 10:50:00,14.0,28.5,1520,95.6,5.58,39.6,0,2175,41.3,27.9
2023-03-11 10:51:00,14.0,28.5,1520,95.6,5.58,39.6,0,2175,41.3,27.9
2023-03-11 10:52:00,14.0,28.5,1520,95.6,5.58,39.6,0,2175,41.3,27.9
2023-03-11 10:53:00,14.0,28.5,1520,95.6,5.58,39.6,0,2175,41.3,27.9
2023-03-11 10:54:00,14.0,28.5,1520,95.6,5.58,39.6,0,2175,41.3,27.9
2023-03-11 10:55:00,14.2,28.4,1763,93.4,5.57,38.5,0.00333,2443,40.6,36.5
2023-03-11 10:56:00,14.2,28.4,1763,93.4,5.57,38.5,0.00333,2443,40.6,36.5
2023-03-11 10:57:00,14.2,28.4,1763,93.4,5.57,38.5,0.00333,2443,40.6,36.5
2023-03-11 10:58:00,14.2,28.4,1763,93.4,5.57,38.5,0.00333,2443,40.6,36.5
2023-03-11 10:59:00,14.2,28.4,1763,93.4,5.57,38.5,0.00333,2443,40.6,36.5
2023-03-11 11:00:00,18.0,27.7,1525,94.3,5.67,38.4,0,2137,41.1,27.8
2023-03-11 11:01:00,18.0,27.7,1525,94.3,5.67,38.4,0,2137,41.1,27.8
2023-03-11 11:02:00,18.0,27.7,1525,94.3,5.67,38.4,0,2137,41.1,27.8
