".+",".+"
2023-03-11 09:20:00,3.73 MB/s
2023-03-11 09:40:00,4.12 MB/s
2023-03-11 10:00:00,3.68 MB/s
2023-03-11 10:20:00,3.57 MB/s
2023-03-11 10:40:00,3.66 MB/s
2023-03-11 11:00:00,3.66 MB/s
2023-03-11 11:20:00,3.57 MB/s
2023-03-11 11:40:00,3.60 MB/s
2023-03-11 12:00:00,3.62 MB/s
2023-03-11 12:20:00,3.59 MB/s
2023-03-11 12:40:00,3.64 MB/s
2023-03-11 13:00:00,2.97 MB/s
2023-03-11 13:20:00,2.66 MB/s
2023-03-11 13:40:00,2.75 MB/s
2023-03-11 14:00:00,2.78 MB/s
2023-03-11 14:20:00,2.89 MB/s
2023-03-11 14:40:00,3.19 MB/s
2023-03-11 15:00:00,3.16 MB/s
2023-03-11 15:20:00,3.09 MB/s
2023-03-11 15:40:00,3.16 MB/s
2023-03-11 16:00:00,3.12 MB/s
2023-03-11 16:20:00,3.18 MB/s
2023-03-11 16:40:00,3.12 MB/s
2023-03-11 17:00:00,3.15 MB/s
2023-03-11 17:20:00,3.18 MB/s
2023-03-11 17:40:00,3.15 MB/s
2023-03-11 18:00:00,3.15 MB/s
2023-03-11 18:20:00,3.13 MB/s
2023-03-11 18:40:00,3.14 MB/s
2023-03-11 19:00:00,4.17 MB/s
2023-03-11 19:20:00,3.20 MB/s
2023-03-11 19:40:00,3.17 MB/s
2023-03-11 20:00:00,3.18 MB/s
2023-03-11 20:20:00,3.13 MB/s
2023-03-11 20:40:00,3.21 MB/s
2023-03-11 21:00:00,3.21 MB/s
2023-03-11 21:20:00,3.13 MB/s
2023-03-11 21:40:00,3.02 MB/s
2023-03-11 22:00:00,2.87 MB/s
2023-03-11 22:20:00,2.74 MB/s
2023-03-11 22:40:00,2.70 MB/s
2023-03-11 23:00:00,2.81 MB/s
2023-03-11 23:20:00,2.74 MB/s
2023-03-11 23:40:00,2.71 MB/s
2023-03-12 00:00:00,2.75 MB/s
2023-03-12 00:20:00,2.69 MB/s
2023-03-12 00:40:00,2.64 MB/s
2023-03-12 01:00:00,2.70 MB/s
2023-03-12 01:20:00,2.73 MB/s
2023-03-12 01:40:00,2.67 MB/s
2023-03-12 02:00:00,2.70 MB/s
2023-03-12 02:20:00,2.63 MB/s
2023-03-12 02:40:00,2.67 MB/s
2023-03-12 03:00:00,2.67 MB/s
2023-03-12 03:20:00,2.66 MB/s
2023-03-12 03:40:00,2.74 MB/s
2023-03-12 04:00:00,2.69 MB/s
2023-03-12 04:20:00,2.62 MB/s
2023-03-12 04:40:00,2.67 MB/s
2023-03-12 05:00:00,3.72 MB/s
2023-03-12 05:20:00,2.70 MB/s
2023-03-12 05:40:00,2.97 MB/s
2023-03-12 06:00:00,3.09 MB/s
2023-03-12 06:20:00,3.18 MB/s
2023-03-12 06:40:00,3.12 MB/s
2023-03-12 07:00:00,3.17 MB/s
2023-03-12 07:20:00,3.11 MB/s
2023-03-12 07:40:00,3.19 MB/s
2023-03-12 08:00:00,3.13 MB/s
2023-03-12 08:20:00,3.21 MB/s
2023-03-12 08:40:00,3.16 MB/s
2023-03-12 09:00:00,3.66 MB/s
2023-03-12 09:20:00,3.20 MB/s
2023-03-12 09:40:00,3.13 MB/s
2023-03-12 10:00:00,3.12 MB/s
2023-03-12 10:20:00,3.08 MB/s
2023-03-12 10:40:00,3.08 MB/s
2023-03-12 11:00:00,3.12 MB/s
2023-03-12 11:20:00,3.05 MB/s
2023-03-12 11:40:00,3.11 MB/s
2023-03-12 12:00:00,3.08 MB/s
2023-03-12 12:20:00,3.10 MB/s
2023-03-12 12:40:00,3.15 MB/s
2023-03-12 13:00:00,3.24 MB/s
2023-03-12 13:20:00,3.02 MB/s
2023-03-12 13:40:00,2.77 MB/s
2023-03-12 14:00:00,2.70 MB/s
2023-03-12 14:20:00,2.68 MB/s
2023-03-12 14:40:00,2.73 MB/s
2023-03-12 15:00:00,3.78 MB/s
2023-03-12 15:20:00,2.82 MB/s

