"Time","Read","Write"
2023-03-11 09:30:00,0,633926
2023-03-11 09:32:00,0,601974
2023-03-11 09:34:00,0,543107
2023-03-11 09:36:00,0,658728
2023-03-11 09:38:00,0,549282
2023-03-11 09:40:00,0,761380
2023-03-11 09:42:00,0,664642
2023-03-11 09:44:00,0,688085
2023-03-11 09:46:00,0,806707
2023-03-11 09:48:00,0,544404
2023-03-11 09:50:00,0,636768
2023-03-11 09:52:00,0,653107
2023-03-11 09:54:00,0,560310
2023-03-11 09:56:00,0,770412
2023-03-11 09:58:00,0,597083
2023-03-11 10:00:00,0,778103
2023-03-11 10:02:00,0,704695
2023-03-11 10:04:00,0,554394
2023-03-11 10:06:00,0,718552
2023-03-11 10:08:00,0,525995
2023-03-11 10:10:00,0,652811
2023-03-11 10:12:00,0,624350
2023-03-11 10:14:00,0,538524
2023-03-11 10:16:00,4301,668055
2023-03-11 10:18:00,4301,520761
2023-03-11 10:20:00,0,660025
2023-03-11 10:22:00,0,584774
2023-03-11 10:24:00,0,536462
2023-03-11 10:26:00,0,657863
2023-03-11 10:28:00,0,495343
2023-03-11 10:30:00,0,644574
2023-03-11 10:32:00,0,572039
2023-03-11 10:34:00,0,532216
2023-03-11 10:36:00,2571,650035
2023-03-11 10:38:00,2571,518098
2023-03-11 10:40:00,0,650263
2023-03-11 10:42:00,0,589699
2023-03-11 10:44:00,0,529545
2023-03-11 10:46:00,0,653063
2023-03-11 10:48:00,0,479895
2023-03-11 10:50:00,0,632923
2023-03-11 10:52:00,0,582406
2023-03-11 10:54:00,0,537099
2023-03-11 10:56:00,0,650088
2023-03-11 10:58:00,0,473861
2023-03-11 11:00:00,0,628918
2023-03-11 11:02:00,0,785567
2023-03-11 11:04:00,0,552141
2023-03-11 11:06:00,0,648511
2023-03-11 11:08:00,0,476197
2023-03-11 11:10:00,0,634948
2023-03-11 11:12:00,0,560697
2023-03-11 11:14:00,0,539352
2023-03-11 11:16:00,0,638461
2023-03-11 11:18:00,0,472577
2023-03-11 11:20:00,0,636903
2023-03-11 11:22:00,0,624390
2023-03-11 11:24:00,0,535393
2023-03-11 11:26:00,0,653266
2023-03-11 11:28:00,0,481771
2023-03-11 11:30:00,0,633034
2023-03-11 11:32:00,0,608734
2023-03-11 11:34:00,0,539170
2023-03-11 11:36:00,0,648579
2023-03-11 11:38:00,0,481893
2023-03-11 11:40:00,0,634175
2023-03-11 11:42:00,0,596264
2023-03-11 11:44:00,0,766877
2023-03-11 11:46:00,0,649914
2023-03-11 11:48:00,0,492873
2023-03-11 11:50:00,0,626711
2023-03-11 11:52:00,0,582360
2023-03-11 11:54:00,0,528998
2023-03-11 11:56:00,0,659405
2023-03-11 11:58:00,0,480324
2023-03-11 12:00:00,0,634175
2023-03-11 12:02:00,0,914569
2023-03-11 12:04:00,0,532584
2023-03-11 12:06:00,0,827733
2023-03-11 12:08:00,0,486423
2023-03-11 12:10:00,0,626561
2023-03-11 12:12:00,0,579040
2023-03-11 12:14:00,0,532753
2023-03-11 12:16:00,0,658113
2023-03-11 12:18:00,0,479915
2023-03-11 12:20:00,0,637850
2023-03-11 12:22:00,0,608644
2023-03-11 12:24:00,0,534574
2023-03-11 12:26:00,0,649444
2023-03-11 12:28:00,0,472405
2023-03-11 12:30:00,0,632149
2023-03-11 12:32:00,0,577468
2023-03-11 12:34:00,0,530176
2023-03-11 12:36:00,0,653105
2023-03-11 12:38:00,0,474658
2023-03-11 12:40:00,0,623093
2023-03-11 12:42:00,0,578446
2023-03-11 12:44:00,0,519648
2023-03-11 12:46:00,0,658955
2023-03-11 12:48:00,0,466489
2023-03-11 12:50:00,0,633028
2023-03-11 12:52:00,0,576649
2023-03-11 12:54:00,0,521990
2023-03-11 12:56:00,0,652334
2023-03-11 12:58:00,0,467241
2023-03-11 13:00:00,0,632274
2023-03-11 13:02:00,0,765158
2023-03-11 13:04:00,0,588535
2023-03-11 13:06:00,0,644028
2023-03-11 13:08:00,0,471677
2023-03-11 13:10:00,0,629045
2023-03-11 13:12:00,0,580549
2023-03-11 13:14:00,0,521832
2023-03-11 13:16:00,0,654928
2023-03-11 13:18:00,0,480893
2023-03-11 13:20:00,0,628385
2023-03-11 13:22:00,0,569162
2023-03-11 13:24:00,0,525906
2023-03-11 13:26:00,0,645074
2023-03-11 13:28:00,0,486332
2023-03-11 13:30:00,0,628463
2023-03-11 13:32:00,0,611531
2023-03-11 13:34:00,0,533489
2023-03-11 13:36:00,0,650650
2023-03-11 13:38:00,0,489085
2023-03-11 13:40:00,0,629191
2023-03-11 13:42:00,0,604660
2023-03-11 13:44:00,0,532027
2023-03-11 13:46:00,0,658245
2023-03-11 13:48:00,0,489859
2023-03-11 13:50:00,0,619566
2023-03-11 13:52:00,0,585726
2023-03-11 13:54:00,0,528863
2023-03-11 13:56:00,0,659986
2023-03-11 13:58:00,0,491496
2023-03-11 14:00:00,0,631262
2023-03-11 14:02:00,0,1124375
2023-03-11 14:04:00,0,525744
2023-03-11 14:06:00,0,655542
2023-03-11 14:08:00,0,482643
2023-03-11 14:10:00,0,617504
2023-03-11 14:12:00,0,585989
2023-03-11 14:14:00,91.0,536259
2023-03-11 14:16:00,91.0,683438
2023-03-11 14:18:00,0,505195
2023-03-11 14:20:00,0,636486
2023-03-11 14:22:00,4029,588162
2023-03-11 14:24:00,91.0,530796
2023-03-11 14:26:00,71179,692588
2023-03-11 14:28:00,0,488038
2023-03-11 14:30:00,0,628476
2023-03-11 14:32:00,0,601624
2023-03-11 14:34:00,0,527064
2023-03-11 14:36:00,0,654973
2023-03-11 14:38:00,0,497368
2023-03-11 14:40:00,0,625072
2023-03-11 14:42:00,0,583184
2023-03-11 14:44:00,0,526199
2023-03-11 14:46:00,0,654064
2023-03-11 14:48:00,0,479414
2023-03-11 14:50:00,0,628226
2023-03-11 14:52:00,0,580174
2023-03-11 14:54:00,0,532095
2023-03-11 14:56:00,0,651765
2023-03-11 14:58:00,0,484238
2023-03-11 15:00:00,0,626708
2023-03-11 15:02:00,0,770116
2023-03-11 15:04:00,0,531115
2023-03-11 15:06:00,0,657633
2023-03-11 15:08:00,0,479845
2023-03-11 15:10:00,0,631012
2023-03-11 15:12:00,0,576330
2023-03-11 15:14:00,0,527747
2023-03-11 15:16:00,0,650811
2023-03-11 15:18:00,91.0,493545
2023-03-11 15:20:00,0,628283
2023-03-11 15:22:00,0,571210
2023-03-11 15:24:00,0,528475
2023-03-11 15:26:00,0,635026
2023-03-11 15:28:00,0,475000
2023-03-11 15:30:00,0,624536
2023-03-11 15:32:00,0,603190
2023-03-11 15:34:00,0,528194
2023-03-11 15:36:00,0,656452
2023-03-11 15:38:00,0,482418
2023-03-11 15:40:00,0,631808
2023-03-11 15:42:00,0,599108
2023-03-11 15:44:00,0,530318
2023-03-11 15:46:00,0,651149
2023-03-11 15:48:00,0,486581
2023-03-11 15:50:00,0,631512
2023-03-11 15:52:00,0,575216
2023-03-11 15:54:00,0,522058
2023-03-11 15:56:00,0,652222
2023-03-11 15:58:00,0,486537
