"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-11 09:30:00,3.35,2.28,3.46
2023-03-11 09:32:00,3.09,2.27,3.36
2023-03-11 09:34:00,2.91,2.49,3.25
2023-03-11 09:36:00,2.61,2.39,3.08
2023-03-11 09:38:00,2.59,2.50,3.02
2023-03-11 09:40:00,2.46,2.49,2.91
2023-03-11 09:42:00,2.63,2.83,2.90
2023-03-11 09:44:00,2.89,3.30,2.96
2023-03-11 09:46:00,2.91,2.70,2.98
2023-03-11 09:48:00,3.28,3.18,3.10
2023-03-11 09:50:00,2.89,2.24,2.98
2023-03-11 09:52:00,3.52,3.39,3.22
2023-03-11 09:54:00,3.07,1.94,3.09
2023-03-11 09:56:00,2.74,2.58,2.96
2023-03-11 09:58:00,3.04,2.88,3.06
2023-03-11 10:00:00,3.04,2.69,3.06
2023-03-11 10:02:00,3.16,3.75,3.09
2023-03-11 10:04:00,5.24,6.80,3.91
2023-03-11 10:06:00,4.45,3.47,3.77
2023-03-11 10:08:00,3.77,2.52,3.61
2023-03-11 10:10:00,2.87,1.24,3.29
2023-03-11 10:12:00,2.74,2.25,3.20
2023-03-11 10:14:00,3.83,7.17,3.48
2023-03-11 10:16:00,3.42,3.55,3.36
2023-03-11 10:18:00,3.72,4.18,3.48
2023-03-11 10:20:00,3.49,3.62,3.40
2023-03-11 10:22:00,3.94,5.44,3.56
2023-03-11 10:24:00,4.69,5.85,3.87
2023-03-11 10:26:00,4.52,4.02,3.93
2023-03-11 10:28:00,4.58,5.11,3.99
2023-03-11 10:30:00,3.99,3.31,3.84
2023-03-11 10:32:00,3.98,3.25,3.86
2023-03-11 10:34:00,3.34,2.30,3.63
2023-03-11 10:36:00,3.68,3.28,3.73
2023-03-11 10:38:00,3.94,4.32,3.81
2023-03-11 10:40:00,3.41,2.63,3.63
2023-03-11 10:42:00,4.19,4.83,3.91
2023-03-11 10:44:00,4.45,5.05,4.03
2023-03-11 10:46:00,4.46,4.12,4.09
2023-03-11 10:48:00,5.77,6.39,4.64
2023-03-11 10:50:00,5.83,5.77,4.82
2023-03-11 10:52:00,5.59,5.56,4.84
2023-03-11 10:54:00,4.90,3.59,4.67
2023-03-11 10:56:00,3.97,2.51,4.33
2023-03-11 10:58:00,3.86,2.94,4.28
2023-03-11 11:00:00,3.82,3.02,4.22
2023-03-11 11:02:00,3.55,3.39,4.05
2023-03-11 11:04:00,2.90,1.78,3.75
2023-03-11 11:06:00,3.37,3.16,3.84
2023-03-11 11:08:00,4.17,6.01,4.05
2023-03-11 11:10:00,4.75,5.55,4.27
2023-03-11 11:12:00,3.82,2.46,3.98
2023-03-11 11:14:00,3.77,2.73,3.97
2023-03-11 11:16:00,3.27,2.37,3.75
2023-03-11 11:18:00,3.08,2.54,3.61
2023-03-11 11:20:00,3.19,3.71,3.56
2023-03-11 11:22:00,4.05,4.43,3.87
2023-03-11 11:24:00,4.61,5.36,4.10
2023-03-11 11:26:00,5.61,6.64,4.54
2023-03-11 11:28:00,6.13,6.28,4.89
2023-03-11 11:30:00,6.27,5.72,5.10
2023-03-11 11:32:00,4.96,2.76,4.74
2023-03-11 11:34:00,4.77,3,4.72
2023-03-11 11:36:00,4.18,2.92,4.51
2023-03-11 11:38:00,3.89,2.62,4.38
2023-03-11 11:40:00,4.39,4.21,4.50
2023-03-11 11:42:00,3.62,2.49,4.20
2023-03-11 11:44:00,3.62,4.15,4.11
2023-03-11 11:46:00,4.41,7.19,4.30
2023-03-11 11:48:00,4.81,5.29,4.46
2023-03-11 11:50:00,5.72,7.33,4.83
2023-03-11 11:52:00,4.90,3.70,4.63
2023-03-11 11:54:00,4.44,3.97,4.47
2023-03-11 11:56:00,5.10,7.28,4.69
2023-03-11 11:58:00,3.93,2.27,4.29
2023-03-11 12:00:00,4.13,5.90,4.29
2023-03-11 12:02:00,4.42,5.01,4.38
2023-03-11 12:04:00,3.97,3.42,4.22
2023-03-11 12:06:00,4.71,5.68,4.45
2023-03-11 12:08:00,4.26,3.49,4.31
2023-03-11 12:10:00,4.37,4.81,4.34
2023-03-11 12:12:00,4.10,3.67,4.23
2023-03-11 12:14:00,3.84,3.48,4.10
2023-03-11 12:16:00,3.37,2.66,3.88
2023-03-11 12:18:00,3.16,2.97,3.74
2023-03-11 12:20:00,3.31,4.17,3.70
2023-03-11 12:22:00,3.41,3.04,3.70
2023-03-11 12:24:00,3.86,3.47,3.85
2023-03-11 12:26:00,3.79,4.19,3.81
2023-03-11 12:28:00,5.24,8.72,4.30
2023-03-11 12:30:00,6,6.59,4.73
2023-03-11 12:32:00,5.80,5.42,4.80
2023-03-11 12:34:00,5.71,5.56,4.90
2023-03-11 12:36:00,6.13,5.38,5.18
