"Time","Receive Errors","Receive Total","Transmit Errors","Receive Dropped","Transmit Dropped","Transmit Total"
2023-03-11 09:30:00,0,625,0,0,0,637
2023-03-11 09:32:00,0,857,0,0,0,884
2023-03-11 09:34:00,0,772,0,0,0,792
2023-03-11 09:36:00,0,638,0,0,0,647
2023-03-11 09:38:00,0,635,0,0,0,642
2023-03-11 09:40:00,0,748,0,0,0,759
2023-03-11 09:42:00,0,930,0,0,0,977
2023-03-11 09:44:00,0,981,0,0,0,1013
2023-03-11 09:46:00,0,707,0,0,0,717
2023-03-11 09:48:00,0,662,0,0,0,669
2023-03-11 09:50:00,0,651,0,0,0,661
2023-03-11 09:52:00,0,779,0,0,0,798
2023-03-11 09:54:00,0,825,0,0,0,845
2023-03-11 09:56:00,0,630,0,0,0,636
2023-03-11 09:58:00,0,610,0,0,0,617
2023-03-11 10:00:00,0,655,0,0,0,674
2023-03-11 10:02:00,0,784,0,0,0,805
2023-03-11 10:04:00,0,833,0,0,0,851
2023-03-11 10:06:00,0,643,0,0,0,648
2023-03-11 10:08:00,0,619,0,0,0,622
2023-03-11 10:10:00,0,633,0,0,0,633
2023-03-11 10:12:00,0,725,0,0,0,727
2023-03-11 10:14:00,0,823,0,0,0,843
2023-03-11 10:16:00,0,630,0,0,0,637
2023-03-11 10:18:00,0,612,0,0,0,612
2023-03-11 10:20:00,0,622,0,0,0,628
2023-03-11 10:22:00,0,695,0,0,0,707
2023-03-11 10:24:00,0,834,0,0,0,852
2023-03-11 10:26:00,0,646,0,0,0,653
2023-03-11 10:28:00,0,624,0,0,0,629
2023-03-11 10:30:00,0,644,0,0,0,655
2023-03-11 10:32:00,0,671,0,0,0,680
2023-03-11 10:34:00,0,818,0,0,0,837
2023-03-11 10:36:00,0,627,0,0,0,631
2023-03-11 10:38:00,0,620,0,0,0,621
2023-03-11 10:40:00,0,640,0,0,0,640
2023-03-11 10:42:00,0,662,0,0,0,662
2023-03-11 10:44:00,0,831,0,0,0,846
2023-03-11 10:46:00,0,654,0,0,0,656
2023-03-11 10:48:00,0,629,0,0,0,629
2023-03-11 10:50:00,0,630,0,0,0,636
2023-03-11 10:52:00,0,612,0,0,0,619
2023-03-11 10:54:00,0,819,0,0,0,838
2023-03-11 10:56:00,0,664,0,0,0,673
2023-03-11 10:58:00,0,622,0,0,0,625
2023-03-11 11:00:00,0,627,0,0,0,637
2023-03-11 11:02:00,0,615,0,0,0,625
2023-03-11 11:04:00,0,829,0,0,0,849
2023-03-11 11:06:00,0,693,0,0,0,701
2023-03-11 11:08:00,0,625,0,0,0,631
2023-03-11 11:10:00,0,628,0,0,0,634
2023-03-11 11:12:00,0,619,0,0,0,630
2023-03-11 11:14:00,0,832,0,0,0,855
2023-03-11 11:16:00,0,691,0,0,0,708
2023-03-11 11:18:00,0,612,0,0,0,613
2023-03-11 11:20:00,0,625,0,0,0,633
2023-03-11 11:22:00,0,603,0,0,0,616
2023-03-11 11:24:00,0,820,0,0,0,839
2023-03-11 11:26:00,0,727,0,0,0,736
2023-03-11 11:28:00,0,629,0,0,0,629
2023-03-11 11:30:00,0,639,0,0,0,648
2023-03-11 11:32:00,0,612,0,0,0,622
2023-03-11 11:34:00,0,824,0,0,0,846
2023-03-11 11:36:00,0,746,0,0,0,762
2023-03-11 11:38:00,0,612,0,0,0,615
2023-03-11 11:40:00,0,630,0,0,0,639
2023-03-11 11:42:00,0,617,0,0,0,620
2023-03-11 11:44:00,0,819,0,0,0,840
2023-03-11 11:46:00,0,767,0,0,0,781
2023-03-11 11:48:00,0,613,0,0,0,616
2023-03-11 11:50:00,0,627,0,0,0,639
2023-03-11 11:52:00,0,625,0,0,0,634
2023-03-11 11:54:00,0,823,0,0,0,844
2023-03-11 11:56:00,0,786,0,0,0,804
2023-03-11 11:58:00,0,610,0,0,0,617
2023-03-11 12:00:00,0,625,0,0,0,638
2023-03-11 12:02:00,0,607,0,0,0,617
2023-03-11 12:04:00,0,822,0,0,0,841
2023-03-11 12:06:00,0,820,0,0,0,831
2023-03-11 12:08:00,0,615,0,0,0,615
2023-03-11 12:10:00,0,642,0,0,0,655
2023-03-11 12:12:00,0,631,0,0,0,633
2023-03-11 12:14:00,0,797,0,0,0,813
2023-03-11 12:16:00,0,834,0,0,0,846
2023-03-11 12:18:00,0,620,0,0,0,614
2023-03-11 12:20:00,0,625,0,0,0,629
2023-03-11 12:22:00,0,608,0,0,0,616
2023-03-11 12:24:00,0,778,0,0,0,794
2023-03-11 12:26:00,0,836,0,0,0,854
2023-03-11 12:28:00,0,624,0,0,0,628
2023-03-11 12:30:00,0,636,0,0,0,643
2023-03-11 12:32:00,0,618,0,0,0,624
2023-03-11 12:34:00,0,753,0,0,0,766
2023-03-11 12:36:00,0,836,0,0,0,852
2023-03-11 12:38:00,0,613,0,0,0,615
2023-03-11 12:40:00,0,626,0,0,0,634
2023-03-11 12:42:00,0,611,0,0,0,618
2023-03-11 12:44:00,0,734,0,0,0,749
2023-03-11 12:46:00,0,860,0,0,0,878
2023-03-11 12:48:00,0,617,0,0,0,623
2023-03-11 12:50:00,0,624,0,0,0,636
2023-03-11 12:52:00,0,622,0,0,0,630
2023-03-11 12:54:00,0,721,0,0,0,725
