"Time","Load[5m] (172.16.66.116:9796)","Load[5m] (172.16.66.117:9796)","Load[5m] (172.16.66.118:9796)","Load[1m] (172.16.66.116:9796)","Load[1m] (172.16.66.117:9796)","Load[1m] (172.16.66.118:9796)","Load[15m] (172.16.66.116:9796)","Load[15m] (172.16.66.117:9796)","Load[15m] (172.16.66.118:9796)"
2023-03-11 09:30:00,1.92,0.420,1.01,0.940,0.230,1.11,1.89,0.640,0.930
2023-03-11 09:32:00,1.58,0.380,1.13,1.22,0.340,0.710,1.76,0.600,1
2023-03-11 09:34:00,1.51,0.430,0.970,1.26,0.610,0.620,1.71,0.580,0.960
2023-03-11 09:36:00,1.34,0.400,0.870,1.35,0.310,0.730,1.61,0.550,0.920
2023-03-11 09:38:00,1.27,0.360,0.960,1.13,0.250,1.12,1.55,0.520,0.950
2023-03-11 09:40:00,1.12,0.380,0.960,0.880,0.450,1.16,1.46,0.510,0.940
2023-03-11 09:42:00,1.49,0.330,0.810,2.09,0.240,0.500,1.54,0.470,0.890
2023-03-11 09:44:00,1.79,0.240,0.860,2.43,0.0600,0.810,1.64,0.420,0.900
2023-03-11 09:46:00,1.58,0.310,1.02,1.41,0.290,1,1.58,0.430,0.970
2023-03-11 09:48:00,1.38,0.290,1.61,0.980,0.200,2,1.50,0.400,1.20
2023-03-11 09:50:00,1.26,0.380,1.25,0.950,0.600,0.690,1.44,0.420,1.12
2023-03-11 09:52:00,1.62,0.350,1.55,1.71,0.300,1.38,1.56,0.400,1.26
2023-03-11 09:54:00,1.42,0.280,1.37,0.760,0.220,0.960,1.50,0.360,1.23
2023-03-11 09:56:00,1.38,0.280,1.08,1.53,0.420,0.630,1.47,0.350,1.14
2023-03-11 09:58:00,1.58,0.460,1,1.30,0.670,0.910,1.55,0.410,1.10
2023-03-11 10:00:00,1.24,0.800,1,0.580,1.41,0.700,1.43,0.540,1.09
2023-03-11 10:02:00,1.14,0.820,1.20,1.07,1.01,1.67,1.36,0.580,1.15
2023-03-11 10:04:00,2.20,0.700,2.34,2.38,0.580,3.84,1.77,0.560,1.58
2023-03-11 10:06:00,1.77,0.800,1.88,1.24,0.960,1.27,1.66,0.610,1.50
2023-03-11 10:08:00,1.39,0.800,1.58,0.640,0.790,1.09,1.54,0.630,1.44
2023-03-11 10:10:00,1.16,0.540,1.17,0.670,0.140,0.430,1.43,0.560,1.30
2023-03-11 10:12:00,1.22,0.390,1.13,1.09,0.130,1.03,1.43,0.500,1.27
2023-03-11 10:14:00,1.79,0.790,1.25,4,1.64,1.53,1.57,0.620,1.29
2023-03-11 10:16:00,1.46,0.700,1.26,1.17,0.820,1.56,1.48,0.600,1.28
2023-03-11 10:18:00,1.22,0.940,1.56,0.750,1.12,2.31,1.39,0.710,1.38
2023-03-11 10:20:00,1.21,0.670,1.61,1.20,0.300,2.12,1.36,0.630,1.41
2023-03-11 10:22:00,1.08,0.980,1.88,1.01,1.38,3.05,1.29,0.760,1.51
2023-03-11 10:24:00,1.67,0.790,2.23,2.42,0.410,3.02,1.48,0.710,1.68
2023-03-11 10:26:00,1.46,0.740,2.32,1.19,0.520,2.31,1.43,0.710,1.79
2023-03-11 10:28:00,1.25,0.620,2.71,0.890,0.410,3.81,1.35,0.660,1.98
2023-03-11 10:30:00,1.46,0.580,1.95,2.01,0.450,0.850,1.41,0.640,1.79
2023-03-11 10:32:00,1.14,0.940,1.90,0.700,1.33,1.22,1.30,0.760,1.80
2023-03-11 10:34:00,1.21,0.700,1.43,1.33,0.390,0.580,1.30,0.690,1.64
2023-03-11 10:36:00,2.05,0.540,1.09,2.63,0.170,0.480,1.62,0.630,1.48
