"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-11 09:30:00,0.420,0.230,0.640
2023-03-11 09:32:00,0.380,0.340,0.600
2023-03-11 09:34:00,0.430,0.610,0.580
2023-03-11 09:36:00,0.400,0.310,0.550
2023-03-11 09:38:00,0.360,0.250,0.520
2023-03-11 09:40:00,0.380,0.450,0.510
2023-03-11 09:42:00,0.330,0.240,0.470
2023-03-11 09:44:00,0.240,0.0600,0.420
2023-03-11 09:46:00,0.310,0.290,0.430
2023-03-11 09:48:00,0.290,0.200,0.400
2023-03-11 09:50:00,0.380,0.600,0.420
2023-03-11 09:52:00,0.350,0.300,0.400
2023-03-11 09:54:00,0.280,0.220,0.360
2023-03-11 09:56:00,0.280,0.420,0.350
2023-03-11 09:58:00,0.460,0.670,0.410
2023-03-11 10:00:00,0.800,1.41,0.540
2023-03-11 10:02:00,0.820,1.01,0.580
2023-03-11 10:04:00,0.700,0.580,0.560
2023-03-11 10:06:00,0.800,0.960,0.610
2023-03-11 10:08:00,0.800,0.790,0.630
2023-03-11 10:10:00,0.540,0.140,0.560
2023-03-11 10:12:00,0.390,0.130,0.500
2023-03-11 10:14:00,0.790,1.64,0.620
2023-03-11 10:16:00,0.700,0.820,0.600
2023-03-11 10:18:00,0.940,1.12,0.710
2023-03-11 10:20:00,0.670,0.300,0.630
2023-03-11 10:22:00,0.980,1.38,0.760
2023-03-11 10:24:00,0.790,0.410,0.710
2023-03-11 10:26:00,0.740,0.520,0.710
2023-03-11 10:28:00,0.620,0.410,0.660
2023-03-11 10:30:00,0.580,0.450,0.640
2023-03-11 10:32:00,0.940,1.33,0.760
2023-03-11 10:34:00,0.700,0.390,0.690
2023-03-11 10:36:00,0.540,0.170,0.630
2023-03-11 10:38:00,0.620,0.650,0.650
2023-03-11 10:40:00,0.570,0.530,0.630
2023-03-11 10:42:00,0.920,0.870,0.770
2023-03-11 10:44:00,0.690,0.360,0.700
2023-03-11 10:46:00,0.540,0.230,0.640
2023-03-11 10:48:00,0.440,0.270,0.590
2023-03-11 10:50:00,0.790,1.30,0.710
2023-03-11 10:52:00,0.630,0.500,0.650
2023-03-11 10:54:00,0.660,0.770,0.650
2023-03-11 10:56:00,0.560,0.580,0.610
2023-03-11 10:58:00,0.630,0.760,0.640
2023-03-11 11:00:00,1.05,1.26,0.800
2023-03-11 11:02:00,1.33,2.24,0.920
2023-03-11 11:04:00,0.920,0.370,0.820
2023-03-11 11:06:00,1.09,0.820,0.910
2023-03-11 11:08:00,1.47,2.24,1.06
2023-03-11 11:10:00,1.24,0.820,1.02
2023-03-11 11:12:00,0.900,0.260,0.930
2023-03-11 11:14:00,0.670,0.210,0.840
2023-03-11 11:16:00,0.500,0.220,0.750
2023-03-11 11:18:00,0.640,0.810,0.770
2023-03-11 11:20:00,0.550,0.360,0.720
