"Time","Receive Errors (cilium_host)","Receive Errors (cilium_net)","Receive Errors (cilium_vxlan)","Receive Errors (eno1)","Receive Errors (eno2)","Receive Errors (lxc0869c7c52aaf)","Receive Errors (lxc153d326fee8e)","Receive Errors (lxc15e7b9e08f6a)","Receive Errors (lxc1a9179a3c78a)","Receive Errors (lxc2eae32bd26e2)","Receive Errors (lxc3029e761caac)","Receive Errors (lxc4738a90bb62d)","Receive Errors (lxc47cf02e01200)","Receive Errors (lxc4891115b002a)","Receive Errors (lxc4cd1a6348196)","Receive Errors (lxc57a93b72bce5)","Receive Errors (lxc595b7d995309)","Receive Errors (lxc5b7056ada00e)","Receive Errors (lxc68675ff126a1)","Receive Errors (lxc89a861df6781)","Receive Errors (lxc8eacf33df192)","Receive Errors (lxc91684f5d75a2)","Receive Errors (lxc9441c396838b)","Receive Errors (lxc9edf229aa199)","Receive Errors (lxc_health)","Receive Errors (lxca0003cd2b493)","Receive Errors (lxca11ecf08273d)","Receive Errors (lxca5aef5474707)","Receive Errors (lxca628a586fdcc)","Receive Errors (lxcaf4e57eca9cb)","Receive Errors (lxcafe5bab5afc3)","Receive Errors (lxcb4ddad6a734f)","Receive Errors (lxccbfad65195f2)","Receive Errors (lxccd4442c762c4)","Receive Errors (lxcd07d9b092772)","Receive Errors (lxcd3fb53856a74)","Receive Errors (lxce70383cf2d73)","Receive Errors (lxcec9d0fdffcd5)","Receive Errors (lxcf37dd9c16b64)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc0869c7c52aaf)","Receive Total (lxc153d326fee8e)","Receive Total (lxc15e7b9e08f6a)","Receive Total (lxc1a9179a3c78a)","Receive Total (lxc2eae32bd26e2)","Receive Total (lxc3029e761caac)","Receive Total (lxc4738a90bb62d)","Receive Total (lxc47cf02e01200)","Receive Total (lxc4891115b002a)","Receive Total (lxc4cd1a6348196)","Receive Total (lxc57a93b72bce5)","Receive Total (lxc595b7d995309)","Receive Total (lxc5b7056ada00e)","Receive Total (lxc68675ff126a1)","Receive Total (lxc89a861df6781)","Receive Total (lxc8eacf33df192)","Receive Total (lxc91684f5d75a2)","Receive Total (lxc9441c396838b)","Receive Total (lxc9edf229aa199)","Receive Total (lxc_health)","Receive Total (lxca0003cd2b493)","Receive Total (lxca11ecf08273d)","Receive Total (lxca5aef5474707)","Receive Total (lxca628a586fdcc)","Receive Total (lxcaf4e57eca9cb)","Receive Total (lxcafe5bab5afc3)","Receive Total (lxcb4ddad6a734f)","Receive Total (lxccbfad65195f2)","Receive Total (lxccd4442c762c4)","Receive Total (lxcd07d9b092772)","Receive Total (lxcd3fb53856a74)","Receive Total (lxce70383cf2d73)","Receive Total (lxcec9d0fdffcd5)","Receive Total (lxcf37dd9c16b64)","Transmit Errors (cilium_host)","Transmit Errors (cilium_net)","Transmit Errors (cilium_vxlan)","Transmit Errors (eno1)","Transmit Errors (eno2)","Transmit Errors (lxc0869c7c52aaf)","Transmit Errors (lxc153d326fee8e)","Transmit Errors (lxc15e7b9e08f6a)","Transmit Errors (lxc1a9179a3c78a)","Transmit Errors (lxc2eae32bd26e2)","Transmit Errors (lxc3029e761caac)","Transmit Errors (lxc4738a90bb62d)","Transmit Errors (lxc47cf02e01200)","Transmit Errors (lxc4891115b002a)","Transmit Errors (lxc4cd1a6348196)","Transmit Errors (lxc57a93b72bce5)","Transmit Errors (lxc595b7d995309)","Transmit Errors (lxc5b7056ada00e)","Transmit Errors (lxc68675ff126a1)","Transmit Errors (lxc89a861df6781)","Transmit Errors (lxc8eacf33df192)","Transmit Errors (lxc91684f5d75a2)","Transmit Errors (lxc9441c396838b)","Transmit Errors (lxc9edf229aa199)","Transmit Errors (lxc_health)","Transmit Errors (lxca0003cd2b493)","Transmit Errors (lxca11ecf08273d)","Transmit Errors (lxca5aef5474707)","Transmit Errors (lxca628a586fdcc)","Transmit Errors (lxcaf4e57eca9cb)","Transmit Errors (lxcafe5bab5afc3)","Transmit Errors (lxcb4ddad6a734f)","Transmit Errors (lxccbfad65195f2)","Transmit Errors (lxccd4442c762c4)","Transmit Errors (lxcd07d9b092772)","Transmit Errors (lxcd3fb53856a74)","Transmit Errors (lxce70383cf2d73)","Transmit Errors (lxcec9d0fdffcd5)","Transmit Errors (lxcf37dd9c16b64)","Receive Dropped (cilium_host)","Receive Dropped (cilium_net)","Receive Dropped (cilium_vxlan)","Receive Dropped (eno1)","Receive Dropped (eno2)","Receive Dropped (lxc0869c7c52aaf)","Receive Dropped (lxc153d326fee8e)","Receive Dropped (lxc15e7b9e08f6a)","Receive Dropped (lxc1a9179a3c78a)","Receive Dropped (lxc2eae32bd26e2)","Receive Dropped (lxc3029e761caac)","Receive Dropped (lxc4738a90bb62d)","Receive Dropped (lxc47cf02e01200)","Receive Dropped (lxc4891115b002a)","Receive Dropped (lxc4cd1a6348196)","Receive Dropped (lxc57a93b72bce5)","Receive Dropped (lxc595b7d995309)","Receive Dropped (lxc5b7056ada00e)","Receive Dropped (lxc68675ff126a1)","Receive Dropped (lxc89a861df6781)","Receive Dropped (lxc8eacf33df192)","Receive Dropped (lxc91684f5d75a2)","Receive Dropped (lxc9441c396838b)","Receive Dropped (lxc9edf229aa199)","Receive Dropped (lxc_health)","Receive Dropped (lxca0003cd2b493)","Receive Dropped (lxca11ecf08273d)","Receive Dropped (lxca5aef5474707)","Receive Dropped (lxca628a586fdcc)","Receive Dropped (lxcaf4e57eca9cb)","Receive Dropped (lxcafe5bab5afc3)","Receive Dropped (lxcb4ddad6a734f)","Receive Dropped (lxccbfad65195f2)","Receive Dropped (lxccd4442c762c4)","Receive Dropped (lxcd07d9b092772)","Receive Dropped (lxcd3fb53856a74)","Receive Dropped (lxce70383cf2d73)","Receive Dropped (lxcec9d0fdffcd5)","Receive Dropped (lxcf37dd9c16b64)","Transmit Dropped (cilium_host)","Transmit Dropped (cilium_net)","Transmit Dropped (cilium_vxlan)","Transmit Dropped (eno1)","Transmit Dropped (eno2)","Transmit Dropped (lxc0869c7c52aaf)","Transmit Dropped (lxc153d326fee8e)","Transmit Dropped (lxc15e7b9e08f6a)","Transmit Dropped (lxc1a9179a3c78a)","Transmit Dropped (lxc2eae32bd26e2)","Transmit Dropped (lxc3029e761caac)","Transmit Dropped (lxc4738a90bb62d)","Transmit Dropped (lxc47cf02e01200)","Transmit Dropped (lxc4891115b002a)","Transmit Dropped (lxc4cd1a6348196)","Transmit Dropped (lxc57a93b72bce5)","Transmit Dropped (lxc595b7d995309)","Transmit Dropped (lxc5b7056ada00e)","Transmit Dropped (lxc68675ff126a1)","Transmit Dropped (lxc89a861df6781)","Transmit Dropped (lxc8eacf33df192)","Transmit Dropped (lxc91684f5d75a2)","Transmit Dropped (lxc9441c396838b)","Transmit Dropped (lxc9edf229aa199)","Transmit Dropped (lxc_health)","Transmit Dropped (lxca0003cd2b493)","Transmit Dropped (lxca11ecf08273d)","Transmit Dropped (lxca5aef5474707)","Transmit Dropped (lxca628a586fdcc)","Transmit Dropped (lxcaf4e57eca9cb)","Transmit Dropped (lxcafe5bab5afc3)","Transmit Dropped (lxcb4ddad6a734f)","Transmit Dropped (lxccbfad65195f2)","Transmit Dropped (lxccd4442c762c4)","Transmit Dropped (lxcd07d9b092772)","Transmit Dropped (lxcd3fb53856a74)","Transmit Dropped (lxce70383cf2d73)","Transmit Dropped (lxcec9d0fdffcd5)","Transmit Dropped (lxcf37dd9c16b64)","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc0869c7c52aaf)","Transmit Total (lxc153d326fee8e)","Transmit Total (lxc15e7b9e08f6a)","Transmit Total (lxc1a9179a3c78a)","Transmit Total (lxc2eae32bd26e2)","Transmit Total (lxc3029e761caac)","Transmit Total (lxc4738a90bb62d)","Transmit Total (lxc47cf02e01200)","Transmit Total (lxc4891115b002a)","Transmit Total (lxc4cd1a6348196)","Transmit Total (lxc57a93b72bce5)","Transmit Total (lxc595b7d995309)","Transmit Total (lxc5b7056ada00e)","Transmit Total (lxc68675ff126a1)","Transmit Total (lxc89a861df6781)","Transmit Total (lxc8eacf33df192)","Transmit Total (lxc91684f5d75a2)","Transmit Total (lxc9441c396838b)","Transmit Total (lxc9edf229aa199)","Transmit Total (lxc_health)","Transmit Total (lxca0003cd2b493)","Transmit Total (lxca11ecf08273d)","Transmit Total (lxca5aef5474707)","Transmit Total (lxca628a586fdcc)","Transmit Total (lxcaf4e57eca9cb)","Transmit Total (lxcafe5bab5afc3)","Transmit Total (lxcb4ddad6a734f)","Transmit Total (lxccbfad65195f2)","Transmit Total (lxccd4442c762c4)","Transmit Total (lxcd07d9b092772)","Transmit Total (lxcd3fb53856a74)","Transmit Total (lxce70383cf2d73)","Transmit Total (lxcec9d0fdffcd5)","Transmit Total (lxcf37dd9c16b64)"
2023-03-11 09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0,5.92,77.5,0,0.766,2.49,0,0.244,0,0,0.261,3.33,4.93,4.43,0.561,0.244,0,3.72,0,2.69,0.0667,0.289,0,0.322,0,0.1000,11.9,0.544,0.0111,0.422,0.1000,3.20,0,0.966,6.86,0,0.200,0.350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,5.45,92.2,0,1.53,2.63,0,0.250,0,0,0.255,3.35,4.17,5.22,0.994,0.244,0,4.32,0,2.93,0.0667,0.450,0,0.389,0,0.200,13.1,0.994,0.0111,0.417,0.200,3.67,0,1.02,7.83,0,0.1000,0.233
2023-03-11 09:32:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0,35.8,143,0,0.889,2.33,0,0.244,0,0,0.244,3.33,5.24,14.2,0.561,0.239,0,3.72,0,2.51,0.0611,0.283,0,0.333,0.472,1.40,12.2,0.539,0.300,0.433,0.100,3.18,0,0.989,6.89,0,0.200,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,34.4,165,0,1.73,2.93,0,0.250,0,0,0.244,3.36,4.42,13.4,0.983,0.233,0.00556,4.30,0,3.19,0.0611,0.450,0,0.400,0.367,2.30,13.4,0.989,0.589,0.428,0.200,3.67,0,1.02,7.86,0,0.100,0.233
2023-03-11 09:34:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0,35.9,142,0,0.894,1.87,0,0.233,0,0,0.244,3.33,5.24,14.1,0.561,0.244,0,3.72,0,2.37,0.0611,0.267,0,0.333,0.472,1.41,12.4,0.544,0.289,0.494,0.106,3.17,0,0.972,6.88,0,0.200,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,34.4,163,0,1.73,2.92,0,0.233,0.00556,0,0.244,3.34,4.41,13.5,0.989,0.244,0.00556,4.28,0,3.27,0.0611,0.439,0,0.400,0.367,2.30,13.4,0.994,0.578,0.450,0.200,3.70,0,1.01,7.85,0.00556,0.100,0.244
2023-03-11 09:36:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0,5.96,82.6,0,0.778,1.87,0,0.250,0,0,0.244,3.34,5.01,4.41,0.561,0.233,0,3.73,0,2.29,0.0611,0.278,0,0.322,0,0.100,12.5,0.544,0.00556,0.506,0.100,3.14,0.00556,0.967,6.84,0,0.200,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,5.46,91.8,0,1.56,2.92,0,0.244,0,0,0.244,3.34,4.24,5.32,1,0.233,0,4.30,0,3.22,0.0611,0.444,0,0.389,0,0.200,13.4,0.983,0,0.467,0.200,3.63,0,1.01,7.82,0,0.100,0.244
2023-03-11 09:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0,5.89,83.9,0,0.778,1.99,0,0.256,0,0,0.256,3.34,5.01,4.41,0.544,0.256,0,3.72,0,2.27,0.0667,0.272,0,0.317,0,0.100,13.8,0.550,0.0111,0.461,0.100,3.27,0,1,6.96,0.00556,0.200,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,5.41,91.2,0,1.56,3,0,0.256,0,0,0.261,3.34,4.24,5.24,0.989,0.261,0,4.28,0,3.25,0.0722,0.433,0,0.383,0,0.200,15.5,0.994,0.0111,0.428,0.206,3.79,0.00556,1.03,7.93,0,0.100,0.256
2023-03-11 09:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.00555,5.96,139,0,0.766,2.33,0,0.255,0,0,0.255,3.33,4.93,4.45,0.533,0.255,0.00555,3.79,0,2.62,0.0722,0.389,0,0.317,0.00555,0.1000,15.3,0.544,0.0111,11.6,0.1000,3.19,0,1.29,7.09,0,0.200,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555,0.200,5.45,108,0,1.53,3.14,0,0.255,0,0,0.255,3.33,4.17,5.22,0.978,0.255,0,4.40,0,3.36,0.0667,0.567,0,0.383,0,0.206,17.8,0.994,0.0111,12.6,0.200,3.71,0,1.32,8.04,0,0.1000,0.255
2023-03-11 09:42:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0,27.1,182,0,0.761,2.42,0,0.244,0.00556,0,0.244,3.33,4.91,9.02,0.556,0.233,0,3.82,0,2.71,0.0667,0.328,0,0.317,0,0.100,15,0.533,0,8.02,0.100,3.16,0,1.22,7.06,0,0.200,0.350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,25.1,164,0,1.52,3.20,0,0.244,0,0,0.244,3.37,4.17,10.1,0.994,0.233,0,4.42,0,3.42,0.0667,0.506,0,0.383,0.00556,0.200,16.7,0.983,0.00556,8.38,0.200,3.65,0,1.24,7.99,0,0.106,0.233
2023-03-11 09:44:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0,35.5,223,0,0.750,2.71,0,0.233,0,0,0.222,3.33,4.83,12.4,0.556,0.233,0,3.81,0,2.69,0.0611,0.656,0,0.317,0.433,1.73,16.8,0.533,0.267,6.02,0.100,3.21,0,1.66,7.22,0,0.200,0.350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,33.0,178,0,1.50,4.01,0,0.233,0,0,0.222,3.37,4.11,13.3,1,0.233,0,4.39,0,3.69,0.0611,0.989,0,0.389,0.333,2.25,19.3,0.983,0.511,6.19,0.200,3.70,0,1.82,8.20,0,0.100,0.239
2023-03-11 09:46:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0,6.01,104,0,0.767,2.54,0,0.233,0,0,0.233,3.33,4.94,4.44,0.556,0.244,0,3.76,0,2.59,0.0611,0.322,0,0.317,0,0.100,18.5,0.528,0,3.14,0.100,3.17,0,1.19,7,0,0.206,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,5.48,102,0,1.53,2.92,0,0.233,0,0.00556,0.233,3.35,4.17,5.31,0.989,0.244,0,4.33,0,3.26,0.0611,0.500,0,0.383,0,0.200,21.0,0.978,0,3.50,0.200,3.68,0,1.19,7.94,0,0.100,0.244
2023-03-11 09:48:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0,6.01,85.9,0,0.756,2.68,0,0.267,0,0,0.256,3.33,4.86,4.45,0.550,0.256,0,3.74,0,2.43,0.0611,0.267,0,0.317,0.0333,0.100,15.7,0.539,0.0111,0.483,0.100,3.16,0,1.05,6.92,0,0.200,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,5.48,94.9,0,1.51,2.64,0,0.267,0,0,0.256,3.34,4.12,5.26,0.989,0.256,0,4.33,0,3.26,0.0611,0.444,0,0.383,0.0389,0.200,17.9,0.989,0.0111,0.456,0.200,3.67,0,1.06,7.87,0,0.100,0.256
