,Time,Type,Response,Code
0,2023-03-11 18:37:01.103268,Public,0.019944,200
0,2023-03-11 18:37:01.224622,Public,0.017844,200
0,2023-03-11 18:37:01.343778,Public,0.016231,200
0,2023-03-11 18:37:01.464203,Public,0.017939,200
0,2023-03-11 18:37:01.583335,Public,0.016716,200
0,2023-03-11 18:37:01.701624,Public,0.015969,200
0,2023-03-11 18:37:01.822969,Public,0.018923,200
0,2023-03-11 18:37:01.941240,Public,0.015319,200
0,2023-03-11 18:37:02.056306,Public,0.012708,200
0,2023-03-11 18:37:02.172846,Public,0.014226,200
0,2023-03-11 18:37:02.292891,Public,0.017555,200
0,2023-03-11 18:37:02.412276,Public,0.017081,200
0,2023-03-11 18:37:02.529528,Public,0.014953,200
0,2023-03-11 18:37:02.648545,Public,0.016739,200
0,2023-03-11 18:37:02.767900,Public,0.016884,200
0,2023-03-11 18:37:02.887519,Public,0.01724,200
0,2023-03-11 18:37:03.005736,Public,0.015322,200
0,2023-03-11 18:37:03.123979,Public,0.01536,200
0,2023-03-11 18:37:03.243332,Public,0.016981,200
0,2023-03-11 18:37:03.362183,Public,0.016295,200
0,2023-03-11 18:37:03.480043,Public,0.015531,200
0,2023-03-11 18:37:03.597603,Public,0.014968,200
0,2023-03-11 18:37:03.716323,Public,0.016302,200
0,2023-03-11 18:37:03.835564,Public,0.016879,200
0,2023-03-11 18:37:03.953005,Public,0.015111,200
0,2023-03-11 18:37:04.071297,Public,0.015917,200
0,2023-03-11 18:37:04.192516,Public,0.01861,200
0,2023-03-11 18:37:04.311948,Public,0.016926,200
0,2023-03-11 18:37:04.430969,Public,0.016717,200
0,2023-03-11 18:37:04.549166,Public,0.015802,200
0,2023-03-11 18:37:04.668941,Public,0.017406,200
0,2023-03-11 18:37:04.789206,Public,0.017822,200
0,2023-03-11 18:37:04.908043,Public,0.01641,200
0,2023-03-11 18:37:05.025544,Public,0.015125,200
0,2023-03-11 18:37:05.144598,Public,0.016358,200
0,2023-03-11 18:37:05.264098,Public,0.017064,200
0,2023-03-11 18:37:05.383122,Public,0.016199,200
0,2023-03-11 18:37:05.502926,Public,0.01742,200
0,2023-03-11 18:37:05.620709,Public,0.015404,200
0,2023-03-11 18:37:05.739260,Public,0.016209,200
0,2023-03-11 18:37:05.860150,Public,0.01847,200
0,2023-03-11 18:37:05.979562,Public,0.016853,200
0,2023-03-11 18:37:06.098255,Public,0.016248,200
0,2023-03-11 18:37:06.215105,Public,0.014295,200
0,2023-03-11 18:37:06.333832,Public,0.016294,200
0,2023-03-11 18:37:06.452963,Public,0.016741,200
0,2023-03-11 18:37:06.572251,Public,0.016987,200
0,2023-03-11 18:37:06.684463,Public,0.009833,200
0,2023-03-11 18:37:06.803749,Public,0.016799,200
0,2023-03-11 18:37:06.920945,Public,0.014782,200
0,2023-03-11 18:37:07.040596,Public,0.017307,200
0,2023-03-11 18:37:07.160004,Public,0.016547,200
0,2023-03-11 18:37:07.278499,Public,0.015988,200
0,2023-03-11 18:37:07.395906,Public,0.014994,200
0,2023-03-11 18:37:07.514422,Public,0.015991,200
0,2023-03-11 18:37:07.634812,Public,0.017619,200
0,2023-03-11 18:37:07.753808,Public,0.016675,200
0,2023-03-11 18:37:07.870912,Public,0.014681,200
0,2023-03-11 18:37:07.990289,Public,0.017014,200
0,2023-03-11 18:37:08.109837,Public,0.017113,200
0,2023-03-11 18:37:08.229085,Public,0.0169,200
0,2023-03-11 18:37:08.346100,Public,0.014682,200
0,2023-03-11 18:37:08.465529,Public,0.017097,200
0,2023-03-11 18:37:08.585228,Public,0.017246,200
0,2023-03-11 18:37:08.705073,Public,0.017412,200
0,2023-03-11 18:37:08.822500,Public,0.015124,200
0,2023-03-11 18:37:08.940511,Public,0.015666,200
0,2023-03-11 18:37:09.058954,Public,0.016117,200
0,2023-03-11 18:37:09.178275,Public,0.016997,200
0,2023-03-11 18:37:09.295653,Public,0.014817,200
0,2023-03-11 18:37:09.413946,Public,0.015964,200
0,2023-03-11 18:37:09.530365,Public,0.013953,200
0,2023-03-11 18:37:09.648505,Public,0.015816,200
0,2023-03-11 18:37:09.767438,Public,0.01659,200
0,2023-03-11 18:37:09.886124,Public,0.016268,200
0,2023-03-11 18:37:10.003243,Public,0.014714,200
0,2023-03-11 18:37:10.121914,Public,0.016284,200
0,2023-03-11 18:37:10.240970,Public,0.016582,200
0,2023-03-11 18:37:10.358186,Public,0.014845,200
0,2023-03-11 18:37:10.477536,Public,0.016979,200
0,2023-03-11 18:37:10.596474,Public,0.016577,200
0,2023-03-11 18:37:10.715999,Public,0.017217,200
0,2023-03-11 18:37:10.833290,Public,0.014823,200
0,2023-03-11 18:37:10.952596,Public,0.016922,200
0,2023-03-11 18:37:11.074647,Public,0.019651,200
0,2023-03-11 18:37:11.193080,Public,0.016057,200
0,2023-03-11 18:37:11.311537,Public,0.016101,200
0,2023-03-11 18:37:11.428946,Public,0.015069,200
0,2023-03-11 18:37:11.548838,Public,0.017494,200
0,2023-03-11 18:37:11.668631,Public,0.017409,200
0,2023-03-11 18:37:11.788501,Public,0.017341,200
0,2023-03-11 18:37:11.906050,Public,0.015163,200
0,2023-03-11 18:37:12.024102,Public,0.015689,200
0,2023-03-11 18:37:12.143519,Public,0.017061,200
0,2023-03-11 18:37:12.263654,Public,0.017605,200
0,2023-03-11 18:37:12.383028,Public,0.017001,200
0,2023-03-11 18:37:12.496178,Public,0.010705,200
0,2023-03-11 18:37:12.615389,Public,0.016737,200
0,2023-03-11 18:37:12.733203,Public,0.015435,200
0,2023-03-11 18:37:12.849292,Public,0.013777,200
0,2023-03-11 18:37:12.967356,Public,0.015606,200
0,2023-03-11 18:37:13.084507,Public,0.014696,200
0,2023-03-11 18:37:13.202860,Public,0.01599,200
0,2023-03-11 18:37:13.321259,Public,0.015961,200
0,2023-03-11 18:37:13.438666,Public,0.015009,200
0,2023-03-11 18:37:13.557785,Public,0.016533,200
0,2023-03-11 18:37:13.676801,Public,0.016643,200
0,2023-03-11 18:37:13.794284,Public,0.015126,200
0,2023-03-11 18:37:13.913652,Public,0.016934,200
0,2023-03-11 18:37:14.033437,Public,0.01723,200
0,2023-03-11 18:37:14.153094,Public,0.016901,200
0,2023-03-11 18:37:14.272297,Public,0.016819,200
0,2023-03-11 18:37:14.389941,Public,0.015304,200
0,2023-03-11 18:37:14.508946,Public,0.016599,200
0,2023-03-11 18:37:14.628370,Public,0.017041,200
0,2023-03-11 18:37:14.746795,Public,0.016048,200
0,2023-03-11 18:37:14.865054,Public,0.015887,200
0,2023-03-11 18:37:14.984064,Public,0.016609,200
0,2023-03-11 18:37:15.102506,Public,0.015878,200
0,2023-03-11 18:37:15.219908,Public,0.015086,200
0,2023-03-11 18:37:15.338657,Public,0.016331,200
0,2023-03-11 18:37:15.455296,Public,0.014043,200
0,2023-03-11 18:37:15.572597,Public,0.014902,200
0,2023-03-11 18:37:15.691822,Public,0.016843,200
0,2023-03-11 18:37:15.811263,Public,0.016913,200
0,2023-03-11 18:37:15.928490,Public,0.014887,200
0,2023-03-11 18:37:16.048401,Public,0.017579,200
0,2023-03-11 18:37:16.167689,Public,0.016917,200
0,2023-03-11 18:37:16.287333,Public,0.017243,200
0,2023-03-11 18:37:16.407725,Public,0.017958,200
0,2023-03-11 18:37:16.526484,Public,0.016011,200
0,2023-03-11 18:37:16.646017,Public,0.017049,200
0,2023-03-11 18:37:16.764446,Public,0.015986,200
0,2023-03-11 18:37:16.883718,Public,0.016823,200
0,2023-03-11 18:37:17.002936,Public,0.016864,200
0,2023-03-11 18:37:17.120014,Public,0.014753,200
0,2023-03-11 18:37:17.238675,Public,0.016243,200
0,2023-03-11 18:37:17.357840,Public,0.016591,200
0,2023-03-11 18:37:17.476152,Public,0.015862,200
0,2023-03-11 18:37:17.596227,Public,0.017728,200
0,2023-03-11 18:37:17.717696,Public,0.019019,200
0,2023-03-11 18:37:17.836824,Public,0.015943,200
0,2023-03-11 18:37:17.955431,Public,0.016155,200
0,2023-03-11 18:37:18.074476,Public,0.016735,200
0,2023-03-11 18:37:18.191574,Public,0.01476,200
0,2023-03-11 18:37:18.312137,Public,0.018241,200
0,2023-03-11 18:37:18.427360,Public,0.012817,200
0,2023-03-11 18:37:18.545777,Public,0.015855,200
0,2023-03-11 18:37:18.664658,Public,0.016511,200
0,2023-03-11 18:37:18.783561,Public,0.016479,200
0,2023-03-11 18:37:18.900568,Public,0.014634,200
0,2023-03-11 18:37:19.019945,Public,0.016984,200
0,2023-03-11 18:37:19.138946,Public,0.016502,200
0,2023-03-11 18:37:19.258267,Public,0.016898,200
0,2023-03-11 18:37:19.374927,Public,0.014285,200
0,2023-03-11 18:37:19.495764,Public,0.0184,200
0,2023-03-11 18:37:19.616229,Public,0.018081,200
0,2023-03-11 18:37:19.735196,Public,0.016522,200
0,2023-03-11 18:37:19.853952,Public,0.016473,200
0,2023-03-11 18:37:19.970826,Public,0.014543,200
