"Time","AVG_resident_memory_bytes","MAX_resident_memory_bytes_max","MIN_resident_memory_bytes_min"
2023-03-11 08:30:00,167657472,169041920,165408768
2023-03-11 08:32:00,167780352,168792064,166440960
2023-03-11 08:34:00,170582016,171126784,169865216
2023-03-11 08:36:00,171999232,175161344,169709568
2023-03-11 08:38:00,170883755,175431680,165081088
2023-03-11 08:40:00,167899136,173211648,163971072
2023-03-11 08:42:00,167534592,168316928,166662144
2023-03-11 08:44:00,167182336,170209280,163237888
2023-03-11 08:46:00,166372693,170209280,159956992
2023-03-11 08:48:00,165875712,170479616,161402880
2023-03-11 08:50:00,166628011,170745856,162074624
2023-03-11 08:52:00,165546667,172359680,160526336
2023-03-11 08:54:00,162571605,165642240,160354304
2023-03-11 08:56:00,163046741,164249600,160940032
2023-03-11 08:58:00,165274965,169816064,161517568
2023-03-11 09:00:00,168346965,173711360,164892672
2023-03-11 09:02:00,167611051,170491904,166105088
2023-03-11 09:04:00,169642667,174268416,164237312
2023-03-11 09:06:00,170498731,173342720,167194624
2023-03-11 09:08:00,169409195,174419968,163098624
2023-03-11 09:10:00,170063189,174419968,165261312
2023-03-11 09:12:00,165081088,170778624,158691328
2023-03-11 09:14:00,167160491,168800256,165818368
2023-03-11 09:16:00,169762816,170090496,169586688
2023-03-11 09:18:00,170390869,170663936,170090496
2023-03-11 09:20:00,171829931,173060096,170418176
2023-03-11 09:22:00,169649493,173326336,163610624
2023-03-11 09:24:00,163203755,164229120,161382400
2023-03-11 09:26:00,164173141,166973440,160935936
2023-03-11 09:28:00,166178816,168595456,164585472
2023-03-11 09:30:00,165090645,166686720,164179968
2023-03-11 09:32:00,163479552,168095744,160169984
2023-03-11 09:34:00,169401003,170778624,167546880
2023-03-11 09:36:00,168843947,170684416,167493632
2023-03-11 09:38:00,166494208,170717184,162082816
2023-03-11 09:40:00,167327061,171061248,161538048
2023-03-11 09:42:00,166408192,167739392,165179392
2023-03-11 09:44:00,169934848,171163648,169009152
2023-03-11 09:46:00,171188224,172228608,170631168
2023-03-11 09:48:00,169563477,172789760,164114432
2023-03-11 09:50:00,171189589,172789760,168452096
2023-03-11 09:52:00,171373909,171880448,170881024
2023-03-11 09:54:00,171429888,172707840,169701376
2023-03-11 09:56:00,169413291,172707840,163110912
2023-03-11 09:58:00,170386773,174084096,164655104
2023-03-11 10:00:00,171144533,174084096,166928384
2023-03-11 10:02:00,167230123,175165440,162852864
2023-03-11 10:04:00,168116224,172843008,164319232
2023-03-11 10:06:00,170298027,171499520,169349120
2023-03-11 10:08:00,171106304,172310528,170156032
2023-03-11 10:10:00,167605589,170426368,162639872
2023-03-11 10:12:00,168554496,169750528,167866368
2023-03-11 10:14:00,169596245,169758720,169369600
2023-03-11 10:16:00,169197568,171921408,165629952
2023-03-11 10:18:00,169780565,171106304,168583168
2023-03-11 10:20:00,168405675,171917312,166178816
2023-03-11 10:22:00,168969557,172183552,166256640
