"Time","Cluster","172.16.66.31:9796","172.16.66.32:9796","172.16.66.3:9796"
2023-03-11 08:30:00,5.93,5.85,5.71,6.23
2023-03-11 08:32:00,5.95,5.95,5.70,6.22
2023-03-11 08:34:00,5.94,5.96,5.68,6.19
2023-03-11 08:36:00,5.92,5.87,5.68,6.20
2023-03-11 08:38:00,6.00,6.00,5.68,6.32
2023-03-11 08:40:00,5.99,5.93,5.71,6.33
2023-03-11 08:42:00,5.97,5.89,5.67,6.36
2023-03-11 08:44:00,6.00,5.96,5.67,6.35
2023-03-11 08:46:00,5.95,5.88,5.65,6.31
2023-03-11 08:48:00,6.08,6.02,5.74,6.50
2023-03-11 08:50:00,6.01,5.99,5.72,6.31
2023-03-11 08:52:00,6.00,6.02,5.57,6.41
2023-03-11 08:54:00,6.05,6.09,5.69,6.36
2023-03-11 08:56:00,5.98,5.91,5.70,6.33
2023-03-11 08:58:00,5.98,5.96,5.69,6.30
2023-03-11 09:00:00,5.98,6.00,5.69,6.25
2023-03-11 09:02:00,5.97,5.98,5.68,6.25
2023-03-11 09:04:00,5.97,6.02,5.66,6.23
2023-03-11 09:06:00,5.98,6.03,5.68,6.23
2023-03-11 09:08:00,5.98,6.04,5.68,6.21
2023-03-11 09:10:00,5.98,6.07,5.68,6.20
2023-03-11 09:12:00,6.01,6.04,5.70,6.28
2023-03-11 09:14:00,6.01,6.10,5.69,6.23
2023-03-11 09:16:00,5.98,6.05,5.66,6.22
2023-03-11 09:18:00,5.99,6.04,5.75,6.17
2023-03-11 09:20:00,5.95,6.01,5.69,6.16
2023-03-11 09:22:00,5.96,5.94,5.70,6.22
2023-03-11 09:24:00,6.01,6.17,5.68,6.19
2023-03-11 09:26:00,5.96,6.00,5.68,6.19
2023-03-11 09:28:00,6.01,6.19,5.66,6.19
2023-03-11 09:30:00,5.98,6.04,5.67,6.23
2023-03-11 09:32:00,6.02,6.02,5.70,6.35
2023-03-11 09:34:00,5.99,6.07,5.69,6.22
2023-03-11 09:36:00,6.00,6.09,5.69,6.21
2023-03-11 09:38:00,5.98,6.02,5.56,6.35
2023-03-11 09:40:00,6.03,6.12,5.70,6.27
2023-03-11 09:42:00,5.99,6.02,5.66,6.28
2023-03-11 09:44:00,5.96,6.00,5.65,6.22
2023-03-11 09:46:00,6.03,6.18,5.68,6.23
2023-03-11 09:48:00,5.96,5.99,5.69,6.19
2023-03-11 09:50:00,6.01,6.13,5.69,6.21
2023-03-11 09:52:00,6.00,6.00,5.72,6.27
2023-03-11 09:54:00,5.95,6.01,5.67,6.18
2023-03-11 09:56:00,5.97,6.05,5.68,6.20
2023-03-11 09:58:00,5.94,5.94,5.68,6.19
2023-03-11 10:00:00,6.00,6.06,5.69,6.24
2023-03-11 10:02:00,6.02,6.09,5.68,6.30
2023-03-11 10:04:00,6.00,6.03,5.69,6.26
2023-03-11 10:06:00,6.01,6.10,5.70,6.22
2023-03-11 10:08:00,6.00,6.03,5.67,6.31
2023-03-11 10:10:00,6.01,6.04,5.70,6.30
2023-03-11 10:12:00,6.03,6.10,5.69,6.32
2023-03-11 10:14:00,5.96,5.97,5.68,6.22
2023-03-11 10:16:00,6.00,6.10,5.68,6.22
2023-03-11 10:18:00,6.04,6.09,5.70,6.35
2023-03-11 10:20:00,6.05,6.14,5.67,6.33
2023-03-11 10:22:00,6.05,6.09,5.70,6.36
2023-03-11 10:24:00,5.99,6.03,5.68,6.25
2023-03-11 10:26:00,6.04,6.20,5.67,6.24
2023-03-11 10:28:00,6.01,5.97,5.69,6.39
2023-03-11 10:30:00,6.13,6.26,5.70,6.44
2023-03-11 10:32:00,6.12,6.29,5.71,6.36
2023-03-11 10:34:00,6.00,6.09,5.67,6.24
2023-03-11 10:36:00,6.06,6.22,5.71,6.26
2023-03-11 10:38:00,5.98,6.02,5.70,6.23
2023-03-11 10:40:00,6.00,6.04,5.71,6.26
2023-03-11 10:42:00,6.03,6.10,5.68,6.31
2023-03-11 10:44:00,6.02,6.07,5.69,6.28
2023-03-11 10:46:00,5.99,6.05,5.69,6.24
2023-03-11 10:48:00,6.01,6.00,5.73,6.31
2023-03-11 10:50:00,6.05,6.19,5.69,6.27
2023-03-11 10:52:00,6.05,6.09,5.71,6.35
2023-03-11 10:54:00,5.98,5.98,5.70,6.26
2023-03-11 10:56:00,6.01,6.07,5.69,6.27
2023-03-11 10:58:00,6.01,6.09,5.69,6.26
2023-03-11 11:00:00,6.00,6.02,5.71,6.27
2023-03-11 11:02:00,6.03,6.08,5.71,6.30
2023-03-11 11:04:00,6.01,6.02,5.69,6.32
2023-03-11 11:06:00,6.11,6.20,5.76,6.36
2023-03-11 11:08:00,5.99,5.96,5.68,6.33
2023-03-11 11:10:00,5.98,5.95,5.68,6.30
2023-03-11 11:12:00,6.03,5.99,5.70,6.42
2023-03-11 11:14:00,5.98,5.87,5.70,6.37
2023-03-11 11:16:00,6.02,6.00,5.68,6.38
2023-03-11 11:18:00,5.95,5.89,5.68,6.29
2023-03-11 11:20:00,6.00,6.00,5.69,6.30
2023-03-11 11:22:00,6.04,6.07,5.69,6.36
2023-03-11 11:24:00,6.03,6.13,5.68,6.28
2023-03-11 11:26:00,5.99,6.00,5.70,6.27
2023-03-11 11:28:00,6.03,6.03,5.68,6.37
2023-03-11 11:30:00,5.98,5.99,5.70,6.25
2023-03-11 11:32:00,6.01,6.02,5.70,6.32
2023-03-11 11:34:00,6.01,6.00,5.72,6.31
2023-03-11 11:36:00,6.06,6.15,5.75,6.27
2023-03-11 11:38:00,5.97,6.00,5.68,6.23
2023-03-11 11:40:00,6.01,6.07,5.72,6.24
2023-03-11 11:42:00,6.01,5.98,5.70,6.34
2023-03-11 11:44:00,5.99,6.00,5.70,6.26
2023-03-11 11:46:00,6.00,6.04,5.69,6.28
2023-03-11 11:48:00,5.96,5.95,5.69,6.25
2023-03-11 11:50:00,6.02,6.11,5.68,6.26
2023-03-11 11:52:00,6.05,6.09,5.71,6.35
2023-03-11 11:54:00,6.00,5.93,5.70,6.36
2023-03-11 11:56:00,6.02,6.02,5.68,6.37
2023-03-11 11:58:00,6.00,5.97,5.68,6.35
2023-03-11 12:00:00,6.03,5.98,5.70,6.41
