"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 08:28:00,1360,1340,4232,1565,151,2870,0,4523,76.8,581
2023-03-11 08:32:00,1367,1332,5387,2429,163,2913,0,5233,76.3,1829
2023-03-11 08:36:00,1377,1297,5492,2062,149,3031,0,5086,77.9,571
2023-03-11 08:40:00,1360,1345,4975,2124,153,2827,0,4677,74.4,569
2023-03-11 08:44:00,1418,1395,4981,1653,161,2840,0,4975,69.9,554
2023-03-11 08:48:00,1381,1370,13163,1827,253,2876,0.216,14010,85.1,580
2023-03-11 08:52:00,1354,1335,9808,2743,158,2863,0,10079,77.6,4934
2023-03-11 08:56:00,1357,1335,4820,1895,165,2980,0,4399,74.0,555
2023-03-11 09:00:00,1761,1360,4569,1519,153,2761,0,4393,70.8,552
2023-03-11 09:04:00,1346,1410,4516,1640,166,2908,0,4478,71.4,562
2023-03-11 09:08:00,1354,1337,4622,1580,160,3082,0,4289,71.5,562
2023-03-11 09:12:00,1354,1344,8537,2802,153,3048,0,8939,68.6,4402
2023-03-11 09:16:00,1396,1327,4248,2222,158,2869,0,4214,76.7,576
2023-03-11 09:20:00,1352,1315,4176,1522,154,3152,0,4233,74.2,568
2023-03-11 09:24:00,1363,1389,4923,1631,154,3143,0,4598,76.4,558
2023-03-11 09:28:00,1391,1317,4921,2375,147,2844,0,4699,73.4,579
2023-03-11 09:32:00,1373,1311,7504,1883,161,2745,0,7277,72.9,2392
2023-03-11 09:36:00,1381,1349,4802,1790,143,2960,0,4579,72.9,562
2023-03-11 09:40:00,3184,1317,6137,1598,163,3025,0,5976,71.8,558
2023-03-11 09:44:00,1462,1388,4830,1562,158,2960,0,4903,69.0,554
2023-03-11 09:48:00,1392,1319,4927,2942,155,3086,0,4962,72.6,569
2023-03-11 09:52:00,1390,1346,5432,2087,141,3283,0,5067,71.1,568
2023-03-11 09:56:00,1356,1350,4258,1490,168,2869,0,4213,74.7,570
2023-03-11 10:00:00,1681,1388,4487,1573,153,3192,0,4221,72.5,565
2023-03-11 10:04:00,2939,1389,5530,2331,154,2995,0.231,5890,75.3,553
2023-03-11 10:08:00,1345,1322,4220,2488,151,3085,0,4085,74.1,554
2023-03-11 10:12:00,1372,1333,4808,2064,149,2937,0,4643,70.5,577
2023-03-11 10:16:00,1378,1308,4476,1456,154,2964,0,4360,72.5,582
2023-03-11 10:20:00,1383,1313,4569,1484,157,2858,0,4333,74.7,554
2023-03-11 10:24:00,1411,1395,5602,2883,150,3143,0,5480,75.2,1672
2023-03-11 10:28:00,1371,1324,4939,1921,154,3039,0,4561,76.6,586
2023-03-11 10:32:00,1394,1328,4976,1688,161,2986,0,4574,72.8,564
2023-03-11 10:36:00,1375,1341,4597,1512,156,2913,0,4510,70.7,572
2023-03-11 10:40:00,1379,1334,4485,1462,154,3143,0,4349,72.5,561
2023-03-11 10:44:00,1324,1432,6256,2818,142,3081,0.211,6590,73.9,2853
2023-03-11 10:48:00,3188,1336,5718,2250,156,2979,0,5990,72.2,573
2023-03-11 10:52:00,1440,1323,4450,1540,148,3034,0,4236,73.2,549
2023-03-11 10:56:00,1364,1338,3957,1509,158,2942,0,4351,76.7,566
2023-03-11 11:00:00,1702,1366,4572,2249,152,3049,0,4575,74.2,575
2023-03-11 11:04:00,1353,1403,7327,1837,143,3084,0,7520,75.2,4601
2023-03-11 11:08:00,1359,1318,4260,2259,146,2866,0.222,4112,73.4,580
2023-03-11 11:12:00,3311,1326,5579,1541,165,3005,0.208,5781,74.0,561
2023-03-11 11:16:00,1364,1312,4206,2004,154,3040,0,4148,71.0,574
2023-03-11 11:20:00,1374,1313,4674,2641,155,3026,0,4792,74.1,563
2023-03-11 11:24:00,1375,1425,9450,2065,163,3084,0,9629,70.5,4502
2023-03-11 11:28:00,1348,1320,4850,1531,151,2819,0,4563,69.9,559
2023-03-11 11:32:00,1363,1355,4805,1515,171,3102,0,4441,72.2,583
2023-03-11 11:36:00,1381,1335,4790,1873,155,3096,0,4710,79.1,569
2023-03-11 11:40:00,1385,1320,5000,2409,146,3000,0,4561,72.3,562
2023-03-11 11:44:00,1391,1389,9582,2222,163,3015,0,9168,73.9,4566
2023-03-11 11:48:00,1395,1307,4332,1603,155,2993,0,4308,70.1,567
2023-03-11 11:52:00,1391,1314,4408,1435,162,3113,0,4313,72.3,553
2023-03-11 11:56:00,1363,1313,4738,2631,142,2887,0,4472,74.7,571
2023-03-11 12:00:00,1790,1370,4243,1843,145,3167,0,4284,71.4,563
2023-03-11 12:04:00,1349,1388,7097,1785,143,3069,0,7885,75.5,3058
2023-03-11 12:08:00,1352,1320,4075,1562,160,3022,0,4165,72.9,574
2023-03-11 12:12:00,1358,1315,4591,1430,148,2913,0,4182,71.8,579
2023-03-11 12:16:00,1343,1330,5034,2861,156,2869,0,4706,74.5,554
2023-03-11 12:20:00,1377,1335,4850,2265,143,3032,0,4685,73.6,564
2023-03-11 12:24:00,1364,1403,6116,1628,151,2961,0,6694,72.3,547
2023-03-11 12:28:00,1369,1329,4800,1534,155,3131,0,4574,77.0,555
2023-03-11 12:32:00,1349,1333,5053,2139,160,2811,0,4857,74.1,576
2023-03-11 12:36:00,1345,1337,4604,2381,159,2732,0,4609,70.9,572
2023-03-11 12:40:00,1385,1299,4722,2132,152,2901,0,4629,74.8,576
2023-03-11 12:44:00,1382,1394,5002,1615,142,2916,0,4853,71.2,561
2023-03-11 12:48:00,1355,1336,4542,1525,148,2886,0,4276,69.1,579
2023-03-11 12:52:00,1361,1338,4800,2841,156,2757,0,4758,73.6,565
2023-03-11 12:56:00,1392,1319,4246,1938,141,3064,0,4121,70.1,567
2023-03-11 13:00:00,1633,1320,4152,1670,155,3053,0,4205,72.0,573
2023-03-11 13:04:00,1375,1434,4473,1495,159,3168,0,4451,72.8,562
2023-03-11 13:08:00,1412,1319,4366,1497,153,2997,0,4284,71.9,560
2023-03-11 13:12:00,1395,1320,5012,2769,141,2925,0,4663,77.3,562
2023-03-11 13:16:00,1355,1317,4856,2240,153,3103,0,5161,69.7,1242
2023-03-11 13:20:00,1376,1317,4716,1517,168,2969,0,4436,69.9,568
2023-03-11 13:24:00,1343,1385,4905,1550,136,2852,0,4748,70.6,559
2023-03-11 13:28:00,1369,1344,5031,2445,174,3058,0,4972,73.2,574
2023-03-11 13:32:00,1362,1315,4835,1909,157,2774,0,4574,77.4,566
2023-03-11 13:36:00,1397,1326,6350,1733,150,2958,0,6292,75.1,3160
2023-03-11 13:40:00,1328,1307,4206,1503,151,3006,0.225,4159,72.6,584
2023-03-11 13:44:00,1356,1384,4768,1605,150,3093,0,4696,72.9,553
2023-03-11 13:48:00,1370,1305,4421,2802,167,2841,0,4443,75.3,568
2023-03-11 13:52:00,1355,1343,4236,1859,158,3106,0,4354,73.5,569
2023-03-11 13:56:00,1368,1318,7801,1556,155,3028,0,7873,72.9,4928
2023-03-11 14:00:00,1731,1388,4465,1513,151,2690,0,4395,78.9,546
2023-03-11 14:04:00,1351,1430,4867,2222,148,2805,0,4805,74.1,569
2023-03-11 14:08:00,1378,1319,4842,2709,167,2841,0,4735,71.5,564
2023-03-11 14:12:00,1363,1331,5084,2116,147,2760,0,4758,73.5,559
2023-03-11 14:16:00,1368,1302,8872,1574,154,3063,0,9126,69.8,5294
2023-03-11 14:20:00,1393,1306,4670,1442,144,2859,0,4418,78.0,556
2023-03-11 14:24:00,1423,1386,5211,2370,152,2885,0,4860,71.7,551
2023-03-11 14:28:00,1369,1336,4734,2014,144,2963,0,4513,75.3,585
2023-03-11 14:32:00,1351,1327,4476,1490,151,2912,0,4451,74.1,580
2023-03-11 14:36:00,1396,1328,8419,1446,157,2777,0,9265,74.1,4700
2023-03-11 14:40:00,1348,1338,4341,1511,151,2935,0,4271,72.1,567
2023-03-11 14:44:00,1398,1360,5123,2779,159,3008,0,4828,72.2,562
2023-03-11 14:48:00,1376,1347,4221,2247,141,3029,0,4213,68.1,577
2023-03-11 14:52:00,1372,1354,4243,1466,145,3087,0,4111,72.9,567
2023-03-11 14:56:00,1353,1352,7352,1535,145,3027,0,7846,74.1,2752
2023-03-11 15:00:00,1693,1295,4991,2255,159,2931,0,4921,70.3,566
2023-03-11 15:04:00,1356,1426,4810,2050,156,3145,0,4404,73.0,568
2023-03-11 15:08:00,1361,1339,4901,2187,152,2860,0,4773,76.2,562
2023-03-11 15:12:00,1379,1329,4753,1431,155,3202,0.513,4688,71.8,553
2023-03-11 15:16:00,1349,1333,6716,1503,161,2852,0,6421,73.8,1988
2023-03-11 15:20:00,1434,1323,4861,2633,155,3015,0,4862,70.8,568
2023-03-11 15:24:00,1423,1397,4826,1935,148,3248,0,4660,73.3,549
2023-03-11 15:28:00,1365,1336,4373,1617,165,3037,0,4267,71.1,576
2023-03-11 15:32:00,1343,1341,4779,1488,155,3081,0,4374,72.5,548
2023-03-11 15:36:00,1412,1339,5081,1566,147,3064,0,4597,73.6,1133
2023-03-11 15:40:00,1379,1292,4332,1901,149,2875,0,4383,75.5,552
2023-03-11 15:44:00,1370,1394,4360,2386,154,3002,0,4574,71.9,564
2023-03-11 15:48:00,1385,1312,4138,1485,156,2906,0,4148,72.8,699
2023-03-11 15:52:00,1347,1321,4201,1432,150,2831,0,4560,72.7,550
2023-03-11 15:56:00,1382,1294,4919,2219,160,3062,0,4687,69.6,562
2023-03-11 16:00:00,3450,1396,6325,1969,152,2755,0,6396,71.5,574
2023-03-11 16:04:00,1395,1409,4643,1820,162,3068,0,4757,71.2,572
2023-03-11 16:08:00,1380,1345,4696,1555,144,2855,0,4578,71.7,756
2023-03-11 16:12:00,1375,1343,4854,1469,148,2958,0,4552,70.3,572
2023-03-11 16:16:00,1368,1314,4770,2536,151,2947,0,4764,77.2,554
2023-03-11 16:20:00,1378,1315,4848,2280,157,2919,0,4458,73.4,555
2023-03-11 16:24:00,1326,1427,4811,1604,156,2758,0,4382,75.8,569
