"Time","172.16.66.31:10250","172.16.66.32:10250","172.16.66.3:10250"
2023-03-11 08:28:00,0.0692,0.0766,0.364
2023-03-11 08:32:00,0.0690,0.0765,0.394
2023-03-11 08:36:00,0.0675,0.0775,0.367
2023-03-11 08:40:00,0.0683,0.0757,0.367
2023-03-11 08:44:00,0.0693,0.0764,0.354
2023-03-11 08:48:00,0.0699,0.0756,0.385
2023-03-11 08:52:00,0.0694,0.0761,0.375
2023-03-11 08:56:00,0.0677,0.0768,0.363
2023-03-11 09:00:00,0.0683,0.0770,0.361
2023-03-11 09:04:00,0.0692,0.0748,0.361
2023-03-11 09:08:00,0.0682,0.0756,0.358
2023-03-11 09:12:00,0.0696,0.0769,0.346
2023-03-11 09:16:00,0.0682,0.0762,0.356
2023-03-11 09:20:00,0.0695,0.0770,0.363
2023-03-11 09:24:00,0.0690,0.0774,0.360
2023-03-11 09:28:00,0.0675,0.0781,0.363
2023-03-11 09:32:00,0.0667,0.0755,0.352
2023-03-11 09:36:00,0.0669,0.0773,0.355
2023-03-11 09:40:00,0.0693,0.0775,0.355
2023-03-11 09:44:00,0.0685,0.0760,0.366
2023-03-11 09:48:00,0.0688,0.0772,0.365
2023-03-11 09:52:00,0.0677,0.0753,0.354
2023-03-11 09:56:00,0.0675,0.0774,0.357
2023-03-11 10:00:00,0.0680,0.0764,0.358
2023-03-11 10:04:00,0.0679,0.0769,0.359
2023-03-11 10:08:00,0.0684,0.0774,0.353
2023-03-11 10:12:00,0.0680,0.0761,0.344
2023-03-11 10:16:00,0.0672,0.0772,0.356
2023-03-11 10:20:00,0.0692,0.0755,0.360
2023-03-11 10:24:00,0.0686,0.0753,0.359
2023-03-11 10:28:00,0.0679,0.0761,0.354
2023-03-11 10:32:00,0.0669,0.0751,0.347
2023-03-11 10:36:00,0.0689,0.0754,0.353
2023-03-11 10:40:00,0.0681,0.0762,0.365
2023-03-11 10:44:00,0.0679,0.0771,0.355
2023-03-11 10:48:00,0.0682,0.0752,0.364
2023-03-11 10:52:00,0.0679,0.0757,0.348
2023-03-11 10:56:00,0.0684,0.0767,0.354
2023-03-11 11:00:00,0.0676,0.0770,0.367
2023-03-11 11:04:00,0.0672,0.0771,0.357
2023-03-11 11:08:00,0.0690,0.0757,0.357
2023-03-11 11:12:00,0.0683,0.0760,0.338
2023-03-11 11:16:00,0.0675,0.0777,0.358
2023-03-11 11:20:00,0.0674,0.0765,0.357
2023-03-11 11:24:00,0.0678,0.0766,0.354
2023-03-11 11:28:00,0.0673,0.0763,0.363
2023-03-11 11:32:00,0.0672,0.0764,0.347
2023-03-11 11:36:00,0.0681,0.0762,0.367
