"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-7bbf9dc945-hn24k","carts-db-ff8647ccb-wgfln","catalogue-6479dbb5bd-8ttc2","catalogue-db-6b55d8cdb7-82wtb","cert-manager-5fdbd97fb5-qp27w","cert-manager-cainjector-7c44879bc4-n7vft","cert-manager-webhook-5db84854c8-pzd4n","cilium-operator-d7fc69fd7-schp9","cilium-pj2c9","cilium-vsfsg","cilium-zbc49","coredns-7b5bbc6644-vg2np","csi-attacher-59db6bb96c-8dsl6","csi-attacher-59db6bb96c-8zdvr","csi-attacher-59db6bb96c-lfwhn","csi-provisioner-6d44d79b88-7bvhx","csi-provisioner-6d44d79b88-k5jk7","csi-provisioner-6d44d79b88-szgqn","csi-resizer-8b789b7d-7vmt2","csi-resizer-8b789b7d-m6snp","csi-resizer-8b789b7d-rh99x","csi-snapshotter-745f585cbb-km4bj","csi-snapshotter-745f585cbb-lqxdj","csi-snapshotter-745f585cbb-mtgsz","deathstar-f694cf746-lkxs5","deathstar-f694cf746-q878d","engine-image-ei-881c42db-hp6bg","engine-image-ei-881c42db-rx472","engine-image-ei-881c42db-wkwlm","fleet-agent-86bcc7466d-vsfz6","fleet-controller-7bbd96b579-qpbfd","front-end-7f5c844b4c-2hc8c","gitjob-5bd78d7cd9-wnj28","grafana-84476dcf4b-ntnnj","hubble-relay-6565cf56c6-nb7kd","hubble-ui-64bd8dcbf5-pbp6l","instance-manager-e-302f192d","instance-manager-e-3219ce03","instance-manager-e-3aea7ce1","instance-manager-r-359364ff","instance-manager-r-a4d81ad5","instance-manager-r-fff2efbe","local-path-provisioner-687d6d7765-5wbpg","longhorn-admission-webhook-6f4d8846df-jb44f","longhorn-admission-webhook-6f4d8846df-jqd7m","longhorn-conversion-webhook-8576fd8f86-btwrc","longhorn-conversion-webhook-8576fd8f86-k2dj8","longhorn-csi-plugin-2l79j","longhorn-csi-plugin-5mmwg","longhorn-csi-plugin-l7vkf","longhorn-driver-deployer-d4dfb64f-x6nmg","longhorn-manager-2z78z","longhorn-manager-8r7dt","longhorn-manager-sbfjj","longhorn-ui-7f8b58b9d9-2zppx","metrics-server-667586758d-pl779","orders-74f65597c5-x4skx","orders-db-795cb4dcd8-jmt9q","payment-c7df5b49-hb6ph","prometheus-7dbb447479-5s4j7","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-4zmf6","pushprox-k3s-server-client-msgv4","pushprox-k3s-server-client-xvzvm","pushprox-k3s-server-proxy-695c9cdf7d-lmwpr","queue-master-9fc44d68d-jgsbc","rabbitmq-6576689cc9-7wl5w","rancher-7c5dbf46fc-lqbjg","rancher-7c5dbf46fc-nfzn2","rancher-7c5dbf46fc-rwfms","rancher-monitoring-grafana-586df56bff-6j6rg","rancher-monitoring-kube-state-metrics-77ddfd789b-drpg6","rancher-monitoring-operator-ff6cfcc76-2kq5c","rancher-monitoring-prometheus-adapter-79d8db9697-h7jqg","rancher-monitoring-prometheus-node-exporter-d975r","rancher-monitoring-prometheus-node-exporter-m2gs2","rancher-monitoring-prometheus-node-exporter-wnvnm","rancher-webhook-577b778f8f-z9l7j","session-db-695f7fd48f-k4wgf","shipping-79c568cddc-zlkl2","svclb-traefik-72794919-hvv9m","svclb-traefik-72794919-prhlr","svclb-traefik-72794919-psx6c","tetragon-ktdnt","tetragon-mnsj9","tetragon-zthfl","tiefighter","traefik-64b96ccbcd-lnkx4","ubuntu","user-79dddf5cc9-cn45h","user-db-b8dfb847c-fnvpt","xwing"
2023-03-11 08:30:00,209,39.8,19,290,0,758,421,154,135032,92295,138802,122076,394,128,131,446,447,125,129,126,129,454,126,122,461,0,0,0.233,0.233,0,5508,4825,429,2954,103,89.2,0,65.5,63.9,68.6,65.3,67.7,64.0,4.16,2386,2332,213,211,0,0,0.233,0,2148,2280,2246,0.233,1982,38.5,19,308,64860,39261,118000,114254,135409,15884,3.85,4.83,18229,9710,9726,168,1921,26465,16601,132051,114074,121363,2312,0.360,0.233,0.233,0,0,117485,113288,140754,0.233,529,0,391,139,0
2023-03-11 08:32:00,209,39.8,19,290,0,758,421,154,135032,92295,138802,122076,394,128,131,446,447,125,129,126,129,454,126,122,461,0,0,0.233,0.233,0,5508,4825,429,2954,103,89.2,0,65.5,63.9,68.6,65.3,67.7,64.0,4.16,2386,2332,213,211,0,0,0.233,0,2148,2280,2246,0.233,1982,38.5,19,308,64860,39261,118000,114254,135409,15884,3.85,4.83,18229,9710,9726,168,1921,26465,16601,132051,114074,121363,2312,0.360,0.233,0.233,0,0,117485,113288,140754,0.233,529,0,391,139,0
2023-03-11 08:34:00,209,39.8,19,290,0,758,421,154,135032,92295,138802,122076,394,128,131,446,447,125,129,126,129,454,126,122,461,0,0,0.233,0.233,0,5508,4825,429,2954,103,89.2,0,65.5,63.9,68.6,65.3,67.7,64.0,4.16,2386,2332,213,211,0,0,0.233,0,2148,2280,2246,0.233,1982,38.5,19,308,64860,39261,118000,114254,135409,15884,3.85,4.83,18229,9710,9726,168,1921,26465,16601,132051,114074,121363,2312,0.360,0.233,0.233,0,0,117485,113288,140754,0.233,529,0,391,139,0
2023-03-11 08:36:00,229,335,213,418,37.6,233,170,163,181491,155923,176158,102423,413,114,117,453,461,115,115,116,113,455,125,128,474,0,0,0,0,0,4495,4457,1233,2541,78.5,87.2,0,63.1,68.8,66.1,66.3,63.0,67.9,4.58,1806,1790,34.6,35.2,0,0,0,0,1837,1793,1806,0,1832,38.5,18.4,293,68430,38697,106631,134125,178771,15904,4.46,3.80,13685,7224,7341,99.5,1625,299,20421,176874,133273,103419,2043,34.9,0,0,0.233,0,107298,134016,172431,0,13191,0,435,180,0
2023-03-11 08:38:00,229,335,213,418,37.6,233,170,163,181491,155923,176158,102423,413,114,117,453,461,115,115,116,113,455,125,128,474,0,0,0,0,0,4495,4457,1233,2541,78.5,87.2,0,63.1,68.8,66.1,66.3,63.0,67.9,4.58,1806,1790,34.6,35.2,0,0,0,0,1837,1793,1806,0,1832,38.5,18.4,293,68430,38697,106631,134125,178771,15904,4.46,3.80,13685,7224,7341,99.5,1625,299,20421,176874,133273,103419,2043,34.9,0,0,0.233,0,107298,134016,172431,0,13191,0,435,180,0
2023-03-11 08:40:00,207,38.5,18.4,299,0,212,161,149,126022,108524,131635,113034,386,131,127,439,425,125,125,122,133,431,125,128,444,0,0,0,0,0,17900,4426,412,2575,105,87.3,0,69.4,64.1,63.0,67.0,65.7,65.3,4.36,1781,1829,34.3,35.0,0,0,0,0,1834,1860,1836,0,1936,38.5,19,305,64118,38593,113040,107066,132820,15894,3.67,5.29,13290,6643,7059,5923,1614,298,21885,129262,109325,114455,2029,0.360,0,0,0,0,114341,108483,137310,0,173,0.233,407,140,0
2023-03-11 08:42:00,207,38.5,18.4,299,0,212,161,149,126022,108524,131635,113034,386,131,127,439,425,125,125,122,133,431,125,128,444,0,0,0,0,0,17900,4426,412,2575,105,87.3,0,69.4,64.1,63.0,67.0,65.7,65.3,4.36,1781,1829,34.3,35.0,0,0,0,0,1834,1860,1836,0,1936,38.5,19,305,64118,38593,113040,107066,132820,15894,3.67,5.29,13290,6643,7059,5923,1614,298,21885,129262,109325,114455,2029,0.360,0,0,0,0,114341,108483,137310,0,173,0.233,407,140,0
2023-03-11 08:44:00,207,38.5,18.4,299,0,212,161,149,126022,108524,131635,113034,386,131,127,439,425,125,125,122,133,431,125,128,444,0,0,0,0,0,17900,4426,412,2575,105,87.3,0,69.4,64.1,63.0,67.0,65.7,65.3,4.36,1781,1829,34.3,35.0,0,0,0,0,1834,1860,1836,0,1936,38.5,19,305,64118,38593,113040,107066,132820,15894,3.67,5.29,13290,6643,7059,5923,1614,298,21885,129262,109325,114455,2029,0.360,0,0,0,0,114341,108483,137310,0,173,0.233,407,140,0
2023-03-11 08:46:00,217,389,214,424,37.2,226,160,154,179267,138453,180015,97170,401,121,128,460,470,122,122,129,119,463,123,122,475,0,0,0,0,0,4362,4571,1213,2487,76.8,84.1,0,64.6,68.1,66.1,66.3,67.4,67.6,5.65,1783,1726,32.9,31.1,0,0,0,0,1832,1815,1741,0,1802,38.5,19,295,66972,38860,109614,140334,175755,16604,4.32,4.03,14310,7177,6826,106,1703,292,17870,178131,117032,100765,2023,30.9,0,0,0,0,95865,139932,173165,0,13148,0,408,145,0
2023-03-11 08:48:00,217,389,214,424,37.2,226,160,154,179267,138453,180015,97170,401,121,128,460,470,122,122,129,119,463,123,122,475,0,0,0,0,0,4362,4571,1213,2487,76.8,84.1,0,64.6,68.1,66.1,66.3,67.4,67.6,5.65,1783,1726,32.9,31.1,0,0,0,0,1832,1815,1741,0,1802,38.5,19,295,66972,38860,109614,140334,175755,16604,4.32,4.03,14310,7177,6826,106,1703,292,17870,178131,117032,100765,2023,30.9,0,0,0,0,95865,139932,173165,0,13148,0,408,145,0
