"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-11 08:30:00,1.38,0.940,1.73
2023-03-11 08:32:00,1.55,1.57,1.75
2023-03-11 08:34:00,1.66,2,1.77
2023-03-11 08:36:00,1.94,2.31,1.86
2023-03-11 08:38:00,1.77,1.41,1.81
2023-03-11 08:40:00,1.71,1.65,1.76
2023-03-11 08:42:00,1.42,0.920,1.65
2023-03-11 08:44:00,1.32,0.940,1.58
2023-03-11 08:46:00,1.40,1.40,1.59
2023-03-11 08:48:00,1.54,1.89,1.61
2023-03-11 08:50:00,1.88,2.35,1.72
2023-03-11 08:52:00,1.63,1.61,1.63
2023-03-11 08:54:00,1.56,1.65,1.59
2023-03-11 08:56:00,1.82,2.64,1.67
2023-03-11 08:58:00,1.95,1.67,1.75
2023-03-11 09:00:00,2.17,2.10,1.87
2023-03-11 09:02:00,1.90,1.39,1.79
2023-03-11 09:04:00,2.37,3.37,1.97
2023-03-11 09:06:00,2.15,1.65,1.94
2023-03-11 09:08:00,2.01,1.49,1.91
2023-03-11 09:10:00,4.12,6.37,2.72
2023-03-11 09:12:00,3.27,2.49,2.57
2023-03-11 09:14:00,3.17,2.55,2.64
2023-03-11 09:16:00,3.14,2.55,2.70
2023-03-11 09:18:00,2.91,1.99,2.68
2023-03-11 09:20:00,2.51,1.94,2.55
2023-03-11 09:22:00,2.46,2.31,2.53
2023-03-11 09:24:00,2.14,1.68,2.40
2023-03-11 09:26:00,1.98,1.40,2.32
2023-03-11 09:28:00,2.08,2.29,2.31
2023-03-11 09:30:00,2.14,1.76,2.31
2023-03-11 09:32:00,1.77,1.26,2.15
2023-03-11 09:34:00,2.12,2.52,2.23
2023-03-11 09:36:00,2.28,2.47,2.27
2023-03-11 09:38:00,2.10,1.43,2.21
2023-03-11 09:40:00,2.41,3.95,2.28
2023-03-11 09:42:00,2.42,2.02,2.31
2023-03-11 09:44:00,2.70,2.89,2.43
2023-03-11 09:46:00,2.25,1.55,2.30
2023-03-11 09:48:00,1.81,0.970,2.12
2023-03-11 09:50:00,1.49,0.910,1.96
2023-03-11 09:52:00,1.94,3.57,2.05
2023-03-11 09:54:00,1.97,1.82,2.05
2023-03-11 09:56:00,1.85,1.28,2.02
2023-03-11 09:58:00,1.84,1.82,1.99
2023-03-11 10:00:00,1.46,0.770,1.83
2023-03-11 10:02:00,1.62,1.45,1.85
2023-03-11 10:04:00,1.37,0.970,1.73
2023-03-11 10:06:00,1.35,1.20,1.67
2023-03-11 10:08:00,1.41,1.68,1.65
2023-03-11 10:10:00,2.26,3.69,1.93
2023-03-11 10:12:00,1.97,1.58,1.86
2023-03-11 10:14:00,1.67,0.980,1.77
2023-03-11 10:16:00,1.48,1.05,1.69
2023-03-11 10:18:00,1.75,2.12,1.74
2023-03-11 10:20:00,2.53,3.32,2.05
2023-03-11 10:22:00,2.15,1.67,1.96
2023-03-11 10:24:00,1.99,1.31,1.92
2023-03-11 10:26:00,1.67,1,1.81
2023-03-11 10:28:00,1.37,0.770,1.68
2023-03-11 10:30:00,1.35,1.34,1.63
2023-03-11 10:32:00,1.47,1.67,1.65
2023-03-11 10:34:00,1.42,1.32,1.60
2023-03-11 10:36:00,1.26,0.890,1.51
2023-03-11 10:38:00,1.39,1.64,1.52
2023-03-11 10:40:00,1.30,1.26,1.47
2023-03-11 10:42:00,1.27,1.06,1.45
2023-03-11 10:44:00,1.19,0.980,1.40
2023-03-11 10:46:00,1.22,0.950,1.39
2023-03-11 10:48:00,1.54,2.58,1.46
2023-03-11 10:50:00,1.36,1.12,1.41
2023-03-11 10:52:00,1.18,0.920,1.32
2023-03-11 10:54:00,2.03,3,1.62
2023-03-11 10:56:00,1.75,1.36,1.57
2023-03-11 10:58:00,1.91,2.17,1.65
2023-03-11 11:00:00,2.57,3.10,1.93
2023-03-11 11:02:00,2.52,2.20,1.99
2023-03-11 11:04:00,2.28,1.85,1.96
2023-03-11 11:06:00,2.02,1.53,1.90
2023-03-11 11:08:00,2.02,1.85,1.91
2023-03-11 11:10:00,2.20,2.18,1.99
2023-03-11 11:12:00,2,1.83,1.94
2023-03-11 11:14:00,2.12,2.15,1.99
2023-03-11 11:16:00,2.39,3.49,2.09
2023-03-11 11:18:00,1.97,1.58,1.96
2023-03-11 11:20:00,2.14,2.37,2.03
2023-03-11 11:22:00,2.34,2.41,2.11
2023-03-11 11:24:00,2.01,1.71,2.02
2023-03-11 11:26:00,1.86,1.68,1.95
2023-03-11 11:28:00,1.83,1.72,1.93
2023-03-11 11:30:00,1.50,1,1.79
2023-03-11 11:32:00,1.52,1.51,1.75
2023-03-11 11:34:00,1.44,1.34,1.70
2023-03-11 11:36:00,1.63,1.43,1.74
2023-03-11 11:38:00,1.80,1.74,1.79
2023-03-11 11:40:00,1.81,1.82,1.79
2023-03-11 11:42:00,1.53,1.05,1.70
2023-03-11 11:44:00,1.39,1.21,1.61
2023-03-11 11:46:00,1.67,1.98,1.68
2023-03-11 11:48:00,1.67,1.62,1.67
2023-03-11 11:50:00,2.22,4.26,1.85
2023-03-11 11:52:00,2.20,1.77,1.91
2023-03-11 11:54:00,2.28,2.71,1.96
2023-03-11 11:56:00,2.15,1.84,1.95
2023-03-11 11:58:00,1.80,1.20,1.85
2023-03-11 12:00:00,1.78,1.81,1.82
2023-03-11 12:02:00,1.43,0.730,1.68
2023-03-11 12:04:00,2.39,4.04,1.99
2023-03-11 12:06:00,2.13,1.83,1.96
2023-03-11 12:08:00,1.74,1.07,1.82
2023-03-11 12:10:00,2.14,2.91,1.95
2023-03-11 12:12:00,1.66,0.980,1.79
2023-03-11 12:14:00,1.73,1.85,1.79
2023-03-11 12:16:00,3.08,6.30,2.25
