"Time","Transmit Total","Receive Total"
2023-03-11 08:30:00,573008,396518
2023-03-11 08:32:00,588818,481170
2023-03-11 08:34:00,456044,352456
2023-03-11 08:36:00,452250,333286
2023-03-11 08:38:00,461121,333867
2023-03-11 08:40:00,489387,360387
2023-03-11 08:42:00,582202,477620
2023-03-11 08:44:00,566984,458474
2023-03-11 08:46:00,429867,319738
2023-03-11 08:48:00,783790,488808
2023-03-11 08:50:00,605979,457967
2023-03-11 08:52:00,636905,520180
2023-03-11 08:54:00,565083,462708
2023-03-11 08:56:00,427749,320217
2023-03-11 08:58:00,473205,346557
2023-03-11 09:00:00,429273,319549
2023-03-11 09:02:00,579615,473391
2023-03-11 09:04:00,574468,466492
2023-03-11 09:06:00,422381,314577
2023-03-11 09:08:00,431646,326017
2023-03-11 09:10:00,437944,330841
2023-03-11 09:12:00,554347,447739
2023-03-11 09:14:00,607016,497390
2023-03-11 09:16:00,425145,316809
2023-03-11 09:18:00,476084,351706
2023-03-11 09:20:00,426833,321448
2023-03-11 09:22:00,539626,433180
2023-03-11 09:24:00,576689,469656
2023-03-11 09:26:00,425416,319132
2023-03-11 09:28:00,425386,320189
2023-03-11 09:30:00,430824,322075
2023-03-11 09:32:00,533382,428337
2023-03-11 09:34:00,601477,484425
2023-03-11 09:36:00,451272,343676
2023-03-11 09:38:00,427643,322489
2023-03-11 09:40:00,501329,371584
2023-03-11 09:42:00,523282,398170
2023-03-11 09:44:00,595531,486112
2023-03-11 09:46:00,427511,318948
2023-03-11 09:48:00,432231,326728
2023-03-11 09:50:00,430740,322001
2023-03-11 09:52:00,454799,351001
2023-03-11 09:54:00,579715,471086
2023-03-11 09:56:00,417681,311660
2023-03-11 09:58:00,425826,319570
2023-03-11 10:00:00,441801,330848
2023-03-11 10:02:00,460966,358506
2023-03-11 10:04:00,630798,500134
2023-03-11 10:06:00,473321,367628
2023-03-11 10:08:00,421029,314607
2023-03-11 10:10:00,437622,329603
2023-03-11 10:12:00,426219,322950
2023-03-11 10:14:00,590056,478976
2023-03-11 10:16:00,453777,336540
2023-03-11 10:18:00,422905,322756
2023-03-11 10:20:00,426472,322857
2023-03-11 10:22:00,466130,341183
2023-03-11 10:24:00,624331,512253
2023-03-11 10:26:00,452508,345150
2023-03-11 10:28:00,447604,344456
2023-03-11 10:30:00,445208,334241
2023-03-11 10:32:00,450849,348197
2023-03-11 10:34:00,583995,474316
2023-03-11 10:36:00,469946,362806
2023-03-11 10:38:00,419557,315240
2023-03-11 10:40:00,441080,333047
2023-03-11 10:42:00,417875,316113
2023-03-11 10:44:00,586217,475311
2023-03-11 10:46:00,480531,371986
2023-03-11 10:48:00,464362,337936
2023-03-11 10:50:00,457376,347866
2023-03-11 10:52:00,423405,322275
2023-03-11 10:54:00,578091,469005
2023-03-11 10:56:00,500231,392936
2023-03-11 10:58:00,436519,331131
2023-03-11 11:00:00,446805,334417
2023-03-11 11:02:00,452759,352562
2023-03-11 11:04:00,576299,468297
2023-03-11 11:06:00,571403,454238
2023-03-11 11:08:00,432580,319223
2023-03-11 11:10:00,447604,338848
