"Time","Load[5m] (172.16.66.31:9796)","Load[5m] (172.16.66.32:9796)","Load[5m] (172.16.66.3:9796)","Load[1m] (172.16.66.31:9796)","Load[1m] (172.16.66.32:9796)","Load[1m] (172.16.66.3:9796)","Load[15m] (172.16.66.31:9796)","Load[15m] (172.16.66.32:9796)","Load[15m] (172.16.66.3:9796)"
2023-03-11 08:30:00,0.280,0.560,0.540,0.140,0.340,0.460,0.440,0.700,0.590
2023-03-11 08:32:00,0.320,0.490,0.740,0.380,0.390,0.800,0.440,0.650,0.660
2023-03-11 08:34:00,0.260,0.410,0.990,0.180,0.310,1.51,0.400,0.610,0.760
2023-03-11 08:36:00,0.210,0.450,1.28,0.170,0.510,1.63,0.360,0.600,0.900
2023-03-11 08:38:00,0.210,0.370,1.19,0.190,0.240,0.980,0.340,0.550,0.920
2023-03-11 08:40:00,0.320,0.450,0.940,0.520,0.600,0.530,0.360,0.550,0.850
2023-03-11 08:42:00,0.220,0.490,0.710,0.0800,0.530,0.310,0.320,0.550,0.780
2023-03-11 08:44:00,0.250,0.490,0.580,0.250,0.460,0.230,0.320,0.540,0.720
2023-03-11 08:46:00,0.260,0.440,0.700,0.240,0.360,0.800,0.320,0.520,0.750
2023-03-11 08:48:00,0.240,0.390,0.910,0.200,0.280,1.41,0.300,0.490,0.820
2023-03-11 08:50:00,0.300,0.420,1.16,0.430,0.390,1.53,0.310,0.490,0.920
2023-03-11 08:52:00,0.270,0.430,0.930,0.320,0.550,0.740,0.290,0.480,0.860
2023-03-11 08:54:00,0.280,0.590,0.690,0.320,1.09,0.240,0.280,0.530,0.780
2023-03-11 08:56:00,0.290,0.520,1.01,0.360,0.410,1.87,0.280,0.520,0.870
2023-03-11 08:58:00,0.270,0.880,0.800,0.270,0.800,0.600,0.270,0.670,0.810
2023-03-11 09:00:00,0.330,0.750,1.09,0.430,0.500,1.17,0.290,0.650,0.930
2023-03-11 09:02:00,0.300,0.650,0.950,0.260,0.540,0.590,0.280,0.620,0.890
2023-03-11 09:04:00,0.320,1.08,0.970,0.400,2.34,0.630,0.280,0.770,0.920
2023-03-11 09:06:00,0.300,0.890,0.960,0.210,0.830,0.610,0.280,0.730,0.930
2023-03-11 09:08:00,0.360,0.700,0.950,0.440,0.390,0.660,0.300,0.680,0.930
2023-03-11 09:10:00,2.19,1.08,0.850,4.09,1.54,0.740,1,0.830,0.890
2023-03-11 09:12:00,1.56,0.890,0.820,0.880,0.780,0.830,0.910,0.780,0.880
2023-03-11 09:14:00,1.30,1.13,0.740,0.920,1.12,0.510,0.900,0.890,0.850
2023-03-11 09:16:00,1.29,1.23,0.620,0.880,1.33,0.340,0.950,0.960,0.790
2023-03-11 09:18:00,1.06,1.28,0.570,0.670,0.900,0.420,0.900,1.03,0.750
2023-03-11 09:20:00,0.920,0.990,0.600,0.770,0.480,0.690,0.870,0.950,0.730
2023-03-11 09:22:00,0.840,0.750,0.870,0.630,0.210,1.47,0.850,0.870,0.810
2023-03-11 09:24:00,0.710,0.710,0.720,0.550,0.500,0.630,0.800,0.840,0.760
2023-03-11 09:26:00,0.650,0.610,0.720,0.480,0.420,0.500,0.770,0.790,0.760
2023-03-11 09:28:00,0.780,0.680,0.620,0.940,0.930,0.420,0.800,0.790,0.720
2023-03-11 09:30:00,0.730,0.730,0.680,0.520,0.610,0.630,0.780,0.800,0.730
2023-03-11 09:32:00,0.640,0.610,0.520,0.580,0.420,0.260,0.740,0.750,0.660
2023-03-11 09:34:00,1.14,0.490,0.490,1.81,0.230,0.480,0.910,0.690,0.630
2023-03-11 09:36:00,1.32,0.440,0.520,1.70,0.310,0.460,1,0.640,0.630
2023-03-11 09:38:00,1.30,0.360,0.440,0.880,0.220,0.330,1.04,0.590,0.580
2023-03-11 09:40:00,0.940,0.980,0.490,0.260,3.24,0.450,0.940,0.760,0.580
2023-03-11 09:42:00,1.08,0.830,0.510,0.700,0.820,0.500,1,0.730,0.580
2023-03-11 09:44:00,0.800,0.890,1.01,0.340,0.800,1.75,0.910,0.770,0.750
2023-03-11 09:46:00,0.660,0.690,0.900,0.340,0.380,0.830,0.850,0.710,0.740
2023-03-11 09:48:00,0.560,0.560,0.690,0.410,0.210,0.350,0.780,0.660,0.680
2023-03-11 09:50:00,0.420,0.490,0.580,0.220,0.410,0.280,0.700,0.620,0.640
2023-03-11 09:52:00,0.980,0.460,0.500,2.96,0.300,0.310,0.850,0.600,0.600
2023-03-11 09:54:00,0.760,0.620,0.590,0.610,0.620,0.590,0.780,0.640,0.630
2023-03-11 09:56:00,0.560,0.670,0.620,0.220,0.440,0.620,0.710,0.670,0.640
2023-03-11 09:58:00,0.500,0.780,0.560,0.380,0.860,0.580,0.660,0.720,0.610
2023-03-11 10:00:00,0.400,0.610,0.450,0.220,0.330,0.220,0.610,0.660,0.560
2023-03-11 10:02:00,0.690,0.510,0.420,0.740,0.400,0.310,0.700,0.610,0.540
2023-03-11 10:04:00,0.630,0.440,0.300,0.610,0.270,0.0900,0.670,0.580,0.480
2023-03-11 10:06:00,0.500,0.400,0.450,0.270,0.370,0.560,0.620,0.540,0.510
2023-03-11 10:08:00,0.510,0.440,0.460,0.630,0.450,0.600,0.600,0.540,0.510
2023-03-11 10:10:00,0.460,0.950,0.850,0.370,1.50,1.82,0.570,0.720,0.640
2023-03-11 10:12:00,0.440,0.800,0.730,0.440,0.590,0.550,0.550,0.690,0.620
2023-03-11 10:14:00,0.430,0.600,0.640,0.320,0.270,0.390,0.530,0.630,0.610
2023-03-11 10:16:00,0.390,0.510,0.580,0.260,0.350,0.440,0.510,0.590,0.590
2023-03-11 10:18:00,0.800,0.400,0.550,1.15,0.170,0.800,0.640,0.540,0.560
2023-03-11 10:20:00,0.610,0.890,1.03,0.370,1.14,1.81,0.590,0.720,0.740
2023-03-11 10:22:00,0.530,0.660,0.960,0.360,0.310,1,0.560,0.650,0.750
2023-03-11 10:24:00,0.550,0.630,0.810,0.420,0.490,0.400,0.560,0.640,0.720
2023-03-11 10:26:00,0.460,0.550,0.660,0.320,0.340,0.340,0.530,0.610,0.670
2023-03-11 10:28:00,0.360,0.490,0.520,0.180,0.410,0.180,0.480,0.580,0.620
2023-03-11 10:30:00,0.270,0.410,0.670,0.130,0.260,0.950,0.430,0.540,0.660
2023-03-11 10:32:00,0.260,0.450,0.760,0.270,0.510,0.890,0.410,0.540,0.700
2023-03-11 10:34:00,0.260,0.370,0.790,0.320,0.230,0.770,0.380,0.500,0.720
2023-03-11 10:36:00,0.270,0.330,0.660,0.200,0.280,0.410,0.370,0.460,0.680
2023-03-11 10:38:00,0.320,0.500,0.570,0.290,1.02,0.330,0.370,0.500,0.650
2023-03-11 10:40:00,0.310,0.490,0.500,0.400,0.450,0.410,0.360,0.500,0.610
2023-03-11 10:42:00,0.300,0.500,0.470,0.250,0.490,0.320,0.350,0.510,0.590
2023-03-11 10:44:00,0.330,0.470,0.390,0.330,0.380,0.270,0.360,0.500,0.540
2023-03-11 10:46:00,0.430,0.470,0.320,0.380,0.380,0.190,0.400,0.490,0.500
2023-03-11 10:48:00,0.410,0.390,0.740,0.360,0.200,2.02,0.390,0.460,0.610
2023-03-11 10:50:00,0.460,0.370,0.530,0.400,0.320,0.400,0.420,0.440,0.550
2023-03-11 10:52:00,0.380,0.370,0.430,0.240,0.400,0.280,0.390,0.430,0.500
2023-03-11 10:54:00,0.770,0.860,0.400,0.790,1.82,0.390,0.540,0.600,0.480
2023-03-11 10:56:00,0.570,0.660,0.520,0.320,0.430,0.610,0.500,0.560,0.510
2023-03-11 10:58:00,0.610,0.660,0.640,0.770,0.680,0.720,0.520,0.570,0.560
2023-03-11 11:00:00,0.890,0.680,1,1.01,0.740,1.35,0.640,0.580,0.710
2023-03-11 11:02:00,0.750,1.03,0.740,0.640,1.24,0.320,0.620,0.730,0.640
2023-03-11 11:04:00,0.660,0.800,0.820,0.520,0.390,0.940,0.600,0.680,0.680
2023-03-11 11:06:00,0.490,0.650,0.880,0.220,0.290,1.02,0.540,0.640,0.720
2023-03-11 11:08:00,0.520,0.620,0.880,0.460,0.580,0.810,0.540,0.630,0.740
2023-03-11 11:10:00,1.03,0.540,0.630,1.52,0.440,0.220,0.730,0.600,0.660
2023-03-11 11:12:00,0.850,0.570,0.580,0.700,0.680,0.450,0.700,0.600,0.640
2023-03-11 11:14:00,1,0.590,0.530,1.34,0.500,0.310,0.770,0.610,0.610
2023-03-11 11:16:00,0.820,1.10,0.470,0.600,2.49,0.400,0.730,0.780,0.580
2023-03-11 11:18:00,0.710,0.770,0.490,0.530,0.420,0.630,0.700,0.700,0.560
2023-03-11 11:20:00,1.08,0.670,0.390,1.69,0.470,0.210,0.840,0.670,0.520
2023-03-11 11:22:00,1.42,0.510,0.410,1.65,0.230,0.530,1,0.610,0.500
2023-03-11 11:24:00,1.15,0.540,0.320,0.910,0.590,0.210,0.950,0.610,0.460
2023-03-11 11:26:00,0.830,0.500,0.530,0.270,0.480,0.930,0.860,0.580,0.510
2023-03-11 11:28:00,0.910,0.490,0.430,0.840,0.560,0.320,0.890,0.570,0.470
2023-03-11 11:30:00,0.720,0.410,0.370,0.380,0.260,0.360,0.820,0.530,0.440
2023-03-11 11:32:00,0.740,0.440,0.340,0.630,0.620,0.260,0.810,0.520,0.420
2023-03-11 11:34:00,0.590,0.410,0.440,0.370,0.370,0.600,0.750,0.500,0.450
2023-03-11 11:36:00,0.730,0.460,0.440,0.480,0.510,0.440,0.790,0.500,0.450
2023-03-11 11:38:00,1.02,0.410,0.370,1.20,0.310,0.230,0.890,0.480,0.420
2023-03-11 11:40:00,0.780,0.510,0.520,0.440,0.700,0.680,0.820,0.500,0.470
2023-03-11 11:42:00,0.600,0.460,0.470,0.230,0.390,0.430,0.750,0.490,0.460
2023-03-11 11:44:00,0.510,0.390,0.490,0.310,0.300,0.600,0.700,0.450,0.460
2023-03-11 11:46:00,0.470,0.720,0.480,0.390,1.15,0.440,0.660,0.560,0.460
2023-03-11 11:48:00,0.610,0.620,0.440,0.920,0.470,0.230,0.680,0.540,0.450
2023-03-11 11:50:00,0.600,1.18,0.440,0.690,3.11,0.460,0.670,0.740,0.440
2023-03-11 11:52:00,0.490,0.870,0.840,0.310,0.640,0.820,0.620,0.680,0.610
2023-03-11 11:54:00,0.480,0.770,1.03,0.400,0.610,1.70,0.600,0.660,0.700
2023-03-11 11:56:00,0.540,0.600,1.01,0.610,0.320,0.910,0.600,0.610,0.740
2023-03-11 11:58:00,0.440,0.560,0.800,0.330,0.480,0.390,0.560,0.590,0.700
2023-03-11 12:00:00,0.410,0.500,0.870,0.380,0.360,1.07,0.530,0.560,0.730
2023-03-11 12:02:00,0.320,0.490,0.620,0.110,0.420,0.200,0.480,0.550,0.650
2023-03-11 12:04:00,0.770,0.490,1.13,1.50,0.420,2.12,0.620,0.540,0.830
2023-03-11 12:06:00,0.620,0.410,1.10,0.460,0.210,1.16,0.590,0.510,0.860
2023-03-11 12:08:00,0.550,0.430,0.760,0.460,0.390,0.220,0.560,0.500,0.760
2023-03-11 12:10:00,0.560,0.990,0.590,0.490,2.24,0.180,0.560,0.690,0.700
2023-03-11 12:12:00,0.400,0.820,0.440,0.150,0.690,0.140,0.500,0.660,0.630
2023-03-11 12:14:00,0.370,0.630,0.730,0.270,0.320,1.26,0.470,0.610,0.710
2023-03-11 12:16:00,0.400,1.16,1.52,0.470,2.75,3.08,0.470,0.790,0.990
2023-03-11 12:18:00,0.380,0.910,1.44,0.450,0.720,1.55,0.450,0.740,1.03
2023-03-11 12:20:00,0.340,0.760,1.19,0.260,0.470,1.15,0.430,0.700,0.980
2023-03-11 12:22:00,0.320,0.590,1.18,0.350,0.290,1.31,0.410,0.640,1
2023-03-11 12:24:00,0.440,0.650,0.890,0.670,0.690,0.360,0.440,0.660,0.910
2023-03-11 12:26:00,0.350,0.520,0.710,0.190,0.300,0.350,0.410,0.610,0.840
2023-03-11 12:28:00,0.460,0.500,0.580,0.600,0.470,0.270,0.440,0.590,0.780
2023-03-11 12:30:00,0.400,0.400,0.500,0.280,0.220,0.220,0.420,0.540,0.720
2023-03-11 12:32:00,0.450,0.420,0.410,0.390,0.330,0.180,0.450,0.530,0.660
2023-03-11 12:34:00,0.480,0.960,0.360,0.480,2.02,0.230,0.460,0.710,0.610
2023-03-11 12:36:00,0.630,0.730,0.390,0.660,0.490,0.460,0.520,0.650,0.590
2023-03-11 12:38:00,1.02,0.990,0.410,1.34,1.46,0.450,0.680,0.760,0.570
2023-03-11 12:40:00,0.910,0.760,0.520,0.660,0.370,0.750,0.690,0.700,0.590
2023-03-11 12:42:00,0.790,0.660,0.500,0.670,0.420,0.550,0.670,0.670,0.570
2023-03-11 12:44:00,1.62,0.720,0.540,2.36,0.740,0.700,1,0.690,0.570
2023-03-11 12:46:00,1.26,0.740,0.460,0.860,0.770,0.290,0.940,0.710,0.540
2023-03-11 12:48:00,1.51,0.600,0.550,1.76,0.320,0.880,1.07,0.660,0.560
2023-03-11 12:50:00,1.16,0.590,0.510,0.680,0.530,0.580,0.990,0.650,0.540
2023-03-11 12:52:00,0.950,0.530,0.530,0.520,0.450,0.720,0.930,0.620,0.550
2023-03-11 12:54:00,0.770,0.530,0.410,0.440,0.560,0.220,0.870,0.610,0.500
2023-03-11 12:56:00,0.680,0.570,0.450,0.520,0.710,0.440,0.820,0.610,0.500
2023-03-11 12:58:00,0.740,0.710,0.530,0.780,1.05,0.910,0.830,0.660,0.520
2023-03-11 13:00:00,0.640,0.580,0.500,0.590,0.420,0.470,0.780,0.620,0.510
2023-03-11 13:02:00,0.940,0.690,0.490,0.770,0.570,0.520,0.890,0.660,0.500
2023-03-11 13:04:00,1.57,0.830,0.380,1.98,0.660,0.140,1.14,0.720,0.460
2023-03-11 13:06:00,1.26,0.640,0.360,0.730,0.260,0.390,1.08,0.660,0.440
2023-03-11 13:08:00,2.07,0.590,0.350,5.31,0.470,0.420,1.35,0.640,0.420
2023-03-11 13:10:00,2.90,0.590,0.280,5.25,0.560,0.210,1.73,0.630,0.380
2023-03-11 13:12:00,1.99,0.550,0.300,0.860,0.580,0.300,1.53,0.610,0.370
2023-03-11 13:14:00,2.45,0.450,0.220,2.21,0.300,0.0700,1.77,0.560,0.330
2023-03-11 13:16:00,1.76,0.960,0.220,0.530,2.53,0.130,1.60,0.720,0.320
2023-03-11 13:18:00,1.23,0.760,0.260,0.160,0.690,0.340,1.43,0.670,0.320
2023-03-11 13:20:00,0.970,0.630,0.410,0.440,0.470,0.520,1.30,0.630,0.370
2023-03-11 13:22:00,1.14,0.500,0.350,0.930,0.220,0.310,1.33,0.580,0.350
2023-03-11 13:24:00,0.850,0.440,0.450,0.320,0.280,0.570,1.20,0.550,0.390
2023-03-11 13:26:00,0.650,0.480,0.530,0.280,0.490,0.600,1.08,0.550,0.430
2023-03-11 13:28:00,0.540,0.590,0.450,0.260,0.810,0.320,0.980,0.580,0.410
2023-03-11 13:30:00,0.790,0.520,0.370,1.01,0.410,0.200,1.02,0.550,0.380
2023-03-11 13:32:00,0.780,0.470,0.400,0.820,0.240,0.360,0.980,0.530,0.390
2023-03-11 13:34:00,0.700,0.500,0.470,0.560,0.460,0.670,0.930,0.540,0.410
2023-03-11 13:36:00,0.600,0.510,0.410,0.470,0.500,0.370,0.860,0.540,0.390
2023-03-11 13:38:00,0.510,0.990,0.690,0.430,1.26,1.46,0.800,0.720,0.490
2023-03-11 13:40:00,0.430,0.760,1.16,0.290,0.370,2.01,0.730,0.670,0.690
2023-03-11 13:42:00,0.320,0.750,0.890,0.110,0.580,0.550,0.650,0.680,0.650
2023-03-11 13:44:00,0.240,0.540,0.800,0.0800,0.190,0.700,0.580,0.610,0.640
2023-03-11 13:46:00,0.380,0.520,0.660,0.540,0.560,0.400,0.590,0.590,0.610
2023-03-11 13:48:00,0.290,0.500,0.950,0.150,0.560,1.45,0.530,0.570,0.720
2023-03-11 13:50:00,0.280,0.460,0.880,0.270,0.350,0.570,0.490,0.540,0.730
2023-03-11 13:52:00,0.270,0.460,0.840,0.210,0.410,0.570,0.460,0.530,0.730
2023-03-11 13:54:00,0.280,0.380,0.660,0.260,0.220,0.410,0.440,0.500,0.680
2023-03-11 13:56:00,0.300,0.420,0.500,0.360,0.360,0.160,0.430,0.500,0.610
2023-03-11 13:58:00,0.300,0.390,0.590,0.300,0.290,0.830,0.420,0.480,0.630
2023-03-11 14:00:00,0.320,0.410,1.34,0.270,0.380,3.59,0.410,0.470,0.880
2023-03-11 14:02:00,0.290,0.380,1.61,0.290,0.340,2.58,0.380,0.450,1.03
2023-03-11 14:04:00,0.230,0.400,1.22,0.130,0.450,0.780,0.350,0.450,0.950
2023-03-11 14:06:00,0.240,0.360,0.900,0.250,0.280,0.320,0.340,0.430,0.870
2023-03-11 14:08:00,0.360,0.710,0.720,0.360,1.04,0.260,0.370,0.560,0.810
2023-03-11 14:10:00,0.310,0.540,0.750,0.200,0.310,0.830,0.350,0.510,0.810
2023-03-11 14:12:00,0.800,0.510,0.510,1.11,0.550,0.120,0.540,0.500,0.710
2023-03-11 14:14:00,1,0.470,0.510,1.04,0.410,0.480,0.650,0.490,0.680
2023-03-11 14:16:00,0.750,0.460,0.540,0.350,0.500,0.470,0.600,0.480,0.680
2023-03-11 14:18:00,0.620,0.450,0.530,0.370,0.510,0.460,0.570,0.470,0.650
2023-03-11 14:20:00,0.540,0.390,0.650,0.410,0.320,0.860,0.540,0.440,0.670
2023-03-11 14:22:00,0.500,0.730,0.800,0.370,1.58,1.05,0.530,0.550,0.720
2023-03-11 14:24:00,0.490,0.860,0.830,0.420,0.790,1.02,0.530,0.630,0.740
2023-03-11 14:26:00,0.360,0.720,0.730,0.0900,0.460,0.490,0.470,0.610,0.720
2023-03-11 14:28:00,0.770,0.680,0.590,1.26,0.560,0.400,0.620,0.610,0.660
2023-03-11 14:30:00,0.650,1.19,0.480,0.510,2.57,0.290,0.590,0.800,0.610
2023-03-11 14:32:00,0.570,1.16,0.420,0.420,1.14,0.280,0.570,0.840,0.570
2023-03-11 14:34:00,0.570,0.930,0.490,0.530,0.520,0.600,0.570,0.790,0.580
2023-03-11 14:36:00,1.06,0.790,0.550,1.40,0.480,0.570,0.760,0.760,0.590
2023-03-11 14:38:00,1.33,0.710,0.420,2.36,0.560,0.220,0.880,0.730,0.540
2023-03-11 14:40:00,0.990,0.610,0.400,0.660,0.390,0.470,0.810,0.690,0.510
2023-03-11 14:42:00,1.12,0.870,0.450,1.26,1.34,0.560,0.880,0.770,0.510
2023-03-11 14:44:00,0.900,0.690,0.450,0.670,0.450,0.570,0.820,0.720,0.500
2023-03-11 14:46:00,0.800,0.570,0.420,0.700,0.360,0.390,0.790,0.670,0.480
2023-03-11 14:48:00,1.28,0.460,0.450,3.29,0.260,0.400,0.950,0.620,0.480
2023-03-11 14:50:00,1.85,0.360,0.410,2.82,0.180,0.410,1.20,0.560,0.460
2023-03-11 14:52:00,1.40,0.360,0.380,0.710,0.310,0.220,1.11,0.540,0.440
2023-03-11 14:54:00,1.12,0.620,0.360,0.680,1.35,0.380,1.04,0.600,0.420
2023-03-11 14:56:00,1.07,0.590,0.450,0.520,0.630,0.820,1.04,0.590,0.440
2023-03-11 14:58:00,0.800,0.490,0.400,0.270,0.300,0.410,0.950,0.550,0.420
2023-03-11 15:00:00,0.670,0.480,0.300,0.360,0.470,0.100,0.880,0.540,0.380
2023-03-11 15:02:00,0.500,0.450,0.390,0.220,0.360,0.510,0.790,0.530,0.410
2023-03-11 15:04:00,0.510,0.470,0.420,0.520,0.510,0.470,0.760,0.530,0.410
2023-03-11 15:06:00,0.370,0.350,0.320,0.150,0.170,0.160,0.670,0.470,0.370
2023-03-11 15:08:00,0.310,0.590,0.530,0.180,0.980,0.950,0.610,0.540,0.440
2023-03-11 15:10:00,0.350,0.600,0.580,0.490,0.800,0.640,0.590,0.550,0.470
