"Time","Transmit Total (172.16.66.31:9796)","Transmit Total (172.16.66.32:9796)","Transmit Total (172.16.66.3:9796)","Receive Total (172.16.66.31:9796)","Receive Total (172.16.66.32:9796)","Receive Total (172.16.66.3:9796)"
2023-03-11 08:30:00,143514,157851,271643,116892,143653,135973
2023-03-11 08:32:00,163030,151198,274591,158921,113824,208425
2023-03-11 08:34:00,140758,119888,195398,121330,97145,133982
2023-03-11 08:36:00,130744,109761,211746,104415,94262,134610
2023-03-11 08:38:00,130064,111663,219394,103104,97288,133475
2023-03-11 08:40:00,142125,127581,219681,109724,118813,131850
2023-03-11 08:42:00,164467,147168,270567,158657,112261,206702
2023-03-11 08:44:00,179956,155524,231504,164756,129219,164500
2023-03-11 08:46:00,131765,99710,198391,105755,83539,130444
2023-03-11 08:48:00,193546,195400,394844,160766,191509,136533
2023-03-11 08:50:00,177222,184443,244314,153770,170310,133887
2023-03-11 08:52:00,176378,175428,285099,168887,141305,209988
2023-03-11 08:54:00,163315,150507,251261,161664,114864,186180
2023-03-11 08:56:00,132244,100201,195304,104883,85402,129932
2023-03-11 08:58:00,128914,125805,218486,102597,111068,132892
2023-03-11 09:00:00,131596,100609,197068,104745,85205,129598
2023-03-11 09:02:00,159821,148445,271349,155738,110698,206955
2023-03-11 09:04:00,159676,146534,268258,153971,110687,201834
2023-03-11 09:06:00,130015,97983,194383,103827,82610,128140
2023-03-11 09:08:00,130659,102913,198074,103548,88562,133907
2023-03-11 09:10:00,141607,103469,192868,109026,94334,127481
2023-03-11 09:12:00,151836,131901,270610,140971,100680,206089
2023-03-11 09:14:00,178367,154816,273833,163930,127978,205483
2023-03-11 09:16:00,129831,98480,196835,104682,81569,130558
2023-03-11 09:18:00,126798,127707,221579,101607,114606,135493
2023-03-11 09:20:00,132433,101903,192497,105540,87117,128791
2023-03-11 09:22:00,145542,122905,271179,128608,96629,207943
2023-03-11 09:24:00,159529,145205,271955,153872,110155,205629
2023-03-11 09:26:00,131515,98633,195269,104589,84332,130212
2023-03-11 09:28:00,125893,100382,199112,101162,83913,135114
2023-03-11 09:30:00,133111,101580,196132,107048,86781,128245
2023-03-11 09:32:00,150435,121401,261545,123100,105108,200129
2023-03-11 09:34:00,161657,158547,281273,155326,123348,205752
2023-03-11 09:36:00,148153,108195,194924,112039,101460,130178
2023-03-11 09:38:00,127944,101094,198605,102102,85867,134520
2023-03-11 09:40:00,147539,132086,221704,113007,126033,132543
2023-03-11 09:42:00,130666,124188,268428,105068,108067,185035
2023-03-11 09:44:00,169242,152346,273943,159994,119945,206173
2023-03-11 09:46:00,132061,98477,196973,105037,83346,130565
2023-03-11 09:48:00,130520,103569,198141,103352,88803,134573
2023-03-11 09:50:00,131275,101046,198419,105027,85785,131189
2023-03-11 09:52:00,130877,99742,224180,103821,84306,162873
2023-03-11 09:54:00,157951,146676,275089,153648,109650,207789
2023-03-11 09:56:00,129241,96237,192203,102774,81239,127647
2023-03-11 09:58:00,127605,100160,198060,101112,84888,133570
2023-03-11 10:00:00,134563,104381,202858,107511,89616,133721
2023-03-11 10:02:00,142556,109283,209128,109758,98588,150160
2023-03-11 10:04:00,160746,171720,298332,155033,136700,208402
2023-03-11 10:06:00,149204,132188,191929,113951,127055,126622
2023-03-11 10:08:00,124881,97913,198235,99310,81377,133920
2023-03-11 10:10:00,134854,103696,199072,106977,89766,132861
2023-03-11 10:12:00,131252,101836,193131,104307,85754,132888
2023-03-11 10:14:00,163706,149006,277344,157412,114099,207464
2023-03-11 10:16:00,135985,113198,204594,109846,98364,128330
2023-03-11 10:18:00,128060,99419,195426,100922,84581,137252
2023-03-11 10:20:00,128471,99219,198782,103630,82782,136444
2023-03-11 10:22:00,128506,121798,215825,102019,105894,133270
2023-03-11 10:24:00,173288,174874,276170,161336,142650,208267
2023-03-11 10:26:00,141449,112254,198805,118593,94021,132536
2023-03-11 10:28:00,146279,108934,192391,109910,102998,131549
2023-03-11 10:30:00,134864,106925,203419,108670,90657,134914
2023-03-11 10:32:00,146801,110928,193120,111270,102503,134425
2023-03-11 10:34:00,159316,148731,275948,154487,111618,208210
2023-03-11 10:36:00,150326,121430,198190,130459,100977,131370
2023-03-11 10:38:00,128577,99290,191690,101202,84791,129246
2023-03-11 10:40:00,134308,104685,202088,107293,91024,134730
2023-03-11 10:42:00,129549,99065,189262,102638,83018,130458
2023-03-11 10:44:00,162669,146548,277001,155988,112046,207277
2023-03-11 10:46:00,153398,127255,199878,139808,100927,131251
2023-03-11 10:48:00,127916,121686,214760,100756,107822,129357
2023-03-11 10:50:00,130977,124787,201612,105607,109463,132796
2023-03-11 10:52:00,131703,101561,190141,105137,86156,130983
2023-03-11 10:54:00,158461,144569,275061,152527,108606,207872
2023-03-11 10:56:00,158582,135934,205714,148190,106288,138458
2023-03-11 10:58:00,140600,104312,191607,107035,95118,128977
2023-03-11 11:00:00,135164,105989,205652,108566,90631,135219
2023-03-11 11:02:00,149996,112154,190609,114235,106157,132171
2023-03-11 11:04:00,157817,145515,272967,152577,108422,207298
2023-03-11 11:06:00,178784,161176,231443,165528,135331,153378
2023-03-11 11:08:00,125221,105647,201712,98953,90562,129709
2023-03-11 11:10:00,139519,106253,201833,109817,94605,134426
2023-03-11 11:12:00,132638,125705,219666,105754,111307,135440
2023-03-11 11:14:00,161966,168035,270238,155080,133913,202824
2023-03-11 11:16:00,166023,145519,236924,160320,111572,167278
2023-03-11 11:18:00,127176,97988,192204,100138,82803,130953
2023-03-11 11:20:00,131108,102649,201886,105630,86470,134274
2023-03-11 11:22:00,131597,101710,196143,105030,86041,134502
2023-03-11 11:24:00,156497,143650,268707,151565,106590,203615
2023-03-11 11:26:00,165605,147365,249540,159269,113366,182240
2023-03-11 11:28:00,138333,103239,189314,105679,93939,128856
2023-03-11 11:30:00,134416,104528,205892,107618,89103,135684
2023-03-11 11:32:00,150057,114896,196964,114134,107637,136593
2023-03-11 11:34:00,157634,168714,292536,151602,133303,205137
2023-03-11 11:36:00,181953,178460,294269,167404,153435,202433
2023-03-11 11:38:00,124989,98400,189599,99553,81591,129112
2023-03-11 11:40:00,134428,101860,202375,106119,87944,135475
2023-03-11 11:42:00,132590,102504,196408,105643,87297,136641
2023-03-11 11:44:00,153631,136727,271244,143260,104109,205005
2023-03-11 11:46:00,165915,147010,275987,160416,112184,205062
2023-03-11 11:48:00,129152,101518,189049,102141,86578,128144
2023-03-11 11:50:00,128146,99072,200044,102793,81999,132792
2023-03-11 11:52:00,131565,112394,206853,105281,96639,135716
2023-03-11 11:54:00,144323,127830,269317,130691,98275,204533
2023-03-11 11:56:00,165900,147160,273374,159489,113415,203798
2023-03-11 11:58:00,148010,107075,192338,111499,97534,131137
2023-03-11 12:00:00,132230,103617,200138,105691,86904,133303
2023-03-11 12:02:00,150198,137638,220115,114886,131261,136681
2023-03-11 12:04:00,136494,140526,269336,118759,114997,205019
2023-03-11 12:06:00,180105,153469,273288,166636,127149,202955
2023-03-11 12:08:00,127745,99211,194866,101648,84251,130947
2023-03-11 12:10:00,137548,103300,195653,107593,91185,130749
2023-03-11 12:12:00,133543,105088,196709,106763,89545,136419
2023-03-11 12:14:00,134457,109365,262364,111017,89063,195744
2023-03-11 12:16:00,165554,145499,275170,160342,111051,203134
2023-03-11 12:18:00,128742,100420,195443,102216,85721,132340
