"Time","Read (sda)","Write (sda)"
2023-03-11 08:30:00,0,132756
2023-03-11 08:32:00,0,102491
2023-03-11 08:34:00,0,86481
2023-03-11 08:36:00,0,117942
2023-03-11 08:38:00,0,48924
2023-03-11 08:40:00,0,117988
2023-03-11 08:42:00,0,85642
2023-03-11 08:44:00,0,83480
2023-03-11 08:46:00,0,116953
2023-03-11 08:48:00,0,52747
2023-03-11 08:50:00,0,127067
2023-03-11 08:52:00,0,85470
2023-03-11 08:54:00,71171,122843
2023-03-11 08:56:00,0,126657
2023-03-11 08:58:00,0,48765
2023-03-11 09:00:00,0,117168
2023-03-11 09:02:00,0,180361
2023-03-11 09:04:00,0,106701
2023-03-11 09:06:00,0,118374
2023-03-11 09:08:00,0,49943
2023-03-11 09:10:00,0,118068
2023-03-11 09:12:00,0,86312
2023-03-11 09:14:00,0,81656
2023-03-11 09:16:00,0,118070
2023-03-11 09:18:00,0,51240
2023-03-11 09:20:00,0,119626
2023-03-11 09:22:00,0,85584
2023-03-11 09:24:00,0,83332
2023-03-11 09:26:00,0,118761
2023-03-11 09:28:00,0,50420
2023-03-11 09:30:00,0,119435
2023-03-11 09:32:00,0,84878
2023-03-11 09:34:00,0,84527
2023-03-11 09:36:00,0,118534
2023-03-11 09:38:00,0,50153
2023-03-11 09:40:00,0,119162
2023-03-11 09:42:00,0,85447
2023-03-11 09:44:00,0,84004
2023-03-11 09:46:00,0,118167
2023-03-11 09:48:00,0,50472
2023-03-11 09:50:00,0,116122
2023-03-11 09:52:00,0,85720
2023-03-11 09:54:00,0,83490
2023-03-11 09:56:00,0,117601
2023-03-11 09:58:00,0,52224
2023-03-11 10:00:00,0,118374
2023-03-11 10:02:00,0,84709
2023-03-11 10:04:00,0,83067
2023-03-11 10:06:00,0,117364
2023-03-11 10:08:00,0,51092
2023-03-11 10:10:00,0,117282
2023-03-11 10:12:00,0,85424
2023-03-11 10:14:00,0,83490
2023-03-11 10:16:00,0,118568
2023-03-11 10:18:00,0,50449
2023-03-11 10:20:00,0,119726
2023-03-11 10:22:00,0,84446
2023-03-11 10:24:00,0,83159
2023-03-11 10:26:00,0,118647
2023-03-11 10:28:00,0,50381
2023-03-11 10:30:00,0,120477
2023-03-11 10:32:00,0,89100
2023-03-11 10:34:00,0,82248
2023-03-11 10:36:00,0,119726
2023-03-11 10:38:00,0,50387
2023-03-11 10:40:00,0,119558
2023-03-11 10:42:00,0,87086
2023-03-11 10:44:00,0,82807
2023-03-11 10:46:00,0,118693
2023-03-11 10:48:00,0,50358
2023-03-11 10:50:00,0,389222
2023-03-11 10:52:00,0,86471
2023-03-11 10:54:00,1775,86426
2023-03-11 10:56:00,0,122060
2023-03-11 10:58:00,0,53356
2023-03-11 11:00:00,0,119658
2023-03-11 11:02:00,0,202342
2023-03-11 11:04:00,0,129419
2023-03-11 11:06:00,0,118511
2023-03-11 11:08:00,0,49630
2023-03-11 11:10:00,0,117988
2023-03-11 11:12:00,0,86845
2023-03-11 11:14:00,0,82249
2023-03-11 11:16:00,0,120527
2023-03-11 11:18:00,0,51343
2023-03-11 11:20:00,0,119798
2023-03-11 11:22:00,0,86914
2023-03-11 11:24:00,0,83549
2023-03-11 11:26:00,0,118736
2023-03-11 11:28:00,0,49357
2023-03-11 11:30:00,0,118793
2023-03-11 11:32:00,0,87199
2023-03-11 11:34:00,0,84457
2023-03-11 11:36:00,0,121478
2023-03-11 11:38:00,0,46330
2023-03-11 11:40:00,0,113846
2023-03-11 11:42:00,0,82411
2023-03-11 11:44:00,0,79180
2023-03-11 11:46:00,0,115007
2023-03-11 11:48:00,0,51041
2023-03-11 11:50:00,0,112741
2023-03-11 11:52:00,0,80062
2023-03-11 11:54:00,0,76095
2023-03-11 11:56:00,0,113017
2023-03-11 11:58:00,0,43582
2023-03-11 12:00:00,0,113541
2023-03-11 12:02:00,0,387459
2023-03-11 12:04:00,0,80782
2023-03-11 12:06:00,0,117237
2023-03-11 12:08:00,0,53885
2023-03-11 12:10:00,0,119034
2023-03-11 12:12:00,0,88769
2023-03-11 12:14:00,0,84387
2023-03-11 12:16:00,0,114802
2023-03-11 12:18:00,0,44669
2023-03-11 12:20:00,0,116713
2023-03-11 12:22:00,0,84343
2023-03-11 12:24:00,0,81725
2023-03-11 12:26:00,0,122826
2023-03-11 12:28:00,0,52747
2023-03-11 12:30:00,0,121583
2023-03-11 12:32:00,0,89758
2023-03-11 12:34:00,0,85641
2023-03-11 12:36:00,0,120977
2023-03-11 12:38:00,0,53778
2023-03-11 12:40:00,0,121688
2023-03-11 12:42:00,0,89396
2023-03-11 12:44:00,0,85743
2023-03-11 12:46:00,0,120377
2023-03-11 12:48:00,0,51405
2023-03-11 12:50:00,0,118019
2023-03-11 12:52:00,0,86484
2023-03-11 12:54:00,0,82102
2023-03-11 12:56:00,0,118543
2023-03-11 12:58:00,0,51883
2023-03-11 13:00:00,0,120491
2023-03-11 13:02:00,0,225299
2023-03-11 13:04:00,0,152935
2023-03-11 13:06:00,0,119572
2023-03-11 13:08:00,0,51314
2023-03-11 13:10:00,0,119376
2023-03-11 13:12:00,0,86208
2023-03-11 13:14:00,0,82179
2023-03-11 13:16:00,0,118770
2023-03-11 13:18:00,0,52471
2023-03-11 13:20:00,0,121119
2023-03-11 13:22:00,0,86982
2023-03-11 13:24:00,17797,101069
2023-03-11 13:26:00,0,117956
2023-03-11 13:28:00,0,53056
2023-03-11 13:30:00,0,120091
2023-03-11 13:32:00,0,89256
2023-03-11 13:34:00,0,82671
2023-03-11 13:36:00,0,119740
2023-03-11 13:38:00,0,52305
2023-03-11 13:40:00,0,121051
2023-03-11 13:42:00,0,87824
2023-03-11 13:44:00,0,78097
2023-03-11 13:46:00,0,119535
2023-03-11 13:48:00,0,51041
2023-03-11 13:50:00,0,118943
2023-03-11 13:52:00,0,86312
2023-03-11 13:54:00,3937,84059
2023-03-11 13:56:00,0,118693
2023-03-11 13:58:00,0,52344
2023-03-11 14:00:00,0,118821
2023-03-11 14:02:00,0,413742
2023-03-11 14:04:00,0,85343
2023-03-11 14:06:00,0,119444
2023-03-11 14:08:00,0,54226
2023-03-11 14:10:00,0,119945
2023-03-11 14:12:00,0,84127
2023-03-11 14:14:00,91.0,80350
2023-03-11 14:16:00,0,119558
2023-03-11 14:18:00,0,53180
2023-03-11 14:20:00,0,120232
2023-03-11 14:22:00,0,85730
2023-03-11 14:24:00,0,82886
2023-03-11 14:26:00,0,117464
2023-03-11 14:28:00,0,46308
2023-03-11 14:30:00,0,114460
2023-03-11 14:32:00,0,79908
2023-03-11 14:34:00,0,76413
2023-03-11 14:36:00,0,117951
2023-03-11 14:38:00,0,52224
2023-03-11 14:40:00,0,118852
2023-03-11 14:42:00,0,87154
2023-03-11 14:44:00,0,83731
2023-03-11 14:46:00,0,118306
2023-03-11 14:48:00,0,50933
2023-03-11 14:50:00,0,119421
2023-03-11 14:52:00,0,87245
2023-03-11 14:54:00,0,83458
2023-03-11 14:56:00,0,118602
2023-03-11 14:58:00,0,52048
2023-03-11 15:00:00,0,119785
2023-03-11 15:02:00,0,227529
2023-03-11 15:04:00,0,130116
2023-03-11 15:06:00,0,119717
2023-03-11 15:08:00,0,52042
2023-03-11 15:10:00,0,118866
2023-03-11 15:12:00,0,87245
2023-03-11 15:14:00,0,83536
2023-03-11 15:16:00,0,119262
2023-03-11 15:18:00,0,52468
2023-03-11 15:20:00,0,121751
2023-03-11 15:22:00,0,87495
2023-03-11 15:24:00,0,83627
2023-03-11 15:26:00,0,119603
2023-03-11 15:28:00,0,51564
2023-03-11 15:30:00,0,120141
2023-03-11 15:32:00,0,87278
2023-03-11 15:34:00,0,82489
2023-03-11 15:36:00,0,119580
2023-03-11 15:38:00,0,51291
2023-03-11 15:40:00,0,120436
2023-03-11 15:42:00,0,86332
2023-03-11 15:44:00,0,82547
2023-03-11 15:46:00,0,119066
2023-03-11 15:48:00,0,51763
2023-03-11 15:50:00,0,120127
2023-03-11 15:52:00,0,86994
2023-03-11 15:54:00,0,84046
2023-03-11 15:56:00,0,119057
2023-03-11 15:58:00,0,51291
2023-03-11 16:00:00,0,118101
2023-03-11 16:02:00,0,391350
2023-03-11 16:04:00,0,82908
2023-03-11 16:06:00,0,116245
2023-03-11 16:08:00,0,52952
2023-03-11 16:10:00,0,123025
2023-03-11 16:12:00,0,91273
2023-03-11 16:14:00,0,84730
2023-03-11 16:16:00,0,119467
2023-03-11 16:18:00,0,51883
2023-03-11 16:20:00,0,122493
2023-03-11 16:22:00,0,89657
2023-03-11 16:24:00,0,87371
2023-03-11 16:26:00,0,122106
2023-03-11 16:28:00,0,53089
2023-03-11 16:30:00,0,116021
2023-03-11 16:32:00,0,81930
2023-03-11 16:34:00,0,82398
2023-03-11 16:36:00,0,113892
2023-03-11 16:38:00,0,47360
2023-03-11 16:40:00,0,118021
2023-03-11 16:42:00,0,82170
2023-03-11 16:44:00,0,78802
2023-03-11 16:46:00,0,115803
2023-03-11 16:48:00,0,49539
2023-03-11 16:50:00,0,116233
2023-03-11 16:52:00,0,83627
2023-03-11 16:54:00,0,79430
2023-03-11 16:56:00,0,114870
2023-03-11 16:58:00,0,47514
2023-03-11 17:00:00,0,115316
2023-03-11 17:02:00,0,223209
2023-03-11 17:04:00,0,221750
2023-03-11 17:06:00,0,116557
2023-03-11 17:08:00,0,44373
2023-03-11 17:10:00,0,116795
2023-03-11 17:12:00,0,86105
2023-03-11 17:14:00,0,75389
2023-03-11 17:16:00,0,109740
2023-03-11 17:18:00,0,48930
2023-03-11 17:20:00,0,119498
2023-03-11 17:22:00,0,83230
2023-03-11 17:24:00,0,78962
2023-03-11 17:26:00,0,117874
2023-03-11 17:28:00,0,54256
2023-03-11 17:30:00,0,127681
2023-03-11 17:32:00,0,47309
2023-03-11 17:34:00,0,115143
2023-03-11 17:36:00,0,119376
2023-03-11 17:38:00,0,54272
2023-03-11 17:40:00,0,120991
2023-03-11 17:42:00,0,53726
2023-03-11 17:44:00,0,121264
2023-03-11 17:46:00,0,119761
2023-03-11 17:48:00,0,52969
2023-03-11 17:50:00,0,113892
2023-03-11 17:52:00,0,47747
2023-03-11 17:54:00,0,114201
2023-03-11 17:56:00,0,115644
2023-03-11 17:58:00,0,45579
2023-03-11 18:00:00,0,117828
2023-03-11 18:02:00,0,890048
2023-03-11 18:04:00,0,111785
2023-03-11 18:06:00,0,110546
2023-03-11 18:08:00,0,47701
2023-03-11 18:10:00,0,114788
2023-03-11 18:12:00,0,50079
2023-03-11 18:14:00,0,113755
2023-03-11 18:16:00,0,116008
2023-03-11 18:18:00,0,47303
2023-03-11 18:20:00,0,115516
2023-03-11 18:22:00,0,48077
2023-03-11 18:24:00,0,114119
2023-03-11 18:26:00,0,113641
2023-03-11 18:28:00,0,51428
2023-03-11 18:30:00,0,120455
2023-03-11 18:32:00,0,51496
2023-03-11 18:34:00,0,118238
2023-03-11 18:36:00,0,118679
2023-03-11 18:38:00,0,50762
2023-03-11 18:40:00,0,119922
2023-03-11 18:42:00,0,50654
2023-03-11 18:44:00,0,119344
2023-03-11 18:46:00,0,118525
2023-03-11 18:48:00,0,50597
2023-03-11 18:50:00,0,119111
2023-03-11 18:52:00,0,50881
2023-03-11 18:54:00,0,118474
2023-03-11 18:56:00,0,119034
2023-03-11 18:58:00,0,49903
2023-03-11 19:00:00,0,117919
2023-03-11 19:02:00,0,192967
2023-03-11 19:04:00,0,164386
2023-03-11 19:06:00,0,116759
2023-03-11 19:08:00,0,51411
2023-03-11 19:10:00,0,119239
2023-03-11 19:12:00,0,51723
2023-03-11 19:14:00,0,116895
2023-03-11 19:16:00,0,118133
2023-03-11 19:18:00,0,51723
2023-03-11 19:20:00,0,120317
2023-03-11 19:22:00,0,52332
2023-03-11 19:24:00,0,119612
