"Time","idle","iowait","irq","nice","softirq","steal","system","user"
2023-03-11 08:30:00,0.990,0.00000926,0,0,0.0000694,0,0.00198,0.0108
2023-03-11 08:32:00,0.976,0.00000463,0,0,0.000144,0,0.00231,0.0199
2023-03-11 08:34:00,0.982,0.00000463,0,0,0.0000602,0,0.00204,0.0141
2023-03-11 08:36:00,0.980,0.00000926,0,0,0.0000833,0,0.00212,0.0165
2023-03-11 08:38:00,0.979,0,0,0,0.0000741,0,0.00206,0.0159
2023-03-11 08:40:00,0.982,0.00000926,0,0,0.0000648,0,0.00212,0.0140
2023-03-11 08:42:00,0.979,0,0,0,0.000144,0,0.00213,0.0170
2023-03-11 08:44:00,0.983,0.00000463,0,0,0.000106,0,0.00273,0.0122
2023-03-11 08:46:00,0.980,0,0,0,0.0000972,0,0.00203,0.0156
2023-03-11 08:48:00,0.986,0.00000926,0,0,0.0000972,0,0.00213,0.00887
2023-03-11 08:50:00,0.979,0.00000463,0,0,0.0000787,0,0.00209,0.0165
2023-03-11 08:52:00,0.989,0,0,0,0.000176,0,0.00251,0.00649
2023-03-11 08:54:00,0.980,0.00000463,0,0,0.0000833,0,0.00219,0.0163
2023-03-11 08:56:00,0.990,0.00000463,0,0,0.0000231,0,0.00205,0.00602
2023-03-11 08:58:00,0.980,0,0,0,0.000111,0,0.00209,0.0160
2023-03-11 09:00:00,0.985,0.00000463,0,0,0.0000694,0,0.00209,0.0111
2023-03-11 09:02:00,0.980,0.00000463,0,0,0.000148,0,0.00211,0.0164
2023-03-11 09:04:00,0.981,0,0,0,0.0000787,0,0.00211,0.0153
2023-03-11 09:06:00,0.978,0.00000926,0,0,0.000116,0,0.00241,0.0169
2023-03-11 09:08:00,0.980,0,0,0,0.0000742,0,0.00199,0.0161
2023-03-11 09:10:00,0.983,0.00000926,0,0,0.0000694,0,0.00237,0.0123
2023-03-11 09:12:00,0.979,0.00000463,0,0,0.000116,0,0.00229,0.0165
2023-03-11 09:14:00,0.989,0,0,0,0.0000556,0,0.00216,0.00772
2023-03-11 09:16:00,0.980,0.00000926,0,0,0.0000741,0,0.00227,0.0163
2023-03-11 09:18:00,0.991,0,0,0,0.0000833,0,0.00194,0.00504
2023-03-11 09:20:00,0.980,0.0000139,0,0,0.0000833,0,0.00219,0.0155
2023-03-11 09:22:00,0.989,0.00000463,0,0,0.000102,0,0.00209,0.00756
2023-03-11 09:24:00,0.980,0.00000463,0,0,0.0000694,0,0.00213,0.0158
2023-03-11 09:26:00,0.985,0.00000463,0,0,0.0000926,0,0.00198,0.0117
2023-03-11 09:28:00,0.980,0.0000139,0,0,0.0000833,0,0.00199,0.0157
2023-03-11 09:30:00,0.981,0,0,0,0.000102,0,0.00198,0.0157
2023-03-11 09:32:00,0.981,0.00000463,0,0,0.0000509,0,0.00205,0.0156
2023-03-11 09:34:00,0.980,0,0,0,0.0000880,0,0.00206,0.0161
2023-03-11 09:36:00,0.986,0,0,0,0.0000880,0,0.00210,0.0106
2023-03-11 09:38:00,0.979,0.0000139,0,0,0.0000833,0,0.00249,0.0162
2023-03-11 09:40:00,0.989,0.00000463,0,0,0.000157,0,0.00210,0.00685
2023-03-11 09:42:00,0.980,0.00000463,0,0,0.000116,0,0.00211,0.0156
2023-03-11 09:44:00,0.991,0.00000463,0,0,0.000102,0,0.00214,0.00510
2023-03-11 09:46:00,0.979,0.00000926,0,0,0.0000694,0,0.00213,0.0162
2023-03-11 09:48:00,0.990,0.00000463,0,0,0.0000926,0,0.00186,0.00719
2023-03-11 09:50:00,0.979,0,0,0,0.0000741,0,0.00229,0.0163
2023-03-11 09:52:00,0.984,0,0,0,0.0000556,0,0.00192,0.0109
2023-03-11 09:54:00,0.980,0.0000139,0,0,0.000125,0,0.00207,0.0161
2023-03-11 09:56:00,0.982,0.0000139,0,0,0.000106,0,0.00203,0.0143
2023-03-11 09:58:00,0.980,0.00000463,0,0,0.0000972,0,0.00218,0.0161
2023-03-11 10:00:00,0.980,0.00000927,0,0,0.0000742,0,0.00208,0.0160
2023-03-11 10:02:00,0.983,0.00000463,0,0,0.0000741,0,0.00200,0.0128
2023-03-11 10:04:00,0.979,0.00000926,0,0,0.000106,0,0.00222,0.0170
2023-03-11 10:06:00,0.986,0,0,0,0.0000926,0,0.00266,0.00860
2023-03-11 10:08:00,0.980,0.00000926,0,0,0.0000741,0,0.00201,0.0159
2023-03-11 10:10:00,0.991,0.0000139,0,0,0.0000555,0,0.00209,0.00511
