"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-11 08:30:00,0.540,0.460,0.590
2023-03-11 08:32:00,0.740,0.800,0.660
2023-03-11 08:34:00,0.990,1.51,0.760
2023-03-11 08:36:00,1.28,1.63,0.900
2023-03-11 08:38:00,1.19,0.980,0.920
2023-03-11 08:40:00,0.940,0.530,0.850
2023-03-11 08:42:00,0.710,0.310,0.780
2023-03-11 08:44:00,0.580,0.230,0.720
2023-03-11 08:46:00,0.700,0.800,0.750
2023-03-11 08:48:00,0.910,1.41,0.820
2023-03-11 08:50:00,1.16,1.53,0.920
2023-03-11 08:52:00,0.930,0.740,0.860
2023-03-11 08:54:00,0.690,0.240,0.780
2023-03-11 08:56:00,1.01,1.87,0.870
2023-03-11 08:58:00,0.800,0.600,0.810
2023-03-11 09:00:00,1.09,1.17,0.930
2023-03-11 09:02:00,0.950,0.590,0.890
2023-03-11 09:04:00,0.970,0.630,0.920
2023-03-11 09:06:00,0.960,0.610,0.930
2023-03-11 09:08:00,0.950,0.660,0.930
2023-03-11 09:10:00,0.850,0.740,0.890
2023-03-11 09:12:00,0.820,0.830,0.880
2023-03-11 09:14:00,0.740,0.510,0.850
2023-03-11 09:16:00,0.620,0.340,0.790
2023-03-11 09:18:00,0.570,0.420,0.750
2023-03-11 09:20:00,0.600,0.690,0.730
2023-03-11 09:22:00,0.870,1.47,0.810
2023-03-11 09:24:00,0.720,0.630,0.760
2023-03-11 09:26:00,0.720,0.500,0.760
2023-03-11 09:28:00,0.620,0.420,0.720
2023-03-11 09:30:00,0.680,0.630,0.730
2023-03-11 09:32:00,0.520,0.260,0.660
2023-03-11 09:34:00,0.490,0.480,0.630
2023-03-11 09:36:00,0.520,0.460,0.630
2023-03-11 09:38:00,0.440,0.330,0.580
2023-03-11 09:40:00,0.490,0.450,0.580
2023-03-11 09:42:00,0.510,0.500,0.580
2023-03-11 09:44:00,1.01,1.75,0.750
2023-03-11 09:46:00,0.900,0.830,0.740
2023-03-11 09:48:00,0.690,0.350,0.680
2023-03-11 09:50:00,0.580,0.280,0.640
2023-03-11 09:52:00,0.500,0.310,0.600
2023-03-11 09:54:00,0.590,0.590,0.630
2023-03-11 09:56:00,0.620,0.620,0.640
2023-03-11 09:58:00,0.560,0.580,0.610
2023-03-11 10:00:00,0.450,0.220,0.560
2023-03-11 10:02:00,0.420,0.310,0.540
2023-03-11 10:04:00,0.300,0.0900,0.480
2023-03-11 10:06:00,0.450,0.560,0.510
2023-03-11 10:08:00,0.460,0.600,0.510
2023-03-11 10:10:00,0.850,1.82,0.640
2023-03-11 10:12:00,0.730,0.550,0.620
2023-03-11 10:14:00,0.640,0.390,0.610
