,Time,Type,Response,Code
0,2023-03-11 08:30:02.168970,Public,0.018804,200
0,2023-03-11 08:30:02.287558,Public,0.016089,200
0,2023-03-11 08:30:02.406847,Public,0.016984,200
0,2023-03-11 08:30:02.526399,Public,0.017226,200
0,2023-03-11 08:30:02.645779,Public,0.016999,200
0,2023-03-11 08:30:02.763176,Public,0.015075,200
0,2023-03-11 08:30:02.881968,Public,0.016403,200
0,2023-03-11 08:30:03.001579,Public,0.01719,200
0,2023-03-11 08:30:03.121604,Public,0.017514,200
0,2023-03-11 08:30:03.241899,Public,0.017518,200
0,2023-03-11 08:30:03.358746,Public,0.014354,200
0,2023-03-11 08:30:03.478675,Public,0.017416,200
0,2023-03-11 08:30:03.598694,Public,0.017421,200
0,2023-03-11 08:30:03.718137,Public,0.016762,200
0,2023-03-11 08:30:03.837332,Public,0.016781,200
0,2023-03-11 08:30:03.954013,Public,0.014323,200
0,2023-03-11 08:30:04.073011,Public,0.016531,200
0,2023-03-11 08:30:04.192342,Public,0.016634,200
0,2023-03-11 08:30:04.311654,Public,0.016919,200
0,2023-03-11 08:30:04.429862,Public,0.015795,200
0,2023-03-11 08:30:04.549152,Public,0.016664,200
0,2023-03-11 08:30:04.667694,Public,0.016145,200
0,2023-03-11 08:30:04.786738,Public,0.016654,200
0,2023-03-11 08:30:04.904131,Public,0.014977,200
0,2023-03-11 08:30:05.023044,Public,0.016463,200
0,2023-03-11 08:30:05.142298,Public,0.016616,200
0,2023-03-11 08:30:05.261791,Public,0.017076,200
0,2023-03-11 08:30:05.379363,Public,0.015171,200
0,2023-03-11 08:30:05.498514,Public,0.016743,200
0,2023-03-11 08:30:05.617513,Public,0.016498,200
0,2023-03-11 08:30:05.736787,Public,0.016639,200
0,2023-03-11 08:30:05.854469,Public,0.015314,200
0,2023-03-11 08:30:05.972739,Public,0.015856,200
0,2023-03-11 08:30:06.092113,Public,0.016941,200
0,2023-03-11 08:30:06.211165,Public,0.016397,200
0,2023-03-11 08:30:06.330604,Public,0.017063,200
0,2023-03-11 08:30:06.447963,Public,0.014964,200
0,2023-03-11 08:30:06.567094,Public,0.016685,200
0,2023-03-11 08:30:06.686523,Public,0.016831,200
0,2023-03-11 08:30:06.805595,Public,0.016573,200
0,2023-03-11 08:30:06.923285,Public,0.015225,200
0,2023-03-11 08:30:07.041964,Public,0.016301,200
0,2023-03-11 08:30:07.162043,Public,0.017589,200
0,2023-03-11 08:30:07.281762,Public,0.017319,200
0,2023-03-11 08:30:07.399018,Public,0.014844,200
0,2023-03-11 08:30:07.517968,Public,0.016553,200
0,2023-03-11 08:30:07.637334,Public,0.016892,200
0,2023-03-11 08:30:07.756818,Public,0.016867,200
0,2023-03-11 08:30:07.876273,Public,0.01708,200
0,2023-03-11 08:30:07.993547,Public,0.014829,200
0,2023-03-11 08:30:08.112760,Public,0.016696,200
0,2023-03-11 08:30:08.232247,Public,0.017032,200
0,2023-03-11 08:30:08.352383,Public,0.017534,200
0,2023-03-11 08:30:08.471605,Public,0.016824,200
0,2023-03-11 08:30:08.588782,Public,0.014782,200
0,2023-03-11 08:30:08.708342,Public,0.017167,200
0,2023-03-11 08:30:08.828041,Public,0.017128,200
0,2023-03-11 08:30:08.947419,Public,0.016854,200
0,2023-03-11 08:30:09.066005,Public,0.016151,200
0,2023-03-11 08:30:09.183312,Public,0.014904,200
0,2023-03-11 08:30:09.302715,Public,0.016919,200
0,2023-03-11 08:30:09.424390,Public,0.019018,200
0,2023-03-11 08:30:09.544240,Public,0.017288,200
0,2023-03-11 08:30:09.664243,Public,0.01743,200
0,2023-03-11 08:30:09.783430,Public,0.016345,200
0,2023-03-11 08:30:09.900976,Public,0.01508,200
0,2023-03-11 08:30:10.020375,Public,0.016982,200
0,2023-03-11 08:30:10.141551,Public,0.018805,200
0,2023-03-11 08:30:10.260972,Public,0.016803,200
0,2023-03-11 08:30:10.378142,Public,0.014506,200
0,2023-03-11 08:30:10.496209,Public,0.015532,200
0,2023-03-11 08:30:10.615679,Public,0.017087,200
0,2023-03-11 08:30:10.734970,Public,0.016875,200
0,2023-03-11 08:30:10.854283,Public,0.01669,200
0,2023-03-11 08:30:10.972349,Public,0.015662,200
0,2023-03-11 08:30:11.090684,Public,0.015934,200
0,2023-03-11 08:30:11.210085,Public,0.016974,200
0,2023-03-11 08:30:11.329324,Public,0.016674,200
