,Time,Type,Response,Code
0,2023-03-11 21:39:38.092406,Public,0.015001,200
0,2023-03-11 21:39:38.211518,Public,0.016612,200
0,2023-03-11 21:39:38.330931,Public,0.01681,200
0,2023-03-11 21:39:38.448315,Public,0.015022,200
0,2023-03-11 21:39:38.568550,Public,0.017757,200
0,2023-03-11 21:39:38.688662,Public,0.01744,200
0,2023-03-11 21:39:38.807322,Public,0.0163,200
0,2023-03-11 21:39:38.925440,Public,0.015553,200
0,2023-03-11 21:39:39.041867,Public,0.014097,200
0,2023-03-11 21:39:39.160110,Public,0.015898,200
0,2023-03-11 21:39:39.278195,Public,0.015783,200
0,2023-03-11 21:39:39.394626,Public,0.014098,200
0,2023-03-11 21:39:39.513004,Public,0.016085,200
0,2023-03-11 21:39:39.630150,Public,0.014836,200
0,2023-03-11 21:39:39.748476,Public,0.01599,200
0,2023-03-11 21:39:39.867716,Public,0.016893,200
0,2023-03-11 21:39:39.986948,Public,0.016922,200
0,2023-03-11 21:39:40.104354,Public,0.015043,200
0,2023-03-11 21:39:40.223581,Public,0.016815,200
0,2023-03-11 21:39:40.342782,Public,0.016707,200
0,2023-03-11 21:39:40.460239,Public,0.01517,200
0,2023-03-11 21:39:40.578343,Public,0.015731,200
0,2023-03-11 21:39:40.697582,Public,0.016647,200
0,2023-03-11 21:39:40.816675,Public,0.016769,200
0,2023-03-11 21:39:40.933298,Public,0.014016,200
0,2023-03-11 21:39:41.051771,Public,0.016149,200
0,2023-03-11 21:39:41.170855,Public,0.016751,200
0,2023-03-11 21:39:41.287846,Public,0.014644,200
0,2023-03-11 21:39:41.406608,Public,0.016434,200
0,2023-03-11 21:39:41.526513,Public,0.017327,200
0,2023-03-11 21:39:41.645893,Public,0.016956,200
0,2023-03-11 21:39:41.765271,Public,0.017014,200
0,2023-03-11 21:39:41.883263,Public,0.015659,200
0,2023-03-11 21:39:42.002491,Public,0.016934,200
0,2023-03-11 21:39:42.121775,Public,0.016558,200
0,2023-03-11 21:39:42.241111,Public,0.01698,200
0,2023-03-11 21:39:42.358619,Public,0.01519,200
0,2023-03-11 21:39:42.477943,Public,0.016982,200
0,2023-03-11 21:39:42.597075,Public,0.016598,200
0,2023-03-11 21:39:42.716429,Public,0.016974,200
0,2023-03-11 21:39:42.833720,Public,0.014976,200
0,2023-03-11 21:39:42.952982,Public,0.016656,200
0,2023-03-11 21:39:43.072308,Public,0.016618,200
0,2023-03-11 21:39:43.191541,Public,0.016817,200
0,2023-03-11 21:39:43.308904,Public,0.01503,200
0,2023-03-11 21:39:43.428297,Public,0.017074,200
0,2023-03-11 21:39:43.547375,Public,0.016703,200
0,2023-03-11 21:39:43.665548,Public,0.01568,200
0,2023-03-11 21:39:43.783456,Public,0.015573,200
0,2023-03-11 21:39:43.902475,Public,0.016675,200
0,2023-03-11 21:39:44.020687,Public,0.015765,200
0,2023-03-11 21:39:44.137872,Public,0.014915,200
0,2023-03-11 21:39:44.257085,Public,0.016726,200
0,2023-03-11 21:39:44.375746,Public,0.01631,200
0,2023-03-11 21:39:44.495773,Public,0.017608,200
0,2023-03-11 21:39:44.613056,Public,0.014938,200
0,2023-03-11 21:39:44.732343,Public,0.016899,200
0,2023-03-11 21:39:44.851528,Public,0.01671,200
0,2023-03-11 21:39:44.970673,Public,0.016726,200
0,2023-03-11 21:39:45.088934,Public,0.015568,200
0,2023-03-11 21:39:45.207307,Public,0.01608,200
0,2023-03-11 21:39:45.326654,Public,0.016991,200
0,2023-03-11 21:39:45.445791,Public,0.016671,200
0,2023-03-11 21:39:45.562981,Public,0.014887,200
0,2023-03-11 21:39:45.681682,Public,0.016405,200
0,2023-03-11 21:39:45.799912,Public,0.015912,200
0,2023-03-11 21:39:45.916959,Public,0.014732,200
0,2023-03-11 21:39:46.035575,Public,0.016318,200
0,2023-03-11 21:39:46.154517,Public,0.016272,200
0,2023-03-11 21:39:46.273689,Public,0.016544,200
0,2023-03-11 21:39:46.391151,Public,0.015141,200
0,2023-03-11 21:39:46.510558,Public,0.017071,200
0,2023-03-11 21:39:46.629809,Public,0.016793,200
0,2023-03-11 21:39:46.748847,Public,0.016725,200
0,2023-03-11 21:39:46.866385,Public,0.015227,200
0,2023-03-11 21:39:46.985345,Public,0.016576,200
0,2023-03-11 21:39:47.104942,Public,0.016642,200
0,2023-03-11 21:39:47.224365,Public,0.016144,200
0,2023-03-11 21:39:47.341289,Public,0.014565,200
0,2023-03-11 21:39:47.460523,Public,0.01687,200
0,2023-03-11 21:39:47.579045,Public,0.015828,200
0,2023-03-11 21:39:47.697208,Public,0.015758,200
0,2023-03-11 21:39:47.815427,Public,0.015852,200
0,2023-03-11 21:39:47.934546,Public,0.016753,200
0,2023-03-11 21:39:48.054105,Public,0.017124,200
0,2023-03-11 21:39:48.173228,Public,0.016792,200
0,2023-03-11 21:39:48.290636,Public,0.01509,200
0,2023-03-11 21:39:48.409509,Public,0.016511,200
0,2023-03-11 21:39:48.528177,Public,0.016181,200
0,2023-03-11 21:39:48.646286,Public,0.015785,200
0,2023-03-11 21:39:48.764970,Public,0.016318,200
0,2023-03-11 21:39:48.883890,Public,0.016496,200
0,2023-03-11 21:39:49.004097,Public,0.017353,200
0,2023-03-11 21:39:49.123579,Public,0.017154,200
0,2023-03-11 21:39:49.240939,Public,0.014954,200
0,2023-03-11 21:39:49.360214,Public,0.016899,200
0,2023-03-11 21:39:49.479572,Public,0.016952,200
