"Time","FIN","RST","SYN","SYN-ACK"
2023-03-11 09:00:00,15.6,2.74,10.4,8.96
2023-03-11 09:02:00,15.8,2.78,10.5,9.02
2023-03-11 09:04:00,15.6,2.72,10.4,8.96
2023-03-11 09:06:00,15.7,2.70,10.5,9.06
2023-03-11 09:08:00,15.6,2.70,10.5,9.02
2023-03-11 09:10:00,15.8,2.70,10.6,9.08
2023-03-11 09:12:00,21.7,5.98,13.9,11.8
2023-03-11 09:14:00,15.7,2.66,10.4,8.96
2023-03-11 09:16:00,15.7,2.70,10.5,9.06
2023-03-11 09:18:00,15.6,2.66,10.4,8.98
2023-03-11 09:20:00,15.8,2.74,10.5,9.02
2023-03-11 09:22:00,26.9,13.1,17.4,13.5
2023-03-11 09:24:00,15.7,2.70,10.5,9.04
2023-03-11 09:26:00,15.5,2.68,10.4,8.98
2023-03-11 09:28:00,15.8,2.68,10.6,9.12
2023-03-11 09:30:00,15.6,2.72,10.5,9.02
2023-03-11 09:32:00,31.7,19.2,20.6,15.1
2023-03-11 09:34:00,15.7,2.64,10.5,9.04
2023-03-11 09:36:00,15.7,2.74,10.5,9.02
2023-03-11 09:38:00,15.8,2.74,10.5,9.06
2023-03-11 09:40:00,15.6,2.76,10.3,8.94
2023-03-11 09:42:00,36.9,26.2,24.1,16.9
2023-03-11 09:44:00,15.7,2.74,10.4,8.96
2023-03-11 09:46:00,15.8,2.84,10.6,9.10
2023-03-11 09:48:00,15.6,2.74,10.4,9.02
2023-03-11 09:50:00,15.8,2.70,10.5,9.02
2023-03-11 09:52:00,37.2,26.9,24.5,16.9
2023-03-11 09:54:00,15.7,2.72,10.4,8.96
2023-03-11 09:56:00,15.8,2.78,10.6,9.10
2023-03-11 09:58:00,15.6,2.80,10.4,8.98
2023-03-11 10:00:00,15.8,2.74,10.5,9.02
2023-03-11 10:02:00,31.9,24.7,21.4,14.3
2023-03-11 10:04:00,15.8,2.78,10.5,9.04
2023-03-11 10:06:00,15.7,2.74,10.6,9.10
2023-03-11 10:08:00,15.8,2.62,10.5,9.06
2023-03-11 10:10:00,15.8,2.78,10.6,9.08
2023-03-11 10:12:00,27.4,18.5,18.4,12.8
2023-03-11 10:14:00,15.8,2.74,10.5,9.04
2023-03-11 10:16:00,15.6,2.74,10.5,9.02
2023-03-11 10:18:00,15.8,2.74,10.5,9.06
2023-03-11 10:20:00,15.6,2.74,10.3,8.94
2023-03-11 10:22:00,22.3,11.6,15.0,11.1
2023-03-11 10:24:00,15.6,2.76,10.4,8.96
2023-03-11 10:26:00,15.9,2.70,10.6,9.10
2023-03-11 10:28:00,15.7,2.80,10.6,9.12
2023-03-11 10:30:00,15.7,2.70,10.4,8.98
2023-03-11 10:32:00,18.4,6.54,12.4,9.84
2023-03-11 10:34:00,15.6,2.70,10.4,8.96
2023-03-11 10:36:00,15.8,2.72,10.6,9.10
2023-03-11 10:38:00,15.6,2.66,10.4,8.98
2023-03-11 10:40:00,15.7,2.68,10.5,8.98
2023-03-11 10:42:00,15.5,2.74,10.3,8.94
2023-03-11 10:44:00,15.7,2.62,10.5,9.04
2023-03-11 10:46:00,15.7,2.78,10.5,9.06
2023-03-11 10:48:00,15.7,2.66,10.5,9.06
2023-03-11 10:50:00,15.8,2.84,10.5,9.02
2023-03-11 10:52:00,15.7,2.70,10.3,8.94
2023-03-11 10:54:00,15.7,2.74,10.5,9.04
2023-03-11 10:56:00,15.7,2.64,10.5,9.02
2023-03-11 10:58:00,15.8,2.76,10.5,9.06
2023-03-11 11:00:00,15.6,2.82,10.3,8.94
2023-03-11 11:02:00,15.7,2.78,10.5,9.02
2023-03-11 11:04:00,15.6,2.82,10.4,8.96
2023-03-11 11:06:00,15.8,2.70,10.6,9.08
2023-03-11 11:08:00,15.8,2.68,10.5,9.06
2023-03-11 11:10:00,15.8,2.82,10.4,9
