"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-11 09:00:00,1696,1413,5532,1565,160,3038,0,4911,85.1,549,0
2023-03-11 09:04:00,1355,1340,4770,1554,158,3036,0,4442,84.9,573,0
2023-03-11 09:08:00,1409,1390,13091,3716,190,3069,0,12627,103,566,0
2023-03-11 09:12:00,1376,1343,7648,2252,149,3249,0.334,9343,85.8,2229,0
2023-03-11 09:16:00,1403,1330,3967,1521,155,2898,0,3983,88.1,565,0
2023-03-11 09:20:00,1435,1353,4454,1604,153,2914,0,4108,85.4,572,0
2023-03-11 09:24:00,1375,1340,4567,1941,147,2788,0,4289,89.0,571,0
2023-03-11 09:28:00,1373,1326,5027,3184,149,2913,0,4836,87.2,568,0
2023-03-11 09:32:00,1364,1322,6773,2154,156,2902,0,7587,83.0,3116,0
2023-03-11 09:36:00,1372,1313,4459,1430,144,2897,0,3999,81.5,575,0
2023-03-11 09:40:00,1371,1346,4581,1563,154,3016,0,4511,85.5,576,0
2023-03-11 09:44:00,1378,1414,4870,2620,153,2893,0,4638,91.2,578,0
2023-03-11 09:48:00,1390,1328,4645,2062,144,3013,0,4187,88.8,575,0
2023-03-11 09:52:00,1378,1341,3900,1536,151,3118,0,6581,85.7,569,0
2023-03-11 09:56:00,1390,1337,4140,1506,147,2797,0,4123,89.5,561,0
2023-03-11 10:00:00,1726,1418,4757,1455,150,2943,0.254,4224,83.5,552,0
2023-03-11 10:04:00,3230,1414,5873,2930,155,3123,0,6453,84.1,577,0
2023-03-11 10:08:00,1396,1309,4616,1995,142,3091,0,4592,84.9,553,0
2023-03-11 10:12:00,1369,1320,5474,1545,148,2907,0,4282,82.4,566,0
2023-03-11 10:16:00,1364,1340,4596,1507,147,3127,0,4397,82.8,585,0
2023-03-11 10:20:00,1359,1306,4571,1943,151,3135,0,4597,87.7,559,0
2023-03-11 10:24:00,1407,1333,5645,2740,152,3117,0,5663,87.9,2256,0
2023-03-11 10:28:00,1399,1343,3885,1528,156,3055,0,3598,82.4,571,0.715
2023-03-11 10:32:00,1386,1327,4043,1451,148,2924,0,3809,82.7,576,0
2023-03-11 10:36:00,1366,1338,3926,1550,149,3044,0,3929,82.0,562,0
2023-03-11 10:40:00,1370,1388,5118,3130,149,2927,0,4524,84.9,588,0
2023-03-11 10:44:00,1423,1341,6653,1919,148,2854,0,6169,85.5,842,0
2023-03-11 10:48:00,3151,1318,5862,1452,156,3015,0,5699,80.9,563,0
2023-03-11 10:52:00,1362,1357,4551,1448,152,3032,0,4036,84.1,575,0
2023-03-11 10:56:00,1386,1342,4343,1550,152,2861,0.223,4250,81.6,566,0
2023-03-11 11:00:00,1696,1423,5470,2274,155,3094,0,5249,84.1,571,0
2023-03-11 11:04:00,1354,1335,6047,2392,149,3084,0,8548,82.1,4877,0
2023-03-11 11:08:00,1365,1317,3851,1488,161,3201,0,3958,87.2,561,0
2023-03-11 11:12:00,1369,1332,4439,1504,149,2764,0,3976,83.6,559,0
2023-03-11 11:16:00,1355,1317,4198,2033,156,2758,0,4050,81.1,554,0
2023-03-11 11:20:00,1375,1383,4970,3543,160,3023,0,4419,87.2,561,0
2023-03-11 11:24:00,1366,1340,8962,1502,152,2799,0,9790,84.7,5612,0.341
2023-03-11 11:28:00,1367,1337,4628,1500,158,2930,0,4333,83.7,561,0
2023-03-11 11:32:00,1362,1314,4372,1529,168,3072,0,4601,82.3,583,0
2023-03-11 11:36:00,1369,1346,4843,2942,162,3011,0,4908,84.8,557,0
2023-03-11 11:40:00,1363,1305,4877,1581,150,2999,0,4683,83.6,555,0
2023-03-11 11:44:00,3347,1319,8987,1604,166,2975,0,10225,91.1,3962,0
2023-03-11 11:48:00,1399,1323,4194,1485,148,3062,0,3654,81.1,567,0
2023-03-11 11:52:00,1321,1350,4103,1495,143,2940,0,3853,85.0,562,0
2023-03-11 11:56:00,1346,1326,4941,2495,150,3126,0,4520,87.1,581,0
2023-03-11 12:00:00,1367,1370,4892,2496,156,3116,0,4531,84.8,564,0
2023-03-11 12:04:00,1323,1330,5987,1509,149,3117,0,6355,87.4,2270,0
2023-03-11 12:08:00,1392,1339,4676,1539,155,3100,0,4502,83.2,551,0
2023-03-11 12:12:00,1374,1342,4994,1714,148,2938,0,4748,83.9,554,0
