"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-11 09:00:00,14005,106905,15412,0,0,0,9183,0
2023-03-11 09:04:00,70407,65487,50260,0,0,0,9447,0
2023-03-11 09:08:00,11794,73744,15571,0,0,0,7902,0
2023-03-11 09:12:00,17763,101624,15649,0,0,0,7964,0
2023-03-11 09:16:00,16121,114828,15250,0,0,0,8233,0
2023-03-11 09:20:00,16265,107982,15316,0,0,0,7741,0
2023-03-11 09:24:00,15909,58204,15532,0,0,0,8596,0
2023-03-11 09:28:00,12666,59643,15720,0,0,0,8039,0
2023-03-11 09:32:00,17095,110484,33487,0,0,0,8138,0
2023-03-11 09:36:00,16129,107175,15755,0,0,0,8335,0
2023-03-11 09:40:00,16586,120920,15502,0,0,0,9962,0
2023-03-11 09:44:00,16544,62282,33481,0,0,0,8569,0
2023-03-11 09:48:00,16076,58382,15450,0,0,0,7932,0
2023-03-11 09:52:00,16223,108281,15420,0,0,0,7755,0
2023-03-11 09:56:00,17631,112310,15200,0,0,0,8448,0
2023-03-11 10:00:00,16859,108752,15730,0,0,0,7874,0
2023-03-11 10:04:00,15675,88890,32285,0,0,0,8461,0
2023-03-11 10:08:00,17881,32793,15438,0,0,0,8081,0
2023-03-11 10:12:00,15910,113067,15473,0,0,0,9172,0
2023-03-11 10:16:00,14543,117399,15384,0,0,0,8843,0
2023-03-11 10:20:00,16787,105511,15528,0,0,0,8036,0
2023-03-11 10:24:00,16414,63703,33090,0,0,0,8017,0
2023-03-11 10:28:00,15428,60884,92248,0,0,0,8026,0
2023-03-11 10:32:00,17607,119371,18317,0,0,0,7876,0
2023-03-11 10:36:00,17098,114302,15752,0,0,0,8310,0
2023-03-11 10:40:00,16191,109563,15416,0,0,0,7789,0
2023-03-11 10:44:00,17921,64572,15233,0,0,0,8164,0
2023-03-11 10:48:00,16022,58726,15561,0,0,0,8129,0
2023-03-11 10:52:00,15337,106182,15394,0,0,0,7563,0
2023-03-11 10:56:00,11798,115079,15489,0,0,0,8475,0
2023-03-11 11:00:00,14060,109454,15528,0,0,0,8579,0
2023-03-11 11:04:00,107278,66341,50755,0,0,0,8146,0
2023-03-11 11:08:00,16591,56908,15463,0,0,0,8223,0
2023-03-11 11:12:00,160596,113473,15171,0,0,0,7734,0
2023-03-11 11:16:00,14421,114683,15867,0,0,0,8166,0
2023-03-11 11:20:00,14689,109332,15205,0,0,0,7634,0
2023-03-11 11:24:00,13622,61426,15263,0,0,0,7679,0
2023-03-11 11:28:00,13618,51064,15871,0,0,0,8070,0
2023-03-11 11:32:00,14846,107346,33563,0,0,0,7574,0
2023-03-11 11:36:00,13833,107860,15906,0,0,0,8121,0
2023-03-11 11:40:00,12735,108956,15412,0,0,0,7742,0
2023-03-11 11:44:00,14331,58953,32838,0,0,0,7897,0
2023-03-11 11:48:00,14536,51432,15503,0,0,0,7919,0
2023-03-11 11:52:00,14660,101949,15433,0,0,0,7566,0
2023-03-11 11:56:00,13608,109307,15481,0,0,0,8232,0
2023-03-11 12:00:00,14700,112830,15396,0,0,0,7673,0
2023-03-11 12:04:00,190947,63515,152087,0,0,0,7529,0
2023-03-11 12:08:00,15905,58400,15410,0,0,0,8288,0
2023-03-11 12:12:00,16245,110952,15672,0,0,0,8077,0
2023-03-11 12:16:00,16630,115650,15245,0,0,0,8119,0
2023-03-11 12:20:00,16871,106649,33358,0,0,0,7603,0
