"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-11 09:00:00,1696,2826,1189345,6259,480,6076,0,731714,3063,7681,0
2023-03-11 09:04:00,1355,2679,1025553,6216,473,6072,0,661828,3058,8024,0
2023-03-11 09:08:00,1409,2779,2814524,14863,570,6137,0,1881423,3694,7919,0
2023-03-11 09:12:00,1376,2686,1644404,9008,448,6498,1.67,1392151,3090,31202,0
2023-03-11 09:16:00,1403,2660,852856,6085,465,5796,0,593436,3173,7917,0
2023-03-11 09:20:00,1435,2705,957667,6417,459,5827,0,612074,3074,8012,0
2023-03-11 09:24:00,1375,2680,981829,7764,440,5576,0,639036,3204,7989,0
2023-03-11 09:28:00,1373,2652,1080808,12737,447,5826,0,720497,3139,7956,0
2023-03-11 09:32:00,1364,2644,1456091,8617,467,5805,0,1130455,2988,43617,0
2023-03-11 09:36:00,1372,2625,958675,5721,433,5794,0,595794,2934,8044,0
2023-03-11 09:40:00,1371,2693,985022,6254,461,6032,0,672167,3078,8068,0
2023-03-11 09:44:00,1378,2828,1047110,10482,459,5786,0,691090,3284,8095,0
2023-03-11 09:48:00,1390,2655,998766,8249,432,6025,0,623879,3197,8046,0
2023-03-11 09:52:00,1378,2682,838448,6145,454,6235,0,980512,3084,7966,0
2023-03-11 09:56:00,1390,2674,890045,6023,441,5595,0,614355,3222,7848,0
2023-03-11 10:00:00,1726,2836,1022810,5821,450,5886,1.27,629327,3004,7727,0
2023-03-11 10:04:00,3230,2829,1262692,11722,465,6246,0,961472,3027,8077,0
2023-03-11 10:08:00,1396,2618,992336,7980,425,6182,0,684212,3057,7745,0
2023-03-11 10:12:00,1369,2641,1176842,6179,443,5815,0,637950,2967,7925,0
2023-03-11 10:16:00,1364,2680,988122,6027,441,6254,0,655219,2983,8193,0
2023-03-11 10:20:00,1359,2612,982686,7772,454,6269,0,685023,3157,7821,0
2023-03-11 10:24:00,1407,2665,1213761,10959,455,6233,0,843782,3163,31582,0
