"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-11 09:00:00,1474,1328,4765,1938,151,2982,0,4649,87.2,558,0
2023-03-11 09:02:00,1474,1328,4765,1938,151,2982,0,4649,87.2,558,0
2023-03-11 09:04:00,1474,1328,4765,1938,151,2982,0,4649,87.2,558,0
2023-03-11 09:06:00,1374,1459,5333,1934,153,3050,0.0467,5219,85.7,1445,0
2023-03-11 09:08:00,1374,1459,5333,1934,153,3050,0.0467,5219,85.7,1445,0
2023-03-11 09:10:00,1416,1258,6864,2112,178,2957,0.0467,6814,90.0,562,0
2023-03-11 09:12:00,1416,1258,6864,2112,178,2957,0.0467,6814,90.0,562,0
2023-03-11 09:14:00,1416,1258,6864,2112,178,2957,0.0467,6814,90.0,562,0
2023-03-11 09:16:00,1361,1340,5559,2017,156,3018,0.0933,5577,89.5,1456,0
2023-03-11 09:18:00,1361,1340,5559,2017,156,3018,0.0933,5577,89.5,1456,0
2023-03-11 09:20:00,1969,1363,4727,1920,155,3023,0,4380,84.4,565,0
2023-03-11 09:22:00,1969,1363,4727,1920,155,3023,0,4380,84.4,565,0
2023-03-11 09:24:00,1969,1363,4727,1920,155,3023,0,4380,84.4,565,0
2023-03-11 09:26:00,1170,1336,5511,1971,150,2797,0.0467,5357,87.3,1547,0.156
2023-03-11 09:28:00,1170,1336,5511,1971,150,2797,0.0467,5357,87.3,1547,0.156
2023-03-11 09:30:00,1663,1447,4527,1934,151,3118,0,4409,82.7,489,0.0778
2023-03-11 09:32:00,1663,1447,4527,1934,151,3118,0,4409,82.7,489,0.0778
2023-03-11 09:34:00,1663,1447,4527,1934,151,3118,0,4409,82.7,489,0.0778
2023-03-11 09:36:00,1144,1234,5261,1813,157,3029,0,5182,86.9,1542,0
2023-03-11 09:38:00,1144,1234,5261,1813,157,3029,0,5182,86.9,1542,0
2023-03-11 09:40:00,1751,1330,4959,1944,153,2899,0,4630,86.9,485,0
2023-03-11 09:42:00,1751,1330,4959,1944,153,2899,0,4630,86.9,485,0
2023-03-11 09:44:00,1751,1330,4959,1944,153,2899,0,4630,86.9,485,0
2023-03-11 09:46:00,1373,1331,5280,1916,154,3121,0,5418,84.0,1455,0
2023-03-11 09:48:00,1373,1331,5280,1916,154,3121,0,5418,84.0,1455,0
2023-03-11 09:50:00,1601,1502,4765,1887,149,2929,0,4326,86.0,635,0
2023-03-11 09:52:00,1601,1502,4765,1887,149,2929,0,4326,86.0,635,0
2023-03-11 09:54:00,1601,1502,4765,1887,149,2929,0,4326,86.0,635,0
2023-03-11 09:56:00,1160,1330,5191,1874,157,2964,0,5183,86.4,1376,0
2023-03-11 09:58:00,1160,1330,5191,1874,157,2964,0,5183,86.4,1376,0
2023-03-11 10:00:00,1425,1350,4553,1919,149,3017,0.0467,4388,87.3,566,0
2023-03-11 10:02:00,1425,1350,4553,1919,149,3017,0.0467,4388,87.3,566,0
2023-03-11 10:04:00,1425,1350,4553,1919,149,3017,0.0467,4388,87.3,566,0
2023-03-11 10:06:00,1737,1235,5635,1888,156,3007,0,5739,84.2,1460,0
2023-03-11 10:08:00,1737,1235,5635,1888,156,3007,0,5739,84.2,1460,0
2023-03-11 10:10:00,1380,1349,4447,1912,148,2970,0,4036,87.6,585,0
2023-03-11 10:12:00,1380,1349,4447,1912,148,2970,0,4036,87.6,585,0
2023-03-11 10:14:00,1380,1349,4447,1912,148,2970,0,4036,87.6,585,0
2023-03-11 10:16:00,1375,1463,5485,1944,158,2957,0.0933,5438,84.1,1525,0
