"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-11 09:00:00,10.5,17.7,1052,47.4,3.28,20.1,0,765,39.1,18.2,0
2023-03-11 09:01:00,10.5,17.7,1052,47.4,3.28,20.1,0,765,39.1,18.2,0
2023-03-11 09:02:00,10.5,17.7,1052,47.4,3.28,20.1,0,765,39.1,18.2,0
2023-03-11 09:03:00,10.5,17.7,1052,47.4,3.28,20.1,0,765,39.1,18.2,0
2023-03-11 09:04:00,10.5,17.7,1052,47.4,3.28,20.1,0,765,39.1,18.2,0
2023-03-11 09:05:00,9.85,19.4,1252,47.6,3.31,20.5,0,886,37.1,27.0,0
2023-03-11 09:06:00,9.85,19.4,1252,47.6,3.31,20.5,0,886,37.1,27.0,0
2023-03-11 09:07:00,9.85,19.4,1252,47.6,3.31,20.5,0,886,37.1,27.0,0
2023-03-11 09:08:00,9.85,19.4,1252,47.6,3.31,20.5,0,886,37.1,27.0,0
2023-03-11 09:09:00,9.85,19.4,1252,47.6,3.31,20.5,0,886,37.1,27.0,0
2023-03-11 09:10:00,10.4,17.2,1275,60.6,4.65,21.3,0,846,42.2,18.6,0
2023-03-11 09:11:00,10.4,17.2,1275,60.6,4.65,21.3,0,846,42.2,18.6,0
2023-03-11 09:12:00,10.4,17.2,1275,60.6,4.65,21.3,0,846,42.2,18.6,0
2023-03-11 09:13:00,10.4,17.2,1275,60.6,4.65,21.3,0,846,42.2,18.6,0
2023-03-11 09:14:00,10.4,17.2,1275,60.6,4.65,21.3,0,846,42.2,18.6,0
2023-03-11 09:15:00,9.71,17.8,1306,55.3,3.41,20.0,0.0100,952,39.7,27.1,0.00667
2023-03-11 09:16:00,9.71,17.8,1306,55.3,3.41,20.0,0.0100,952,39.7,27.1,0.00667
2023-03-11 09:17:00,9.71,17.8,1306,55.3,3.41,20.0,0.0100,952,39.7,27.1,0.00667
2023-03-11 09:18:00,9.71,17.8,1306,55.3,3.41,20.0,0.0100,952,39.7,27.1,0.00667
2023-03-11 09:19:00,9.71,17.8,1306,55.3,3.41,20.0,0.0100,952,39.7,27.1,0.00667
2023-03-11 09:20:00,14.7,18.2,1056,47.0,3.35,21.1,0.00333,718,37.4,18.5,0
2023-03-11 09:21:00,14.7,18.2,1056,47.0,3.35,21.1,0.00333,718,37.4,18.5,0
2023-03-11 09:22:00,14.7,18.2,1056,47.0,3.35,21.1,0.00333,718,37.4,18.5,0
2023-03-11 09:23:00,14.7,18.2,1056,47.0,3.35,21.1,0.00333,718,37.4,18.5,0
2023-03-11 09:24:00,14.7,18.2,1056,47.0,3.35,21.1,0.00333,718,37.4,18.5,0
2023-03-11 09:25:00,8.29,17.8,1278,47.4,3.26,19.6,0.00333,908,38.3,28.2,0
2023-03-11 09:26:00,8.29,17.8,1278,47.4,3.26,19.6,0.00333,908,38.3,28.2,0
2023-03-11 09:27:00,8.29,17.8,1278,47.4,3.26,19.6,0.00333,908,38.3,28.2,0
2023-03-11 09:28:00,8.29,17.8,1278,47.4,3.26,19.6,0.00333,908,38.3,28.2,0
2023-03-11 09:29:00,8.29,17.8,1278,47.4,3.26,19.6,0.00333,908,38.3,28.2,0
2023-03-11 09:30:00,11.8,19.0,1004,49.3,3.29,21.6,0,738,37.5,18.1,0.00333
2023-03-11 09:31:00,11.8,19.0,1004,49.3,3.29,21.6,0,738,37.5,18.1,0.00333
2023-03-11 09:32:00,11.8,19.0,1004,49.3,3.29,21.6,0,738,37.5,18.1,0.00333
2023-03-11 09:33:00,11.8,19.0,1004,49.3,3.29,21.6,0,738,37.5,18.1,0.00333
2023-03-11 09:34:00,11.8,19.0,1004,49.3,3.29,21.6,0,738,37.5,18.1,0.00333
2023-03-11 09:35:00,8.14,16.5,1229,44.5,3.34,20.1,0,881,37.7,28.5,0
