"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-7bbf9dc945-wtrxq","carts-db-ff8647ccb-z2fb4","catalogue-6479dbb5bd-whlfk","catalogue-db-6b55d8cdb7-wtsrs","cert-manager-5fdbd97fb5-twfxc","cert-manager-cainjector-7c44879bc4-nfbgp","cert-manager-webhook-5db84854c8-7q6gj","cilium-bcb99","cilium-mj4pf","cilium-operator-d7fc69fd7-5rxf2","cilium-sbgdv","coredns-7b5bbc6644-psb9t","csi-attacher-59db6bb96c-h5hh5","csi-attacher-59db6bb96c-m2bsv","csi-attacher-59db6bb96c-ml2dt","csi-provisioner-6d44d79b88-9sccm","csi-provisioner-6d44d79b88-nxh25","csi-provisioner-6d44d79b88-x44z5","csi-resizer-74cc7c9c95-7k2ms","csi-resizer-74cc7c9c95-l9jtl","csi-resizer-74cc7c9c95-zxgjc","csi-snapshotter-7f7685dfdb-776js","csi-snapshotter-7f7685dfdb-kwzvl","csi-snapshotter-7f7685dfdb-nctd8","deathstar-f694cf746-9vf7c","deathstar-f694cf746-lv9mm","engine-image-ei-87057037-4mq7g","engine-image-ei-87057037-gqrxz","engine-image-ei-87057037-zdvkh","fleet-agent-86bcc7466d-6csbq","fleet-controller-7bbd96b579-d6srq","front-end-7f5c844b4c-2jvnj","gitjob-5bd78d7cd9-7dtx2","grafana-84476dcf4b-dt9vx","hubble-relay-6565cf56c6-cmq5l","hubble-ui-64bd8dcbf5-hdjkd","instance-manager-e-78427b4128d49c0dee9f52ee7fbc2302","instance-manager-e-8c78a443358c60e38a26eaa03e2d5f24","instance-manager-e-f1a21f4ad9b4de30e3a654fccd054c70","instance-manager-r-78427b4128d49c0dee9f52ee7fbc2302","instance-manager-r-8c78a443358c60e38a26eaa03e2d5f24","instance-manager-r-f1a21f4ad9b4de30e3a654fccd054c70","local-path-provisioner-687d6d7765-25k5z","longhorn-admission-webhook-65dddb89d6-6hcn7","longhorn-admission-webhook-65dddb89d6-hlmm2","longhorn-conversion-webhook-dff96899b-gckz9","longhorn-conversion-webhook-dff96899b-r6l5n","longhorn-csi-plugin-bgxdz","longhorn-csi-plugin-c4d9w","longhorn-csi-plugin-wpmkj","longhorn-driver-deployer-5b7f74f969-vrdcq","longhorn-manager-f68ph","longhorn-manager-lxp4c","longhorn-manager-slztz","longhorn-recovery-backend-dbb6555bf-hnfl2","longhorn-recovery-backend-dbb6555bf-wq6g5","longhorn-ui-d455dd57-lrnrp","longhorn-ui-d455dd57-xzsw4","metrics-server-667586758d-fc9lb","orders-74f65597c5-q7dqm","orders-db-795cb4dcd8-lgkws","payment-c7df5b49-brp2f","prometheus-7dbb447479-qcpgs","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-59gpz","pushprox-k3s-server-client-7brms","pushprox-k3s-server-client-wj8np","pushprox-k3s-server-proxy-695c9cdf7d-lf6kt","queue-master-9fc44d68d-psphb","rabbitmq-6576689cc9-wvrbb","rancher-7c5dbf46fc-4px9t","rancher-7c5dbf46fc-mb6hl","rancher-7c5dbf46fc-szlcq","rancher-monitoring-grafana-586df56bff-pwfnk","rancher-monitoring-kube-state-metrics-77ddfd789b-qgqg2","rancher-monitoring-operator-ff6cfcc76-fhxj4","rancher-monitoring-prometheus-adapter-79d8db9697-6gklr","rancher-monitoring-prometheus-node-exporter-lxnb2","rancher-monitoring-prometheus-node-exporter-t56nk","rancher-monitoring-prometheus-node-exporter-x25m2","rancher-webhook-577b778f8f-rrz8g","session-db-695f7fd48f-w6fhb","shipping-79c568cddc-splwn","svclb-traefik-06f0c0df-2m7qc","svclb-traefik-06f0c0df-8rdcw","svclb-traefik-06f0c0df-slfk2","tiefighter","tracee-7kwfb","tracee-khvmc","tracee-wk8xm","traefik-64b96ccbcd-4dql6","ubuntu","user-79dddf5cc9-nqq6m","user-db-b8dfb847c-mlkjp","xwing"
2023-03-11 09:00:00,234,39.8,19.6,285,0,220,161,154,94098,154328,128258,128648,379,379,127,127,528,122,122,126,129,447,128,122,482,0,0,0,0,0,5270,4525,416,2469,104,88.9,0,65.5,67.4,64.0,65.9,64.7,66.6,4.08,1723,1815,31.7,32.0,90.3,105,88.8,0,1797,1738,2198,1815,1872,0,0,1926,38.5,18.4,356,65541,35646,94773,142308,127170,16117,4.68,4.65,6886,14634,6616,5935,1523,286,21281,129651,94301,138585,2077,0.360,0,0,0,0,0,0,0,0,150,0,336,142,0
2023-03-11 09:02:00,234,39.8,19.6,285,0,220,161,154,94098,154328,128258,128648,379,379,127,127,528,122,122,126,129,447,128,122,482,0,0,0,0,0,5270,4525,416,2469,104,88.9,0,65.5,67.4,64.0,65.9,64.7,66.6,4.08,1723,1815,31.7,32.0,90.3,105,88.8,0,1797,1738,2198,1815,1872,0,0,1926,38.5,18.4,356,65541,35646,94773,142308,127170,16117,4.68,4.65,6886,14634,6616,5935,1523,286,21281,129651,94301,138585,2077,0.360,0,0,0,0,0,0,0,0,150,0,336,142,0
2023-03-11 09:04:00,234,39.8,19.6,285,0,220,161,154,94098,154328,128258,128648,379,379,127,127,528,122,122,126,129,447,128,122,482,0,0,0,0,0,5270,4525,416,2469,104,88.9,0,65.5,67.4,64.0,65.9,64.7,66.6,4.08,1723,1815,31.7,32.0,90.3,105,88.8,0,1797,1738,2198,1815,1872,0,0,1926,38.5,18.4,356,65541,35646,94773,142308,127170,16117,4.68,4.65,6886,14634,6616,5935,1523,286,21281,129651,94301,138585,2077,0.360,0,0,0,0,0,0,0,0,150,0,336,142,0
2023-03-11 09:06:00,172,334,211,430,37.6,224,154,154,87328,183673,156544,157457,369,520,118,128,365,129,125,120,126,516,125,132,444,0,0,0,0,0,4366,4453,1239,3043,78.5,83.7,0,66.1,65.5,66.1,66.1,64.6,64.2,4.36,1841,1785,32.0,31.1,93.8,75.4,91.3,0,1785,1887,1468,1735,1820,0,0,1907,39.8,19,249,67087,35841,87247,185944,161176,16101,3.31,4.27,6758,13464,6994,101,1559,160,16409,160923,87116,187472,2023,35.2,0,0,0,0,0,0,0,0,13239,0,413,179,0
2023-03-11 09:08:00,172,334,211,430,37.6,224,154,154,87328,183673,156544,157457,369,520,118,128,365,129,125,120,126,516,125,132,444,0,0,0,0,0,4366,4453,1239,3043,78.5,83.7,0,66.1,65.5,66.1,66.1,64.6,64.2,4.36,1841,1785,32.0,31.1,93.8,75.4,91.3,0,1785,1887,1468,1735,1820,0,0,1907,39.8,19,249,67087,35841,87247,185944,161176,16101,3.31,4.27,6758,13464,6994,101,1559,160,16409,160923,87116,187472,2023,35.2,0,0,0,0,0,0,0,0,13239,0,413,179,0
2023-03-11 09:10:00,234,38.5,19.2,295,0,6374,4664,151,157219,144915,132219,130884,386,371,127,124,453,115,119,126,116,374,128,115,475,0,0,0,0,0,7513,7687,416,5226,99.8,87.2,0,66.3,63.7,66.8,65.5,68.3,68.7,4.90,8043,8009,3014,3028,90.6,88.6,90.1,0,5055,4962,4744,5053,5016,0,0,1911,37.2,19.6,301,69619,38292,153932,170924,133133,16106,3.99,4.27,20629,29200,20402,159,3960,32178,22111,126470,157291,163362,5109,0.360,0,0,0,0,0,0,0,0,6156,0,425,140,0
2023-03-11 09:12:00,234,38.5,19.2,295,0,6374,4664,151,157219,144915,132219,130884,386,371,127,124,453,115,119,126,116,374,128,115,475,0,0,0,0,0,7513,7687,416,5226,99.8,87.2,0,66.3,63.7,66.8,65.5,68.3,68.7,4.90,8043,8009,3014,3028,90.6,88.6,90.1,0,5055,4962,4744,5053,5016,0,0,1911,37.2,19.6,301,69619,38292,153932,170924,133133,16106,3.99,4.27,20629,29200,20402,159,3960,32178,22111,126470,157291,163362,5109,0.360,0,0,0,0,0,0,0,0,6156,0,425,140,0
2023-03-11 09:14:00,234,38.5,19.2,295,0,6374,4664,151,157219,144915,132219,130884,386,371,127,124,453,115,119,126,116,374,128,115,475,0,0,0,0,0,7513,7687,416,5226,99.8,87.2,0,66.3,63.7,66.8,65.5,68.3,68.7,4.90,8043,8009,3014,3028,90.6,88.6,90.1,0,5055,4962,4744,5053,5016,0,0,1911,37.2,19.6,301,69619,38292,153932,170924,133133,16106,3.99,4.27,20629,29200,20402,159,3960,32178,22111,126470,157291,163362,5109,0.360,0,0,0,0,0,0,0,0,6156,0,425,140,0
2023-03-11 09:16:00,171,413,228,422,37.2,232,164,160,91398,205980,167551,168978,392,452,127,127,448,122,125,126,126,522,128,128,467,0.233,0,0,0,0.233,4310,4400,1208,2597,78.8,87.2,0,77.3,67.9,65.7,67.2,67.0,63.8,4.02,1819,1853,35.4,37.4,94.8,106,91.8,0.233,1795,1931,2122,1875,1825,0,0,2013,39.8,18.4,299,64917,43019,94396,199308,167068,16133,3.71,4.83,9682,17046,9624,107,1499,294,21171,168029,91708,178220,2045,31.2,0,0,0,0,0.233,0.233,0.233,0,13264,0,399,144,0.233
2023-03-11 09:18:00,171,413,228,422,37.2,232,164,160,91398,205980,167551,168978,392,452,127,127,448,122,125,126,126,522,128,128,467,0.233,0,0,0,0.233,4310,4400,1208,2597,78.8,87.2,0,77.3,67.9,65.7,67.2,67.0,63.8,4.02,1819,1853,35.4,37.4,94.8,106,91.8,0.233,1795,1931,2122,1875,1825,0,0,2013,39.8,18.4,299,64917,43019,94396,199308,167068,16133,3.71,4.83,9682,17046,9624,107,1499,294,21171,168029,91708,178220,2045,31.2,0,0,0,0,0.233,0.233,0.233,0,13264,0,399,144,0.233
