"Time","Transmit Total","Receive Total"
2023-03-11 09:00:00,479513,354579
2023-03-11 09:02:00,627317,503228
2023-03-11 09:04:00,528819,417233
2023-03-11 09:06:00,448143,337076
2023-03-11 09:08:00,812002,510383
2023-03-11 09:10:00,861977,516882
2023-03-11 09:12:00,688052,530142
2023-03-11 09:14:00,618678,495637
2023-03-11 09:16:00,466812,345121
2023-03-11 09:18:00,503003,370335
2023-03-11 09:20:00,511300,374549
2023-03-11 09:22:00,586121,474861
2023-03-11 09:24:00,604978,492491
2023-03-11 09:26:00,450941,344787
2023-03-11 09:28:00,455435,343975
2023-03-11 09:30:00,480924,371316
2023-03-11 09:32:00,564530,452852
2023-03-11 09:34:00,622110,505502
2023-03-11 09:36:00,440837,329849
2023-03-11 09:38:00,504615,370018
2023-03-11 09:40:00,464258,348938
2023-03-11 09:42:00,518745,408022
2023-03-11 09:44:00,606587,492997
2023-03-11 09:46:00,475009,350768
2023-03-11 09:48:00,480318,369743
2023-03-11 09:50:00,465020,350452
2023-03-11 09:52:00,506755,391300
2023-03-11 09:54:00,599148,487305
2023-03-11 09:56:00,464245,345460
2023-03-11 09:58:00,444050,336331
2023-03-11 10:00:00,470837,353007
2023-03-11 10:02:00,458982,347039
2023-03-11 10:04:00,647172,513900
2023-03-11 10:06:00,517808,390908
2023-03-11 10:08:00,437901,330153
2023-03-11 10:10:00,485491,365402
2023-03-11 10:12:00,440978,330867
2023-03-11 10:14:00,619346,497557
2023-03-11 10:16:00,467499,351063
2023-03-11 10:18:00,439478,331405
2023-03-11 10:20:00,465852,351209
2023-03-11 10:22:00,462108,341696
2023-03-11 10:24:00,627817,511759
2023-03-11 10:26:00,509165,372390
2023-03-11 10:28:00,503158,375712
2023-03-11 10:30:00,469484,351286
2023-03-11 10:32:00,470192,347513
2023-03-11 10:34:00,599236,487469
2023-03-11 10:36:00,488874,370039
2023-03-11 10:38:00,440546,332404
2023-03-11 10:40:00,464211,349582
2023-03-11 10:42:00,455865,349771
2023-03-11 10:44:00,592499,482086
2023-03-11 10:46:00,517102,407985
2023-03-11 10:48:00,485016,354761
2023-03-11 10:50:00,531130,388996
2023-03-11 10:52:00,458995,344812
2023-03-11 10:54:00,601032,483405
2023-03-11 10:56:00,533626,417784
2023-03-11 10:58:00,438854,330724
