"Time","Read (172.16.66.122:9796)","Read (172.16.66.123:9796)","Read (172.16.66.124:9796)","Write (172.16.66.122:9796)","Write (172.16.66.123:9796)","Write (172.16.66.124:9796)"
2023-03-11 09:00:00,0,0,0,345634,81783,99783
2023-03-11 09:02:00,0,0,0,389188,130253,72112
2023-03-11 09:04:00,0,0,0,372326,106246,69791
2023-03-11 09:06:00,0,0,0,338216,81442,99692
2023-03-11 09:08:00,0,0,0,387118,37956,35726
2023-03-11 09:10:00,0,0,0,449627,83308,111548
2023-03-11 09:12:00,0,0,0,475614,57503,74661
2023-03-11 09:14:00,0,0,0,409327,60644,64694
2023-03-11 09:16:00,0,0,0,346795,82603,100375
2023-03-11 09:18:00,0,0,0,381815,37387,33860
2023-03-11 09:20:00,0,0,0,347364,83035,101786
2023-03-11 09:22:00,0,0,0,354076,58914,69086
2023-03-11 09:24:00,0,0,0,354600,59119,64876
2023-03-11 09:26:00,0,0,0,342864,75913,99328
2023-03-11 09:28:00,0,0,0,318373,35954,32108
2023-03-11 09:30:00,0,0,0,340423,83513,99718
2023-03-11 09:32:00,0,0,0,359310,57207,68198
2023-03-11 09:34:00,0,0,0,373538,59483,65399
2023-03-11 09:36:00,0,0,0,340719,82261,100306
2023-03-11 09:38:00,0,0,0,329978,37399,31630
2023-03-11 09:40:00,0,0,0,348479,83240,99191
2023-03-11 09:42:00,0,0,0,361040,57799,67425
2023-03-11 09:44:00,0,0,0,364021,58277,64080
2023-03-11 09:46:00,0,0,0,350686,81966,99851
2023-03-11 09:48:00,0,0,0,324904,34907,32882
2023-03-11 09:50:00,0,0,0,340946,80896,100762
2023-03-11 09:52:00,0,0,0,335138,58505,68244
2023-03-11 09:54:00,0,0,0,346749,61326,64375
2023-03-11 09:56:00,0,0,0,360198,82737,99556
2023-03-11 09:58:00,0,0,0,338375,36159,32336
2023-03-11 10:00:00,0,0,0,340173,82648,100329
2023-03-11 10:02:00,0,0,0,371803,58368,67994
2023-03-11 10:04:00,0,0,0,364749,60575,64535
2023-03-11 10:06:00,0,0,0,341948,81897,100557
2023-03-11 10:08:00,0,0,0,318601,35794,32950
2023-03-11 10:10:00,0,0,0,347879,81146,100671
2023-03-11 10:12:00,0,0,0,344201,58209,68107
2023-03-11 10:14:00,0,0,0,353326,61303,64844
2023-03-11 10:16:00,0,0,0,338466,82716,100853
2023-03-11 10:18:00,0,0,0,315346,37524,33314
2023-03-11 10:20:00,0,0,0,348638,82148,101353
2023-03-11 10:22:00,0,0,0,364681,58755,68631
2023-03-11 10:24:00,0,0,0,362147,60621,63898
2023-03-11 10:26:00,0,0,0,344360,82375,98623
2023-03-11 10:28:00,0,1775,0,432469,39266,31919
2023-03-11 10:30:00,0,0,0,455157,81579,98873
2023-03-11 10:32:00,0,0,0,349639,57685,66401
2023-03-11 10:34:00,0,0,0,350413,60188,62441
2023-03-11 10:36:00,0,0,0,348251,82261,99760
2023-03-11 10:38:00,0,0,0,318965,35863,32381
2023-03-11 10:40:00,0,0,0,345225,82239,100033
2023-03-11 10:42:00,0,0,0,343905,57071,67061
2023-03-11 10:44:00,0,0,0,331184,60348,63010
2023-03-11 10:46:00,0,0,0,345338,84264,100147
2023-03-11 10:48:00,0,0,0,319329,39117,32336
2023-03-11 10:50:00,0,0,0,345511,84176,100671
2023-03-11 10:52:00,0,0,0,344747,60939,68107
2023-03-11 10:54:00,0,0,0,342289,59233,64435
2023-03-11 10:56:00,0,0,0,350527,77210,100534
2023-03-11 10:58:00,0,0,0,342130,32927,32495
2023-03-11 11:00:00,0,0,0,363110,79963,99829
2023-03-11 11:02:00,0,0,0,397039,152257,67447
2023-03-11 11:04:00,0,0,0,375555,202889,63428
2023-03-11 11:06:00,0,0,0,346522,83308,101285
2023-03-11 11:08:00,0,0,0,321035,36170,32938
2023-03-11 11:10:00,0,0,0,347227,313503,101376
2023-03-11 11:12:00,0,0,0,352575,53589,68608
2023-03-11 11:14:00,0,0,0,343996,54135,64171
2023-03-11 11:16:00,0,0,0,349776,77823,100398
2023-03-11 11:18:00,0,0,0,330251,32176,33519
2023-03-11 11:20:00,0,0,0,343632,76709,101877
2023-03-11 11:22:00,0,0,0,341220,56320,68449
2023-03-11 11:24:00,0,0,0,342107,55797,65126
2023-03-11 11:26:00,0,0,0,350140,78030,102222
2023-03-11 11:28:00,0,0,0,318327,30606,32638
2023-03-11 11:30:00,0,0,0,342266,79849,100739
2023-03-11 11:32:00,0,0,0,406141,52611,68039
2023-03-11 11:34:00,0,0,0,402728,55023,63511
2023-03-11 11:36:00,0,0,0,349662,80009,100238
2023-03-11 11:38:00,0,0,0,323106,32040,32449
2023-03-11 11:40:00,0,0,0,343137,79144,99988
2023-03-11 11:42:00,0,0,0,373919,52361,66992
2023-03-11 11:44:00,0,0,0,366501,59369,62767
2023-03-11 11:46:00,0,0,0,341333,81806,100466
2023-03-11 11:48:00,71498,0,0,357854,32336,32654
2023-03-11 11:50:00,71498,0,0,386344,79303,99783
2023-03-11 11:52:00,0,0,0,345452,56280,68289
2023-03-11 11:54:00,0,0,0,342426,53885,63124
2023-03-11 11:56:00,0,0,0,341129,83172,100124
2023-03-11 11:58:00,0,0,0,329003,31016,32700
2023-03-11 12:00:00,0,0,0,339922,81351,101000
2023-03-11 12:02:00,0,0,0,525517,351408,67389
2023-03-11 12:04:00,0,0,0,340036,63056,62851
2023-03-11 12:06:00,0,0,0,352745,83877,100466
2023-03-11 12:08:00,0,0,0,319898,38116,32518
2023-03-11 12:10:00,0,0,0,345316,83376,100011
2023-03-11 12:12:00,0,0,0,339240,59051,67243
2023-03-11 12:14:00,0,0,0,341675,59779,62692
2023-03-11 12:16:00,0,0,0,336083,82921,101171
2023-03-11 12:18:00,0,0,0,343882,38070,33860
2023-03-11 12:20:00,0,0,0,346135,82807,100557
2023-03-11 12:22:00,0,0,0,348888,58436,68039
2023-03-11 12:24:00,0,0,0,351232,61144,63511
2023-03-11 12:26:00,0,0,0,339445,83854,100966
2023-03-11 12:28:00,0,0,0,321331,37092,32836
2023-03-11 12:30:00,0,0,0,347659,82125,100102
2023-03-11 12:32:00,0,0,0,364225,57981,68016
2023-03-11 12:34:00,0,0,0,376081,61235,62987
2023-03-11 12:36:00,0,0,0,348297,85697,100739
2023-03-11 12:38:00,0,0,0,316757,38343,32609
2023-03-11 12:40:00,0,0,0,344132,81442,100534
2023-03-11 12:42:00,0,0,0,336191,57958,68699
2023-03-11 12:44:00,0,0,0,349571,62032,64125
2023-03-11 12:46:00,0,0,0,340878,83305,101171
2023-03-11 12:48:00,0,0,0,319169,36910,33200
2023-03-11 12:50:00,0,0,0,345111,81556,101376
2023-03-11 12:52:00,0,0,0,341948,57913,68608
2023-03-11 12:54:00,0,0,0,349457,60757,63820
2023-03-11 12:56:00,0,0,0,347591,84309,101217
2023-03-11 12:58:00,0,0,0,320080,37911,34133
2023-03-11 13:00:00,0,0,0,341523,83672,101239
