"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc13a306010214)","Transmit Total (lxc1c3395913bae)","Transmit Total (lxc2543b9c9ec41)","Transmit Total (lxc2568b56bcea7)","Transmit Total (lxc28528e2b302e)","Transmit Total (lxc306dffa018f2)","Transmit Total (lxc30b94e1d81cc)","Transmit Total (lxc33647fb8eab1)","Transmit Total (lxc58db09516916)","Transmit Total (lxc7084b74d5d49)","Transmit Total (lxc767056ff0e7d)","Transmit Total (lxc78ec245b8f12)","Transmit Total (lxc8089b721f31e)","Transmit Total (lxc831342b3bef8)","Transmit Total (lxc86ca1540ce30)","Transmit Total (lxc8b4940d2407b)","Transmit Total (lxc93601df3ac13)","Transmit Total (lxc9608bff87159)","Transmit Total (lxc9b02db5024dd)","Transmit Total (lxc_health)","Transmit Total (lxca2691413c000)","Transmit Total (lxca276edb7a83f)","Transmit Total (lxcb2dea5c9292d)","Transmit Total (lxcbe77e52b37d2)","Transmit Total (lxcd87592c26ce1)","Transmit Total (lxcd911e1b69dcc)","Transmit Total (lxce7da8c60c1c1)","Transmit Total (lxcfac3688eea8d)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc13a306010214)","Receive Total (lxc1c3395913bae)","Receive Total (lxc2543b9c9ec41)","Receive Total (lxc2568b56bcea7)","Receive Total (lxc28528e2b302e)","Receive Total (lxc306dffa018f2)","Receive Total (lxc30b94e1d81cc)","Receive Total (lxc33647fb8eab1)","Receive Total (lxc58db09516916)","Receive Total (lxc7084b74d5d49)","Receive Total (lxc767056ff0e7d)","Receive Total (lxc78ec245b8f12)","Receive Total (lxc8089b721f31e)","Receive Total (lxc831342b3bef8)","Receive Total (lxc86ca1540ce30)","Receive Total (lxc8b4940d2407b)","Receive Total (lxc93601df3ac13)","Receive Total (lxc9608bff87159)","Receive Total (lxc9b02db5024dd)","Receive Total (lxc_health)","Receive Total (lxca2691413c000)","Receive Total (lxca276edb7a83f)","Receive Total (lxcb2dea5c9292d)","Receive Total (lxcbe77e52b37d2)","Receive Total (lxcd87592c26ce1)","Receive Total (lxcd911e1b69dcc)","Receive Total (lxce7da8c60c1c1)","Receive Total (lxcfac3688eea8d)"
2023-03-11 09:00:00,0,68.6,22795,53669,0,0,0,448,204,66.1,405,66.4,0,5714,0,4727,3.90,39147,0.600,447,0,1794,420,454,31.8,2581,467,299,90.1,6856,0,0,1595,68.6,0,34176,68487,0,0,0,255,228,42.1,582,41.4,0,1504,0,1472,4.03,18017,0.600,263,0,188,6279,266,25.7,1279,265,385,95,1038,0,0,1594
2023-03-11 09:02:00,0,68.3,45355,102765,0,0,0,450,203,66.1,444,66.4,0,5711,0,4355,3.90,39143,58.6,446,0,1821,1792,451,32.3,2551,468,301,90.9,6943,0,0,2127,68.3,0,58631,98360,0,0,0,258,227,42.5,650,41.7,0,1474,0,1429,4.03,18347,32.1,256,0,199,25777,257,26.2,1263,266,385,95,1097,0,0,2128
2023-03-11 09:04:00,0,68.6,31633,71052,0,0,0,447,203,65.7,445,66.8,0,4428,0,4610,4.13,39119,58.6,447,0,1883,1138,453,32.3,2552,465,301,92.3,6993,0,0,2657,68.6,0,43095,78272,0,0,0,249,228,42.8,650,41.4,0,1377,0,1441,4.27,18677,32.1,253,0,204,12657,253,26.2,1264,259,385,97.6,1054,0,0,2664
2023-03-11 09:06:00,0,69,22826,53556,0,0,0,447,202,66.1,405,65.7,0,4266,0,4607,4.13,39164,0,449,0,1710,420,453,32.3,2551,465,299,90.9,6631,0,0,1075,69,0,33672,65976,0,0,0.389,249,227,41.7,582,40.6,0,1380,0,1432,4.27,18570,0,255,0,224,6279,253,26.2,1269,259,385,95,1052,0,0,1079
2023-03-11 09:08:00,0,68.3,24852,56092,0,0,0,450,204,65.6,406,66.4,0,9228,0,9094,3.90,39381,0.600,447,0,6778,420,453,32.3,7426,468,300,90.5,26218,0,0,7447,68.3,0,35251,113789,0,0,0,253,227,42.1,582,41.4,0,1405,0,1409,4.03,19021,0.600,253,0,232,6276,253,26.2,1285,261,385,95,1295,0,0,2676
2023-03-11 09:10:00,0,67.9,23581,54813,0,0,0,444,202,66.7,405,66.4,0,9465,0,9815,3.90,39254,0,445,0,7063,419,442,32.3,7814,469,300,89.4,29045,0,0,6751,67.9,0,33969,117075,0,0,0,252,228,42.1,582,41,0,1407,0,1472,4.42,18804,0.389,249,0,200,6274,249,26.2,1291,261,385,95,1419,0,0,1625
2023-03-11 09:12:00,0,68.3,49667,107843,0,0,0,434,202,66.4,403,66.1,0,4604,0,4658,3.90,38910,51.5,435,0,2194,1732,442,31.8,2938,456,301,90.1,14241,0,0,1440,68.3,0,57251,104477,0,0,0,242,228,42.5,580,41.0,0.389,1379,0.389,1399,4.03,23758,30.6,246,0,264,25758,248,25.7,1272,254,385,95,1390,0,0,1088
2023-03-11 09:14:00,0,67.9,44386,101937,0,0,0.389,436,201,66.4,403,66.4,0.389,4441,0.389,4614,3.90,38740,51.9,437,0,1893,1733,440,32.0,2553,454,298,89.8,10019,0,0,2670,67.9,0,58768,100567,0,0,0,244,227,42.8,580,41,0,1389,0,1441,4.03,16885,30.6,248,0,213,25761,246,25.5,1263,253,385,95.4,1214,0,0,2653
2023-03-11 09:16:00,0,68.3,30517,61868,0,0,0,448,202,66.1,404,66.1,0,4278,0,4688,3.90,38834,0,447,0,1707,421,454,31.8,2556,467,300,90.5,6687,0,0,1089,68.3,0,33326,65916,0,0,0,251,228,41.4,583,41,0,1383,0,1466,4.03,26264,0,253,0,185,6275,253,25.7,1268,261,385,95,1031,0,0,1070
2023-03-11 09:18:00,0,68.3,23854,55197,0,0,0,449,204,65.7,404,66.8,0,26863,0,4274,3.67,38768,0.600,446,0,1884,421,454,32.3,2554,466,300,90.5,6990,0,0,2672,68.3,0,34829,91117,0,0,0,251,227,42.5,582,41.4,0,1978,0,1389,3.80,18010,0.600,252,0,197,6275,255,26.2,1268,260,385,95,1053,0,0,2665
