"Time","Receive Errors (cilium_host)","Receive Errors (cilium_net)","Receive Errors (cilium_vxlan)","Receive Errors (eno1)","Receive Errors (eno2)","Receive Errors (lxc13a306010214)","Receive Errors (lxc1c3395913bae)","Receive Errors (lxc2543b9c9ec41)","Receive Errors (lxc2568b56bcea7)","Receive Errors (lxc28528e2b302e)","Receive Errors (lxc306dffa018f2)","Receive Errors (lxc30b94e1d81cc)","Receive Errors (lxc33647fb8eab1)","Receive Errors (lxc58db09516916)","Receive Errors (lxc7084b74d5d49)","Receive Errors (lxc767056ff0e7d)","Receive Errors (lxc78ec245b8f12)","Receive Errors (lxc8089b721f31e)","Receive Errors (lxc831342b3bef8)","Receive Errors (lxc86ca1540ce30)","Receive Errors (lxc8b4940d2407b)","Receive Errors (lxc93601df3ac13)","Receive Errors (lxc9608bff87159)","Receive Errors (lxc9b02db5024dd)","Receive Errors (lxc_health)","Receive Errors (lxca2691413c000)","Receive Errors (lxca276edb7a83f)","Receive Errors (lxcb2dea5c9292d)","Receive Errors (lxcbe77e52b37d2)","Receive Errors (lxcd87592c26ce1)","Receive Errors (lxcd911e1b69dcc)","Receive Errors (lxce7da8c60c1c1)","Receive Errors (lxcfac3688eea8d)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc13a306010214)","Receive Total (lxc1c3395913bae)","Receive Total (lxc2543b9c9ec41)","Receive Total (lxc2568b56bcea7)","Receive Total (lxc28528e2b302e)","Receive Total (lxc306dffa018f2)","Receive Total (lxc30b94e1d81cc)","Receive Total (lxc33647fb8eab1)","Receive Total (lxc58db09516916)","Receive Total (lxc7084b74d5d49)","Receive Total (lxc767056ff0e7d)","Receive Total (lxc78ec245b8f12)","Receive Total (lxc8089b721f31e)","Receive Total (lxc831342b3bef8)","Receive Total (lxc86ca1540ce30)","Receive Total (lxc8b4940d2407b)","Receive Total (lxc93601df3ac13)","Receive Total (lxc9608bff87159)","Receive Total (lxc9b02db5024dd)","Receive Total (lxc_health)","Receive Total (lxca2691413c000)","Receive Total (lxca276edb7a83f)","Receive Total (lxcb2dea5c9292d)","Receive Total (lxcbe77e52b37d2)","Receive Total (lxcd87592c26ce1)","Receive Total (lxcd911e1b69dcc)","Receive Total (lxce7da8c60c1c1)","Receive Total (lxcfac3688eea8d)","Transmit Errors (cilium_host)","Transmit Errors (cilium_net)","Transmit Errors (cilium_vxlan)","Transmit Errors (eno1)","Transmit Errors (eno2)","Transmit Errors (lxc13a306010214)","Transmit Errors (lxc1c3395913bae)","Transmit Errors (lxc2543b9c9ec41)","Transmit Errors (lxc2568b56bcea7)","Transmit Errors (lxc28528e2b302e)","Transmit Errors (lxc306dffa018f2)","Transmit Errors (lxc30b94e1d81cc)","Transmit Errors (lxc33647fb8eab1)","Transmit Errors (lxc58db09516916)","Transmit Errors (lxc7084b74d5d49)","Transmit Errors (lxc767056ff0e7d)","Transmit Errors (lxc78ec245b8f12)","Transmit Errors (lxc8089b721f31e)","Transmit Errors (lxc831342b3bef8)","Transmit Errors (lxc86ca1540ce30)","Transmit Errors (lxc8b4940d2407b)","Transmit Errors (lxc93601df3ac13)","Transmit Errors (lxc9608bff87159)","Transmit Errors (lxc9b02db5024dd)","Transmit Errors (lxc_health)","Transmit Errors (lxca2691413c000)","Transmit Errors (lxca276edb7a83f)","Transmit Errors (lxcb2dea5c9292d)","Transmit Errors (lxcbe77e52b37d2)","Transmit Errors (lxcd87592c26ce1)","Transmit Errors (lxcd911e1b69dcc)","Transmit Errors (lxce7da8c60c1c1)","Transmit Errors (lxcfac3688eea8d)","Receive Dropped (cilium_host)","Receive Dropped (cilium_net)","Receive Dropped (cilium_vxlan)","Receive Dropped (eno1)","Receive Dropped (eno2)","Receive Dropped (lxc13a306010214)","Receive Dropped (lxc1c3395913bae)","Receive Dropped (lxc2543b9c9ec41)","Receive Dropped (lxc2568b56bcea7)","Receive Dropped (lxc28528e2b302e)","Receive Dropped (lxc306dffa018f2)","Receive Dropped (lxc30b94e1d81cc)","Receive Dropped (lxc33647fb8eab1)","Receive Dropped (lxc58db09516916)","Receive Dropped (lxc7084b74d5d49)","Receive Dropped (lxc767056ff0e7d)","Receive Dropped (lxc78ec245b8f12)","Receive Dropped (lxc8089b721f31e)","Receive Dropped (lxc831342b3bef8)","Receive Dropped (lxc86ca1540ce30)","Receive Dropped (lxc8b4940d2407b)","Receive Dropped (lxc93601df3ac13)","Receive Dropped (lxc9608bff87159)","Receive Dropped (lxc9b02db5024dd)","Receive Dropped (lxc_health)","Receive Dropped (lxca2691413c000)","Receive Dropped (lxca276edb7a83f)","Receive Dropped (lxcb2dea5c9292d)","Receive Dropped (lxcbe77e52b37d2)","Receive Dropped (lxcd87592c26ce1)","Receive Dropped (lxcd911e1b69dcc)","Receive Dropped (lxce7da8c60c1c1)","Receive Dropped (lxcfac3688eea8d)","Transmit Dropped (cilium_host)","Transmit Dropped (cilium_net)","Transmit Dropped (cilium_vxlan)","Transmit Dropped (eno1)","Transmit Dropped (eno2)","Transmit Dropped (lxc13a306010214)","Transmit Dropped (lxc1c3395913bae)","Transmit Dropped (lxc2543b9c9ec41)","Transmit Dropped (lxc2568b56bcea7)","Transmit Dropped (lxc28528e2b302e)","Transmit Dropped (lxc306dffa018f2)","Transmit Dropped (lxc30b94e1d81cc)","Transmit Dropped (lxc33647fb8eab1)","Transmit Dropped (lxc58db09516916)","Transmit Dropped (lxc7084b74d5d49)","Transmit Dropped (lxc767056ff0e7d)","Transmit Dropped (lxc78ec245b8f12)","Transmit Dropped (lxc8089b721f31e)","Transmit Dropped (lxc831342b3bef8)","Transmit Dropped (lxc86ca1540ce30)","Transmit Dropped (lxc8b4940d2407b)","Transmit Dropped (lxc93601df3ac13)","Transmit Dropped (lxc9608bff87159)","Transmit Dropped (lxc9b02db5024dd)","Transmit Dropped (lxc_health)","Transmit Dropped (lxca2691413c000)","Transmit Dropped (lxca276edb7a83f)","Transmit Dropped (lxcb2dea5c9292d)","Transmit Dropped (lxcbe77e52b37d2)","Transmit Dropped (lxcd87592c26ce1)","Transmit Dropped (lxcd911e1b69dcc)","Transmit Dropped (lxce7da8c60c1c1)","Transmit Dropped (lxcfac3688eea8d)","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc13a306010214)","Transmit Total (lxc1c3395913bae)","Transmit Total (lxc2543b9c9ec41)","Transmit Total (lxc2568b56bcea7)","Transmit Total (lxc28528e2b302e)","Transmit Total (lxc306dffa018f2)","Transmit Total (lxc30b94e1d81cc)","Transmit Total (lxc33647fb8eab1)","Transmit Total (lxc58db09516916)","Transmit Total (lxc7084b74d5d49)","Transmit Total (lxc767056ff0e7d)","Transmit Total (lxc78ec245b8f12)","Transmit Total (lxc8089b721f31e)","Transmit Total (lxc831342b3bef8)","Transmit Total (lxc86ca1540ce30)","Transmit Total (lxc8b4940d2407b)","Transmit Total (lxc93601df3ac13)","Transmit Total (lxc9608bff87159)","Transmit Total (lxc9b02db5024dd)","Transmit Total (lxc_health)","Transmit Total (lxca2691413c000)","Transmit Total (lxca276edb7a83f)","Transmit Total (lxcb2dea5c9292d)","Transmit Total (lxcbe77e52b37d2)","Transmit Total (lxcd87592c26ce1)","Transmit Total (lxcd911e1b69dcc)","Transmit Total (lxce7da8c60c1c1)","Transmit Total (lxcfac3688eea8d)"
2023-03-11 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,0,10.7,92.2,0,0,0,1.21,1.74,0.561,4.93,0.550,0,8.91,0,8.43,0.0611,11.2,0.0111,1.25,0,2.38,4.37,1.23,0.322,6.96,1.29,3.33,1,10.9,0,0,0.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,12.5,87.3,0,0,0,1.41,1.87,0.989,4.19,0.994,0,10.6,0,10.3,0.0611,10.8,0.0111,1.43,0,3.06,5.26,1.42,0.389,7.93,1.49,3.37,1.01,11.9,0,0,0.594
2023-03-11 09:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,0,38.8,149,0,0,0,1.24,1.74,0.567,5.23,0.556,0,8.80,0,8.11,0.0611,10.7,0.289,1.23,0,2.59,13.8,1.21,0.333,6.87,1.30,3.33,1,11.2,0,0,0.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,39.5,155,0,0,0,1.43,1.87,0.989,4.42,0.994,0,10.5,0,9.93,0.0611,10.7,0.572,1.42,0,2.96,13.9,1.40,0.400,7.84,1.50,3.41,1.02,12.2,0,0,0.789
2023-03-11 09:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,0,21.4,112,0,0,0,1.20,1.75,0.572,5.23,0.550,0,7.86,0,8.33,0.0667,10.1,0.289,1.25,0,2.63,9.43,1.22,0.333,6.88,1.28,3.33,1.03,10.9,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,22.5,111,0,0,0,1.40,1.86,0.983,4.43,1,0,9.87,0,10.3,0.0667,10.3,0.572,1.43,0,2.96,9.77,1.41,0.400,7.84,1.48,3.41,1.03,11.8,0,0,0.933
2023-03-11 09:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,0,11.0,91.1,0,0,0.00556,1.20,1.74,0.556,4.93,0.539,0,7.81,0,8.24,0.0667,11.2,0,1.27,0,2.90,4.36,1.22,0.333,6.88,1.28,3.33,1,10.8,0,0,0.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,12.4,86.6,0,0,0,1.40,1.85,0.989,4.19,0.983,0,9.87,0,10.2,0.0667,11.1,0,1.44,0,2.82,5.27,1.41,0.400,7.84,1.48,3.37,1.02,11.9,0,0,0.528
2023-03-11 09:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,0,12.2,127,0,0,0,1.23,1.73,0.561,4.93,0.550,0,8.34,0,8.16,0.0611,11.6,0.0111,1.25,0,2.96,4.32,1.22,0.333,7.09,1.30,3.33,1,13.9,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,13.1,92.9,0,0,0,1.42,1.87,0.983,4.21,0.994,0,10.5,0,10.2,0.0611,12.0,0.0111,1.43,0,3.32,5.27,1.41,0.400,8.29,1.50,3.40,1.02,16.4,0,0,1.26
2023-03-11 09:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600,0,11.8,131,0,0,0,1.23,1.74,0.561,4.93,0.544,0,8.46,0,8.82,0.0667,11.5,0.00556,1.22,0,2.66,4.29,1.21,0.333,7.23,1.30,3.33,1,15.5,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600,12.7,93.8,0,0,0,1.41,1.85,1,4.20,0.994,0,10.6,0,10.7,0.0611,12.1,0,1.41,0,3.41,5.24,1.38,0.400,8.39,1.50,3.40,1,18.5,0,0,1.17
2023-03-11 09:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,0,38.5,157,0,0,0,1.17,1.74,0.567,4.91,0.544,0.00556,7.99,0.00556,8.13,0.0611,11.6,0.267,1.22,0,3.17,12.4,1.19,0.322,6.99,1.27,3.33,1,15.3,0,0,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,38.8,162,0,0,0,1.36,1.84,0.994,4.20,0.989,0,9.93,0,10.0,0.0611,11.7,0.522,1.39,0,3.27,13.3,1.38,0.389,7.94,1.46,3.41,1.01,18.4,0,0,0.711
2023-03-11 09:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600,0,38.0,150,0,0,0,1.18,1.74,0.572,4.91,0.544,0,8.10,0,8.43,0.0611,10.2,0.267,1.23,0,2.76,12.4,1.18,0.317,6.88,1.26,3.33,1.01,12.9,0,0,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600,37.8,155,0,0,0.00556,1.37,1.83,0.994,4.20,0.994,0.00556,9.90,0.00556,10.2,0.0611,10.6,0.528,1.41,0,3.01,13.3,1.37,0.389,7.84,1.45,3.37,1.01,14.9,0,0,1.01
2023-03-11 09:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,0,12.1,93.2,0,0,0,1.22,1.75,0.550,4.94,0.544,0,7.98,0,8.42,0.0611,12.2,0,1.25,0,2.46,4.31,1.22,0.322,6.91,1.29,3.33,1,10.8,0,0,0.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,13.5,92.5,0,0,0,1.41,1.84,0.989,4.18,0.989,0,9.76,0,10.2,0.0611,12.0,0,1.43,0,2.85,5.27,1.41,0.389,7.86,1.49,3.40,1.02,11.7,0,0,0.622
2023-03-11 09:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,0,11.1,111,0,0,0,1.22,1.74,0.567,4.93,0.550,0,15.7,0,7.94,0.0556,10.7,0.0111,1.24,0,2.53,4.31,1.23,0.333,6.91,1.29,3.33,1,11.0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,12.2,94.5,0,0,0,1.41,1.87,0.983,4.18,1,0,15.3,0,9.78,0.0556,10.9,0.0111,1.42,0,2.94,5.28,1.42,0.400,7.86,1.49,3.40,1.02,11.9,0,0,1.06
