"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-11 09:00:00,0.640,0.700,0.710
2023-03-11 09:02:00,0.570,0.510,0.680
2023-03-11 09:04:00,0.490,0.340,0.630
2023-03-11 09:06:00,0.430,0.350,0.590
2023-03-11 09:08:00,0.470,0.690,0.580
2023-03-11 09:10:00,1.08,1.93,0.790
2023-03-11 09:12:00,1.35,3.03,0.900
2023-03-11 09:14:00,1.04,0.840,0.840
2023-03-11 09:16:00,0.830,0.430,0.780
2023-03-11 09:18:00,0.650,0.350,0.720
2023-03-11 09:20:00,0.450,0.0800,0.630
2023-03-11 09:22:00,0.540,0.730,0.640
2023-03-11 09:24:00,0.440,0.300,0.590
2023-03-11 09:26:00,0.440,0.450,0.570
2023-03-11 09:28:00,0.370,0.220,0.530
2023-03-11 09:30:00,0.310,0.250,0.480
2023-03-11 09:32:00,0.340,0.300,0.470
2023-03-11 09:34:00,0.840,1.17,0.650
2023-03-11 09:36:00,0.710,0.470,0.620
2023-03-11 09:38:00,0.620,0.420,0.600
2023-03-11 09:40:00,0.520,0.290,0.560
2023-03-11 09:42:00,0.790,1.18,0.650
2023-03-11 09:44:00,0.560,0.260,0.580
2023-03-11 09:46:00,0.820,1.49,0.670
2023-03-11 09:48:00,1.63,2.39,1.01
2023-03-11 09:50:00,1.25,0.770,0.940
2023-03-11 09:52:00,0.960,0.430,0.870
2023-03-11 09:54:00,1.29,2.25,0.990
2023-03-11 09:56:00,0.970,0.650,0.910
2023-03-11 09:58:00,0.780,0.440,0.840
2023-03-11 10:00:00,0.660,0.400,0.790
2023-03-11 10:02:00,0.540,0.310,0.730
2023-03-11 10:04:00,0.470,0.280,0.680
2023-03-11 10:06:00,0.530,0.710,0.670
2023-03-11 10:08:00,0.440,0.330,0.620
2023-03-11 10:10:00,0.360,0.210,0.560
2023-03-11 10:12:00,0.510,0.740,0.590
2023-03-11 10:14:00,0.830,1.62,0.700
2023-03-11 10:16:00,1.45,1.94,0.960
2023-03-11 10:18:00,1.23,0.810,0.940
2023-03-11 10:20:00,0.960,0.410,0.880
2023-03-11 10:22:00,0.680,0.120,0.780
2023-03-11 10:24:00,0.580,0.320,0.740
2023-03-11 10:26:00,0.620,0.730,0.730
2023-03-11 10:28:00,0.530,0.400,0.680
2023-03-11 10:30:00,0.630,0.600,0.700
2023-03-11 10:32:00,0.550,0.470,0.660
2023-03-11 10:34:00,0.910,1.58,0.770
2023-03-11 10:36:00,1.50,2.68,0.990
2023-03-11 10:38:00,1.32,1.11,0.990
2023-03-11 10:40:00,1.07,0.660,0.940
2023-03-11 10:42:00,0.900,0.520,0.890
2023-03-11 10:44:00,0.640,0.140,0.790
2023-03-11 10:46:00,0.520,0.190,0.730
2023-03-11 10:48:00,0.470,0.280,0.690
2023-03-11 10:50:00,0.380,0.220,0.620
2023-03-11 10:52:00,0.320,0.210,0.570
2023-03-11 10:54:00,0.290,0.210,0.530
2023-03-11 10:56:00,0.290,0.330,0.500
2023-03-11 10:58:00,0.670,0.720,0.630
2023-03-11 11:00:00,0.630,0.530,0.620
2023-03-11 11:02:00,0.530,0.390,0.590
2023-03-11 11:04:00,0.570,0.590,0.590
2023-03-11 11:06:00,0.560,0.420,0.590
2023-03-11 11:08:00,0.450,0.260,0.540
2023-03-11 11:10:00,0.440,0.390,0.530
2023-03-11 11:12:00,0.430,0.340,0.520
2023-03-11 11:14:00,0.360,0.310,0.480
2023-03-11 11:16:00,0.290,0.130,0.430
2023-03-11 11:18:00,0.860,1.53,0.630
2023-03-11 11:20:00,0.660,0.450,0.580
2023-03-11 11:22:00,0.680,0.770,0.590
2023-03-11 11:24:00,0.490,0.230,0.530
2023-03-11 11:26:00,0.690,1.13,0.590
2023-03-11 11:28:00,0.500,0.220,0.530
2023-03-11 11:30:00,0.660,1.07,0.580
2023-03-11 11:32:00,1.44,3.20,0.870
2023-03-11 11:34:00,1.14,0.740,0.840
2023-03-11 11:36:00,0.880,0.380,0.780
2023-03-11 11:38:00,1.37,3.12,0.950
2023-03-11 11:40:00,1.01,0.720,0.860
2023-03-11 11:42:00,0.840,0.550,0.820
2023-03-11 11:44:00,0.910,0.860,0.840
2023-03-11 11:46:00,0.760,0.410,0.800
2023-03-11 11:48:00,0.650,0.470,0.750
2023-03-11 11:50:00,0.510,0.200,0.690
2023-03-11 11:52:00,0.400,0.170,0.620
2023-03-11 11:54:00,0.400,0.300,0.600
2023-03-11 11:56:00,0.740,1.15,0.700
2023-03-11 11:58:00,0.890,1.27,0.760
2023-03-11 12:00:00,1.28,1.64,0.930
2023-03-11 12:02:00,1.14,0.760,0.930
2023-03-11 12:04:00,1.33,0.890,1.04
2023-03-11 12:06:00,0.950,0.230,0.930
2023-03-11 12:08:00,0.800,0.440,0.880
2023-03-11 12:10:00,0.640,0.320,0.810
2023-03-11 12:12:00,0.840,1.09,0.860
2023-03-11 12:14:00,0.870,0.940,0.870
2023-03-11 12:16:00,0.740,0.520,0.820
2023-03-11 12:18:00,0.560,0.240,0.740
2023-03-11 12:20:00,1.04,2.31,0.880
2023-03-11 12:22:00,0.800,0.560,0.810
2023-03-11 12:24:00,0.680,0.510,0.760
2023-03-11 12:26:00,0.630,0.560,0.730
2023-03-11 12:28:00,0.430,0.100,0.640
2023-03-11 12:30:00,0.460,0.470,0.630
2023-03-11 12:32:00,0.330,0.130,0.560
2023-03-11 12:34:00,0.370,0.520,0.540
2023-03-11 12:36:00,0.370,0.470,0.520
2023-03-11 12:38:00,0.420,0.430,0.520
2023-03-11 12:40:00,0.330,0.200,0.480
2023-03-11 12:42:00,0.870,1.10,0.670
2023-03-11 12:44:00,0.730,0.580,0.640
2023-03-11 12:46:00,0.570,0.320,0.590
2023-03-11 12:48:00,0.400,0.130,0.530
2023-03-11 12:50:00,0.390,0.330,0.510
2023-03-11 12:52:00,0.350,0.280,0.480
2023-03-11 12:54:00,0.290,0.130,0.440
