"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-11 09:00:00,1.62,0.700,1.81
2023-03-11 09:02:00,1.22,0.460,1.63
2023-03-11 09:04:00,0.980,0.490,1.49
2023-03-11 09:06:00,0.950,0.890,1.41
2023-03-11 09:08:00,1.01,1.29,1.37
2023-03-11 09:10:00,0.930,0.760,1.30
2023-03-11 09:12:00,1.03,1.07,1.29
2023-03-11 09:14:00,1.09,1.01,1.28
2023-03-11 09:16:00,1.15,1.13,1.28
2023-03-11 09:18:00,1.19,1.35,1.27
2023-03-11 09:20:00,1.03,0.730,1.20
2023-03-11 09:22:00,1.39,1.45,1.33
2023-03-11 09:24:00,1.07,0.590,1.21
2023-03-11 09:26:00,0.900,0.660,1.13
2023-03-11 09:28:00,0.790,0.490,1.05
2023-03-11 09:30:00,0.730,0.580,1
2023-03-11 09:32:00,1.19,2.24,1.12
2023-03-11 09:34:00,0.920,0.630,1.03
2023-03-11 09:36:00,0.830,0.550,0.980
2023-03-11 09:38:00,0.610,0.190,0.880
2023-03-11 09:40:00,0.620,0.500,0.860
2023-03-11 09:42:00,0.960,1.65,0.950
2023-03-11 09:44:00,0.900,0.880,0.930
2023-03-11 09:46:00,0.730,0.510,0.860
2023-03-11 09:48:00,0.830,1.21,0.870
2023-03-11 09:50:00,0.770,0.620,0.850
2023-03-11 09:52:00,0.730,0.670,0.820
2023-03-11 09:54:00,0.910,0.870,0.880
2023-03-11 09:56:00,0.830,0.590,0.860
2023-03-11 09:58:00,0.930,1.05,0.900
2023-03-11 10:00:00,1.45,2.21,1.09
2023-03-11 10:02:00,1.76,2.33,1.24
2023-03-11 10:04:00,1.30,0.630,1.13
2023-03-11 10:06:00,1.07,0.680,1.07
2023-03-11 10:08:00,1.45,2.06,1.20
2023-03-11 10:10:00,1.13,0.620,1.11
2023-03-11 10:12:00,0.970,0.620,1.05
2023-03-11 10:14:00,0.810,0.460,0.980
2023-03-11 10:16:00,0.870,0.750,0.980
2023-03-11 10:18:00,0.790,0.650,0.940
2023-03-11 10:20:00,0.860,1.02,0.940
2023-03-11 10:22:00,0.970,1.18,0.970
2023-03-11 10:24:00,1.10,1.45,1.02
2023-03-11 10:26:00,1.56,2.39,1.19
2023-03-11 10:28:00,1.96,2.70,1.39
2023-03-11 10:30:00,2,2,1.47
2023-03-11 10:32:00,2.14,1.75,1.60
2023-03-11 10:34:00,2.38,2.20,1.77
2023-03-11 10:36:00,3.55,4.98,2.28
2023-03-11 10:38:00,3.26,3.08,2.33
2023-03-11 10:40:00,3.02,2.28,2.36
2023-03-11 10:42:00,2.23,0.830,2.15
2023-03-11 10:44:00,1.76,0.810,1.99
2023-03-11 10:46:00,1.90,1.53,2.01
2023-03-11 10:48:00,1.58,1.17,1.88
2023-03-11 10:50:00,1.29,0.780,1.73
2023-03-11 10:52:00,1.25,1.08,1.66
2023-03-11 10:54:00,1.31,1.13,1.64
2023-03-11 10:56:00,1.12,0.790,1.53
2023-03-11 10:58:00,1.56,3.38,1.62
2023-03-11 11:00:00,1.31,1.20,1.51
2023-03-11 11:02:00,1.82,2.41,1.68
2023-03-11 11:04:00,1.55,1.29,1.59
2023-03-11 11:06:00,1.66,1.63,1.63
2023-03-11 11:08:00,1.33,0.700,1.51
2023-03-11 11:10:00,1.11,0.520,1.41
2023-03-11 11:12:00,0.910,0.610,1.29
2023-03-11 11:14:00,0.770,0.460,1.19
2023-03-11 11:16:00,0.740,0.520,1.13
2023-03-11 11:18:00,0.740,0.640,1.08
2023-03-11 11:20:00,0.770,0.830,1.05
2023-03-11 11:22:00,0.780,1.01,1.01
2023-03-11 11:24:00,0.660,0.430,0.930
2023-03-11 11:26:00,1.19,2.45,1.08
2023-03-11 11:28:00,1.25,1.26,1.12
2023-03-11 11:30:00,1.13,1.03,1.09
2023-03-11 11:32:00,0.930,0.650,1.01
2023-03-11 11:34:00,0.800,0.570,0.960
2023-03-11 11:36:00,0.720,0.670,0.910
2023-03-11 11:38:00,0.620,0.440,0.850
2023-03-11 11:40:00,1.14,1.88,1.01
2023-03-11 11:42:00,1.14,1.36,1.02
2023-03-11 11:44:00,1.50,1.79,1.17
2023-03-11 11:46:00,1.30,1.01,1.14
2023-03-11 11:48:00,0.980,0.430,1.03
2023-03-11 11:50:00,1.04,1.02,1.05
2023-03-11 11:52:00,0.840,0.600,0.970
2023-03-11 11:54:00,0.780,0.770,0.930
2023-03-11 11:56:00,0.750,0.630,0.900
2023-03-11 11:58:00,1.53,2.80,1.17
2023-03-11 12:00:00,1.43,1.35,1.18
2023-03-11 12:02:00,1.14,0.570,1.11
2023-03-11 12:04:00,1.31,1.37,1.17
2023-03-11 12:06:00,1.19,1.16,1.14
2023-03-11 12:08:00,1.24,1.38,1.16
2023-03-11 12:10:00,1.28,1.50,1.18
2023-03-11 12:12:00,1.60,2.12,1.31
2023-03-11 12:14:00,1.75,2.04,1.40
2023-03-11 12:16:00,1.46,0.910,1.34
2023-03-11 12:18:00,1.24,0.890,1.26
2023-03-11 12:20:00,2.30,4.08,1.65
2023-03-11 12:22:00,2.44,3.06,1.77
2023-03-11 12:24:00,2.93,3.89,2.03
2023-03-11 12:26:00,2.39,1.42,1.94
2023-03-11 12:28:00,1.85,0.790,1.80
2023-03-11 12:30:00,1.48,0.680,1.67
2023-03-11 12:32:00,1.16,0.490,1.53
2023-03-11 12:34:00,0.930,0.540,1.39
2023-03-11 12:36:00,0.900,0.810,1.32
2023-03-11 12:38:00,0.980,0.940,1.30
2023-03-11 12:40:00,0.900,0.840,1.23
2023-03-11 12:42:00,0.950,0.970,1.21
2023-03-11 12:44:00,0.860,0.640,1.14
2023-03-11 12:46:00,1.08,1.10,1.19
2023-03-11 12:48:00,1.20,1.89,1.21
2023-03-11 12:50:00,0.980,0.660,1.12
2023-03-11 12:52:00,0.870,0.710,1.06
2023-03-11 12:54:00,0.820,0.640,1.02
2023-03-11 12:56:00,0.720,0.580,0.960
2023-03-11 12:58:00,0.630,0.440,0.890
2023-03-11 13:00:00,0.730,0.820,0.900
2023-03-11 13:02:00,1.23,2.72,1.05
2023-03-11 13:04:00,1.16,1.28,1.04
2023-03-11 13:06:00,1.26,1.19,1.09
2023-03-11 13:08:00,1.06,0.820,1.04
2023-03-11 13:10:00,1.20,1.63,1.09
2023-03-11 13:12:00,1.16,0.910,1.09
2023-03-11 13:14:00,0.970,0.640,1.02
2023-03-11 13:16:00,0.920,0.590,1
2023-03-11 13:18:00,0.930,1.03,0.990
2023-03-11 13:20:00,0.880,0.830,0.970
