,Time,Type,Response,Code
0,2023-03-11 11:02:07.658866,Public,0.017063,200
0,2023-03-11 11:02:07.777093,Public,0.015643,200
0,2023-03-11 11:02:07.896661,Public,0.017221,200
0,2023-03-11 11:02:08.015752,Public,0.016556,200
0,2023-03-11 11:02:08.133160,Public,0.015059,200
0,2023-03-11 11:02:08.252299,Public,0.01684,200
0,2023-03-11 11:02:08.371552,Public,0.016817,200
0,2023-03-11 11:02:08.490830,Public,0.016949,200
0,2023-03-11 11:02:08.608467,Public,0.014844,200
0,2023-03-11 11:02:08.727212,Public,0.016432,200
0,2023-03-11 11:02:08.846607,Public,0.017,200
0,2023-03-11 11:02:08.965989,Public,0.017037,200
0,2023-03-11 11:02:09.083611,Public,0.015291,200
0,2023-03-11 11:02:09.202578,Public,0.016641,200
0,2023-03-11 11:02:09.321769,Public,0.01681,200
0,2023-03-11 11:02:09.441061,Public,0.016769,200
0,2023-03-11 11:02:09.558329,Public,0.014932,200
0,2023-03-11 11:02:09.677512,Public,0.016616,200
0,2023-03-11 11:02:09.797062,Public,0.017159,200
0,2023-03-11 11:02:09.917119,Public,0.017663,200
0,2023-03-11 11:02:10.037117,Public,0.017337,200
0,2023-03-11 11:02:10.154985,Public,0.01542,200
0,2023-03-11 11:02:10.273888,Public,0.016084,200
0,2023-03-11 11:02:10.393003,Public,0.016742,200
0,2023-03-11 11:02:10.512394,Public,0.016968,200
0,2023-03-11 11:02:10.630265,Public,0.015556,200
0,2023-03-11 11:02:10.749073,Public,0.016362,200
0,2023-03-11 11:02:10.867680,Public,0.016226,200
0,2023-03-11 11:02:10.987673,Public,0.017354,200
0,2023-03-11 11:02:11.105884,Public,0.015856,200
0,2023-03-11 11:02:11.223443,Public,0.015207,200
0,2023-03-11 11:02:11.342981,Public,0.017057,200
0,2023-03-11 11:02:11.462904,Public,0.017358,200
0,2023-03-11 11:02:11.582276,Public,0.016968,200
0,2023-03-11 11:02:11.699405,Public,0.014748,200
0,2023-03-11 11:02:11.818711,Public,0.016928,200
0,2023-03-11 11:02:11.939129,Public,0.017856,200
0,2023-03-11 11:02:12.058394,Public,0.016799,200
0,2023-03-11 11:02:12.178671,Public,0.017923,200
0,2023-03-11 11:02:12.297761,Public,0.016741,200
0,2023-03-11 11:02:12.413985,Public,0.013846,200
0,2023-03-11 11:02:12.532681,Public,0.016403,200
0,2023-03-11 11:02:12.651838,Public,0.016794,200
0,2023-03-11 11:02:12.768960,Public,0.01452,200
0,2023-03-11 11:02:12.888158,Public,0.016832,200
0,2023-03-11 11:02:13.007594,Public,0.016977,200
0,2023-03-11 11:02:13.126967,Public,0.016975,200
0,2023-03-11 11:02:13.244331,Public,0.015022,200
0,2023-03-11 11:02:13.363496,Public,0.016775,200
