"Time","DELETE /v1/endpoint","DELETE /v1/endpoint","DELETE /v1/endpoint","GET /v1/cluster","GET /v1/cluster","GET /v1/cluster","GET /v1/config","GET /v1/config","GET /v1/config","GET /v1/healthz","GET /v1/healthz","GET /v1/healthz","POST /v1/ipam","POST /v1/ipam","POST /v1/ipam","PUT /v1/endpoint","PUT /v1/endpoint","PUT /v1/endpoint"
2023-03-16 18:00:00,,,,0.0000689,0.0000334,0.0000776,,,,0.000752,0.000906,0.000869,,,,,,
2023-03-16 18:02:00,,,,0.0000301,0.0000328,0.0000811,,,,0.000932,0.000803,0.000930,,,,,,
2023-03-16 18:04:00,,,,0.000102,0.0000274,0.0000341,,,,0.000989,0.00102,0.000961,,,,,,
2023-03-16 18:06:00,,,,0.0000290,0.0000291,0.0000916,,,,0.000774,0.00106,0.000904,,,,,,
2023-03-16 18:08:00,,,,0.0000912,0.0000281,0.0000559,,,,0.00112,0.00118,0.000912,,,,,,
2023-03-16 18:10:00,,,,0.0000951,0.0000302,0.0000243,,,,0.000826,0.000391,0.000673,,,,,,
2023-03-16 18:12:00,,,,0.000105,0.0000274,0.0000698,,,,0.000992,0.000949,0.000978,,,,,,
2023-03-16 18:14:00,,,,0.0000721,0.0000357,0.0000287,,,,0.00106,0.00109,0.000608,,,,,,
2023-03-16 18:16:00,,,,0.0000261,0.0000317,0.0000753,,,,0.000947,0.000816,0.000550,,,,,,
2023-03-16 18:18:00,,,,0.0000784,0.0000273,0.0000826,,,,0.00114,0.00123,0.000988,,,,,,
2023-03-16 18:20:00,,,,0.0000934,0.0000269,0.0000277,,,,0.000730,0.000968,0.000785,,,,,,
2023-03-16 18:22:00,,,,0.0000678,0.0000314,0.0000696,,,,0.000850,0.00104,0.000998,,,,,,
2023-03-16 18:24:00,,,,0.0000797,0.0000319,0.0000764,,,,0.00101,0.000569,0.000833,,,,,,
2023-03-16 18:26:00,,,,0.0000264,0.0000328,0.0000298,,,,0.000549,0.000983,0.000832,,,,,,
2023-03-16 18:28:00,,,,0.0000734,0.0000285,0.0000824,,,,0.000833,0.000724,0.00102,,,,,,
2023-03-16 18:30:00,,,,0.0000392,0.0000399,0.0000305,,,,0.000867,0.000413,0.000844,,,,,,
2023-03-16 18:32:00,,,,0.0000797,0.0000290,0.0000771,,,,0.000927,0.00104,0.00105,,,,,,
2023-03-16 18:34:00,,,,0.0000882,0.0000387,0.0000824,,,,0.000802,0.000885,0.000861,,,,,,
2023-03-16 18:36:00,,,,0.0000282,0.0000417,0.0000283,,,,0.000831,0.000909,0.000694,,,,,,
2023-03-16 18:38:00,,,,0.0000896,0.0000306,0.0000644,,,,0.00118,0.00104,0.000924,,,,,,
2023-03-16 18:40:00,,,,0.0000431,0.0000368,0.0000966,,,,0.000784,0.000888,0.000637,,,,,,
2023-03-16 18:42:00,,,,0.0000326,0.0000419,0.0000954,,,,0.000954,0.000995,0.00105,,,,,,
2023-03-16 18:44:00,,,,0.0000800,0.0000864,0.0000288,,,,0.00102,0.000713,0.000808,,,,,,
2023-03-16 18:46:00,,,,0.000118,0.0000400,0.0000883,,,,0.000732,0.000923,0.000966,,,,,,
2023-03-16 18:48:00,,,,0.0000371,0.0000342,0.0000714,,,,0.00110,0.000996,0.000589,,,,,,
2023-03-16 18:50:00,,,,0.0000277,0.0000303,0.0000551,,,,0.000759,0.000755,0.000807,,,,,,
2023-03-16 18:52:00,,,,0.000151,0.0000266,0.0000792,,,,0.000692,0.000933,0.00123,,,,,,
2023-03-16 18:54:00,,,,0.0000766,0.0000341,0.0000351,,,,0.000683,0.000895,0.000647,,,,,,
2023-03-16 18:56:00,,,,0.0000272,0.0000656,0.0000846,,,,0.000709,0.000987,0.00102,,,,,,
2023-03-16 18:58:00,,,,0.0000394,0.0000324,0.0000834,,,,0.000724,0.000733,0.00102,,,,,,
2023-03-16 19:00:00,,,,0.0000314,0.0000436,0.0000559,,,,0.000787,0.000888,0.00104,,,,,,
2023-03-16 19:02:00,,,,0.0000805,0.0000321,0.0000942,,,,0.000968,0.000994,0.000949,,,,,,
2023-03-16 19:04:00,,,,0.0000381,0.0000303,0.0000352,,,,0.00103,0.000866,0.000852,,,,,,
2023-03-16 19:06:00,,,,0.0000789,0.0000318,0.0000802,,,,0.00116,0.00101,0.00112,,,,,,
2023-03-16 19:08:00,,,,0.0000821,0.0000304,0.0000299,,,,0.000720,0.000895,0.00125,,,,,,
2023-03-16 19:10:00,,,,0.0000725,0.0000279,0.0000970,,,,0.000951,0.000758,0.000951,,,,,,
2023-03-16 19:12:00,,,,0.000108,0.0000319,0.0000840,,,,0.000860,0.000821,0.000962,,,,,,
2023-03-16 19:14:00,,,,0.0000274,0.0000294,0.0000900,,,,0.000843,0.000831,0.000840,,,,,,
2023-03-16 19:16:00,,,,0.0000748,0.0000297,0.0000767,,,,0.00110,0.00117,0.00135,,,,,,
2023-03-16 19:18:00,,,,0.0000827,0.0000336,0.0000272,,,,0.000856,0.000773,0.000883,,,,,,
2023-03-16 19:20:00,,,,0.0000874,0.0000406,0.0000817,,,,0.000869,0.000832,0.00104,,,,,,
2023-03-16 19:22:00,,,,0.0000807,0.0000327,0.0000747,,,,0.000863,0.00103,0.000564,,,,,,
2023-03-16 19:24:00,,,,0.0000350,0.0000356,0.0000844,,,,0.000848,0.000648,0.000678,,,,,,
2023-03-16 19:26:00,,,,0.0000726,0.0000259,0.0000709,,,,0.00104,0.000835,0.00107,,,,,,
2023-03-16 19:28:00,,,,0.0000284,0.0000383,0.0000286,,,,0.000813,0.000900,0.000501,,,,,,
2023-03-16 19:30:00,,,,0.000121,0.0000302,0.0000473,,,,0.000663,0.000971,0.000902,,,,,,
2023-03-16 19:32:00,,,,0.0000810,0.0000365,0.0000956,,,,0.000755,0.000828,0.000650,,,,,,
2023-03-16 19:34:00,,,,0.0000354,0.0000341,0.0000902,,,,0.000892,0.000984,0.00108,,,,,,
2023-03-16 19:36:00,,,,0.0000697,0.0000296,0.000103,,,,0.000600,0.000699,0.00107,,,,,,
2023-03-16 19:38:00,,,,0.000116,0.0000308,0.0000267,,,,0.000664,0.000540,0.000865,,,,,,
2023-03-16 19:40:00,,,,0.0000716,0.0000334,0.0000338,,,,0.00104,0.00105,0.00102,,,,,,
2023-03-16 19:42:00,,,,0.000119,0.0000285,0.0000286,,,,0.000880,0.000834,0.000979,,,,,,
2023-03-16 19:44:00,,,,0.000120,0.0000306,0.0000856,,,,0.000901,0.000887,0.000941,,,,,,
2023-03-16 19:46:00,,,,0.0000767,0.0000385,0.0000784,,,,0.00100,0.000924,0.000809,,,,,,
2023-03-16 19:48:00,,,,0.0000279,0.0000404,0.0000605,,,,0.000574,0.000568,0.000518,,,,,,
2023-03-16 19:50:00,,,,0.0000804,0.0000366,0.0000291,,,,0.000922,0.00102,0.00102,,,,,,
2023-03-16 19:52:00,,,,0.0000968,0.0000359,0.0000291,,,,0.000646,0.000730,0.000811,,,,,,
2023-03-16 19:54:00,,,,0.0000726,0.0000375,0.0000838,,,,0.00103,0.00114,0.00104,,,,,,
2023-03-16 19:56:00,,,,0.0000812,0.0000361,0.0000769,,,,0.00101,0.000935,0.000698,,,,,,
2023-03-16 19:58:00,,,,0.0000304,0.0000388,0.0000357,,,,0.000851,0.000842,0.00102,,,,,,
2023-03-16 20:00:00,,,,0.0000703,0.0000295,0.0000296,,,,0.000927,0.000919,0.00117,,,,,,
2023-03-16 20:02:00,,,,0.0000751,0.0000776,0.0000412,,,,0.000578,0.000649,0.000653,,,,,,
2023-03-16 20:04:00,,,,0.000114,0.0000273,0.0000802,,,,0.00105,0.00110,0.00104,,,,,,
2023-03-16 20:06:00,,,,0.0000762,0.0000317,0.0000784,,,,0.000646,0.000736,0.000766,,,,,,
2023-03-16 20:08:00,,,,0.0000892,0.0000277,0.0000798,,,,0.000699,0.000740,0.000965,,,,,,
2023-03-16 20:10:00,,,,0.0000951,0.0000357,0.000115,,,,0.00125,0.00117,0.00103,,,,,,
2023-03-16 20:12:00,,,,0.0000306,0.0000357,0.0000975,,,,0.000675,0.000823,0.000820,,,,,,
2023-03-16 20:14:00,,,,0.0000716,0.0000365,0.0000354,,,,0.00109,0.00109,0.00116,,,,,,
2023-03-16 20:16:00,,,,0.0000728,0.0000280,0.0000261,,,,0.000793,0.000737,0.000750,,,,,,
2023-03-16 20:18:00,,,,0.0000690,0.0000271,0.0000390,,,,0.000895,0.000994,0.000999,,,,,,
2023-03-16 20:20:00,,,,0.0000769,0.0000279,0.0000747,,,,0.00105,0.00105,0.00111,,,,,,
2023-03-16 20:22:00,,,,0.0000343,0.0000365,0.0000741,,,,0.000832,0.000833,0.000866,,,,,,
2023-03-16 20:24:00,,,,0.0000799,0.0000320,0.0000804,,,,0.00104,0.00112,0.00108,,,,,,
2023-03-16 20:26:00,,,,0.000113,0.0000350,0.0000274,,,,0.000839,0.000950,0.00105,,,,,,
2023-03-16 20:28:00,,,,0.000101,0.0000393,0.0000332,,,,0.000969,0.000943,0.000900,,,,,,
