"Time","Drop","PolicyVerdict","Trace"
2023-03-16 18:00:00,0.0400,1.22,90.1
2023-03-16 18:02:00,0.0200,1.26,88.7
2023-03-16 18:04:00,0.0400,1.10,87.2
2023-03-16 18:06:00,0,1.64,91.0
2023-03-16 18:08:00,0,1.12,86.3
2023-03-16 18:10:00,0,1.26,85.7
2023-03-16 18:12:00,0,1.10,87.5
2023-03-16 18:14:00,0.0400,1.10,84.8
2023-03-16 18:16:00,0.0200,1.66,89.8
2023-03-16 18:18:00,0.0200,1.10,86.0
2023-03-16 18:20:00,0,1.26,87.3
2023-03-16 18:22:00,0.0600,1.10,160
2023-03-16 18:24:00,0,1.10,86.1
2023-03-16 18:26:00,0.0400,1.62,90.5
2023-03-16 18:28:00,0.0600,1.10,85.9
2023-03-16 18:30:00,0,1.30,87.0
2023-03-16 18:32:00,0,1.26,219
2023-03-16 18:34:00,0,1.24,87.5
2023-03-16 18:36:00,0.0200,1.62,90.8
2023-03-16 18:38:00,0.0200,1.10,86.0
2023-03-16 18:40:00,0.0400,1.12,85.7
2023-03-16 18:42:00,0.0200,1.26,143
2023-03-16 18:44:00,0.0400,1.26,87.9
2023-03-16 18:46:00,0.0200,1.64,90.3
2023-03-16 18:48:00,0,1.10,84.5
2023-03-16 18:50:00,0,1.14,84.7
2023-03-16 18:52:00,0,1.10,85.6
2023-03-16 18:54:00,0,1.26,87.2
2023-03-16 18:56:00,0,1.46,88.3
2023-03-16 18:58:00,0,1.10,83.8
2023-03-16 19:00:00,0.0400,1.14,85.7
2023-03-16 19:02:00,0,1.10,86.8
2023-03-16 19:04:00,0.0600,1.10,94.8
2023-03-16 19:06:00,0,1.62,89.1
2023-03-16 19:08:00,0.0200,1.24,85.2
2023-03-16 19:10:00,0.0200,1.30,84.7
2023-03-16 19:12:00,0.0600,1.10,85.0
2023-03-16 19:14:00,0.0400,1.26,173
2023-03-16 19:16:00,0.0200,1.46,88.4
2023-03-16 19:18:00,0,1.26,85.0
2023-03-16 19:20:00,0,1.14,85.2
2023-03-16 19:22:00,0,1.10,85.6
2023-03-16 19:24:00,0.0200,1.26,208
2023-03-16 19:26:00,0.0400,1.46,88.8
2023-03-16 19:28:00,0,1.26,85.7
2023-03-16 19:30:00,0,1.30,85.9
2023-03-16 19:32:00,0.140,1.10,85.7
2023-03-16 19:34:00,0.0400,1.30,133
2023-03-16 19:36:00,0.0600,1.44,90.4
2023-03-16 19:38:00,0.0400,1.26,85.8
2023-03-16 19:40:00,0,1.30,87.1
2023-03-16 19:42:00,0,1.26,88.2
2023-03-16 19:44:00,0,1.28,88.0
2023-03-16 19:46:00,0,1.46,88.1
2023-03-16 19:48:00,0.0200,1.26,86.7
2023-03-16 19:50:00,0.0200,1.16,85.4
2023-03-16 19:52:00,0.0400,1.26,88.3
2023-03-16 19:54:00,0.0400,1.26,85.0
2023-03-16 19:56:00,0.0600,1.46,108
2023-03-16 19:58:00,0,1.26,84.2
2023-03-16 20:00:00,0,1.14,84.7
2023-03-16 20:02:00,0.0800,1.26,88.4
2023-03-16 20:04:00,0.0400,1.26,84.8
2023-03-16 20:06:00,0,1.50,192
2023-03-16 20:08:00,0,1.26,84.9
2023-03-16 20:10:00,0,1.14,83.7
2023-03-16 20:12:00,0.0200,1.10,86.3
2023-03-16 20:14:00,0,1.12,83.6
2023-03-16 20:16:00,0.0200,1.46,202
2023-03-16 20:18:00,0.0200,1.26,86.3
2023-03-16 20:20:00,0.0200,1.14,85.9
2023-03-16 20:22:00,0,1.26,86.6
2023-03-16 20:24:00,0.0400,1.10,84.0
2023-03-16 20:26:00,0.0400,1.62,116
2023-03-16 20:28:00,0,1.10,84.7
2023-03-16 20:30:00,0,1.12,85.4
2023-03-16 20:32:00,0,1.26,86.6
2023-03-16 20:34:00,0,1.12,85.2
2023-03-16 20:36:00,0,1.46,90.5
2023-03-16 20:38:00,0.0400,1.10,85.9
2023-03-16 20:40:00,0,1.10,85.8
2023-03-16 20:42:00,0.0800,1.26,86.2
2023-03-16 20:44:00,0.140,1.10,85.7
2023-03-16 20:46:00,0,1.46,89.9
2023-03-16 20:48:00,0.0200,1.26,120
2023-03-16 20:50:00,0,1.24,85.8
2023-03-16 20:52:00,0,1.26,86.3
2023-03-16 20:54:00,0,1.10,85.6
2023-03-16 20:56:00,0,1.62,89.4
2023-03-16 20:58:00,0,1.10,204
2023-03-16 21:00:00,0,1.26,84.2
2023-03-16 21:02:00,0.0200,1.24,87.5
2023-03-16 21:04:00,0.0400,1.10,85.3
2023-03-16 21:06:00,0.0800,1.62,89.8
2023-03-16 21:08:00,0.0600,1.10,177
2023-03-16 21:10:00,0.0200,1.10,84.2
2023-03-16 21:12:00,0.0400,1.26,87.4
2023-03-16 21:14:00,0,1.10,85.1
2023-03-16 21:16:00,0,1.46,89.3
2023-03-16 21:18:00,0,1.10,95.2
2023-03-16 21:20:00,0,1.26,86.1
2023-03-16 21:22:00,0.0200,1.30,88.1
2023-03-16 21:24:00,0.0200,1.24,86.5
2023-03-16 21:26:00,0.0400,1.62,89.2
2023-03-16 21:28:00,0.0200,1.10,84.6
2023-03-16 21:30:00,0.0400,1.26,85.7
2023-03-16 21:32:00,0.0400,1.12,87.0
2023-03-16 21:34:00,0.0800,1.26,87.5
2023-03-16 21:36:00,0.0400,1.62,90.2
2023-03-16 21:38:00,0,1.10,84.4
2023-03-16 21:40:00,0,1.30,141
2023-03-16 21:42:00,0,1.10,87.1
2023-03-16 21:44:00,0,1.26,87.0
2023-03-16 21:46:00,0.0200,1.62,89.1
2023-03-16 21:48:00,0.0200,1.10,84.3
2023-03-16 21:50:00,0.0200,1.26,215
2023-03-16 21:52:00,0.0400,1.10,85.3
2023-03-16 21:54:00,0.0400,1.10,85.1
2023-03-16 21:56:00,0.0200,1.62,88.5
2023-03-16 21:58:00,0,1.10,84.6
2023-03-16 22:00:00,0.0400,1.30,164
2023-03-16 22:02:00,0,1.10,84.9
2023-03-16 22:04:00,0,1.26,85.4
2023-03-16 22:06:00,0,1.48,88.6
2023-03-16 22:08:00,0,1.26,84.8
2023-03-16 22:10:00,0,1.30,92.6
2023-03-16 22:12:00,0.0200,1.10,86
2023-03-16 22:14:00,0,1.26,86.6
2023-03-16 22:16:00,0.0600,1.48,89.6
2023-03-16 22:18:00,0.0800,1.26,86.6
2023-03-16 22:20:00,0.0600,1.30,86.1
2023-03-16 22:22:00,0.0200,1.10,85.4
2023-03-16 22:24:00,0,1.14,85.7
2023-03-16 22:26:00,0,1.46,88.1
2023-03-16 22:28:00,0,1.10,86.2
2023-03-16 22:30:00,0,1.30,86.6
2023-03-16 22:32:00,0,1.24,158
2023-03-16 22:34:00,0.0200,1.26,85.8
2023-03-16 22:36:00,0,1.46,89.6
2023-03-16 22:38:00,0,1.26,85.5
2023-03-16 22:40:00,0.0800,1.14,85.8
2023-03-16 22:42:00,0.0800,1.24,217
2023-03-16 22:44:00,0,1.26,87.6
2023-03-16 22:46:00,0.0200,1.46,87.2
2023-03-16 22:48:00,0.0400,1.26,85.5
2023-03-16 22:50:00,0,1.16,84.8
2023-03-16 22:52:00,0,1.26,147
2023-03-16 22:54:00,0,1.10,85.8
2023-03-16 22:56:00,0,1.46,88.5
2023-03-16 22:58:00,0.0200,1.26,86.2
2023-03-16 23:00:00,0.0400,1.14,85.8
2023-03-16 23:02:00,0,1.26,88.4
2023-03-16 23:04:00,0.0600,1.26,86.7
2023-03-16 23:06:00,0.0400,1.48,91.2
2023-03-16 23:08:00,0.0400,1.26,86.7
2023-03-16 23:10:00,0.0400,1.14,86.0
2023-03-16 23:12:00,0.0200,1.26,87.3
2023-03-16 23:14:00,0,1.10,97.0
2023-03-16 23:16:00,0,1.60,89.8
2023-03-16 23:18:00,0,1.14,85.2
2023-03-16 23:20:00,0.0400,1.14,85.3
2023-03-16 23:22:00,0.0400,1.26,86.1
2023-03-16 23:24:00,0.0400,1.12,173
2023-03-16 23:26:00,0.0800,1.66,90.8
2023-03-16 23:28:00,0,1.10,85.9
2023-03-16 23:30:00,0.0400,1.14,85.7
2023-03-16 23:32:00,0.0200,1.26,87.4
2023-03-16 23:34:00,0.0200,1.10,206
2023-03-16 23:36:00,0.0600,1.62,90.7
2023-03-16 23:38:00,0,1.26,86.9
2023-03-16 23:40:00,0,1.14,87.4
2023-03-16 23:42:00,0,1.26,88.7
2023-03-16 23:44:00,0,1.10,126
2023-03-16 23:46:00,0,1.62,90.5
2023-03-16 23:48:00,0.0200,1.26,86.1
2023-03-16 23:50:00,0,1.28,86.8
2023-03-16 23:52:00,0.100,1.10,86.0
2023-03-16 23:54:00,0,1.12,85.9
2023-03-16 23:56:00,0.0600,1.62,90.1
2023-03-16 23:58:00,0,1.26,85.5
2023-03-17 00:00:00,0,1.14,86.3
2023-03-17 00:02:00,0,1.26,87.0
2023-03-17 00:04:00,0,1.10,86.3
2023-03-17 00:06:00,0,1.62,113
2023-03-17 00:08:00,0.0400,1.12,85.7
2023-03-17 00:10:00,0,1.30,88.8
2023-03-17 00:12:00,0,1.10,86.6
2023-03-17 00:14:00,0,1.10,84.8
2023-03-17 00:16:00,0.0800,1.66,197
2023-03-17 00:18:00,0,1.10,86.1
2023-03-17 00:20:00,0.0200,1.30,86.7
2023-03-17 00:22:00,0.0400,1.10,87.5
2023-03-17 00:24:00,0.0600,1.10,87.5
2023-03-17 00:26:00,0,1.62,203
2023-03-17 00:28:00,0,1.10,85.0
2023-03-17 00:30:00,0,1.30,86.0
2023-03-17 00:32:00,0.0400,1.10,85.6
2023-03-17 00:34:00,0.0200,1.24,86.0
2023-03-17 00:36:00,0.0200,1.62,120
2023-03-17 00:38:00,0,1.10,85.0
2023-03-17 00:40:00,0.0600,1.30,86.6
2023-03-17 00:42:00,0.0600,1.12,87.8
2023-03-17 00:44:00,0.120,1.26,87.2
2023-03-17 00:46:00,0.0400,1.62,91.3
2023-03-17 00:48:00,0,1.10,85.1
2023-03-17 00:50:00,0,1.28,86.8
