"Time","avg","min","max"
2023-03-16 18:00:00,91.3,91.3,91.3
2023-03-16 18:02:00,90.0,90.0,90.0
2023-03-16 18:04:00,88.4,88.4,88.4
2023-03-16 18:06:00,92.7,92.7,92.7
2023-03-16 18:08:00,87.5,87.5,87.5
2023-03-16 18:10:00,87.0,87.0,87.0
2023-03-16 18:12:00,88.6,88.6,88.6
2023-03-16 18:14:00,85.9,85.9,85.9
2023-03-16 18:16:00,91.5,91.5,91.5
2023-03-16 18:18:00,87.1,87.1,87.1
2023-03-16 18:20:00,88.5,88.5,88.5
2023-03-16 18:22:00,161,161,161
2023-03-16 18:24:00,87.2,87.2,87.2
2023-03-16 18:26:00,92.2,92.2,92.2
2023-03-16 18:28:00,87.0,87.0,87.0
2023-03-16 18:30:00,88.3,88.3,88.3
2023-03-16 18:32:00,220,220,220
2023-03-16 18:34:00,88.8,88.8,88.8
2023-03-16 18:36:00,92.5,92.5,92.5
2023-03-16 18:38:00,87.1,87.1,87.1
2023-03-16 18:40:00,86.9,86.9,86.9
2023-03-16 18:42:00,145,145,145
2023-03-16 18:44:00,89.2,89.2,89.2
2023-03-16 18:46:00,91.9,91.9,91.9
2023-03-16 18:48:00,85.6,85.6,85.6
2023-03-16 18:50:00,85.8,85.8,85.8
2023-03-16 18:52:00,86.7,86.7,86.7
2023-03-16 18:54:00,88.4,88.4,88.4
2023-03-16 18:56:00,89.8,89.8,89.8
2023-03-16 18:58:00,84.9,84.9,84.9
2023-03-16 19:00:00,86.9,86.9,86.9
2023-03-16 19:02:00,87.9,87.9,87.9
2023-03-16 19:04:00,95.9,95.9,95.9
2023-03-16 19:06:00,90.7,90.7,90.7
2023-03-16 19:08:00,86.4,86.4,86.4
2023-03-16 19:10:00,86.0,86.0,86.0
2023-03-16 19:12:00,86.1,86.1,86.1
2023-03-16 19:14:00,175,175,175
2023-03-16 19:16:00,89.9,89.9,89.9
2023-03-16 19:18:00,86.3,86.3,86.3
2023-03-16 19:20:00,86.3,86.3,86.3
2023-03-16 19:22:00,86.7,86.7,86.7
2023-03-16 19:24:00,209,209,209
2023-03-16 19:26:00,90.3,90.3,90.3
2023-03-16 19:28:00,87.0,87.0,87.0
2023-03-16 19:30:00,87.2,87.2,87.2
2023-03-16 19:32:00,86.9,86.9,86.9
2023-03-16 19:34:00,134,134,134
2023-03-16 19:36:00,91.9,91.9,91.9
2023-03-16 19:38:00,87.1,87.1,87.1
2023-03-16 19:40:00,88.4,88.4,88.4
2023-03-16 19:42:00,89.4,89.4,89.4
2023-03-16 19:44:00,89.3,89.3,89.3
