"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-16 18:00:00,3.34,,,6.22,9.06,3.28,2.46,2.06,3.12,5.16,1.80,1.68
2023-03-16 18:02:00,3.40,1.62,,6.08,9.14,3.34,2.56,2.12,,5.18,1.78,1.74
2023-03-16 18:04:00,3.40,1.52,,6.12,9.24,3.22,2.58,2.06,,5.18,1.76,1.68
2023-03-16 18:06:00,3.28,1.88,2.18,6.46,9.12,3.16,2.52,2,,5.12,1.78,
2023-03-16 18:08:00,3.32,1.66,,6,8.82,3.14,2.58,2.08,,5.10,1.74,1.68
2023-03-16 18:10:00,3.42,1.52,,6.04,8.76,3.12,2.56,1.98,,5.22,1.74,1.68
2023-03-16 18:12:00,3.52,1.62,,6.14,8.70,3.28,2.56,1.94,,5.26,1.74,1.68
2023-03-16 18:14:00,3.24,1.52,,6.08,9.12,3.32,2.50,1.92,,5.20,1.80,1.68
2023-03-16 18:16:00,3.42,1.88,2.16,6.26,9.02,3.16,2.46,1.84,,5.14,1.68,
2023-03-16 18:18:00,3.28,1.58,,6.14,8.76,3.20,2.52,2.06,,5.20,1.74,1.68
2023-03-16 18:20:00,3.50,1.52,,5.94,9.22,3.22,2.46,2.02,,5.20,1.70,1.66
2023-03-16 18:22:00,3.46,,,6.18,16.2,3.36,2.50,2.16,47.3,5.14,1.74,1.68
2023-03-16 18:24:00,3.46,1.52,,6.10,9.20,3.26,2.54,2.12,,5.14,1.78,1.68
2023-03-16 18:26:00,3.52,1.88,2.16,6.18,9.38,3.28,2.54,2.04,,5.30,,1.68
2023-03-16 18:28:00,3.28,1.58,,5.90,9.20,3.24,2.50,2.12,,5.20,1.80,1.70
2023-03-16 18:30:00,3.58,1.52,,6.14,8.68,3.26,2.56,2.16,,5.22,1.76,1.64
2023-03-16 18:32:00,3.34,,1.76,6.16,16.1,3.32,2.60,1.96,99.2,5.14,1.78,
2023-03-16 18:34:00,3.34,1.52,,5.90,9.06,3.32,2.52,2.06,,5.16,1.74,1.68
2023-03-16 18:36:00,3.56,1.88,2.20,6.04,9.16,3.12,2.52,2.02,,5.12,1.76,
2023-03-16 18:38:00,3.34,1.58,,6.10,9,3.24,2.52,2.10,,5.22,1.70,1.70
2023-03-16 18:40:00,3.44,1.52,,6.24,8.92,3.16,2.54,1.96,,5.14,1.74,1.68
2023-03-16 18:42:00,3.34,,,6.04,8.80,3.28,2.56,2.18,50.7,5.16,1.72,1.68
2023-03-16 18:44:00,3.30,1.70,,6.04,9.32,3.08,2.50,2.06,,5.20,1.84,1.66
2023-03-16 18:46:00,3.36,2.06,2.12,6.22,8.68,3.34,2.50,2.08,,5.18,,1.68
2023-03-16 18:48:00,3.26,1.58,,6.06,8.92,3.20,2.52,2.02,,5.22,1.80,1.66
2023-03-16 18:50:00,3.40,1.52,,6.18,8.98,3.14,2.50,2.02,,5.12,1.74,1.68
2023-03-16 18:52:00,3.32,1.62,,5.96,9.18,3.18,2.50,2.14,,5.14,1.72,1.68
2023-03-16 18:54:00,3.30,1.52,,6,9.02,3.34,2.52,2,,5.24,1.76,1.66
2023-03-16 18:56:00,3.44,1.88,1.80,6.06,8.40,3,2.54,1.98,,5.18,1.76,
