"Time","to-endpoint","to-overlay","to-stack"
2023-03-16 18:00:00,48,14.6,27.5
2023-03-16 18:02:00,48.6,12.6,27.5
2023-03-16 18:04:00,47.8,12.0,27.4
2023-03-16 18:06:00,49.8,13.6,27.6
2023-03-16 18:08:00,47.3,11.9,27.1
2023-03-16 18:10:00,47.7,11.0,27.0
2023-03-16 18:12:00,47.9,12.2,27.4
2023-03-16 18:14:00,47.3,10.4,27.1
2023-03-16 18:16:00,49.3,13.0,27.5
2023-03-16 18:18:00,47.2,11.6,27.2
2023-03-16 18:20:00,47.9,12.1,27.3
2023-03-16 18:22:00,78.8,53.7,27.7
2023-03-16 18:24:00,47.9,10.6,27.6
2023-03-16 18:26:00,50.1,12.3,28.2
2023-03-16 18:28:00,47.8,10.8,27.3
2023-03-16 18:30:00,47.9,11.8,27.2
2023-03-16 18:32:00,92.8,98.7,27.5
2023-03-16 18:34:00,47.6,12.9,27.1
2023-03-16 18:36:00,49.5,13.6,27.7
2023-03-16 18:38:00,47.6,11.1,27.3
2023-03-16 18:40:00,47.3,11.1,27.3
2023-03-16 18:42:00,61.7,54.6,27.1
2023-03-16 18:44:00,49.2,11.3,27.4
2023-03-16 18:46:00,49.3,13.2,27.7
2023-03-16 18:48:00,47.2,10.1,27.2
2023-03-16 18:50:00,47.3,10.3,27.1
2023-03-16 18:52:00,47.9,10.6,27.1
2023-03-16 18:54:00,47.8,12.1,27.2
2023-03-16 18:56:00,48.2,12.8,27.2
2023-03-16 18:58:00,46.8,9.84,27.1
2023-03-16 19:00:00,47.4,10.9,27.4
2023-03-16 19:02:00,48.0,11.3,27.5
2023-03-16 19:04:00,52.3,15.3,27.2
2023-03-16 19:06:00,49.3,12.3,27.6
2023-03-16 19:08:00,47.3,10.7,27.1
2023-03-16 19:10:00,47.5,10.1,27.0
2023-03-16 19:12:00,47.3,10.9,26.8
2023-03-16 19:14:00,82.2,64.4,26.7
2023-03-16 19:16:00,48.4,12.5,27.5
2023-03-16 19:18:00,47.7,10,27.3
2023-03-16 19:20:00,48.1,9.88,27.2
2023-03-16 19:22:00,48.0,9.96,27.6
2023-03-16 19:24:00,87.5,93.1,27.5
2023-03-16 19:26:00,49.1,12,27.7
2023-03-16 19:28:00,48.1,10.2,27.4
2023-03-16 19:30:00,48.1,10.5,27.3
2023-03-16 19:32:00,47.6,10.7,27.4
2023-03-16 19:34:00,57.7,47.5,27.3
2023-03-16 19:36:00,49.3,13.3,27.9
2023-03-16 19:38:00,48.3,10.1,27.5
2023-03-16 19:40:00,48.2,11.5,27.4
2023-03-16 19:42:00,48.9,11.6,27.6
2023-03-16 19:44:00,49.1,11.2,27.7
2023-03-16 19:46:00,49.1,11.1,27.9
2023-03-16 19:48:00,47.8,11.4,27.5
2023-03-16 19:50:00,48,10.2,27.2
2023-03-16 19:52:00,47.9,13.3,27.1
2023-03-16 19:54:00,47.4,10.5,27.1
2023-03-16 19:56:00,61.6,19.1,27.4
2023-03-16 19:58:00,47.2,10.0,27.0
2023-03-16 20:00:00,47.3,10.4,27.0
2023-03-16 20:02:00,48.3,12.6,27.4
2023-03-16 20:04:00,47.6,10.1,27.1
2023-03-16 20:06:00,87.9,76.6,27.7
2023-03-16 20:08:00,47.5,10.4,27.1
2023-03-16 20:10:00,46.4,10.7,26.7
2023-03-16 20:12:00,47.9,11.2,27.2
2023-03-16 20:14:00,47.2,9.26,27.1
2023-03-16 20:16:00,82.3,92.0,27.9
2023-03-16 20:18:00,48.3,10.4,27.6
2023-03-16 20:20:00,48.2,10.4,27.4
2023-03-16 20:22:00,48.5,10.7,27.4
2023-03-16 20:24:00,47.5,9.48,27.1
2023-03-16 20:26:00,53.1,35.0,27.7
2023-03-16 20:28:00,47.9,9.50,27.4
2023-03-16 20:30:00,47.5,10.7,27.2
2023-03-16 20:32:00,48.4,10.8,27.3
2023-03-16 20:34:00,47.4,10.4,27.3
2023-03-16 20:36:00,49.1,13.5,27.9
2023-03-16 20:38:00,47.4,11.2,27.3
2023-03-16 20:40:00,47.4,11.2,27.3
2023-03-16 20:42:00,48.1,10.9,27.2
2023-03-16 20:44:00,48.4,9.86,27.4
2023-03-16 20:46:00,49.1,13.1,27.8
2023-03-16 20:48:00,65.9,26.6,27.4
2023-03-16 20:50:00,47.4,11.1,27.2
2023-03-16 20:52:00,48.3,10.6,27.5
2023-03-16 20:54:00,48.2,9.94,27.4
2023-03-16 20:56:00,49.4,12.1,27.8
2023-03-16 20:58:00,92.6,84.5,27.4
2023-03-16 21:00:00,47.5,9.60,27.1
2023-03-16 21:02:00,48.4,11.8,27.3
2023-03-16 21:04:00,47.5,10.5,27.4
2023-03-16 21:06:00,49.2,13.0,27.6
2023-03-16 21:08:00,72.4,77.4,27.2
2023-03-16 21:10:00,47.3,9.86,27.0
2023-03-16 21:12:00,48.4,11.7,27.3
2023-03-16 21:14:00,47.4,10.6,27.1
2023-03-16 21:16:00,49.6,11.9,27.9
2023-03-16 21:18:00,47.6,20.4,27.3
2023-03-16 21:20:00,48.1,10.7,27.4
2023-03-16 21:22:00,48.4,12.2,27.5
2023-03-16 21:24:00,47.8,11.4,27.3
2023-03-16 21:26:00,49.4,11.9,27.9
2023-03-16 21:28:00,47.2,10.2,27.2
2023-03-16 21:30:00,47.9,10.6,27.3
2023-03-16 21:32:00,48.3,11.2,27.5
2023-03-16 21:34:00,48.5,11.1,27.8
2023-03-16 21:36:00,49.9,12.4,28.0
2023-03-16 21:38:00,47.7,9.48,27.2
2023-03-16 21:40:00,72.8,40.5,27.2
2023-03-16 21:42:00,48.4,11.2,27.4
2023-03-16 21:44:00,49.1,10.5,27.4
2023-03-16 21:46:00,49.3,12.1,27.8
2023-03-16 21:48:00,47.3,9.76,27.3
2023-03-16 21:50:00,92.0,96,27.1
2023-03-16 21:52:00,47.4,10.7,27.2
2023-03-16 21:54:00,47.5,10.3,27.3
2023-03-16 21:56:00,48.6,12.6,27.3
2023-03-16 21:58:00,46.5,11.0,27.0
2023-03-16 22:00:00,67.2,69.5,26.9
2023-03-16 22:02:00,47.4,10.4,27.2
2023-03-16 22:04:00,47.4,10.9,27.0
2023-03-16 22:06:00,49.2,11.8,27.7
2023-03-16 22:08:00,46.9,11.1,26.9
2023-03-16 22:10:00,48.7,16.3,27.6
2023-03-16 22:12:00,48.3,10.1,27.6
2023-03-16 22:14:00,48.5,10.6,27.4
2023-03-16 22:16:00,49.6,12.0,28.0
2023-03-16 22:18:00,48.1,10.9,27.6
2023-03-16 22:20:00,48.2,10.7,27.2
2023-03-16 22:22:00,47.9,9.98,27.5
2023-03-16 22:24:00,47.8,10.5,27.5
2023-03-16 22:26:00,49.2,11.2,27.7
2023-03-16 22:28:00,47.7,11.1,27.4
2023-03-16 22:30:00,48.1,11.1,27.4
2023-03-16 22:32:00,78.0,52.6,27.2
2023-03-16 22:34:00,47.7,11.0,27.1
2023-03-16 22:36:00,49.2,12.6,27.8
2023-03-16 22:38:00,47.6,10.7,27.2
2023-03-16 22:40:00,47.5,11.1,27.2
2023-03-16 22:42:00,92,97.4,27.1
2023-03-16 22:44:00,48.8,11.5,27.3
2023-03-16 22:46:00,48.9,10.7,27.6
2023-03-16 22:48:00,47.7,10.6,27.1
2023-03-16 22:50:00,47.5,10.2,27.1
2023-03-16 22:52:00,63.5,55.7,27.4
2023-03-16 22:54:00,47.4,11.2,27.2
2023-03-16 22:56:00,48.2,12.8,27.5
2023-03-16 22:58:00,48.2,10.5,27.4
2023-03-16 23:00:00,47.7,10.8,27.2
2023-03-16 23:02:00,48.5,12.4,27.5
2023-03-16 23:04:00,47.8,11.7,27.2
2023-03-16 23:06:00,49.8,13.3,28.1
2023-03-16 23:08:00,48.5,10.6,27.6
2023-03-16 23:10:00,47.7,11.0,27.3
2023-03-16 23:12:00,48.1,12,27.2
2023-03-16 23:14:00,52.6,17.1,27.3
2023-03-16 23:16:00,49.8,11.9,28.1
2023-03-16 23:18:00,46.9,11.1,27.2
2023-03-16 23:20:00,47.4,10.9,27.1
2023-03-16 23:22:00,47.7,11.1,27.2
2023-03-16 23:24:00,82.0,63.2,27.4
2023-03-16 23:26:00,49.8,13.1,27.9
2023-03-16 23:28:00,47.5,11.2,27.2
2023-03-16 23:30:00,47.7,10.6,27.4
2023-03-16 23:32:00,47.9,12.1,27.4
2023-03-16 23:34:00,85.6,93.2,27.3
2023-03-16 23:36:00,50,12.8,27.9
2023-03-16 23:38:00,48.0,11.6,27.3
2023-03-16 23:40:00,47.9,12.3,27.1
2023-03-16 23:42:00,48.7,12.5,27.4
2023-03-16 23:44:00,55.9,42.8,27.4
2023-03-16 23:46:00,50.0,12.3,28.2
2023-03-16 23:48:00,47.9,11,27.2
2023-03-16 23:50:00,47.7,11.9,27.2
2023-03-16 23:52:00,47.6,11.1,27.4
2023-03-16 23:54:00,47.8,10.9,27.3
2023-03-16 23:56:00,49.3,13.2,27.7
2023-03-16 23:58:00,47.4,11.1,27.1
2023-03-17 00:00:00,47.4,11.8,27.1
2023-03-17 00:02:00,47.8,12.1,27.0
2023-03-17 00:04:00,47.8,11.1,27.4
2023-03-17 00:06:00,62.4,22.5,28.1
2023-03-17 00:08:00,47.8,10.5,27.4
2023-03-17 00:10:00,48.6,12.9,27.3
2023-03-17 00:12:00,48.3,10.5,27.7
2023-03-17 00:14:00,47.3,10.2,27.3
2023-03-17 00:16:00,90.9,78.1,28.0
2023-03-17 00:18:00,47.6,11.0,27.5
2023-03-17 00:20:00,48.0,11.5,27.2
2023-03-17 00:22:00,48.6,11.2,27.7
2023-03-17 00:24:00,47.4,12.7,27.3
2023-03-17 00:26:00,82.3,93.4,27.7
2023-03-17 00:28:00,47.4,10.3,27.3
2023-03-17 00:30:00,47.7,11.2,27.0
2023-03-17 00:32:00,47.4,11,27.2
2023-03-17 00:34:00,47.7,11.0,27.3
2023-03-17 00:36:00,53.6,38.2,27.6
2023-03-17 00:38:00,47.1,10.7,27.2
2023-03-17 00:40:00,47.7,11.8,27.0
2023-03-17 00:42:00,48.0,12.3,27.4
2023-03-17 00:44:00,48.9,11.2,27.2
2023-03-17 00:46:00,50.0,13.2,28.1
2023-03-17 00:48:00,47.3,10.7,27.1
2023-03-17 00:50:00,47.6,12.3,26.9
2023-03-17 00:52:00,47.4,11.6,27.0
2023-03-17 00:54:00,47.4,11.8,27
2023-03-17 00:56:00,49.0,15.7,27.5
2023-03-17 00:58:00,67.8,32.4,27.2
2023-03-17 01:00:00,48.2,11.6,27.3
2023-03-17 01:02:00,48.2,11.4,27.5
2023-03-17 01:04:00,47.8,10.8,27.4
2023-03-17 01:06:00,49.8,14.2,27.8
2023-03-17 01:08:00,92.5,87.3,27.4
2023-03-17 01:10:00,48.2,11.2,27.3
2023-03-17 01:12:00,48.5,11.9,27.6
2023-03-17 01:14:00,47.9,11.7,27.2
2023-03-17 01:16:00,49.4,12.8,27.9
2023-03-17 01:18:00,72.8,78.1,27.4
2023-03-17 01:20:00,48.4,12.3,27.4
2023-03-17 01:22:00,48.2,11.5,27.6
2023-03-17 01:24:00,48.1,11.0,27.4
2023-03-17 01:26:00,49.0,11.9,27.5
2023-03-17 01:28:00,48.5,22.1,27.6
2023-03-17 01:30:00,48.4,11.8,27.4
2023-03-17 01:32:00,48.1,11.5,27.5
2023-03-17 01:34:00,47.5,10.8,27.1
2023-03-17 01:36:00,49.1,13.3,27.9
2023-03-17 01:38:00,47.9,10.4,27.3
2023-03-17 01:40:00,47.9,10.8,27.2
2023-03-17 01:42:00,48.6,12.3,27.6
2023-03-17 01:44:00,48.6,12.1,27
2023-03-17 01:46:00,49.1,12.1,27.8
2023-03-17 01:48:00,46.7,10.6,27.0
2023-03-17 01:50:00,70.6,39.2,26.8
2023-03-17 01:52:00,47.8,12.4,27.3
2023-03-17 01:54:00,46.6,11.0,27.0
2023-03-17 01:56:00,48.5,13.1,27.3
2023-03-17 01:58:00,47.9,11.1,27.6
2023-03-17 02:00:00,92.7,94.2,27.3
2023-03-17 02:02:00,48.7,12.6,27.4
2023-03-17 02:04:00,47.8,10.6,27.1
