"Time","(1 - (avg(irate({__name__=~""node_cpu_seconds_total|windows_cpu_time_total"",mode=""idle""}[5m])))) * 100"
2023-03-16 18:00:00,6.43
2023-03-16 18:20:00,6.94
2023-03-16 18:40:00,7.72
2023-03-16 19:00:00,8.09
2023-03-16 19:20:00,7.46
2023-03-16 19:40:00,7.72
2023-03-16 20:00:00,7.91
2023-03-16 20:20:00,7.30
2023-03-16 20:40:00,6.56
2023-03-16 21:00:00,6.52
2023-03-16 21:20:00,7.57
2023-03-16 21:40:00,8.47
2023-03-16 22:00:00,7.73
2023-03-16 22:20:00,7.34
2023-03-16 22:40:00,7.84
2023-03-16 23:00:00,7.92
2023-03-16 23:20:00,7.89
2023-03-16 23:40:00,6.78
2023-03-17 00:00:00,6.09
2023-03-17 00:20:00,6.97
2023-03-17 00:40:00,8.04
2023-03-17 01:00:00,7.84
2023-03-17 01:20:00,7.51
2023-03-17 01:40:00,8.12
2023-03-17 02:00:00,7.97
2023-03-17 02:20:00,7.80
2023-03-17 02:40:00,6.45
2023-03-17 03:00:00,6.50
2023-03-17 03:20:00,7.79
2023-03-17 03:40:00,7.88
2023-03-17 04:00:00,7.54
2023-03-17 04:20:00,7.45
2023-03-17 04:40:00,7.68
2023-03-17 05:00:00,6.52
2023-03-17 05:20:00,5.69
2023-03-17 05:40:00,4.05
2023-03-17 06:00:00,4.57
2023-03-17 06:20:00,5.53
2023-03-17 06:40:00,5.66
2023-03-17 07:00:00,5.63
2023-03-17 07:20:00,5.34
2023-03-17 07:40:00,5.59
2023-03-17 08:00:00,5.93
2023-03-17 08:20:00,5.68
2023-03-17 08:40:00,4.50
2023-03-17 09:00:00,3.87
2023-03-17 09:20:00,4.23
2023-03-17 09:40:00,5.97
2023-03-17 10:00:00,6.41
2023-03-17 10:20:00,6.37
2023-03-17 10:40:00,6.53
2023-03-17 11:00:00,7.18
2023-03-17 11:20:00,7.81
2023-03-17 11:40:00,7.32
2023-03-17 12:00:00,7.72
2023-03-17 12:20:00,7.81
2023-03-17 12:40:00,7.83
2023-03-17 13:00:00,5.16
2023-03-17 13:20:00,6.83
2023-03-17 13:40:00,7.62
2023-03-17 14:00:00,7.76
2023-03-17 14:20:00,7.39
2023-03-17 14:40:00,7.48
2023-03-17 15:00:00,8.26
2023-03-17 15:20:00,7.63
2023-03-17 15:40:00,7.53
2023-03-17 16:00:00,6.95
2023-03-17 16:20:00,7.05
2023-03-17 16:40:00,7.87
2023-03-17 17:00:00,8.36
2023-03-17 17:20:00,7.51
2023-03-17 17:40:00,7.52
2023-03-17 18:00:00,8.20
2023-03-17 18:20:00,7.68
2023-03-17 18:40:00,7.16
2023-03-17 19:00:00,6.75
2023-03-17 19:20:00,7.41
2023-03-17 19:40:00,7.99
2023-03-17 20:00:00,8.04
2023-03-17 20:20:00,7.44
2023-03-17 20:40:00,7.67
2023-03-17 21:00:00,7.92
2023-03-17 21:20:00,7.91
2023-03-17 21:40:00,6.78
2023-03-17 22:00:00,6.17
2023-03-17 22:20:00,7.47
2023-03-17 22:40:00,7.89
2023-03-17 23:00:00,8.06
2023-03-17 23:20:00,7.83
2023-03-17 23:40:00,7.70
2023-03-18 00:00:00,8.02

