"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-16 18:00:00,48668672,87154688,1905938432,799072256,112975872,250904576,16699392,421597184,564060160,1698377728
2023-03-16 18:02:00,48668672,87154688,2000785408,810881024,113168384,334405632,16699392,432644096,564060160,1700823040
2023-03-16 18:04:00,48668672,87154688,2104094720,790990848,104493056,328650752,16699392,433844224,564060160,1701376000
2023-03-16 18:06:00,62509056,87941120,2209996800,827002880,105488384,302993408,16699392,424407040,564060160,1701920768
2023-03-16 18:08:00,54910976,87023616,1887326208,829063168,105410560,277770240,16699392,423419904,564097024,1702379520
2023-03-16 18:10:00,49528832,87023616,2072670208,798785536,105369600,272527360,16699392,416817152,564170752,1702612992
2023-03-16 18:12:00,49528832,87023616,1977937920,810287104,104787968,258805760,16699392,428974080,564178944,1705148416
2023-03-16 18:14:00,49528832,87023616,1982877696,786931712,104681472,262062080,16699392,432730112,564105216,1705226240
2023-03-16 18:16:00,49528832,87023616,2304024576,809250816,104787968,254656512,16699392,423718912,564035584,1705558016
2023-03-16 18:18:00,49528832,87023616,2070974464,809156608,105385984,261603328,16699392,424214528,564039680,1695019008
2023-03-16 18:20:00,49528832,87023616,1904631808,796278784,105312256,267821056,16699392,423960576,564043776,1694760960
2023-03-16 18:22:00,49528832,87941120,2226757632,826740736,105336832,264003584,16699392,425566208,564146176,1697292288
2023-03-16 18:24:00,49528832,87220224,2000097280,792346624,104714240,256278528,16699392,428318720,564211712,1697218560
2023-03-16 18:26:00,49528832,87220224,2237706240,811085824,104849408,256303104,16699392,421429248,564109312,1697357824
2023-03-16 18:28:00,80285696,87220224,1872564224,809525248,104919040,258904064,16699392,422244352,564195328,1697386496
2023-03-16 18:30:00,53682176,87220224,2257690624,791265280,105762816,269221888,16699392,420986880,564211712,1697153024
2023-03-16 18:32:00,49487872,87220224,1886543872,806977536,105779200,266104832,16699392,423477248,564199424,1699287040
2023-03-16 18:34:00,49487872,87089152,2039017472,788307968,103522304,249675776,16699392,428466176,564191232,1699008512
2023-03-16 18:36:00,61747200,87547904,2209710080,821837824,105099264,252796928,16699392,430735360,564228096,1699479552
2023-03-16 18:38:00,58781696,87154688,2053386240,823783424,105099264,249372672,16699392,419909632,564162560,1700265984
2023-03-16 18:40:00,49672192,87154688,2091286528,793718784,104984576,244547584,16699392,419528704,564162560,1700737024
2023-03-16 18:42:00,49672192,87154688,2163490816,808210432,105041920,253698048,16699392,423649280,564080640,1701339136
2023-03-16 18:44:00,49545216,87154688,2021638144,789426176,105713664,252436480,16699392,433119232,564080640,1702825984
2023-03-16 18:46:00,49545216,87154688,2212671488,807448576,104468480,254701568,16699392,423112704,564080640,1703968768
2023-03-16 18:48:00,49545216,87154688,1886519296,807333888,104824832,248950784,16699392,424685568,564084736,1703792640
2023-03-16 18:50:00,49545216,87154688,2252128256,785686528,104431616,251801600,16699392,422154240,564080640,1704128512
2023-03-16 18:52:00,62889984,87584768,2137669632,824922112,104431616,250793984,16699392,420782080,565465088,1704280064
2023-03-16 18:54:00,50991104,87265280,2188734464,792420352,104435712,252116992,16699392,432525312,564101120,1697976320
2023-03-16 18:56:00,49709056,87265280,2228899840,809291776,104435712,250130432,16699392,431493120,563806208,1697497088
2023-03-16 18:58:00,49709056,87265280,1969549312,809295872,104435712,248537088,16699392,425783296,563691520,1697300480
2023-03-16 19:00:00,49512448,87265280,2236485632,787988480,104435712,252608512,16699392,423034880,563691520,1697193984
2023-03-16 19:02:00,49512448,87265280,1848705024,807907328,104435712,263213056,16699392,420581376,563691520,1697394688
2023-03-16 19:04:00,49512448,87265280,2085240832,791228416,104435712,259100672,16699392,430469120,563691520,1697972224
2023-03-16 19:06:00,64114688,87789568,1946087424,824434688,104435712,261287936,16699392,430342144,563691520,1698263040
2023-03-16 19:08:00,84832256,87199744,2067992576,826507264,104435712,274714624,16699392,426389504,563888128,1698070528
2023-03-16 19:10:00,46858240,87199744,2238046208,791035904,105246720,268996608,16699392,418963456,563929088,1697943552
2023-03-16 19:12:00,47251456,87199744,1652404224,815816704,103436288,256860160,16699392,419033088,563757056,1697845248
2023-03-16 19:14:00,48193536,87199744,2244673536,786759680,105017344,258260992,16699392,426151936,563863552,1700007936
2023-03-16 19:16:00,48631808,87199744,1879654400,804577280,105086976,258473984,16699392,424013824,563552256,1700491264
2023-03-16 19:18:00,49614848,87199744,1999425536,810799104,104562688,264908800,16699392,418619392,563642368,1700806656
2023-03-16 19:20:00,49631232,87199744,2086633472,790294528,104914944,264245248,16699392,419508224,563765248,1700913152
2023-03-16 19:22:00,49639424,87789568,1998000128,832630784,104411136,263737344,16699392,421806080,563798016,1701367808
2023-03-16 19:24:00,49643520,87789568,2125930496,789622784,104726528,263303168,16699392,426528768,563904512,1702023168
2023-03-16 19:26:00,49643520,87265280,1693421568,805036032,104792064,256077824,16699392,426631168,563724288,1704251392
2023-03-16 19:28:00,49643520,87265280,1909366784,811520000,105594880,250425344,16699392,427388928,563884032,1704112128
2023-03-16 19:30:00,71876608,87134208,2039025664,788627456,105652224,258744320,16699392,422584320,563601408,1704251392
2023-03-16 19:32:00,48173056,87134208,2084499456,815366144,103661568,263475200,16699392,421421056,563666944,1704370176
2023-03-16 19:34:00,47984640,87134208,2254925824,783900672,103530496,253775872,16699392,419049472,563666944,1705238528
2023-03-16 19:36:00,63676416,87789568,2077331456,816697344,103530496,256000000,16699392,430440448,563666944,1696440320
2023-03-16 19:38:00,55418880,87789568,1970991104,824811520,104857600,261144576,16699392,428539904,563666944,1696550912
2023-03-16 19:40:00,49455104,87199744,2087391232,789745664,104857600,254742528,16699392,420753408,563666944,1696985088
2023-03-16 19:42:00,49455104,87199744,2032115712,815591424,103485440,254103552,16699392,420376576,563666944,1696358400
2023-03-16 19:44:00,49455104,87199744,2264223744,787386368,105656320,263901184,16699392,419110912,563666944,1696628736
2023-03-16 19:46:00,49463296,87199744,1842356224,810774528,105721856,264318976,16699392,426135552,563666944,1697300480
2023-03-16 19:48:00,49487872,87199744,2170339328,810799104,104476672,245321728,16699392,430419968,563666944,1697337344
2023-03-16 19:50:00,67289088,87199744,1890254848,792866816,104476672,251920384,16699392,423903232,563576832,1697402880
2023-03-16 19:52:00,50212864,87789568,2022227968,833351680,104476672,254074880,16699392,422461440,563576832,1698070528
2023-03-16 19:54:00,49623040,87789568,2252652544,787402752,104476672,244871168,16699392,424226816,563576832,1698279424
2023-03-16 19:56:00,49623040,87265280,1910558720,817033216,104476672,240287744,16699392,437678080,563789824,1701793792
2023-03-16 19:58:00,49623040,87265280,2269167616,814616576,104476672,247975936,16699392,435458048,563683328,1701335040
2023-03-16 20:00:00,49623040,87068672,2141753344,787918848,104480768,251977728,16699392,421335040,563699712,1701937152
2023-03-16 20:02:00,49627136,87068672,2203484160,816558080,104480768,335462400,16699392,421195776,563613696,1701810176
2023-03-16 20:04:00,49627136,87068672,2177777664,784379904,105062400,275099648,16699392,421113856,563634176,1702404096
2023-03-16 20:06:00,61931520,87789568,1866436608,831062016,105758720,244858880,16699392,429690880,563466240,1703976960
2023-03-16 20:08:00,55644160,87789568,2220036096,833228800,104448000,259678208,16699392,434872320,563466240,1704361984
2023-03-16 20:10:00,49762304,87134208,1865781248,789315584,104448000,265035776,16699392,424669184,563466240,1703792640
2023-03-16 20:12:00,49762304,87134208,2169606144,816140288,104448000,269946880,16699392,421085184,563466240,1704378368
2023-03-16 20:14:00,49500160,87134208,1902931968,787869696,105095168,266641408,16699392,422952960,563466240,1704869888
2023-03-16 20:16:00,49500160,87134208,1964724224,816459776,105095168,258760704,16699392,434458624,563466240,1705136128
2023-03-16 20:18:00,49500160,87134208,2223251456,815833088,105758720,259125248,16699392,436482048,563466240,1702432768
2023-03-16 20:20:00,49500160,87134208,1922166784,787955712,113422336,259637248,16699392,427806720,563466240,1702346752
2023-03-16 20:22:00,49500160,87789568,2238820352,833597440,113549312,252907520,16699392,421310464,563466240,1703301120
2023-03-16 20:24:00,49500160,87789568,2078679040,785584128,105717760,255709184,16699392,421793792,563580928,1703284736
2023-03-16 20:26:00,65392640,87265280,1978945536,818348032,105783296,260378624,16699392,420753408,563810304,1702846464
2023-03-16 20:28:00,49741824,87265280,2137747456,814706688,104660992,262000640,16699392,424091648,563580928,1703100416
2023-03-16 20:30:00,49717248,87265280,2029121536,786714624,104587264,262012928,16699392,429432832,563580928,1703858176
2023-03-16 20:32:00,49586176,87265280,2195628032,808235008,104611840,267046912,16699392,426143744,563449856,1704136704
2023-03-16 20:34:00,49586176,87265280,1899581440,786493440,104595456,272687104,16699392,419753984,563453952,1704017920
2023-03-16 20:36:00,62054400,87789568,2191544320,830062592,104697856,265756672,16699392,421867520,563453952,1703174144
2023-03-16 20:38:00,60854272,87789568,1988472832,832184320,105795584,267010048,16699392,436477952,563453952,1704767488
2023-03-16 20:40:00,50016256,87199744,1962160128,786423808,105807872,253636608,16699392,433610752,563519488,1704660992
2023-03-16 20:42:00,49844224,87199744,2216181760,809410560,104677376,256528384,16699392,425652224,563421184,1704660992
2023-03-16 20:44:00,49844224,87199744,1872953344,785604608,104738816,258457600,16699392,427364352,563421184,1704509440
2023-03-16 20:46:00,49582080,87068672,2179829760,815079424,104783872,259600384,16699392,424013824,563458048,1704632320
2023-03-16 20:48:00,81330176,87068672,1974013952,816148480,104669184,260825088,16699392,430829568,563564544,1705840640
2023-03-16 20:50:00,48095232,87068672,1956409344,787329024,104611840,265244672,16699392,430739456,563499008,1706274816
2023-03-16 20:52:00,47972352,87789568,2248880128,816640000,104628224,264720384,16699392,424501248,563441664,1701011456
2023-03-16 20:54:00,48181248,87789568,2067050496,794533888,105185280,273395712,16699392,421838848,563441664,1701847040
2023-03-16 20:56:00,48189440,87134208,2149400576,818491392,104857600,270438400,16699392,415096832,563449856,1701847040
2023-03-16 20:58:00,48189440,87134208,1941204992,816320512,104767488,264826880,16699392,425381888,563449856,1697914880
2023-03-16 21:00:00,48254976,87134208,2080563200,784973824,104796160,269926400,16699392,428118016,563449856,1697701888
2023-03-16 21:02:00,76414976,87134208,2127167488,800800768,104681472,272158720,16699392,424103936,563449856,1697685504
2023-03-16 21:04:00,53878784,87134208,2048835584,793010176,104693760,272179200,16699392,428527616,563617792,1697640448
2023-03-16 21:06:00,61952000,87789568,2185748480,824651776,104845312,271933440,16699392,422875136,563740672,1697697792
2023-03-16 21:08:00,56971264,87388160,1665835008,833527808,104857600,253509632,16699392,422150144,563470336,1698492416
2023-03-16 21:10:00,49455104,87126016,2034900992,784560128,104534016,260640768,16699392,429260800,563470336,1699340288
2023-03-16 21:12:00,49455104,87126016,1914142720,799256576,104534016,263553024,16699392,424116224,563470336,1698516992
2023-03-16 21:14:00,49455104,87126016,2034061312,794169344,104562688,269848576,16699392,420790272,563470336,1699270656
2023-03-16 21:16:00,49455104,87126016,2236858368,800215040,104566784,251232256,16699392,423596032,563568640,1699311616
2023-03-16 21:18:00,49455104,87126016,1907253248,813969408,104464384,252911616,16699392,421355520,563421184,1699377152
2023-03-16 21:20:00,49455104,87130112,2191847424,786292736,104468480,257536000,16699392,427708416,563552256,1701388288
2023-03-16 21:22:00,49455104,87392256,1927421952,817799168,104509440,255262720,16699392,427798528,563552256,1701613568
2023-03-16 21:24:00,49455104,87392256,2019721216,792076288,104513536,258363392,16699392,426819584,563732480,1702170624
2023-03-16 21:26:00,65236992,87195648,2051604480,806248448,104513536,262107136,16699392,427110400,563560448,1702912000
2023-03-16 21:28:00,48799744,87195648,2071326720,807243776,104517632,259031040,16699392,417988608,563585024,1703587840
2023-03-16 21:30:00,48824320,87195648,2046730240,787001344,104882176,249491456,16699392,427925504,563625984,1705418752
2023-03-16 21:32:00,48840704,87195648,1818386432,806756352,104427520,266616832,16699392,429854720,563515392,1705910272
2023-03-16 21:34:00,48840704,87195648,1978122240,791756800,104853504,268877824,16699392,418942976,563703808,1705181184
2023-03-16 21:36:00,61001728,87392256,2171596800,816758784,104460288,270938112,16699392,419917824,563695616,1705844736
2023-03-16 21:38:00,53141504,87400448,2072100864,824614912,104480768,265625600,16699392,419848192,563793920,1706385408
2023-03-16 21:40:00,49639424,87138304,2238414848,789880832,104480768,273813504,16699392,423759872,563851264,1704796160
2023-03-16 21:42:00,49639424,87138304,2064445440,807899136,104480768,265388032,16699392,424624128,563458048,1704693760
2023-03-16 21:44:00,49639424,87138304,2128904192,793235456,104480768,249552896,16699392,424345600,563585024,1704706048
2023-03-16 21:46:00,49639424,87138304,2008035328,803028992,104480768,253132800,16699392,421158912,563634176,1703370752
2023-03-16 21:48:00,49639424,87138304,1935142912,800272384,104484864,266629120,16699392,418508800,563585024,1703505920
2023-03-16 21:50:00,49639424,87138304,2286166016,792342528,104878080,268349440,16699392,427278336,563585024,1697275904
2023-03-16 21:52:00,49455104,87486464,2098003968,823635968,104882176,265359360,16699392,425938944,563544064,1697812480
2023-03-16 21:54:00,49455104,87339008,2213203968,795422720,104235008,248983552,16699392,425238528,563544064,1697443840
2023-03-16 21:56:00,66785280,87076864,1901199360,809603072,103972864,260796416,16699392,426901504,563470336,1697423360
2023-03-16 21:58:00,49184768,87076864,1923751936,801095680,103985152,257048576,16699392,424972288,563470336,1697910784
2023-03-16 22:00:00,49184768,87076864,2113388544,793755648,103993344,257736704,16699392,426528768,563470336,1698852864
2023-03-16 22:02:00,49184768,87076864,1754718208,807182336,104816640,346701824,16699392,430895104,563691520,1701097472
2023-03-16 22:04:00,49184768,87076864,2207875072,794566656,104824832,322412544,16699392,429629440,563494912,1701560320
2023-03-16 22:06:00,61829120,87732224,1996161024,815669248,104833024,275189760,16699392,423743488,563658752,1701793792
2023-03-16 22:08:00,59437056,87949312,2054782976,817811456,104861696,264540160,16699392,418766848,563818496,1701953536
2023-03-16 22:10:00,49790976,87228416,1888993280,795095040,104923136,259756032,16699392,422002688,563847168,1700417536
2023-03-16 22:12:00,85401600,87228416,2010214400,807845888,104902656,261337088,16699392,434176000,563740672,1702600704
2023-03-16 22:14:00,51740672,87228416,2013577216,786448384,104902656,261337088,16699392,433868800,563806208,1702510592
2023-03-16 22:16:00,49696768,87031808,2090676224,807526400,104902656,256995328,16699392,418480128,565141504,1703342080
2023-03-16 22:18:00,49369088,87031808,2302386176,808062976,104443904,255401984,16699392,416378880,563593216,1703546880
2023-03-16 22:20:00,49369088,87031808,2327166976,792678400,104902656,257703936,16699392,421171200,563617792,1704480768
2023-03-16 22:22:00,49369088,87949312,2007871488,822870016,104902656,262877184,16699392,428421120,563752960,1695375360
2023-03-16 22:24:00,49369088,87162880,2208227328,789983232,104906752,261603328,16699392,430710784,563617792,1695801344
2023-03-16 22:26:00,49369088,87162880,1914044416,812867584,104906752,267354112,16699392,418189312,563601408,1695440896
2023-03-16 22:28:00,80990208,87162880,2031792128,808185856,104644608,263446528,16699392,419987456,563601408,1696067584
