"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-16 18:00:00,10.3,17.9,1237,48.0,3.04,20.7,0,826,29.4,21.1
2023-03-16 18:04:00,9.80,17.9,1187,48.8,3.01,19.9,0,780,28.5,20.8
2023-03-16 18:08:00,10.5,18.0,1153,52.8,3.23,22.0,0,791,31.1,20.6
2023-03-16 18:12:00,10.3,17.9,1520,48.6,3.35,20.6,0,1008,29.1,37.7
2023-03-16 18:16:00,10.1,19.7,1266,51.8,3.06,21.7,0,850,30.0,21.0
2023-03-16 18:20:00,10.3,18.4,1226,50.2,3.18,20.4,0,821,30.4,21.1
2023-03-16 18:24:00,10.3,18.2,1209,47.9,3.43,20.3,0,811,29.8,20.5
2023-03-16 18:28:00,10.5,18.0,1218,51.8,3.26,21.6,0,813,30.6,20.5
2023-03-16 18:32:00,10.4,17.8,1963,49.0,3.39,20.7,0,1438,30.2,55.0
2023-03-16 18:36:00,13.7,19.6,1336,55.8,3.19,21.3,0,875,29.6,20.8
2023-03-16 18:40:00,10.4,18.4,1198,47.6,3.21,20.2,0,805,29.9,20.4
2023-03-16 18:44:00,10.3,18.3,1253,49.7,3.06,21.0,0,822,30.2,20.8
2023-03-16 18:48:00,9.85,17.9,1206,46.3,3.07,20.3,0,784,28.4,20.9
2023-03-16 18:52:00,10.1,18.3,1158,48.6,3.15,18.0,0,771,29.9,21.1
2023-03-16 18:56:00,10.4,19.6,1251,51.7,3.22,21.1,0,840,30.5,20.5
2023-03-16 19:00:00,10.1,18.1,1225,47.6,3.33,19.8,0,804,29.0,20.5
2023-03-16 19:04:00,10.2,18.0,1620,50.1,3.06,21.1,0,1096,30.4,46.2
2023-03-16 19:08:00,10.1,18.3,1352,46.3,3.18,18.7,0,894,29.0,21.1
2023-03-16 19:12:00,10.0,18.3,1153,49.2,3.20,19.2,0,800,29.7,21.1
2023-03-16 19:16:00,10.1,19.6,1186,51.7,3.20,19.3,0,788,29.9,20.8
2023-03-16 19:20:00,10.1,17.9,1196,48.1,3.46,21.4,0.0157,773,28.8,20.8
2023-03-16 19:24:00,10.3,18.0,1904,48.4,3.07,18.5,0,1346,29.2,46.7
2023-03-16 19:28:00,10.4,18.5,1203,48.3,3.24,20.2,0.0169,806,29.3,20.9
2023-03-16 19:32:00,10.0,18.5,1222,49.9,3.13,21.0,0,808,29.5,20.7
2023-03-16 19:36:00,12.2,19.5,1267,50.9,3.29,19.6,0,821,29.0,20.7
2023-03-16 19:40:00,10.1,18.0,1140,49.7,3.44,18.8,0,793,30.0,20.9
2023-03-16 19:44:00,10.4,17.7,1204,46.8,3.20,21.8,0,813,29.5,20.8
2023-03-16 19:48:00,10.3,18.3,1202,47.7,3.00,20.4,0,801,29.5,20.4
