"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-16 18:00:00,8.63,15.5,1245,43.7,2.94,22.6,0.0207,891,25.1,19.4
2023-03-16 18:04:00,8.69,15.3,1212,45.4,2.75,21.8,0,847,24.5,18.9
2023-03-16 18:08:00,8.96,15.8,1182,47.8,2.99,22.9,0,844,26.4,19.0
2023-03-16 18:12:00,8.94,15.7,1540,44.4,3.14,22.5,0,1067,24.8,36.0
2023-03-16 18:16:00,8.71,17.4,1282,46.7,2.86,24.3,0,906,25.4,19.3
2023-03-16 18:20:00,8.80,16.0,1251,45.9,2.87,22.7,0,873,25.7,19.0
2023-03-16 18:24:00,8.94,16.0,1231,43.9,3.22,22.6,0,860,25.3,18.7
2023-03-16 18:28:00,9.21,15.7,1229,47.7,2.93,23.6,0,863,26.5,18.8
2023-03-16 18:32:00,8.87,15.5,2014,44.7,3.08,21.8,0,1548,25.6,52.0
2023-03-16 18:36:00,11.9,16.9,1358,50.4,3.00,24.1,0,946,25.2,19.0
2023-03-16 18:40:00,8.99,15.5,1220,43.2,3.05,22.6,0,849,25.7,19.1
2023-03-16 18:44:00,8.64,15.8,1269,45.2,2.72,22.3,0,871,26.2,18.9
2023-03-16 18:48:00,8.58,15.8,1216,42.5,2.89,23.0,0,826,24.5,19.1
2023-03-16 18:52:00,8.69,15.9,1152,44.6,2.94,20.4,0,828,25.4,19.4
2023-03-16 18:56:00,8.99,17.2,1250,47.9,2.94,22.9,0,896,25.7,19.1
2023-03-16 19:00:00,8.33,15.3,1250,42.7,3.20,22.6,0,861,22.2,19.1
2023-03-16 19:04:00,8.08,15.1,1672,44.8,2.89,23.6,0,1174,22.5,45.4
2023-03-16 19:08:00,7.96,15.5,1381,42.9,2.93,21.3,0,965,22.0,19.4
2023-03-16 19:12:00,7.92,15.4,1193,43.6,2.98,21.6,0,861,22.0,19.3
2023-03-16 19:16:00,8.16,16.4,1203,47.0,3.00,22.0,0,857,23.4,19.3
2023-03-16 19:20:00,8.11,14.9,1215,43.0,3.23,22.7,0,830,22.0,19.1
2023-03-16 19:24:00,8.40,15.1,1966,43.5,2.89,21.0,0,1452,22.0,44.8
2023-03-16 19:28:00,8.66,15.6,1221,43.7,3.08,22.5,0,850,24.0,19.2
2023-03-16 19:32:00,7.90,15.7,1255,44.8,2.97,23.4,0,862,22.5,19.0
2023-03-16 19:36:00,10.5,16.7,1289,46.1,3.11,21.8,0,897,22.2,19.1
2023-03-16 19:40:00,8.13,15.3,1164,44.4,3.14,21.2,0,854,22.5,19.2
2023-03-16 19:44:00,8.53,14.6,1211,42.0,3.02,23.8,0,864,23.5,19.2
2023-03-16 19:48:00,8.26,15.4,1220,42.5,2.77,22.5,0.0158,860,22.3,19.1
2023-03-16 19:52:00,8.76,16.0,1292,48.0,3.04,22.7,0,911,26.0,19.4
2023-03-16 19:56:00,7.96,16.9,1846,46.1,3.05,22.1,0.0378,1394,21.7,56.3
2023-03-16 20:00:00,8.64,15.9,1201,46.0,2.95,20.3,0,883,25.6,19.2
2023-03-16 20:04:00,8.00,15.6,1153,44.2,3.11,22.4,0,801,22.6,19.5
2023-03-16 20:08:00,28.9,15.3,1425,44.1,3.04,23.2,0,987,22.6,19.4
2023-03-16 20:12:00,8.03,15.5,1227,43.1,2.90,24.2,0,876,21.7,19.0
2023-03-16 20:16:00,8.99,16.9,2016,49.8,2.88,23.7,0,1481,25.6,36.4
2023-03-16 20:20:00,8.21,15.2,1231,43.6,2.99,23.0,0,858,23.6,19.2
2023-03-16 20:24:00,8.51,15.0,1136,42.3,3.06,23.2,0,809,23.0,19.1
2023-03-16 20:28:00,8.52,15.8,1199,43.7,2.83,23.4,0,837,25.4,18.9
2023-03-16 20:32:00,8.32,16.1,1226,44.4,2.87,23.1,0,876,24.8,19.1
2023-03-16 20:36:00,12.0,17.6,1351,51.8,3.05,22.3,0,956,26.2,18.9
2023-03-16 20:40:00,8.48,15.8,1223,44.0,2.98,21.1,0,846,24.8,19.2
2023-03-16 20:44:00,8.71,15.7,1207,44.0,2.98,22.8,0,854,25.4,19.1
2023-03-16 20:48:00,9.12,15.7,1822,46.7,3.07,22.5,0,1414,26.2,57.2
2023-03-16 20:52:00,8.78,15.7,1236,44.6,3.07,22.9,0,864,24.4,19.3
2023-03-16 20:56:00,9.03,16.8,1304,50.2,2.92,23.0,0,919,25.4,19.5
2023-03-16 21:00:00,8.59,16.0,1236,44.0,2.89,22.5,0,849,24.9,19.0
2023-03-16 21:04:00,9.03,15.9,1274,46.1,3.04,21.0,0.0153,884,25.9,19.3
2023-03-16 21:08:00,8.72,16.3,1673,45.6,2.96,21.5,0,1272,24.7,27.8
2023-03-16 21:12:00,8.66,16.2,1214,46.5,2.73,24.1,0,854,25.9,19.3
