"Time","cattle-fleet-local-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-16 18:00:00,0,35981,6026,0,29082,0,0,0,15911
2023-03-16 18:04:00,0,3668709,233460,0,2959637,0,0,0,16894
2023-03-16 18:08:00,0,34258,227881,0,27965,0,0,0,16009
2023-03-16 18:12:00,0,33350,225237,0,29550,0,0,0,15717
2023-03-16 18:16:00,0,35849,225736,0,28502,0,0,0,16709
2023-03-16 18:20:00,0,32836,6036,0,61079,0,0,0,15394
2023-03-16 18:24:00,0,33922,231465,0,31094,0,0,0,16876
2023-03-16 18:28:00,0,32252,220412,0,27207,0,0,0,15444
2023-03-16 18:32:00,0,34056,229459,0,63213,0,0,0,16697
2023-03-16 18:36:00,0,33629,231195,0,29407,0,0,0,16041
2023-03-16 18:40:00,0,34732,5754,0,30824,0,0,0,15336
2023-03-16 18:44:00,0,34737,230059,0,28455,0,0,0,16462
2023-03-16 18:48:00,0,32679,229976,0,28820,0,898,0,15734
2023-03-16 18:52:00,0,33986,230047,0,26938,0,0,0,15802
2023-03-16 18:56:00,0,36240,219535,0,30105,0,0,0,17033
2023-03-16 19:00:00,0,34904,5905,0,27591,0,0,0,15390
2023-03-16 19:04:00,0,241444,232615,0,94741,0,0,0,16140
2023-03-16 19:08:00,0,33043,225623,0,28513,0,0,0,16118
2023-03-16 19:12:00,0,33289,230382,0,28806,0,0,0,15864
2023-03-16 19:16:00,0,35390,228200,0,28241,0,0,0,17182
2023-03-16 19:20:00,0,33878,6027,0,29114,0,0,0,15566
2023-03-16 19:24:00,0,35228,224883,0,26560,0,0,0,15744
2023-03-16 19:28:00,0,36461,228243,0,29012,0,0,0,16468
2023-03-16 19:32:00,0,33855,231692,0,63592,0,0,0,16050
2023-03-16 19:36:00,0,35979,220049,0,27609,0,0,0,16581
2023-03-16 19:40:00,0,36875,5990,0,29453,0,0,0,15965
2023-03-16 19:44:00,0,35224,232369,0,65821,0,0,0,15624
2023-03-16 19:48:00,0,33393,228781,0,25858,0,0,0,16562
2023-03-16 19:52:00,0,33870,221041,0,31071,0,0,0,15673
2023-03-16 19:56:00,0,33710,227284,0,26948,0,0,0,16117
2023-03-16 20:00:00,0,34188,6050,0,29722,0,0,0,16254
2023-03-16 20:04:00,0,508259,233216,0,280243,0,0,0,15424
2023-03-16 20:08:00,0,36506,221492,0,27446,0,0,0,16274
2023-03-16 20:12:00,0,32820,228103,0,27039,0,0,0,16410
2023-03-16 20:16:00,0,34568,223087,0,29387,0,0,0,16145
2023-03-16 20:20:00,0,33983,6059,0,63912,0,0,0,16529
