"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-764fc55cb5-28vx2","carts-db-b8857f897-7p4xn","catalogue-64499f4dc4-zwhjl","catalogue-db-5b6696d9bd-fbb5s","cert-manager-85f7c4c4b8-cdjxb","cert-manager-cainjector-7656fbb787-pkv8n","cert-manager-webhook-797b5db9c6-hhdgx","cilium-hks2q","cilium-lnk87","cilium-operator-d7fc69fd7-f2msg","cilium-xsrc2","coredns-7b5bbc6644-tpp2m","csi-attacher-54dfc6cdf4-2d2sn","csi-attacher-54dfc6cdf4-9nwjl","csi-attacher-54dfc6cdf4-m58tc","csi-provisioner-7544d7867c-8h99q","csi-provisioner-7544d7867c-fdqx9","csi-provisioner-7544d7867c-jmgt2","csi-resizer-59fc8b7895-66tql","csi-resizer-59fc8b7895-k8fz9","csi-resizer-59fc8b7895-s45wt","csi-snapshotter-69f4795cf8-68mkk","csi-snapshotter-69f4795cf8-brzk9","csi-snapshotter-69f4795cf8-lp65b","deathstar-6cf8dd5457-jgbrm","deathstar-6cf8dd5457-vmvfq","engine-image-ei-881c42db-dq56c","engine-image-ei-881c42db-gp65l","engine-image-ei-881c42db-sflls","fleet-agent-59557c8896-7lp6n","fleet-controller-6f8f94fffb-wcgt6","front-end-5c6fdd77d7-q2jtq","gitjob-766b5f678d-4rrlp","grafana-67b5cf6bdd-bbv8c","hubble-relay-6565cf56c6-52kkq","hubble-ui-64bd8dcbf5-7x4nn","instance-manager-e-40c0f7f8","instance-manager-e-6b83fa90","instance-manager-e-a461837b","instance-manager-r-10aaabb9","instance-manager-r-8266b245","instance-manager-r-f7a5bf94","local-path-provisioner-687d6d7765-dblqm","longhorn-admission-webhook-5bc44d4c9c-ffgx6","longhorn-admission-webhook-5bc44d4c9c-hvw2b","longhorn-conversion-webhook-595c45975-h7lhl","longhorn-conversion-webhook-595c45975-nk4bs","longhorn-csi-plugin-lc9ss","longhorn-csi-plugin-w6s4p","longhorn-csi-plugin-zc8xs","longhorn-driver-deployer-86487c7d89-d2mwr","longhorn-manager-mqctm","longhorn-manager-sfh8w","longhorn-manager-tmf5v","longhorn-ui-6588b76644-wdhzj","metrics-server-667586758d-9bmlb","orders-846cc4998f-d2dbw","orders-db-64cf56d65-8wpxb","payment-7f8c55ccdb-r6ssj","prometheus-678fcbcfb7-7jkrz","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-5xvrv","pushprox-k3s-server-client-kqnvf","pushprox-k3s-server-client-tmr89","pushprox-k3s-server-proxy-575bb76848-wfk24","queue-master-7f97ddc64c-ggs74","rabbitmq-6d4b4d589f-2vrzz","rancher-747786585f-8dkk4","rancher-747786585f-ckbfh","rancher-747786585f-fj5hc","rancher-monitoring-grafana-68576c5cfc-ptnxf","rancher-monitoring-kube-state-metrics-7798b97f8-528sn","rancher-monitoring-operator-7f84c87bfc-swdnn","rancher-monitoring-prometheus-adapter-d7f6d6b87-t8wwr","rancher-monitoring-prometheus-node-exporter-8bj82","rancher-monitoring-prometheus-node-exporter-bmktd","rancher-monitoring-prometheus-node-exporter-bq4nv","rancher-webhook-555dd59d4c-lsjlj","session-db-74fb9d6f76-87cd7","shipping-748699d84b-5jw4t","svclb-traefik-72825b3b-d5nvs","svclb-traefik-72825b3b-j6q8w","svclb-traefik-72825b3b-lqlx5","tiefighter","traefik-64b96ccbcd-64qtj","ubuntu","user-665b475d67-fhr6l","user-db-847ddd8676-twtdk","xwing"
2023-03-16 18:00:00,20447232,327200768,68534272,4079616,217042944,39137280,64503808,10387456,260390912,261550080,23982080,263569408,19591168,8204288,9515008,8376320,12779520,9011200,8974336,8921088,11722752,9146368,10014720,8716288,8384512,8462336,8376320,18157568,17838080,18251776,59637760,50008064,70045696,38588416,70078464,13148160,9625600,6746112,6696960,6602752,4788224,4796416,4849664,7573504,66535424,69099520,41807872,43962368,14909440,14594048,14946304,10629120,55185408,52113408,51322880,2621440,20975616,293384192,67801088,3969024,292261888,1191669760,6668288,6717440,7233536,7569408,271323136,89001984,721448960,887721984,815865856,115367936,16384000,35229696,642977792,11968512,11214848,14999552,53620736,2789376,293068800,610304,606208,618496,286720,43618304,62177280,5443584,33259520,278528
2023-03-16 18:02:00,20447232,327221248,68542464,4083712,217042944,39133184,72450048,10387456,261332992,261951488,23986176,264544256,20930560,8208384,9515008,8245248,12779520,9011200,8970240,8921088,11726848,9146368,10014720,8716288,8384512,8462336,8376320,18153472,17838080,18251776,59637760,50008064,72916992,38588416,67833856,13148160,9625600,6615040,6696960,6602752,4792320,4792320,4849664,7606272,66531328,69103616,41807872,43962368,14909440,14594048,14946304,10629120,55189504,52117504,51326976,2621440,22061056,293384192,67796992,3969024,343437312,1451061248,6668288,6643712,7233536,7512064,271323136,89014272,733384704,887726080,815865856,113504256,16388096,35217408,651550720,11255808,12398592,11247616,53620736,2658304,293068800,610304,606208,618496,286720,48828416,62177280,5320704,33259520,278528
2023-03-16 18:04:00,20447232,327221248,68550656,4157440,217042944,38215680,64700416,10391552,261500928,264298496,23986176,267481088,20733952,8204288,9515008,8245248,12779520,9011200,8970240,8921088,11722752,9146368,10014720,8716288,8384512,8462336,8376320,18157568,17838080,18251776,59637760,50008064,73113600,38588416,70467584,13152256,9625600,6615040,6705152,6602752,4788224,4796416,4849664,7606272,66539520,69099520,41807872,43962368,14909440,14594048,14946304,10629120,55189504,52117504,51326976,2621440,20709376,293384192,67801088,3969024,342171648,1297018880,6660096,6635520,7462912,8421376,271323136,89001984,713355264,887853056,815865856,113627136,16392192,35221504,666169344,11436032,13377536,13221888,53620736,2662400,293068800,610304,606208,618496,286720,49184768,62177280,5378048,33259520,278528
2023-03-16 18:06:00,19869696,327221248,68550656,4153344,217042944,38223872,64745472,10387456,259403776,261963776,24088576,267517952,20987904,8204288,9515008,8245248,12783616,9011200,8970240,8921088,11722752,9146368,10014720,8720384,8384512,8462336,8376320,18153472,17838080,18251776,88219648,50003968,73330688,38588416,70512640,13348864,9625600,6615040,6701056,6602752,4792320,4796416,4849664,7606272,66531328,69103616,41807872,43962368,14909440,14594048,14946304,10625024,55185408,52117504,51326976,2621440,20451328,293384192,67801088,3969024,306249728,1365196800,6651904,6971392,7307264,7733248,271323136,89006080,713359360,887853056,815865856,114630656,16388096,35880960,666664960,12128256,11767808,11710464,53620736,2658304,293068800,610304,606208,618496,286720,43937792,62177280,5378048,33263616,278528
2023-03-16 18:08:00,19890176,327221248,68554752,4153344,217042944,39145472,64684032,10387456,259854336,258588672,24080384,267489280,20574208,8204288,9515008,8245248,12779520,9011200,8970240,8921088,11743232,9146368,10014720,8716288,8384512,8462336,8376320,18157568,17838080,18251776,65880064,50794496,73826304,38588416,70770688,13217792,9625600,6615040,6696960,6602752,4788224,4796416,4849664,7606272,66535424,69099520,41807872,43966464,14909440,14594048,14946304,10625024,55189504,52117504,51322880,2621440,20434944,293384192,67801088,3969024,283860992,1492725760,6643712,6520832,7282688,7553024,271323136,89001984,751554560,887734272,815857664,114454528,16392192,36540416,641957888,11939840,11841536,11571200,53620736,2658304,293068800,610304,606208,618496,286720,43937792,62177280,5382144,33263616,278528
2023-03-16 18:10:00,17969152,327221248,68558848,4202496,217042944,39141376,64638976,10391552,257818624,259231744,23371776,267538432,20701184,8204288,9515008,8245248,12779520,9011200,8974336,8921088,11767808,9146368,10014720,8716288,8384512,8462336,8376320,18153472,17838080,18272256,60497920,49876992,74858496,38588416,68030464,13217792,9625600,6615040,6701056,6602752,4788224,4796416,4849664,7606272,66527232,69095424,41807872,43962368,14909440,14594048,14946304,10625024,55189504,52113408,51326976,2621440,20803584,293384192,67805184,3969024,284643328,1183322112,6635520,6676480,7471104,8220672,271323136,89001984,722067456,887730176,815865856,114118656,16388096,36540416,386658304,11902976,11116544,11317248,53620736,2789376,293068800,610304,606208,618496,286720,43941888,62177280,5365760,33259520,278528
2023-03-16 18:12:00,18706432,327221248,68554752,4284416,217042944,38420480,64770048,10387456,257273856,257712128,22966272,261419008,20701184,8204288,9515008,8245248,12779520,9011200,8970240,8921088,11767808,9146368,10014720,8716288,8384512,8462336,8376320,18157568,17838080,18255872,60502016,49881088,76013568,38588416,68620288,13344768,9625600,6610944,6701056,6602752,4788224,4796416,4849664,7606272,66527232,69103616,41807872,43962368,14909440,14594048,14946304,10625024,55189504,52117504,51326976,2621440,21786624,293384192,67801088,3969024,271982592,1553313792,6627328,6496256,7208960,7725056,271323136,89006080,734298112,886812672,815865856,116170752,16392192,35631104,660672512,11943936,11214848,11538432,53620736,2658304,293068800,610304,606208,618496,286720,52117504,62177280,5427200,33259520,278528
2023-03-16 18:14:00,19521536,327217152,68571136,4227072,217042944,38477824,64622592,10387456,260026368,260411392,22999040,265961472,20701184,8204288,9515008,8245248,12779520,9011200,8970240,8921088,11767808,9146368,10014720,8720384,8384512,8462336,8376320,18157568,17842176,18251776,60497920,49872896,76570624,38592512,67166208,13348864,9625600,6615040,6701056,6602752,4788224,4796416,4849664,7606272,66531328,69107712,41807872,43962368,14909440,14594048,14946304,10625024,55185408,52170752,51326976,2621440,20627456,293384192,67801088,3973120,275406848,1425432576,6774784,6619136,7274496,7585792,271323136,89001984,710938624,886812672,815149056,113922048,16388096,35876864,651468800,11657216,11612160,11677696,53620736,2658304,293068800,610304,606208,618496,286720,52649984,62177280,5427200,33267712,278528
2023-03-16 18:16:00,20340736,327217152,68575232,4231168,217042944,38477824,64733184,10387456,260489216,261914624,23883776,266801152,20037632,8204288,9515008,8249344,12779520,9011200,8974336,8921088,11694080,9146368,10014720,8716288,8384512,8462336,8376320,18157568,17838080,18251776,60497920,50139136,76914688,38588416,66969600,13348864,9625600,6615040,6696960,6602752,4788224,4796416,4849664,7606272,66531328,69095424,41803776,43962368,14909440,14594048,14946304,10625024,55185408,52117504,51453952,2621440,20541440,293384192,67805184,3969024,268201984,1343389696,6643712,6504448,7290880,7798784,271327232,89006080,710946816,886812672,815140864,114507776,16384000,36536320,655491072,11931648,11202560,11759616,53620736,2658304,293068800,610304,606208,618496,286720,52641792,62177280,5427200,33267712,278528
2023-03-16 18:18:00,20385792,327217152,68571136,4227072,217042944,38481920,64655360,10387456,258629632,262447104,23879680,266838016,19673088,8204288,9515008,8245248,12779520,9011200,8970240,8921088,11694080,9150464,10014720,8716288,8384512,8462336,8376320,18157568,17842176,18251776,60497920,49872896,77213696,38592512,68018176,13348864,9625600,6615040,6696960,6602752,4788224,4796416,4849664,7606272,66535424,69111808,41807872,43962368,14909440,14594048,14946304,10625024,55189504,52117504,51322880,2621440,21344256,293384192,67801088,3969024,275013632,1449586688,6987776,6496256,7274496,7536640,271323136,89006080,735105024,886816768,813776896,113057792,16388096,36536320,669798400,11763712,11280384,13467648,53620736,2789376,293068800,610304,606208,618496,286720,43966464,62177280,5427200,33263616,278528
