"Time","192.168.0.211:10250","192.168.0.221:10250","192.168.0.222:10250"
2023-03-16 18:00:00,0.173,0.0350,0.0345
2023-03-16 18:04:00,0.163,0.0351,0.0342
2023-03-16 18:08:00,0.172,0.0358,0.0354
2023-03-16 18:12:00,0.171,0.0367,0.0347
2023-03-16 18:16:00,0.176,0.0361,0.0335
2023-03-16 18:20:00,0.175,0.0364,0.0356
2023-03-16 18:24:00,0.169,0.0351,0.0349
2023-03-16 18:28:00,0.178,0.0354,0.0347
2023-03-16 18:32:00,0.170,0.0365,0.0351
2023-03-16 18:36:00,0.165,0.0348,0.0344
2023-03-16 18:40:00,0.176,0.0359,0.0344
2023-03-16 18:44:00,0.164,0.0355,0.0345
2023-03-16 18:48:00,0.167,0.0343,0.0357
2023-03-16 18:52:00,0.173,0.0357,0.0352
2023-03-16 18:56:00,0.171,0.0360,0.0350
2023-03-16 19:00:00,0.170,0.0362,0.0343
2023-03-16 19:04:00,0.169,0.0357,0.0339
2023-03-16 19:08:00,0.174,0.0362,0.0350
2023-03-16 19:12:00,0.170,0.0355,0.0344
2023-03-16 19:16:00,0.174,0.0363,0.0350
2023-03-16 19:20:00,0.166,0.0353,0.0356
2023-03-16 19:24:00,0.166,0.0360,0.0342
2023-03-16 19:28:00,0.173,0.0361,0.0339
2023-03-16 19:32:00,0.172,0.0357,0.0358
2023-03-16 19:36:00,0.170,0.0353,0.0343
2023-03-16 19:40:00,0.175,0.0360,0.0355
2023-03-16 19:44:00,0.165,0.0359,0.0345
2023-03-16 19:48:00,0.172,0.0363,0.0342
2023-03-16 19:52:00,0.173,0.0360,0.0345
2023-03-16 19:56:00,0.172,0.0344,0.0338
2023-03-16 20:00:00,0.172,0.0360,0.0356
2023-03-16 20:04:00,0.169,0.0359,0.0352
2023-03-16 20:08:00,0.167,0.0367,0.0359
2023-03-16 20:12:00,0.170,0.0362,0.0355
2023-03-16 20:16:00,0.172,0.0361,0.0382
2023-03-16 20:20:00,0.171,0.0354,0.0369
2023-03-16 20:24:00,0.168,0.0368,0.0354
