"Time","Total"
2023-03-16 18:00:00,0.0643
2023-03-16 18:02:00,0.0792
2023-03-16 18:04:00,0.0777
2023-03-16 18:06:00,0.0817
2023-03-16 18:08:00,0.0778
2023-03-16 18:10:00,0.0672
2023-03-16 18:12:00,0.0814
2023-03-16 18:14:00,0.0737
2023-03-16 18:16:00,0.0806
2023-03-16 18:18:00,0.0789
2023-03-16 18:20:00,0.0694
2023-03-16 18:22:00,0.0798
2023-03-16 18:24:00,0.0699
2023-03-16 18:26:00,0.0813
2023-03-16 18:28:00,0.0784
2023-03-16 18:30:00,0.0744
2023-03-16 18:32:00,0.0763
2023-03-16 18:34:00,0.0622
2023-03-16 18:36:00,0.0766
2023-03-16 18:38:00,0.0766
2023-03-16 18:40:00,0.0772
2023-03-16 18:42:00,0.0783
2023-03-16 18:44:00,0.0650
2023-03-16 18:46:00,0.0765
2023-03-16 18:48:00,0.0744
2023-03-16 18:50:00,0.0777
2023-03-16 18:52:00,0.0770
2023-03-16 18:54:00,0.0739
2023-03-16 18:56:00,0.0759
2023-03-16 18:58:00,0.0668
2023-03-16 19:00:00,0.0809
2023-03-16 19:02:00,0.0791
2023-03-16 19:04:00,0.0797
2023-03-16 19:06:00,0.0793
2023-03-16 19:08:00,0.0598
2023-03-16 19:10:00,0.0735
2023-03-16 19:12:00,0.0795
2023-03-16 19:14:00,0.0832
2023-03-16 19:16:00,0.0790
2023-03-16 19:18:00,0.0638
2023-03-16 19:20:00,0.0746
2023-03-16 19:22:00,0.0719
2023-03-16 19:24:00,0.0835
2023-03-16 19:26:00,0.0787
2023-03-16 19:28:00,0.0714
2023-03-16 19:30:00,0.0763
2023-03-16 19:32:00,0.0652
2023-03-16 19:34:00,0.0780
2023-03-16 19:36:00,0.0796
2023-03-16 19:38:00,0.0761
2023-03-16 19:40:00,0.0772
2023-03-16 19:42:00,0.0620
2023-03-16 19:44:00,0.0757
2023-03-16 19:46:00,0.0841
2023-03-16 19:48:00,0.0804
2023-03-16 19:50:00,0.0768
2023-03-16 19:52:00,0.0647
2023-03-16 19:54:00,0.0761
2023-03-16 19:56:00,0.0770
2023-03-16 19:58:00,0.0776
2023-03-16 20:00:00,0.0791
2023-03-16 20:02:00,0.0753
2023-03-16 20:04:00,0.0757
2023-03-16 20:06:00,0.0685
2023-03-16 20:08:00,0.0750
2023-03-16 20:10:00,0.0774
2023-03-16 20:12:00,0.0795
2023-03-16 20:14:00,0.0792
2023-03-16 20:16:00,0.0632
2023-03-16 20:18:00,0.0766
2023-03-16 20:20:00,0.0730
2023-03-16 20:22:00,0.0796
2023-03-16 20:24:00,0.0789
2023-03-16 20:26:00,0.0703
2023-03-16 20:28:00,0.0740
2023-03-16 20:30:00,0.0692
2023-03-16 20:32:00,0.0784
2023-03-16 20:34:00,0.0765
2023-03-16 20:36:00,0.0753
2023-03-16 20:38:00,0.0788
2023-03-16 20:40:00,0.0656
2023-03-16 20:42:00,0.0805
2023-03-16 20:44:00,0.0780
2023-03-16 20:46:00,0.0819
2023-03-16 20:48:00,0.0841
2023-03-16 20:50:00,0.0598
2023-03-16 20:52:00,0.0753
2023-03-16 20:54:00,0.0800
2023-03-16 20:56:00,0.0811
2023-03-16 20:58:00,0.0800
2023-03-16 21:00:00,0.0652
2023-03-16 21:02:00,0.0768
2023-03-16 21:04:00,0.0714
2023-03-16 21:06:00,0.0834
2023-03-16 21:08:00,0.0784
2023-03-16 21:10:00,0.0718
2023-03-16 21:12:00,0.0767
2023-03-16 21:14:00,0.0638
2023-03-16 21:16:00,0.0788
2023-03-16 21:18:00,0.0773
2023-03-16 21:20:00,0.0757
2023-03-16 21:22:00,0.0773
2023-03-16 21:24:00,0.0621
2023-03-16 21:26:00,0.0770
2023-03-16 21:28:00,0.0781
2023-03-16 21:30:00,0.0856
2023-03-16 21:32:00,0.0776
2023-03-16 21:34:00,0.0638
2023-03-16 21:36:00,0.0764
2023-03-16 21:38:00,0.0699
2023-03-16 21:40:00,0.0847
2023-03-16 21:42:00,0.0784
2023-03-16 21:44:00,0.0709
2023-03-16 21:46:00,0.0758
2023-03-16 21:48:00,0.0663
2023-03-16 21:50:00,0.0802
2023-03-16 21:52:00,0.0774
2023-03-16 21:54:00,0.0768
2023-03-16 21:56:00,0.0779
2023-03-16 21:58:00,0.0627
2023-03-16 22:00:00,0.0773
2023-03-16 22:02:00,0.0785
2023-03-16 22:04:00,0.0799
2023-03-16 22:06:00,0.0817
2023-03-16 22:08:00,0.0627
2023-03-16 22:10:00,0.0740
2023-03-16 22:12:00,0.0789
2023-03-16 22:14:00,0.0796
2023-03-16 22:16:00,0.0759
2023-03-16 22:18:00,0.0714
2023-03-16 22:20:00,0.0734
2023-03-16 22:22:00,0.0727
2023-03-16 22:24:00,0.0806
2023-03-16 22:26:00,0.0829
2023-03-16 22:28:00,0.0735
2023-03-16 22:30:00,0.0748
2023-03-16 22:32:00,0.0661
2023-03-16 22:34:00,0.0777
2023-03-16 22:36:00,0.0810
2023-03-16 22:38:00,0.0762
2023-03-16 22:40:00,0.0784
2023-03-16 22:42:00,0.0622
2023-03-16 22:44:00,0.0766
2023-03-16 22:46:00,0.0774
2023-03-16 22:48:00,0.0799
2023-03-16 22:50:00,0.0779
2023-03-16 22:52:00,0.0660
2023-03-16 22:54:00,0.0751
2023-03-16 22:56:00,0.0740
2023-03-16 22:58:00,0.0790
2023-03-16 23:00:00,0.0792
2023-03-16 23:02:00,0.0727
2023-03-16 23:04:00,0.0772
2023-03-16 23:06:00,0.0687
2023-03-16 23:08:00,0.0770
2023-03-16 23:10:00,0.0774
2023-03-16 23:12:00,0.0762
2023-03-16 23:14:00,0.0799
2023-03-16 23:16:00,0.0643
2023-03-16 23:18:00,0.0748
2023-03-16 23:20:00,0.0789
2023-03-16 23:22:00,0.0792
2023-03-16 23:24:00,0.0842
2023-03-16 23:26:00,0.0681
2023-03-16 23:28:00,0.0727
2023-03-16 23:30:00,0.0797
2023-03-16 23:32:00,0.0786
2023-03-16 23:34:00,0.0768
2023-03-16 23:36:00,0.0712
2023-03-16 23:38:00,0.0731
2023-03-16 23:40:00,0.0678
2023-03-16 23:42:00,0.0809
2023-03-16 23:44:00,0.0786
2023-03-16 23:46:00,0.0749
2023-03-16 23:48:00,0.0765
2023-03-16 23:50:00,0.0623
2023-03-16 23:52:00,0.0772
2023-03-16 23:54:00,0.0787
2023-03-16 23:56:00,0.0821
2023-03-16 23:58:00,0.0764
2023-03-17 00:00:00,0.0609
2023-03-17 00:02:00,0.0751
2023-03-17 00:04:00,0.0759
2023-03-17 00:06:00,0.0903
2023-03-17 00:08:00,0.0773
2023-03-17 00:10:00,0.0650
2023-03-17 00:12:00,0.0765
2023-03-17 00:14:00,0.0689
2023-03-17 00:16:00,0.0842
2023-03-17 00:18:00,0.0785
2023-03-17 00:20:00,0.0697
2023-03-17 00:22:00,0.0732
2023-03-17 00:24:00,0.0661
2023-03-17 00:26:00,0.0808
2023-03-17 00:28:00,0.0770
2023-03-17 00:30:00,0.0769
2023-03-17 00:32:00,0.0774
2023-03-17 00:34:00,0.0610
2023-03-17 00:36:00,0.0793
2023-03-17 00:38:00,0.0790
2023-03-17 00:40:00,0.0804
2023-03-17 00:42:00,0.0803
2023-03-17 00:44:00,0.0650
2023-03-17 00:46:00,0.0798
2023-03-17 00:48:00,0.0783
2023-03-17 00:50:00,0.0803
2023-03-17 00:52:00,0.0778
2023-03-17 00:54:00,0.0763
2023-03-17 00:56:00,0.0756
2023-03-17 00:58:00,0.0668
2023-03-17 01:00:00,0.0784
2023-03-17 01:02:00,0.0676
2023-03-17 01:04:00,0.0778
2023-03-17 01:06:00,0.0828
2023-03-17 01:08:00,0.0614
2023-03-17 01:10:00,0.0756
2023-03-17 01:12:00,0.0798
2023-03-17 01:14:00,0.0770
2023-03-17 01:16:00,0.0775
2023-03-17 01:18:00,0.0653
2023-03-17 01:20:00,0.0751
2023-03-17 01:22:00,0.0720
2023-03-17 01:24:00,0.0820
2023-03-17 01:26:00,0.0817
2023-03-17 01:28:00,0.0711
2023-03-17 01:30:00,0.0783
2023-03-17 01:32:00,0.0640
2023-03-17 01:34:00,0.0792
2023-03-17 01:36:00,0.0813
2023-03-17 01:38:00,0.0751
2023-03-17 01:40:00,0.0812
2023-03-17 01:42:00,0.0621
2023-03-17 01:44:00,0.0750
2023-03-17 01:46:00,0.0800
2023-03-17 01:48:00,0.0813
2023-03-17 01:50:00,0.0804
2023-03-17 01:52:00,0.0623
2023-03-17 01:54:00,0.0757
2023-03-17 01:56:00,0.0784
2023-03-17 01:58:00,0.0793
2023-03-17 02:00:00,0.0797
2023-03-17 02:02:00,0.0678
2023-03-17 02:04:00,0.0751
2023-03-17 02:06:00,0.0785
2023-03-17 02:08:00,0.0835
2023-03-17 02:10:00,0.0775
2023-03-17 02:12:00,0.0767
2023-03-17 02:14:00,0.0757
2023-03-17 02:16:00,0.0637
2023-03-17 02:18:00,0.0756
2023-03-17 02:20:00,0.0780
2023-03-17 02:22:00,0.0802
2023-03-17 02:24:00,0.0807
2023-03-17 02:26:00,0.0629
2023-03-17 02:28:00,0.0746
2023-03-17 02:30:00,0.0759
2023-03-17 02:32:00,0.0823
2023-03-17 02:34:00,0.0732
2023-03-17 02:36:00,0.0757
2023-03-17 02:38:00,0.0739
2023-03-17 02:40:00,0.0645
2023-03-17 02:42:00,0.0858
2023-03-17 02:44:00,0.0779
2023-03-17 02:46:00,0.0787
2023-03-17 02:48:00,0.0789
2023-03-17 02:50:00,0.0587
2023-03-17 02:52:00,0.0764
2023-03-17 02:54:00,0.0765
2023-03-17 02:56:00,0.0795
2023-03-17 02:58:00,0.0758
2023-03-17 03:00:00,0.0650
2023-03-17 03:02:00,0.0725
2023-03-17 03:04:00,0.0699
2023-03-17 03:06:00,0.0834
2023-03-17 03:08:00,0.0790
2023-03-17 03:10:00,0.0732
2023-03-17 03:12:00,0.0740
2023-03-17 03:14:00,0.0693
2023-03-17 03:16:00,0.0792
2023-03-17 03:18:00,0.0787
2023-03-17 03:20:00,0.0779
2023-03-17 03:22:00,0.0780
2023-03-17 03:24:00,0.0682
2023-03-17 03:26:00,0.0782
2023-03-17 03:28:00,0.0767
2023-03-17 03:30:00,0.0810
