"Time","Read","Write"
2023-03-16 18:00:00,0,710383
2023-03-16 18:02:00,0,9827351
2023-03-16 18:04:00,228,872945
2023-03-16 18:06:00,228,878729
2023-03-16 18:08:00,0,1092130
2023-03-16 18:10:00,0,704922
2023-03-16 18:12:00,0,1028779
2023-03-16 18:14:00,0,866122
2023-03-16 18:16:00,0,896796
2023-03-16 18:18:00,0,1146404
2023-03-16 18:20:00,0,715571
2023-03-16 18:22:00,0,1051534
2023-03-16 18:24:00,0,844595
2023-03-16 18:26:00,0,904307
2023-03-16 18:28:00,0,1074426
2023-03-16 18:30:00,0,691132
2023-03-16 18:32:00,0,1115204
2023-03-16 18:34:00,0,953399
2023-03-16 18:36:00,0,909403
2023-03-16 18:38:00,0,1069602
2023-03-16 18:40:00,0,726676
2023-03-16 18:42:00,0,1046892
2023-03-16 18:44:00,0,885922
2023-03-16 18:46:00,0,894339
2023-03-16 18:48:00,1183,1078750
2023-03-16 18:50:00,1183,702054
2023-03-16 18:52:00,0,1044434
2023-03-16 18:54:00,0,892291
2023-03-16 18:56:00,0,892791
2023-03-16 18:58:00,0,1059453
2023-03-16 19:00:00,0,694272
2023-03-16 19:02:00,0,1430141
2023-03-16 19:04:00,0,1261614
2023-03-16 19:06:00,0,868079
2023-03-16 19:08:00,0,1043251
2023-03-16 19:10:00,0,711885
2023-03-16 19:12:00,0,1059772
2023-03-16 19:14:00,0,901712
2023-03-16 19:16:00,0,870232
2023-03-16 19:18:00,0,1045568
2023-03-16 19:20:00,0,714798
2023-03-16 19:22:00,0,1037335
2023-03-16 19:24:00,0,881505
2023-03-16 19:26:00,0,877409
2023-03-16 19:28:00,0,1045845
2023-03-16 19:30:00,0,703829
2023-03-16 19:32:00,0,1099867
2023-03-16 19:34:00,0,930810
2023-03-16 19:36:00,0,912677
2023-03-16 19:38:00,0,1032647
2023-03-16 19:40:00,0,681893
2023-03-16 19:42:00,0,1114294
2023-03-16 19:44:00,0,937165
2023-03-16 19:46:00,0,881732
2023-03-16 19:48:00,0,1090355
2023-03-16 19:50:00,0,734367
2023-03-16 19:52:00,0,1024687
2023-03-16 19:54:00,0,888058
2023-03-16 19:56:00,0,895386
2023-03-16 19:58:00,0,1042751
2023-03-16 20:00:00,0,701508
2023-03-16 20:02:00,0,2096105
2023-03-16 20:04:00,0,884463
2023-03-16 20:06:00,0,867184
2023-03-16 20:08:00,0,1058406
2023-03-16 20:10:00,0,713159
2023-03-16 20:12:00,0,1067918
2023-03-16 20:14:00,0,864341
2023-03-16 20:16:00,0,926879
2023-03-16 20:18:00,0,1113657
2023-03-16 20:20:00,0,722580
2023-03-16 20:22:00,0,1052672
2023-03-16 20:24:00,0,897252
2023-03-16 20:26:00,0,884554
2023-03-16 20:28:00,0,1083483
2023-03-16 20:30:00,0,749841
2023-03-16 20:32:00,0,1149702
2023-03-16 20:34:00,0,937984
2023-03-16 20:36:00,0,890288
2023-03-16 20:38:00,0,1030645
2023-03-16 20:40:00,0,724901
2023-03-16 20:42:00,0,1057481
