"Time","Read (192.168.0.211:9796)","Read (192.168.0.221:9796)","Read (192.168.0.222:9796)","Write (192.168.0.211:9796)","Write (192.168.0.221:9796)","Write (192.168.0.222:9796)"
2023-03-16 18:00:00,0,0,0,541582,87700,81101
2023-03-16 18:02:00,0,0,0,667147,4985833,4174370
2023-03-16 18:04:00,0,0,228,566202,88519,218224
2023-03-16 18:06:00,0,0,228,626961,173579,78188
2023-03-16 18:08:00,0,0,0,702327,175036,214767
2023-03-16 18:10:00,0,0,0,540945,84332,79644
2023-03-16 18:12:00,0,0,0,648715,168391,211672
2023-03-16 18:14:00,0,0,0,580039,80009,206074
2023-03-16 18:16:00,0,0,0,642571,176856,77369
2023-03-16 18:18:00,0,0,0,708542,175445,262417
2023-03-16 18:20:00,0,0,0,546406,85970,83194
2023-03-16 18:22:00,0,0,0,675476,170940,205119
2023-03-16 18:24:00,0,0,0,553370,84514,206711
2023-03-16 18:26:00,0,0,0,662960,170075,71271
2023-03-16 18:28:00,0,0,0,686899,175445,212082
2023-03-16 18:30:00,0,0,0,520146,85288,85697
2023-03-16 18:32:00,0,0,0,693999,169301,251904
2023-03-16 18:34:00,0,0,0,598835,88688,265876
2023-03-16 18:36:00,0,0,0,647305,176447,85652
2023-03-16 18:38:00,0,0,0,660639,183637,225326
2023-03-16 18:40:00,0,0,0,546543,85970,94162
2023-03-16 18:42:00,0,0,0,657909,178404,210580
2023-03-16 18:44:00,0,0,0,590279,88701,206942
2023-03-16 18:46:00,0,0,0,636518,173989,83831
2023-03-16 18:48:00,0,1183,0,686808,172123,219819
2023-03-16 18:50:00,0,1183,0,532890,84014,85151
2023-03-16 18:52:00,0,0,0,660412,172942,211081
2023-03-16 18:54:00,0,0,0,581086,87063,224142
2023-03-16 18:56:00,0,0,0,637884,167708,87199
2023-03-16 18:58:00,0,0,0,675066,172624,211763
2023-03-16 19:00:00,0,0,0,532799,80236,81237
2023-03-16 19:02:00,0,0,0,681028,447511,301602
2023-03-16 19:04:00,0,0,0,596059,364225,301329
2023-03-16 19:06:00,0,0,0,628827,164887,74365
2023-03-16 19:08:00,0,0,0,660230,171486,211536
2023-03-16 19:10:00,0,0,0,559241,79872,72772
2023-03-16 19:12:00,0,0,0,683941,174126,201705
2023-03-16 19:14:00,0,0,0,608711,85697,207303
2023-03-16 19:16:00,0,0,0,622501,172032,75699
2023-03-16 19:18:00,0,0,0,656949,174399,214221
2023-03-16 19:20:00,0,0,0,544950,87427,82421
2023-03-16 19:22:00,0,0,0,662778,166707,207849
2023-03-16 19:24:00,0,0,0,593783,80509,207212
2023-03-16 19:26:00,0,0,0,633515,168027,75867
2023-03-16 19:28:00,0,0,0,658773,178995,208077
2023-03-16 19:30:00,0,0,0,529522,87381,86926
2023-03-16 19:32:00,0,0,0,674293,170394,255181
2023-03-16 19:34:00,0,0,0,593146,80253,257411
2023-03-16 19:36:00,0,0,0,658955,169256,84465
2023-03-16 19:38:00,0,0,0,647259,176629,208759
2023-03-16 19:40:00,0,0,0,517006,89293,75594
2023-03-16 19:42:00,0,0,0,680937,183546,249810
2023-03-16 19:44:00,0,0,0,582815,93935,260415
2023-03-16 19:46:00,0,0,0,619952,180178,81601
2023-03-16 19:48:00,0,0,0,691769,178449,220137
2023-03-16 19:50:00,0,0,0,556055,88337,89975
2023-03-16 19:52:00,0,0,0,651360,172396,200932
2023-03-16 19:54:00,0,0,0,598107,83649,206302
2023-03-16 19:56:00,0,0,0,648078,166025,81283
2023-03-16 19:58:00,0,0,0,661094,170576,211081
2023-03-16 20:00:00,0,0,0,546588,80555,74365
2023-03-16 20:02:00,0,0,0,691496,851376,553233
2023-03-16 20:04:00,0,0,0,592646,83376,208441
2023-03-16 20:06:00,0,0,0,626597,167177,73409
2023-03-16 20:08:00,0,0,0,679982,167117,211308
2023-03-16 20:10:00,0,0,0,553688,75457,84014
2023-03-16 20:12:00,0,0,0,685625,174717,207576
2023-03-16 20:14:00,0,0,0,574032,80191,210119
