"Time","Load[5m] (192.168.0.211:9796)","Load[5m] (192.168.0.221:9796)","Load[5m] (192.168.0.222:9796)","Load[1m] (192.168.0.211:9796)","Load[1m] (192.168.0.221:9796)","Load[1m] (192.168.0.222:9796)","Load[15m] (192.168.0.211:9796)","Load[15m] (192.168.0.221:9796)","Load[15m] (192.168.0.222:9796)"
2023-03-16 18:00:00,0.0800,0.140,0.350,0.0100,0.110,0.260,0.130,0.170,0.340
2023-03-16 18:02:00,0.260,0.140,0.310,0.720,0.0800,0.200,0.180,0.170,0.330
2023-03-16 18:04:00,0.240,0.130,0.380,0.300,0.110,0.480,0.180,0.160,0.360
2023-03-16 18:06:00,0.190,0.190,0.460,0.110,0.240,0.580,0.170,0.180,0.390
2023-03-16 18:08:00,0.160,0.240,0.370,0.120,0.250,0.250,0.160,0.200,0.360
2023-03-16 18:10:00,0.550,0.220,0.310,1.15,0.210,0.180,0.310,0.190,0.340
2023-03-16 18:12:00,0.410,0.160,0.310,0.290,0.0700,0.280,0.280,0.170,0.340
2023-03-16 18:14:00,0.510,0.380,0.310,0.800,1,0.320,0.330,0.240,0.330
2023-03-16 18:16:00,0.370,0.400,0.270,0.200,0.490,0.190,0.290,0.270,0.320
2023-03-16 18:18:00,0.300,0.410,0.270,0.170,0.470,0.280,0.270,0.290,0.310
2023-03-16 18:20:00,0.330,0.370,0.350,0.390,0.420,0.420,0.280,0.280,0.330
2023-03-16 18:22:00,0.460,0.290,0.370,0.850,0.150,0.430,0.330,0.260,0.340
2023-03-16 18:24:00,0.350,0.190,0.430,0.200,0.0200,0.570,0.300,0.230,0.370
2023-03-16 18:26:00,0.290,0.160,0.390,0.200,0.0800,0.260,0.280,0.210,0.360
2023-03-16 18:28:00,0.310,0.210,0.470,0.350,0.310,0.660,0.280,0.210,0.390
2023-03-16 18:30:00,0.350,0.240,0.470,0.530,0.400,0.400,0.300,0.220,0.390
2023-03-16 18:32:00,0.340,0.270,0.420,0.310,0.370,0.360,0.300,0.230,0.380
2023-03-16 18:34:00,0.500,0.390,0.320,0.640,0.580,0.180,0.370,0.270,0.350
2023-03-16 18:36:00,0.360,0.450,0.320,0.130,0.690,0.270,0.330,0.300,0.350
2023-03-16 18:38:00,0.300,0.370,0.300,0.140,0.400,0.320,0.310,0.290,0.330
2023-03-16 18:40:00,0.260,0.340,0.270,0.160,0.360,0.250,0.290,0.280,0.320
2023-03-16 18:42:00,0.210,0.330,0.260,0.110,0.380,0.250,0.270,0.280,0.310
2023-03-16 18:44:00,0.200,0.260,0.590,0.0900,0.140,1.51,0.250,0.260,0.410
2023-03-16 18:46:00,0.200,0.210,0.560,0.150,0.110,0.620,0.250,0.240,0.420
2023-03-16 18:48:00,0.320,0.140,0.480,0.730,0.0100,0.460,0.290,0.200,0.410
2023-03-16 18:50:00,0.340,0.0900,0.410,0.360,0,0.260,0.300,0.170,0.390
2023-03-16 18:52:00,0.320,0.100,0.420,0.410,0.0700,0.390,0.290,0.170,0.390
2023-03-16 18:54:00,0.360,0.430,0.320,0.440,0.720,0.190,0.300,0.290,0.350
2023-03-16 18:56:00,0.580,0.390,0.360,0.940,0.330,0.310,0.390,0.280,0.360
2023-03-16 18:58:00,0.440,0.370,0.360,0.220,0.400,0.370,0.360,0.280,0.360
2023-03-16 19:00:00,0.370,0.950,0.320,0.250,2.28,0.210,0.340,0.490,0.350
2023-03-16 19:02:00,0.320,0.700,0.320,0.140,0.460,0.340,0.330,0.450,0.350
2023-03-16 19:04:00,0.320,0.580,0.280,0.400,0.290,0.190,0.320,0.440,0.330
2023-03-16 19:06:00,0.230,0.520,0.240,0.0900,0.350,0.160,0.290,0.440,0.310
2023-03-16 19:08:00,0.250,0.410,0.450,0.250,0.220,0.820,0.280,0.410,0.380
2023-03-16 19:10:00,0.190,0.290,0.490,0.0800,0.0800,0.580,0.250,0.360,0.400
2023-03-16 19:12:00,0.150,0.240,0.440,0.120,0.150,0.420,0.230,0.330,0.390
2023-03-16 19:14:00,0.320,0.170,0.360,0.310,0.0300,0.260,0.290,0.290,0.360
2023-03-16 19:16:00,0.280,0.350,0.400,0.210,0.680,0.500,0.270,0.340,0.370
2023-03-16 19:18:00,0.290,0.270,0.320,0.290,0.180,0.190,0.270,0.310,0.350
2023-03-16 19:20:00,0.330,0.330,0.280,0.400,0.570,0.190,0.290,0.320,0.330
2023-03-16 19:22:00,0.260,0.330,0.250,0.130,0.430,0.240,0.260,0.310,0.310
2023-03-16 19:24:00,0.190,0.300,0.220,0.0600,0.210,0.160,0.230,0.300,0.290
2023-03-16 19:26:00,0.130,0.230,0.300,0.0300,0.130,0.350,0.210,0.270,0.310
2023-03-16 19:28:00,0.210,0.290,0.250,0.500,0.590,0.180,0.220,0.280,0.280
2023-03-16 19:30:00,0.350,0.220,0.290,0.860,0.210,0.340,0.260,0.260,0.290
2023-03-16 19:32:00,0.330,0.160,0.300,0.260,0.0500,0.380,0.260,0.230,0.280
2023-03-16 19:34:00,0.410,0.110,0.310,0.560,0.0300,0.360,0.290,0.200,0.280
2023-03-16 19:36:00,0.320,0.120,0.400,0.210,0.130,0.550,0.270,0.180,0.310
2023-03-16 19:38:00,0.240,0.200,0.300,0.110,0.370,0.170,0.250,0.200,0.290
2023-03-16 19:40:00,0.210,0.230,0.480,0.140,0.430,0.940,0.240,0.200,0.350
2023-03-16 19:42:00,0.260,0.280,0.380,0.340,0.270,0.220,0.250,0.220,0.330
2023-03-16 19:44:00,0.200,0.320,0.300,0.180,0.470,0.140,0.230,0.240,0.300
2023-03-16 19:46:00,0.250,0.320,0.380,0.380,0.300,0.570,0.240,0.250,0.330
2023-03-16 19:48:00,0.230,0.260,0.340,0.230,0.190,0.380,0.230,0.240,0.310
