"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-16 18:00:00,227494,130395,175738,146961,119008,172262
2023-03-16 18:02:00,303398,170011,173960,200460,173918,161219
2023-03-16 18:04:00,266515,128594,184675,179020,117545,178963
2023-03-16 18:06:00,261235,147376,200750,162416,126012,182973
2023-03-16 18:08:00,263474,132197,211312,159937,119287,201755
2023-03-16 18:10:00,229004,147140,167428,150957,127157,151084
2023-03-16 18:12:00,302456,162119,173716,199973,169787,160929
2023-03-16 18:14:00,303133,145761,186337,206955,146604,178999
2023-03-16 18:16:00,237303,147139,173984,159255,125931,156408
2023-03-16 18:18:00,232973,130431,186754,155787,117850,181484
2023-03-16 18:20:00,228206,151000,168894,149315,128481,155555
2023-03-16 18:22:00,287104,162415,175439,187875,170229,162496
2023-03-16 18:24:00,301809,161511,182720,200116,170485,179310
2023-03-16 18:26:00,235445,152077,172364,154099,128838,158573
2023-03-16 18:28:00,255430,129856,207551,153677,118249,202888
2023-03-16 18:30:00,252896,149367,193741,153521,127723,179002
2023-03-16 18:32:00,234508,151745,174658,153818,153369,161111
2023-03-16 18:34:00,301879,172112,183019,201905,175714,178077
2023-03-16 18:36:00,238935,140922,178015,159858,124155,162416
2023-03-16 18:38:00,236231,126732,187935,154321,115739,181543
2023-03-16 18:40:00,228358,147664,167699,150007,126901,152316
2023-03-16 18:42:00,231744,130985,175261,153127,117870,161093
2023-03-16 18:44:00,299699,176957,173231,202413,177795,156723
2023-03-16 18:46:00,232875,133359,172142,152804,120457,158258
2023-03-16 18:48:00,241439,126560,191867,151763,115782,186353
2023-03-16 18:50:00,229248,147794,169272,152313,126919,153281
2023-03-16 18:52:00,259030,129970,210039,153947,117443,206505
2023-03-16 18:54:00,302329,182152,174661,201958,180733,161139
2023-03-16 18:56:00,281086,133611,174597,189465,120616,159463
2023-03-16 18:58:00,233165,129055,186286,156154,117011,180197
2023-03-16 19:00:00,228963,151855,170686,151406,128919,157113
2023-03-16 19:02:00,235599,128351,183861,152610,116587,179259
2023-03-16 19:04:00,298445,178679,171675,198559,177890,157730
2023-03-16 19:06:00,306789,153647,174953,204503,155004,160392
2023-03-16 19:08:00,236898,139112,185009,155815,121854,173832
2023-03-16 19:10:00,252310,132060,194084,151703,119146,181252
2023-03-16 19:12:00,234927,126391,181496,151390,116098,175864
2023-03-16 19:14:00,271469,177167,171391,181273,177928,155085
2023-03-16 19:16:00,306785,162743,181150,208192,170934,171711
2023-03-16 19:18:00,234073,146634,177761,159645,125519,159707
2023-03-16 19:20:00,229059,132051,170757,151490,119169,157141
2023-03-16 19:22:00,237067,130681,185419,152047,119168,181171
2023-03-16 19:24:00,227284,165808,172525,149518,156064,158764
2023-03-16 19:26:00,306903,161586,183044,206728,170683,177343
2023-03-16 19:28:00,233522,149081,177621,157452,126824,161395
2023-03-16 19:30:00,252196,132180,193625,151344,119309,180932
2023-03-16 19:32:00,258893,130296,206463,153741,118925,202072
2023-03-16 19:34:00,226594,138389,172456,148472,121448,159998
2023-03-16 19:36:00,320071,159776,195454,209956,169875,188257
2023-03-16 19:38:00,248108,147227,185316,168326,125934,166919
2023-03-16 19:40:00,228638,132004,169076,149220,119188,156485
2023-03-16 19:42:00,232258,148462,174574,149621,127836,163500
2023-03-16 19:44:00,227071,131092,173558,150004,117911,160507
2023-03-16 19:46:00,306294,156996,180936,206500,168178,172816
2023-03-16 19:48:00,290732,150830,172816,192428,133294,156573
2023-03-16 19:50:00,249628,131800,201515,149197,119046,199226
2023-03-16 19:52:00,257196,147409,195432,149074,126784,181466
2023-03-16 19:54:00,228401,131312,175766,152835,118046,161811
2023-03-16 19:56:00,306376,162570,183288,206410,170996,178024
2023-03-16 19:58:00,308220,178830,176751,204242,173653,163457
2023-03-16 20:00:00,225401,130594,175680,145893,118496,172934
2023-03-16 20:02:00,233296,150165,174416,152527,128083,159787
2023-03-16 20:04:00,228610,130874,176406,154352,117811,161785
2023-03-16 20:06:00,279517,171670,180812,176825,175552,174828
2023-03-16 20:08:00,323685,163364,193300,208133,171261,179180
2023-03-16 20:10:00,250981,126168,201649,152317,115479,196051
2023-03-16 20:12:00,234054,147096,173978,154023,126483,157357
2023-03-16 20:14:00,228041,130858,181127,152529,117789,173201
2023-03-16 20:16:00,233588,159427,171087,154820,148914,154740
2023-03-16 20:18:00,310739,164881,180681,210082,172999,165631
2023-03-16 20:20:00,227932,126479,178606,152392,115686,172388
2023-03-16 20:22:00,235606,147963,175789,153553,127128,159673
2023-03-16 20:24:00,227697,130185,184353,150563,117618,180648
2023-03-16 20:26:00,255881,150865,197781,157266,128384,182528
2023-03-16 20:28:00,331092,164651,201967,208070,172719,187747
2023-03-16 20:30:00,243984,129315,175574,158968,117326,173016
2023-03-16 20:32:00,233641,152006,176054,153832,129151,162040
2023-03-16 20:34:00,230423,128289,184883,154283,116623,179426
2023-03-16 20:36:00,236671,149258,175019,157638,127742,158365
2023-03-16 20:38:00,310988,164566,181673,206124,172651,167448
2023-03-16 20:40:00,295297,138635,177153,196679,133086,173201
2023-03-16 20:42:00,233037,139654,175118,152556,123039,161492
2023-03-16 20:44:00,231971,127591,183350,152438,116336,178525
2023-03-16 20:46:00,231339,147366,169397,152819,126448,153785
2023-03-16 20:48:00,331621,163463,202565,210002,171705,187670
2023-03-16 20:50:00,324234,177595,203346,205626,177244,196949
2023-03-16 20:52:00,236906,132294,180331,157246,119426,165268
2023-03-16 20:54:00,240945,127155,190687,149717,116507,186486
2023-03-16 20:56:00,241681,147074,179946,154849,126625,163161
2023-03-16 20:58:00,259944,163170,183920,173994,171479,175039
2023-03-16 21:00:00,298627,175813,165415,198708,176835,150012
2023-03-16 21:02:00,232800,132424,174183,151226,119494,161058
2023-03-16 21:04:00,258266,132768,214225,161959,120101,208569
2023-03-16 21:06:00,236063,150953,179124,161708,127820,162329
2023-03-16 21:08:00,239847,138126,192341,159290,132850,185402
2023-03-16 21:10:00,298611,179257,167630,198979,178482,153825
2023-03-16 21:12:00,233218,132370,174009,152241,119470,160547
2023-03-16 21:14:00,232519,130708,184336,154514,119249,178984
2023-03-16 21:16:00,232299,138770,173487,156038,121842,158436
2023-03-16 21:18:00,235065,128444,186482,157450,117422,179452
2023-03-16 21:20:00,302267,177995,171747,205368,177721,155568
2023-03-16 21:22:00,265197,132191,178872,174901,119369,165082
2023-03-16 21:24:00,230006,141322,183234,152692,124453,177577
2023-03-16 21:26:00,256462,131085,198448,158870,117996,183272
2023-03-16 21:28:00,258438,126604,208586,157469,116599,201207
2023-03-16 21:30:00,300287,176440,166178,198670,177139,151385
2023-03-16 21:32:00,302212,144450,178144,198677,140071,172022
2023-03-16 21:34:00,228924,147522,171414,150184,126803,156371
2023-03-16 21:36:00,236842,131479,180127,163372,118350,162718
2023-03-16 21:38:00,242259,131522,197156,165348,119060,189112
2023-03-16 21:40:00,294447,183183,169817,194132,181182,157405
2023-03-16 21:42:00,312495,161820,191207,198682,170767,188548
2023-03-16 21:44:00,229696,150284,174372,152713,128209,159708
2023-03-16 21:46:00,232354,131227,173396,155882,118142,158377
2023-03-16 21:48:00,234658,130275,186207,155774,118423,180658
