"Time","Receive Errors (192.168.0.211:9796)","Receive Errors (192.168.0.221:9796)","Receive Errors (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)","Transmit Errors (192.168.0.211:9796)","Transmit Errors (192.168.0.221:9796)","Transmit Errors (192.168.0.222:9796)","Receive Dropped (192.168.0.211:9796)","Receive Dropped (192.168.0.221:9796)","Receive Dropped (192.168.0.222:9796)","Transmit Dropped (192.168.0.211:9796)","Transmit Dropped (192.168.0.221:9796)","Transmit Dropped (192.168.0.222:9796)","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)"
2023-03-16 18:00:00,0,0,0,209,125,253,0,0,0,0,0,0,0,0,0,248,128,217
2023-03-16 18:02:00,0,0,0,284,197,252,0,0,0,0,0,0,0,0,0,335,203,219
2023-03-16 18:04:00,0,0,0,254,123,262,0,0,0,0,0,0,0,0,0,299,126,225
2023-03-16 18:06:00,0,0,0,221,126,270,0,0,0,0,0,0,0,0,0,272,135,229
2023-03-16 18:08:00,0,0,0,223,124,284,0,0,0,0,0,0,0,0,0,276,128,237
2023-03-16 18:10:00,0,0,0,212,128,242,0,0,0,0,0,0,0,0,0,251,137,214
2023-03-16 18:12:00,0,0,0,284,195,254,0,0,0,0,0,0,0,0,0,336,199,221
2023-03-16 18:14:00,0,0,0,287,166,265,0,0,0,0,0,0,0,0,0,336,169,229
2023-03-16 18:16:00,0,0,0,217,128,246,0,0,0,0,0,0,0,0,0,257,137,218
2023-03-16 18:18:00,0,0,0,216,125,262,0,0,0,0,0,0,0,0,0,255,129,226
2023-03-16 18:20:00,0,0,0,210,128,245,0,0,0,0,0,0,0,0,0,249,138,215
2023-03-16 18:22:00,0,0,0,260,195,252,0,0,0,0,0,0,0,0,0,309,199,220
2023-03-16 18:24:00,0,0,0,286,194,264,0,0,0,0,0,0,0,0,0,335,198,226
2023-03-16 18:26:00,0,0,0,215,128,247,0,0,0,0,0,0,0,0,0,255,139,217
2023-03-16 18:28:00,0,0,0,224,126,287,0,0,0,0,0,0,0,0,0,272,129,241
2023-03-16 18:30:00,0,0,0,220,129,269,0,0,0,0,0,0,0,0,0,267,138,231
2023-03-16 18:32:00,0,0,0,215,168,251,0,0,0,0,0,0,0,0,0,256,172,220
2023-03-16 18:34:00,0,0,0,286,197,262,0,0,0,0,0,0,0,0,0,334,203,225
2023-03-16 18:36:00,0,0,0,216,127,250,0,0,0,0,0,0,0,0,0,256,133,219
2023-03-16 18:38:00,0,0,0,215,122,265,0,0,0,0,0,0,0,0,0,257,125,228
2023-03-16 18:40:00,0,0,0,210,128,243,0,0,0,0,0,0,0,0,0,248,136,216
2023-03-16 18:42:00,0,0,0,211,122,248,0,0,0,0,0,0,0,0,0,252,126,217
2023-03-16 18:44:00,0,0,0,284,195,250,0,0,0,0,0,0,0,0,0,332,203,219
2023-03-16 18:46:00,0,0,0,211,124,249,0,0,0,0,0,0,0,0,0,252,127,219
2023-03-16 18:48:00,0,0,0,212,122,266,0,0,0,0,0,0,0,0,0,259,124,225
2023-03-16 18:50:00,0,0,0,209,126,242,0,0,0,0,0,0,0,0,0,247,135,213
2023-03-16 18:52:00,0,0,0,219,122,285,0,0,0,0,0,0,0,0,0,272,126,236
2023-03-16 18:54:00,0,0,0,286,201,254,0,0,0,0,0,0,0,0,0,335,210,223
2023-03-16 18:56:00,0,0,0,268,128,251,0,0,0,0,0,0,0,0,0,314,132,223
2023-03-16 18:58:00,0,0,0,216,123,262,0,0,0,0,0,0,0,0,0,256,127,226
2023-03-16 19:00:00,0,0,0,210,128,245,0,0,0,0,0,0,0,0,0,249,138,215
2023-03-16 19:02:00,0,0,0,210,121,259,0,0,0,0,0,0,0,0,0,255,124,221
2023-03-16 19:04:00,0,0,0,278,196,248,0,0,0,0,0,0,0,0,0,331,204,217
2023-03-16 19:06:00,0,0,0,281,173,249,0,0,0,0,0,0,0,0,0,337,176,218
2023-03-16 19:08:00,0,0,0,212,123,260,0,0,0,0,0,0,0,0,0,258,130,225
2023-03-16 19:10:00,0,0,0,212,122,269,0,0,0,0,0,0,0,0,0,266,125,229
2023-03-16 19:12:00,0,0,0,206,121,255,0,0,0,0,0,0,0,0,0,254,122,218
2023-03-16 19:14:00,0,0,0,242,196,244,0,0,0,0,0,0,0,0,0,293,203,214
2023-03-16 19:16:00,0,0,0,286,194,255,0,0,0,0,0,0,0,0,0,338,197,221
2023-03-16 19:18:00,0,0,0,213,125,250,0,0,0,0,0,0,0,0,0,256,133,218
2023-03-16 19:20:00,0,0,0,205,122,243,0,0,0,0,0,0,0,0,0,249,125,213
2023-03-16 19:22:00,0,0,0,208,123,261,0,0,0,0,0,0,0,0,0,255,125,222
2023-03-16 19:24:00,0,0,0,205,162,249,0,0,0,0,0,0,0,0,0,249,170,216
2023-03-16 19:26:00,0,0,0,283,194,258,0,0,0,0,0,0,0,0,0,339,196,222
2023-03-16 19:28:00,0,0,0,212,127,251,0,0,0,0,0,0,0,0,0,255,135,219
2023-03-16 19:30:00,0,0,0,214,125,268,0,0,0,0,0,0,0,0,0,265,127,227
2023-03-16 19:32:00,0,0,0,215,123,281,0,0,0,0,0,0,0,0,0,271,124,233
2023-03-16 19:34:00,0,0,0,205,122,249,0,0,0,0,0,0,0,0,0,248,127,215
2023-03-16 19:36:00,0,0,0,286,194,267,0,0,0,0,0,0,0,0,0,348,195,225
2023-03-16 19:38:00,0,0,0,234,126,262,0,0,0,0,0,0,0,0,0,279,133,228
2023-03-16 19:40:00,0,0,0,207,123,244,0,0,0,0,0,0,0,0,0,250,127,212
2023-03-16 19:42:00,0,0,0,206,126,249,0,0,0,0,0,0,0,0,0,253,135,215
2023-03-16 19:44:00,0,0,0,205,122,248,0,0,0,0,0,0,0,0,0,248,126,216
2023-03-16 19:46:00,0,0,0,284,193,255,0,0,0,0,0,0,0,0,0,338,194,222
2023-03-16 19:48:00,0,0,0,269,143,250,0,0,0,0,0,0,0,0,0,323,151,220
