"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-16 18:00:00,0.0800,0.0100,0.130
2023-03-16 18:02:00,0.260,0.720,0.180
2023-03-16 18:04:00,0.240,0.300,0.180
2023-03-16 18:06:00,0.190,0.110,0.170
2023-03-16 18:08:00,0.160,0.120,0.160
2023-03-16 18:10:00,0.550,1.15,0.310
2023-03-16 18:12:00,0.410,0.290,0.280
2023-03-16 18:14:00,0.510,0.800,0.330
2023-03-16 18:16:00,0.370,0.200,0.290
2023-03-16 18:18:00,0.300,0.170,0.270
2023-03-16 18:20:00,0.330,0.390,0.280
2023-03-16 18:22:00,0.460,0.850,0.330
2023-03-16 18:24:00,0.350,0.200,0.300
2023-03-16 18:26:00,0.290,0.200,0.280
2023-03-16 18:28:00,0.310,0.350,0.280
2023-03-16 18:30:00,0.350,0.530,0.300
2023-03-16 18:32:00,0.340,0.310,0.300
2023-03-16 18:34:00,0.500,0.640,0.370
2023-03-16 18:36:00,0.360,0.130,0.330
2023-03-16 18:38:00,0.300,0.140,0.310
2023-03-16 18:40:00,0.260,0.160,0.290
2023-03-16 18:42:00,0.210,0.110,0.270
2023-03-16 18:44:00,0.200,0.0900,0.250
2023-03-16 18:46:00,0.200,0.150,0.250
2023-03-16 18:48:00,0.320,0.730,0.290
2023-03-16 18:50:00,0.340,0.360,0.300
2023-03-16 18:52:00,0.320,0.410,0.290
2023-03-16 18:54:00,0.360,0.440,0.300
2023-03-16 18:56:00,0.580,0.940,0.390
2023-03-16 18:58:00,0.440,0.220,0.360
2023-03-16 19:00:00,0.370,0.250,0.340
2023-03-16 19:02:00,0.320,0.140,0.330
2023-03-16 19:04:00,0.320,0.400,0.320
2023-03-16 19:06:00,0.230,0.0900,0.290
2023-03-16 19:08:00,0.250,0.250,0.280
2023-03-16 19:10:00,0.190,0.0800,0.250
2023-03-16 19:12:00,0.150,0.120,0.230
2023-03-16 19:14:00,0.320,0.310,0.290
2023-03-16 19:16:00,0.280,0.210,0.270
2023-03-16 19:18:00,0.290,0.290,0.270
2023-03-16 19:20:00,0.330,0.400,0.290
2023-03-16 19:22:00,0.260,0.130,0.260
2023-03-16 19:24:00,0.190,0.0600,0.230
2023-03-16 19:26:00,0.130,0.0300,0.210
2023-03-16 19:28:00,0.210,0.500,0.220
2023-03-16 19:30:00,0.350,0.860,0.260
2023-03-16 19:32:00,0.330,0.260,0.260
2023-03-16 19:34:00,0.410,0.560,0.290
2023-03-16 19:36:00,0.320,0.210,0.270
2023-03-16 19:38:00,0.240,0.110,0.250
2023-03-16 19:40:00,0.210,0.140,0.240
2023-03-16 19:42:00,0.260,0.340,0.250
2023-03-16 19:44:00,0.200,0.180,0.230
2023-03-16 19:46:00,0.250,0.380,0.240
2023-03-16 19:48:00,0.230,0.230,0.230
2023-03-16 19:50:00,0.310,0.490,0.260
2023-03-16 19:52:00,0.270,0.300,0.250
2023-03-16 19:54:00,0.530,0.750,0.350
2023-03-16 19:56:00,0.450,0.370,0.340
2023-03-16 19:58:00,0.410,0.260,0.350
2023-03-16 20:00:00,0.310,0.0900,0.320
2023-03-16 20:02:00,0.230,0.0700,0.280
2023-03-16 20:04:00,0.290,0.340,0.290
2023-03-16 20:06:00,0.300,0.280,0.290
2023-03-16 20:08:00,0.270,0.340,0.280
2023-03-16 20:10:00,0.190,0.0700,0.250
2023-03-16 20:12:00,0.190,0.210,0.240
2023-03-16 20:14:00,0.180,0.160,0.230
2023-03-16 20:16:00,0.140,0.0700,0.210
2023-03-16 20:18:00,0.180,0.270,0.200
2023-03-16 20:20:00,0.200,0.290,0.200
2023-03-16 20:22:00,0.140,0.0500,0.180
2023-03-16 20:24:00,0.170,0.270,0.180
2023-03-16 20:26:00,0.220,0.180,0.200
2023-03-16 20:28:00,0.370,0.520,0.260
2023-03-16 20:30:00,0.340,0.300,0.260
2023-03-16 20:32:00,0.330,0.500,0.260
2023-03-16 20:34:00,0.430,0.390,0.310
2023-03-16 20:36:00,0.420,0.520,0.320
2023-03-16 20:38:00,0.390,0.250,0.320
2023-03-16 20:40:00,0.400,0.500,0.330
2023-03-16 20:42:00,0.440,0.630,0.350
2023-03-16 20:44:00,0.360,0.210,0.330
2023-03-16 20:46:00,0.350,0.310,0.330
2023-03-16 20:48:00,0.340,0.430,0.320
2023-03-16 20:50:00,0.330,0.290,0.320
2023-03-16 20:52:00,0.330,0.190,0.320
2023-03-16 20:54:00,0.250,0.0700,0.290
2023-03-16 20:56:00,0.340,0.550,0.310
2023-03-16 20:58:00,0.270,0.150,0.290
2023-03-16 21:00:00,0.260,0.210,0.280
2023-03-16 21:02:00,0.330,0.330,0.300
2023-03-16 21:04:00,0.270,0.160,0.270
2023-03-16 21:06:00,0.250,0.220,0.270
2023-03-16 21:08:00,0.320,0.480,0.290
2023-03-16 21:10:00,0.320,0.450,0.290
2023-03-16 21:12:00,0.290,0.350,0.270
2023-03-16 21:14:00,0.350,0.450,0.300
2023-03-16 21:16:00,0.360,0.350,0.300
2023-03-16 21:18:00,0.410,0.410,0.330
2023-03-16 21:20:00,0.370,0.400,0.320
2023-03-16 21:22:00,0.350,0.230,0.320
2023-03-16 21:24:00,0.300,0.210,0.300
2023-03-16 21:26:00,0.280,0.220,0.290
2023-03-16 21:28:00,0.240,0.210,0.270
2023-03-16 21:30:00,0.280,0.430,0.280
2023-03-16 21:32:00,0.220,0.110,0.250
2023-03-16 21:34:00,0.290,0.330,0.270
2023-03-16 21:36:00,0.280,0.220,0.270
2023-03-16 21:38:00,0.350,0.580,0.290
2023-03-16 21:40:00,0.420,0.650,0.320
2023-03-16 21:42:00,0.360,0.300,0.310
2023-03-16 21:44:00,0.310,0.190,0.290
2023-03-16 21:46:00,0.310,0.210,0.290
2023-03-16 21:48:00,0.340,0.310,0.300
2023-03-16 21:50:00,0.320,0.330,0.290
2023-03-16 21:52:00,0.320,0.400,0.290
2023-03-16 21:54:00,0.290,0.260,0.270
2023-03-16 21:56:00,0.200,0.0700,0.240
2023-03-16 21:58:00,0.360,0.690,0.300
2023-03-16 22:00:00,0.300,0.250,0.270
2023-03-16 22:02:00,0.250,0.100,0.260
2023-03-16 22:04:00,0.240,0.260,0.250
2023-03-16 22:06:00,0.270,0.310,0.260
2023-03-16 22:08:00,0.220,0.160,0.240
2023-03-16 22:10:00,0.180,0.0700,0.220
2023-03-16 22:12:00,0.190,0.220,0.220
2023-03-16 22:14:00,0.190,0.180,0.210
2023-03-16 22:16:00,0.180,0.210,0.200
2023-03-16 22:18:00,0.500,0.840,0.320
2023-03-16 22:20:00,0.510,0.610,0.340
2023-03-16 22:22:00,0.500,0.400,0.360
2023-03-16 22:24:00,0.510,0.430,0.380
2023-03-16 22:26:00,0.470,0.480,0.380
2023-03-16 22:28:00,0.350,0.190,0.340
2023-03-16 22:30:00,0.270,0.100,0.310
2023-03-16 22:32:00,0.210,0.0600,0.280
2023-03-16 22:34:00,0.250,0.320,0.280
2023-03-16 22:36:00,0.240,0.260,0.270
2023-03-16 22:38:00,0.320,0.390,0.290
2023-03-16 22:40:00,0.210,0.0500,0.250
2023-03-16 22:42:00,0.250,0.210,0.270
2023-03-16 22:44:00,0.310,0.350,0.280
2023-03-16 22:46:00,0.290,0.210,0.280
2023-03-16 22:48:00,0.200,0.0400,0.250
2023-03-16 22:50:00,0.170,0.0400,0.230
2023-03-16 22:52:00,0.180,0.210,0.220
2023-03-16 22:54:00,0.140,0.0800,0.200
2023-03-16 22:56:00,0.120,0.110,0.180
2023-03-16 22:58:00,0.200,0.260,0.200
2023-03-16 23:00:00,0.280,0.400,0.220
2023-03-16 23:02:00,0.240,0.170,0.210
2023-03-16 23:04:00,0.250,0.360,0.210
2023-03-16 23:06:00,0.260,0.290,0.220
2023-03-16 23:08:00,0.240,0.270,0.210
2023-03-16 23:10:00,0.260,0.260,0.220
2023-03-16 23:12:00,0.440,0.730,0.290
2023-03-16 23:14:00,0.290,0.100,0.250
2023-03-16 23:16:00,0.290,0.170,0.260
2023-03-16 23:18:00,0.250,0.170,0.240
2023-03-16 23:20:00,0.200,0.100,0.230
2023-03-16 23:22:00,0.310,0.540,0.260
2023-03-16 23:24:00,0.340,0.310,0.280
2023-03-16 23:26:00,0.250,0.110,0.250
2023-03-16 23:28:00,0.240,0.140,0.250
2023-03-16 23:30:00,0.170,0.0800,0.220
2023-03-16 23:32:00,0.170,0.130,0.210
2023-03-16 23:34:00,0.240,0.410,0.230
2023-03-16 23:36:00,0.180,0.140,0.200
2023-03-16 23:38:00,0.200,0.230,0.200
2023-03-16 23:40:00,0.270,0.300,0.230
2023-03-16 23:42:00,0.200,0.0800,0.200
2023-03-16 23:44:00,0.200,0.170,0.200
2023-03-16 23:46:00,0.220,0.170,0.200
2023-03-16 23:48:00,0.220,0.190,0.200
2023-03-16 23:50:00,0.170,0.110,0.180
2023-03-16 23:52:00,0.120,0.0300,0.160
2023-03-16 23:54:00,0.280,0.570,0.210
2023-03-16 23:56:00,0.270,0.370,0.210
2023-03-16 23:58:00,0.270,0.300,0.210
2023-03-17 00:00:00,0.230,0.190,0.190
2023-03-17 00:02:00,0.460,0.580,0.280
2023-03-17 00:04:00,0.380,0.240,0.270
2023-03-17 00:06:00,0.390,0.360,0.290
2023-03-17 00:08:00,0.490,0.570,0.340
2023-03-17 00:10:00,0.480,0.490,0.350
2023-03-17 00:12:00,0.460,0.470,0.360
