"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-16 18:00:00,0,9688,34894,149656,0,1872,136,158,30.7,132,1872,66.4,418,0.389,7015,84.3,5.33,148,87.8,0,16905,1876,129,31.8,1562,66.4,19,337,0,0,128,175,0,9688,0,17075,72186,0,210,31.6,90.2,21.2,31.6,2193,42.1,6283,0,1107,3741,6.09,135,67.3,0,16787,222,35.3,25.7,15890,41.4,38.5,407,0,0,30.3,577,0
2023-03-16 18:02:00,0,10642,57903,178373,0,1837,130,168,33.6,121,1842,66.3,1777,0,6957,80.3,5.70,145,88.7,0.389,16892,1855,129,32.3,1501,66.6,302,389,0,0,133,21927,0,10642,0,20750,77166,0,202,30.3,103,23.8,29.0,2280,43.6,25765,0,1123,3662,6.51,134,68.8,0,16783,218,35.3,26.2,15883,41.4,439,499,0,0,31.6,24474,0
2023-03-16 18:04:00,0,11812,46446,163182,0,1892,136,164,34.5,126,1903,66.0,1302,0,7038,78.4,5.10,146,88.1,0,16904,1914,129,32.3,1558,66.9,302,390,0,0,122,10677,0.389,11812,0,20800,76833,0,192,31.6,98.1,24.8,35.9,2294,42.1,15772,0,1167,3616,5.90,141,67.7,0,16794,223,30.3,26.2,15884,41.4,439,496,0,0,29.0,12126,0
2023-03-16 18:06:00,0,14606,35009,178460,0,1852,130,156,31.5,126,1876,66.7,418,0,6991,78.6,4.40,147,88.2,0,16880,1869,135,31.8,1551,66.0,19,338,0,0,128,177,0.389,14606,0,21959,78008,0,181,30.3,86.3,21.7,35.9,2208,42.9,6283,0,1098,3615,4.77,132,66.9,0,16771,211,32.0,25.7,15895,41.1,38.5,409,0,0,30.3,584,0
2023-03-16 18:08:00,0,13613,35043,181472,0,1859,130,163,32.1,120,1910,67.5,420,0,7046,119,6.77,147,86.7,0,16872,1884,129,31.6,1571,67.0,19,364,0,0,128,172,0,13613,0,20996,77190,0,192,30.3,101,27.2,29.0,2300,43.7,6285,0,1116,3724,7.67,133,65.8,0,16763,224,30.7,25.5,15886,43.7,38.5,458,0,0,35.3,580,0
2023-03-16 18:10:00,0,10984,34922,149821,0,1878,130,163,33.3,126,1870,67.1,419,0,7021,81.7,5.93,149,87.5,0,16887,1903,123,31.6,1583,66.4,19,334,0,0,121,176,0,10984,0,18373,73657,0,208,30.3,96.0,28.2,30.3,2189,41.8,6283,0,1130,3642,6.84,133,67.3,0,16775,238,29.0,25.5,15882,42.5,38.5,405,0,0,33.9,587,0.389
2023-03-16 18:12:00,0,10565,57821,177905,0,1800,124,165,31.1,115,1848,66.1,1725,0,6885,79.9,3.93,148,87.3,0,16894,1815,129,31.6,1532,66.3,316,380,0,0,128,21795,0,10565,0,20666,77101,0,191,29.0,97.8,20.8,27.7,2279,41,25627,0,1104,3633,4.30,133,67.3,0,16781,215,30.3,25.5,15894,41,532,491,0,0,30.3,24346,0.389
2023-03-16 18:14:00,0,12799,58130,175691,0,1863,124,163,33.2,116,1896,66.4,1727,0,7021,80.7,4.30,145,87.0,0,16915,1875,117,31.6,1572,67.1,316,374,0,0,116,21802,0,12799,0,22879,79569,0,186,29.0,96.3,22.7,28.0,2274,41.4,25629,0,1120,3686,9.88,134,66.2,0,16798,208,27.7,25.5,15897,41.5,532,473,0,0,27.7,24356,0
2023-03-16 18:16:00,0,13565,35251,154783,0,1950,136,162,32.3,132,1947,66.3,423,0,7163,79.2,3.70,147,85.7,0,16911,1967,118,32.0,1634,67.0,19,337,0,0,117,176,0,13565,0,20943,76748,0,211,31.6,98.9,22.0,32.0,2218,42.1,6283,0,1142,3633,4.35,134,66.6,0,16796,229,27.7,26.0,15901,41.2,38.9,408,0,0,27.7,587,0
2023-03-16 18:18:00,0,12504,34770,152678,0,1805,124,160,30.7,121,1856,66.6,421,0,6925,117,3.93,147,86.4,0,16890,1833,135,32.3,1516,65.9,19.0,362,0,0,133,171,0,12504,0,19890,75262,0,200,29.0,91.9,19.7,29.0,2308,42.5,6286,0,1155,3657,4.31,134,66.2,0,16781,231,31.6,26.2,15894,40.7,38.5,455,0,0,31.6,577,0
2023-03-16 18:20:00,0,10507,34898,149600,0,1857,124,164,32.1,121,1872,66.1,420,0,7007,81.0,4.07,148,87.6,0,16892,1881,129,32.3,1573,66.1,19,328,0,0,122,174,0,10507,0,17881,73026,0,182,29.0,97.3,22.3,29.0,2195,40.6,6284,0,1112,3665,4.49,132,67.7,0,16776,220,30.3,26.2,15900,41,38.5,392,0,0,29.0,587,0
2023-03-16 18:22:00,0,10769,52243,173632,0,1800,136,162,34.3,126,1846,66.0,1132,0,6961,78.4,4.30,147,87.7,0,16875,1815,130,32.3,1500,66.9,19,335,0,0.389,122,16985,0,10769,0,19807,75876,0,199,31.6,93.8,24.6,30.3,2303,40.6,21235,0,1144,3609,9.86,133,67.3,0,16773,218,30.3,26.2,15903,42.8,38.5,410,0,0,29.0,19031,0
2023-03-16 18:24:00,0,10399,58253,176386,0.389,1868,124,158,30.7,121,1906,65.9,1729,0,7105,80.2,4.30,148,87.7,0,16880,1900,129,32.3,1551,66.1,343,376,0,0,128,21937,0,10399,0,20505,77141,0,192,29.0,90.3,20.1,29.0,2298,41,25755,0,1150,3686,9.86,133,66.6,0,16774,225,30.3,26.2,15898,41,598,475,0,0,30.3,24474,0
2023-03-16 18:26:00,0,11901,35210,154656,0,1935,124,164,30.7,115,1974,66.5,421,0,7158,80.2,3.03,149,87.9,0,16892,1959,129,31.8,1643,67.1,19,331,0,0,122,175,0,11901,0,19272,74884,0,197,29.0,103,20.4,27.7,2261,41.4,6283,0,1155,3663,3.03,133,66.6,0,16773,227,30.3,25.7,15908,41.8,38.5,395,0,0,29.4,589,0
2023-03-16 18:28:00,0,11598,34737,176043,0,1804,119,161,32.1,116,1867,66.4,422,0,6959,117,3.70,148,88.1,0,16903,1827,117,31.6,1531,65.9,19,359,0,0,116,180,0,11598,0,18993,74981,0,196,27.7,98.9,23.8,27.7,2325,42.1,6287,0,1159,3603,4.13,133,66.2,0,16779,231,27.7,25.5,15906,41.1,38.5,448,0,0,27.7,589,0
2023-03-16 18:30:00,0,11617,34915,173120,0,1873,136,162,34.3,131,1870,67.1,420,0,7032,81.5,5.10,149,87.9,0,16878,1884,124,32.2,1569,66.1,19,334,0,0,117,172,0,11617,0,18972,74902,0,208,31.6,93.7,25.3,31.6,2190,42.2,6289,0.389,1164,3704,5.92,131,68.8,0,16763,227,29.0,25.7,15915,41,38.5,399,0.389,0,27.7,579,0
2023-03-16 18:32:00,0,11245,35669,153614,0,1817,124,192,54.2,121,1859,66.9,460,0,6913,80.1,3.27,146,88.4,0,16880,1836,134,32.7,1519,65.9,19,340,0,0,133,1096,0,11245,0,18708,73906,0,197,29.0,123,60.5,29.0,2292,42.5,7098,0.389,1131,3679,3.27,134,68.8,0,16773,224,31.6,26.2,15897,40.3,38.5,411,0.389,0,31.6,1598,0
