,Time,Type,Response,Code
0,2023-03-16 22:12:26.888190,Public,0.018481,200
0,2023-03-16 22:12:27.003886,Public,0.011739,200
0,2023-03-16 22:12:27.116080,Public,0.009649,200
0,2023-03-16 22:12:27.231716,Public,0.013206,200
0,2023-03-16 22:12:27.352716,Public,0.018384,200
0,2023-03-16 22:12:27.474488,Public,0.017859,200
0,2023-03-16 22:12:27.583422,Public,0.005919,200
0,2023-03-16 22:12:27.701265,Public,0.015297,200
0,2023-03-16 22:12:27.814432,Public,0.010764,200
0,2023-03-16 22:12:27.935652,Public,0.017672,200
0,2023-03-16 22:12:28.056970,Public,0.017122,200
0,2023-03-16 22:12:28.179062,Public,0.017848,200
0,2023-03-16 22:12:28.300659,Public,0.017568,200
0,2023-03-16 22:12:28.422422,Public,0.017602,200
0,2023-03-16 22:12:28.541221,Public,0.014604,200
0,2023-03-16 22:12:28.649399,Public,0.005148,200
0,2023-03-16 22:12:28.765991,Public,0.01444,200
0,2023-03-16 22:12:28.888029,Public,0.017957,200
0,2023-03-16 22:12:29.011262,Public,0.019303,200
0,2023-03-16 22:12:29.131370,Public,0.016636,200
0,2023-03-16 22:12:29.248303,Public,0.013152,200
0,2023-03-16 22:12:29.355969,Public,0.005582,200
0,2023-03-16 22:12:29.467759,Public,0.009858,200
0,2023-03-16 22:12:29.588701,Public,0.017768,200
0,2023-03-16 22:12:29.696830,Public,0.005443,200
0,2023-03-16 22:12:29.813686,Public,0.014552,200
0,2023-03-16 22:12:29.935361,Public,0.017988,200
0,2023-03-16 22:12:30.057340,Public,0.017716,200
0,2023-03-16 22:12:30.178797,Public,0.017434,200
0,2023-03-16 22:12:30.302624,Public,0.01937,200
0,2023-03-16 22:12:30.426266,Public,0.019652,200
0,2023-03-16 22:12:30.546755,Public,0.016783,200
0,2023-03-16 22:12:30.667780,Public,0.017107,200
0,2023-03-16 22:12:30.787049,Public,0.015255,200
0,2023-03-16 22:12:30.911197,Public,0.020554,200
0,2023-03-16 22:12:31.032887,Public,0.017588,200
0,2023-03-16 22:12:31.142235,Public,0.006358,200
0,2023-03-16 22:12:31.260592,Public,0.015511,200
0,2023-03-16 22:12:31.380103,Public,0.016216,200
0,2023-03-16 22:12:31.500510,Public,0.017062,200
0,2023-03-16 22:12:31.612013,Public,0.008369,200
0,2023-03-16 22:12:31.722217,Public,0.008088,200
0,2023-03-16 22:12:31.834656,Public,0.010178,200
0,2023-03-16 22:12:31.946125,Public,0.009322,200
0,2023-03-16 22:12:32.066953,Public,0.017716,200
0,2023-03-16 22:12:32.188953,Public,0.01767,200
0,2023-03-16 22:12:32.310368,Public,0.01727,200
0,2023-03-16 22:12:32.431411,Public,0.016969,200
0,2023-03-16 22:12:32.553307,Public,0.017615,200
0,2023-03-16 22:12:32.675273,Public,0.017943,200
0,2023-03-16 22:12:32.796918,Public,0.0174,200
0,2023-03-16 22:12:32.920164,Public,0.019018,200
0,2023-03-16 22:12:33.041464,Public,0.017141,200
0,2023-03-16 22:12:33.163426,Public,0.01774,200
0,2023-03-16 22:12:33.286044,Public,0.018241,200
0,2023-03-16 22:12:33.407436,Public,0.017428,200
0,2023-03-16 22:12:33.515110,Public,0.004902,200
0,2023-03-16 22:12:33.635171,Public,0.017259,200
0,2023-03-16 22:12:33.747516,Public,0.00869,200
0,2023-03-16 22:12:33.853978,Public,0.004941,200
0,2023-03-16 22:12:33.960143,Public,0.004815,200
0,2023-03-16 22:12:34.067033,Public,0.005504,200
0,2023-03-16 22:12:34.173368,Public,0.004856,200
0,2023-03-16 22:12:34.280060,Public,0.005294,200
0,2023-03-16 22:12:34.386545,Public,0.004998,200
0,2023-03-16 22:12:34.493729,Public,0.005229,200
0,2023-03-16 22:12:34.613848,Public,0.017566,200
0,2023-03-16 22:12:34.733141,Public,0.015144,200
0,2023-03-16 22:12:34.844021,Public,0.007843,200
0,2023-03-16 22:12:34.964985,Public,0.017782,200
0,2023-03-16 22:12:35.087323,Public,0.018137,200
0,2023-03-16 22:12:35.209118,Public,0.017441,200
0,2023-03-16 22:12:35.326402,Public,0.013349,200
0,2023-03-16 22:12:35.443831,Public,0.014211,200
0,2023-03-16 22:12:35.565953,Public,0.018078,200
0,2023-03-16 22:12:35.674370,Public,0.005393,200
0,2023-03-16 22:12:35.780835,Public,0.005009,200
0,2023-03-16 22:12:35.894659,Public,0.011644,200
0,2023-03-16 22:12:36.003126,Public,0.006294,200
0,2023-03-16 22:12:36.119630,Public,0.014789,200
0,2023-03-16 22:12:36.226171,Public,0.00498,200
0,2023-03-16 22:12:36.332374,Public,0.004803,200
0,2023-03-16 22:12:36.451446,Public,0.016649,200
0,2023-03-16 22:12:36.573206,Public,0.017651,200
0,2023-03-16 22:12:36.682528,Public,0.005737,200
0,2023-03-16 22:12:36.789225,Public,0.0052,200
0,2023-03-16 22:12:36.895505,Public,0.004866,200
0,2023-03-16 22:12:37.001789,Public,0.004899,200
0,2023-03-16 22:12:37.108270,Public,0.005003,200
0,2023-03-16 22:12:37.214957,Public,0.005266,200
0,2023-03-16 22:12:37.324366,Public,0.007684,200
0,2023-03-16 22:12:37.444074,Public,0.016431,200
0,2023-03-16 22:12:37.566184,Public,0.018296,200
0,2023-03-16 22:12:37.683357,Public,0.012026,200
