"Time","EGRESS","EGRESS","EGRESS","INGRESS","INGRESS","INGRESS"
2023-03-13 12:00:00,182,86.6,165,205,85.6,179
2023-03-13 12:02:00,177,215,259,190,222,253
2023-03-13 12:04:00,183,87.6,162,204,84.5,176
2023-03-13 12:06:00,199,83.1,181,213,86.3,196
2023-03-13 12:08:00,184,87.8,159,204,86.5,174
2023-03-13 12:10:00,177,85.9,163,201,85.9,175
2023-03-13 12:12:00,177,78.8,171,194,82.4,184
2023-03-13 12:14:00,180,93.6,163,205,90.3,182
2023-03-13 12:16:00,190,79.7,180,209,82.3,195
2023-03-13 12:18:00,179,87.5,166,203,87.0,176
2023-03-13 12:20:00,178,81.5,159,196,83.7,171
2023-03-13 12:22:00,180,89.6,170,192,88.3,185
2023-03-13 12:24:00,186,87.0,166,204,84.7,180
2023-03-13 12:26:00,191,75.6,179,209,77.7,192
2023-03-13 12:28:00,178,83.2,162,203,82.8,172
2023-03-13 12:30:00,176,72.6,162,197,74.5,173
2023-03-13 12:32:00,183,84.1,162,204,83.4,177
2023-03-13 12:34:00,189,188,257,211,184,252
2023-03-13 12:36:00,197,77.8,178,215,81.2,192
2023-03-13 12:38:00,181,86.3,159,203,83.3,178
2023-03-13 12:40:00,174,71.4,166,192,75.7,177
2023-03-13 12:42:00,180,85.5,161,200,83.4,174
2023-03-13 12:44:00,193,299,354,210,294,326
2023-03-13 12:46:00,188,79.9,170,206,79.3,181
2023-03-13 12:48:00,184,86.4,170,206,85.3,186
2023-03-13 12:50:00,175,72.4,162,191,75.2,174
2023-03-13 12:52:00,188,86.8,168,210,86.4,183
2023-03-13 12:54:00,182,219,286,203,219,270
2023-03-13 12:56:00,191,90.6,169,209,87.1,186
2023-03-13 12:58:00,182,84.7,167,205,83.2,180
2023-03-13 13:00:00,173,74.5,163,186,76.1,178
2023-03-13 13:02:00,187,89.7,168,209,93.0,184
2023-03-13 13:04:00,180,87.6,178,196,90.3,186
2023-03-13 13:06:00,206,86.6,179,231,87.3,191
2023-03-13 13:08:00,187,85.8,169,212,85.4,182
2023-03-13 13:10:00,174,75.1,165,186,75.9,178
2023-03-13 13:12:00,186,87.7,176,216,89.6,186
2023-03-13 13:14:00,182,77.5,163,190,78.5,180
2023-03-13 13:16:00,201,95.3,175,229,92.5,189
2023-03-13 13:18:00,188,86.3,165,212,84.1,176
2023-03-13 13:20:00,177,87.9,167,190,84.9,181
2023-03-13 13:22:00,194,89.3,174,216,89.4,188
2023-03-13 13:24:00,178,76.9,166,188,76.2,181
2023-03-13 13:26:00,195,137,224,219,137,228
2023-03-13 13:28:00,177,75.1,157,200,74.3,172
2023-03-13 13:30:00,178,86.8,167,200,84.0,182
2023-03-13 13:32:00,187,88.3,163,207,80.4,177
2023-03-13 13:34:00,175,73.3,166,191,75.8,177
2023-03-13 13:36:00,210,266,344,232,267,321
2023-03-13 13:38:00,180,75.7,166,197,76.7,179
2023-03-13 13:40:00,184,83.9,161,204,84.3,175
2023-03-13 13:42:00,176,82.4,166,202,83.2,177
2023-03-13 13:44:00,177,77.5,164,192,79.0,180
2023-03-13 13:46:00,203,295,366,224,291,335
2023-03-13 13:48:00,233,83.1,194,243,83.1,215
2023-03-13 13:50:00,181,87.4,166,206,86.4,180
2023-03-13 13:52:00,182,84.7,160,201,83.6,177
2023-03-13 13:54:00,177,84.5,172,195,85.4,185
2023-03-13 13:56:00,198,144,219,218,140,221
2023-03-13 13:58:00,180,77.7,167,195,76.7,181
2023-03-13 14:00:00,182,85.1,165,203,85.9,175
2023-03-13 14:02:00,188,81,166,207,82.4,179
2023-03-13 14:04:00,180,85.3,168,206,84.8,182
2023-03-13 14:06:00,208,231,322,228,348,443
2023-03-13 14:08:00,180,78.7,170,198,80.2,184
2023-03-13 14:10:00,185,89.1,165,207,86,179
2023-03-13 14:12:00,182,75.3,164,197,76.4,176
2023-03-13 14:14:00,180,88.1,162,200,83.1,177
2023-03-13 14:16:00,189,86.8,169,218,87.6,182
2023-03-13 14:18:00,178,75.3,164,194,76.3,177
2023-03-13 14:20:00,181,87.6,165,204,82.3,179
2023-03-13 14:22:00,174,73.3,162,190,75.9,176
2023-03-13 14:24:00,180,88.1,159,203,81.9,171
2023-03-13 14:26:00,195,84.1,168,216,84.9,181
2023-03-13 14:28:00,185,221,287,200,220,273
2023-03-13 14:30:00,180,90.6,167,202,84.3,182
2023-03-13 14:32:00,177,70.9,158,188,72.4,172
2023-03-13 14:34:00,182,89.7,164,204,85.7,178
2023-03-13 14:36:00,251,72.6,188,261,73.9,207
2023-03-13 14:38:00,196,303,361,214,300,334
2023-03-13 14:40:00,186,91.2,167,205,83.3,181
2023-03-13 14:42:00,183,79.8,169,196,82.7,182
2023-03-13 14:44:00,186,91.2,172,212,91.9,183
2023-03-13 14:46:00,187,73.1,155,200,74.4,168
2023-03-13 14:48:00,184,176,223,200,174,226
2023-03-13 14:50:00,184,89.7,171,203,84.6,187
2023-03-13 14:52:00,178,74.8,171,189,73.9,184
2023-03-13 14:54:00,191,94.3,179,212,91.2,195
2023-03-13 14:56:00,190,76.5,180,206,77.1,196
2023-03-13 14:58:00,186,93,173,206,87.9,189
2023-03-13 15:00:00,189,89.3,173,211,84.8,188
2023-03-13 15:02:00,176,84.4,175,194,83.1,188
2023-03-13 15:04:00,185,89.9,171,210,89.4,189
2023-03-13 15:06:00,197,74.4,183,214,77.8,199
2023-03-13 15:08:00,178,85.6,166,200,84.6,179
2023-03-13 15:10:00,175,78.2,214,197,82.5,221
2023-03-13 15:12:00,176,88.6,170,189,85.6,184
2023-03-13 15:14:00,186,97.0,174,208,93.4,193
2023-03-13 15:16:00,186,72.4,177,206,79.4,191
2023-03-13 15:18:00,180,85.7,171,207,83.5,183
2023-03-13 15:20:00,185,222,328,214,225,310
2023-03-13 15:22:00,177,86.8,170,203,86.2,184
2023-03-13 15:24:00,180,85.0,171,204,85.4,182
2023-03-13 15:26:00,189,74.8,181,209,78.5,195
2023-03-13 15:28:00,182,88.4,170,208,84.1,184
2023-03-13 15:30:00,186,292,322,206,296,304
2023-03-13 15:32:00,183,90.2,172,207,87.9,187
2023-03-13 15:34:00,180,84.0,170,202,84.7,183
2023-03-13 15:36:00,201,81.6,187,223,82.7,202
2023-03-13 15:38:00,180,86.2,168,205,85.8,185
2023-03-13 15:40:00,177,132,206,195,140,212
2023-03-13 15:42:00,184,84.8,171,208,90.8,182
2023-03-13 15:44:00,178,79.5,170,202,82.1,182
2023-03-13 15:46:00,199,88.5,181,228,87.4,196
2023-03-13 15:48:00,230,85.7,193,254,86.0,208
2023-03-13 15:50:00,177,76.2,173,196,80.6,186
2023-03-13 15:52:00,181,87.5,174,206,85.4,188
2023-03-13 15:54:00,171,72.2,164,185,75.1,178
2023-03-13 15:56:00,189,87.0,173,212,82.9,191
2023-03-13 15:58:00,179,85.4,162,201,81.5,177
2023-03-13 16:00:00,175,75.5,168,190,77.6,182
2023-03-13 16:02:00,187,128,236,206,125,237
2023-03-13 16:04:00,177,77.2,168,187,75.7,184
2023-03-13 16:06:00,209,87.2,185,235,85.4,200
2023-03-13 16:08:00,180,87.4,167,199,83.2,182
2023-03-13 16:10:00,178,79.4,168,191,78.9,183
2023-03-13 16:12:00,197,269,362,216,268,338
2023-03-13 16:14:00,175,77.8,167,186,77.0,183
2023-03-13 16:16:00,205,93.7,185,227,90.0,200
2023-03-13 16:18:00,181,83.3,169,199,83.1,184
2023-03-13 16:20:00,189,95.6,170,207,91.1,191
2023-03-13 16:22:00,186,263,297,204,260,283
2023-03-13 16:24:00,179,78.7,169,191,78.1,184
2023-03-13 16:26:00,205,92.1,185,227,88.5,199
2023-03-13 16:28:00,178,79,168,191,78.4,183
2023-03-13 16:30:00,185,91.4,170,210,86.5,187
2023-03-13 16:32:00,188,131,182,211,128,195
2023-03-13 16:34:00,179,78.8,170,190,80.5,187
2023-03-13 16:36:00,215,92.9,190,235,92.3,205
2023-03-13 16:38:00,175,77.4,170,187,77.2,185
2023-03-13 16:40:00,243,88.6,191,256,85.4,210
2023-03-13 16:42:00,182,86.6,169,206,85.0,181
2023-03-13 16:44:00,173,73.4,170,186,76.8,183
2023-03-13 16:46:00,197,88.6,180,223,85.6,191
2023-03-13 16:48:00,175,72.9,172,190,76.4,184
2023-03-13 16:50:00,179,86.1,168,205,85.1,181
2023-03-13 16:52:00,191,90.6,177,210,91.3,195
2023-03-13 16:54:00,185,159,269,204,156,261
2023-03-13 16:56:00,190,84.9,172,215,84.8,184
2023-03-13 16:58:00,173,72.4,173,191,77.2,184
2023-03-13 17:00:00,184,86.3,171,212,86.1,184
2023-03-13 17:02:00,182,79.5,179,199,80.8,191
2023-03-13 17:04:00,191,289,368,216,287,335
2023-03-13 17:06:00,205,83.8,186,230,86.5,196
2023-03-13 17:08:00,176,72.7,194,192,75.7,213
2023-03-13 17:10:00,183,87.9,171,205,87.3,185
2023-03-13 17:12:00,180,79.2,177,199,85.2,190
2023-03-13 17:14:00,176,231,272,201,232,260
2023-03-13 17:16:00,194,84.5,173,216,83.6,185
2023-03-13 17:18:00,176,73.2,176,196,77.7,187
2023-03-13 17:20:00,177,83.8,166,199,83.7,178
2023-03-13 17:22:00,185,80.6,179,198,81.3,195
2023-03-13 17:24:00,185,103,174,204,97.4,187
2023-03-13 17:26:00,198,86.6,175,216,83.0,191
2023-03-13 17:28:00,186,97.3,177,206,93.1,191
2023-03-13 17:30:00,182,90.7,165,203,83.8,181
2023-03-13 17:32:00,182,80.8,171,194,80.4,185
2023-03-13 17:34:00,237,89.4,187,263,84.2,207
2023-03-13 17:36:00,200,80.8,179,216,80.0,193
2023-03-13 17:38:00,187,91,174,207,86.6,187
2023-03-13 17:40:00,190,92.2,171,209,92,189
2023-03-13 17:42:00,179,77.4,169,192,77.8,182
2023-03-13 17:44:00,190,93.0,173,215,87.5,187
2023-03-13 17:46:00,196,164,282,211,162,274
2023-03-13 17:48:00,186,92.5,176,211,86.6,188
2023-03-13 17:50:00,187,85.7,172,209,82.6,186
2023-03-13 17:52:00,178,82,170,193,82.2,188
2023-03-13 17:54:00,191,92.5,175,209,92.1,188
2023-03-13 17:56:00,200,293,370,216,296,343
2023-03-13 17:58:00,190,90.8,176,213,88.9,188
2023-03-13 18:00:00,185,81.5,168,203,82.7,183
2023-03-13 18:02:00,190,92.4,167,220,88.3,185
2023-03-13 18:04:00,188,91.4,169,210,84.9,183
2023-03-13 18:06:00,549,311,455,694,324,455
2023-03-13 18:08:00,253,125,232,286,135,247
2023-03-13 18:10:00,173,75.6,165,186,79.3,178
2023-03-13 18:12:00,188,90.8,167,210,84.4,182
2023-03-13 18:14:00,180,85.4,168,203,85.1,179
2023-03-13 18:16:00,184,74.7,171,204,78,182
2023-03-13 18:18:00,193,94,171,214,91.6,186
2023-03-13 18:20:00,171,73.4,168,189,76.8,180
2023-03-13 18:22:00,183,91.6,165,206,91.0,181
2023-03-13 18:24:00,183,87.2,165,200,84.6,180
2023-03-13 18:26:00,192,89.4,174,213,87.0,186
2023-03-13 18:28:00,188,93.8,167,210,88.3,183
2023-03-13 18:30:00,178,79.3,166,190,79.6,184
2023-03-13 18:32:00,185,88.4,166,205,82.5,179
2023-03-13 18:34:00,186,79.4,166,203,79.2,181
2023-03-13 18:36:00,205,94.0,178,225,89.9,197
2023-03-13 18:38:00,193,204,296,213,200,282
2023-03-13 18:40:00,178,78.5,167,191,78.2,182
2023-03-13 18:42:00,183,88.8,165,204,86.9,181
2023-03-13 18:44:00,187,82.7,175,201,83.9,190
2023-03-13 18:46:00,200,90.3,172,222,87.0,189
2023-03-13 18:48:00,192,305,360,214,299,333
2023-03-13 18:50:00,181,79.1,169,195,79.7,184
2023-03-13 18:52:00,188,92.6,167,208,87.7,181
2023-03-13 18:54:00,182,81.8,173,195,82.7,187
2023-03-13 18:56:00,242,90.0,196,280,89.0,210
2023-03-13 18:58:00,184,191,228,206,185,228
2023-03-13 19:00:00,180,80.4,167,195,80.7,181
2023-03-13 19:02:00,186,91.4,172,211,88.3,182
2023-03-13 19:04:00,175,74.1,168,194,80.2,180
2023-03-13 19:06:00,204,87.0,173,232,91.2,186
2023-03-13 19:08:00,178,80.9,164,202,83.0,174
2023-03-13 19:10:00,177,84.6,161,200,82.3,173
2023-03-13 19:12:00,181,85.3,161,208,87.3,173
2023-03-13 19:14:00,175,75.6,166,194,78.6,181
2023-03-13 19:16:00,197,87.8,169,220,83.6,185
2023-03-13 19:18:00,175,73.9,163,192,77.2,174
2023-03-13 19:20:00,183,90.4,209,203,86.5,217
2023-03-13 19:22:00,187,88.7,161,205,83.9,176
2023-03-13 19:24:00,179,80.1,167,191,81.2,184
2023-03-13 19:26:00,191,88.1,172,219,89.8,184
2023-03-13 19:28:00,173,72.7,159,190,75.8,173
2023-03-13 19:30:00,191,235,326,216,234,306
2023-03-13 19:32:00,189,87.2,165,206,87.5,179
2023-03-13 19:34:00,176,75.7,167,192,77.6,181
2023-03-13 19:36:00,251,85.7,199,276,86.7,215
2023-03-13 19:38:00,172,73.2,153,186,73.5,169
2023-03-13 19:40:00,200,303,327,218,304,306
2023-03-13 19:42:00,180,85.2,163,200,83.6,178
2023-03-13 19:44:00,184,93.4,160,199,90.2,178
2023-03-13 19:46:00,200,89.2,172,222,83.9,185
2023-03-13 19:48:00,177,78.6,159,191,77.6,174
2023-03-13 19:50:00,194,169,213,216,164,217
2023-03-13 19:52:00,178,79.8,162,196,77.1,177
2023-03-13 19:54:00,193,91.3,165,218,88.1,180
2023-03-13 19:56:00,194,89.7,168,215,84.6,184
2023-03-13 19:58:00,172,77.2,159,183,76.3,174
2023-03-13 20:00:00,186,89.8,160,205,85.2,177
2023-03-13 20:02:00,177,75.0,163,184,76.0,176
2023-03-13 20:04:00,187,91.1,164,208,85.4,178
2023-03-13 20:06:00,210,89.8,180,232,85.9,197
2023-03-13 20:08:00,179,79.1,167,192,81.1,183
2023-03-13 20:10:00,190,91.1,163,209,89.9,177
2023-03-13 20:12:00,183,112,228,195,112,233
2023-03-13 20:14:00,184,88.0,165,207,85.1,179
2023-03-13 20:16:00,204,89.9,178,226,85.6,194
2023-03-13 20:18:00,181,85.4,165,198,81.4,178
2023-03-13 20:20:00,189,92.4,165,214,86.4,179
2023-03-13 20:22:00,188,239,339,201,239,314
2023-03-13 20:24:00,181,87.9,164,205,87.6,176
2023-03-13 20:26:00,193,87.3,169,217,84.3,183
2023-03-13 20:28:00,177,89.9,162,196,85.8,176
2023-03-13 20:30:00,180,90.0,159,200,86.8,173
2023-03-13 20:32:00,185,257,298,199,257,282
2023-03-13 20:34:00,183,87.8,165,203,83.5,177
2023-03-13 20:36:00,206,81.7,177,226,84.9,192
2023-03-13 20:38:00,185,88.7,161,205,86.5,176
