"Time","ct4_global delete","ct4_global delete","ct4_global delete","ct_any4_global delete","ct_any4_global delete","ct_any4_global delete","ipcache update","ipcache update","ipcache update","snat_v4_external delete","snat_v4_external delete","snat_v4_external delete","tunnel_map update","tunnel_map update","tunnel_map update"
2023-03-13 12:00:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 12:02:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 12:04:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 12:06:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 12:08:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 12:10:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 12:12:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 12:14:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 12:16:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 12:18:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 12:20:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 12:22:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 12:24:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 12:26:00,,,32.5,,,4.03,0.0517,0.0517,,,,0.338,,,
2023-03-13 12:28:00,34.9,,32.5,3.11,,4.03,,,,0.345,,,,,
2023-03-13 12:30:00,34.9,,32.5,3.11,,4.03,,,,0.345,,,,,
2023-03-13 12:32:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 12:34:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 12:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 12:38:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 12:40:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 12:42:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 12:44:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 12:46:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 12:48:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 12:50:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 12:52:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 12:54:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 12:56:00,,39.5,,,2.66,,0.0517,0.0517,,,12.6,,,,
2023-03-13 12:58:00,,39.5,,,2.66,,0.0517,0.0517,,,12.6,,,,
2023-03-13 13:00:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 13:02:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 13:04:00,,,32.5,,,4.26,0.0517,0.0517,,,,0.352,,,
2023-03-13 13:06:00,,,32.5,,,4.26,0.0517,0.0517,,,,0.352,,,
2023-03-13 13:08:00,,,32.5,,,4.26,0.0517,0.0517,,,,0.352,,,
2023-03-13 13:10:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 13:12:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 13:14:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 13:16:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 13:18:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 13:20:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 13:22:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 13:24:00,35.0,,,3.03,,,0.0517,0.0517,,0.386,,,,,
2023-03-13 13:26:00,35.0,,,3.03,,,0.0517,0.0517,,0.386,,,,,
2023-03-13 13:28:00,35.0,,,3.03,,,0.0517,0.0517,,0.386,,,,,
2023-03-13 13:30:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 13:32:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 13:34:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 13:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 13:38:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 13:40:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 13:42:00,,,33.7,,,4.66,0.0517,0.0517,,,,0.379,,,
2023-03-13 13:44:00,,,33.7,,,4.66,0.0517,0.0517,,,,0.379,,,
2023-03-13 13:46:00,,,33.7,,,4.66,0.0517,0.0517,,,,0.379,,,
2023-03-13 13:48:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 13:50:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 13:52:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 13:54:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 13:56:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 13:58:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 14:00:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 14:02:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
