"Time","to-endpoint","to-overlay","to-stack"
2023-03-13 12:00:00,49.5,12.3,28.6
2023-03-13 12:02:00,72.2,75.9,28.7
2023-03-13 12:04:00,49.1,11.9,28.3
2023-03-13 12:06:00,51.2,14.0,29.1
2023-03-13 12:08:00,48.8,10.9,28.5
2023-03-13 12:10:00,48.7,12.4,28.2
2023-03-13 12:12:00,49.2,19.1,28.6
2023-03-13 12:14:00,48.6,11.2,28.1
2023-03-13 12:16:00,50.7,14.3,28.9
2023-03-13 12:18:00,49.7,12.6,28.5
2023-03-13 12:20:00,49.0,11.2,28.5
2023-03-13 12:22:00,49.5,12.3,28.6
2023-03-13 12:24:00,48.6,12.3,28.3
2023-03-13 12:26:00,50.3,14.9,28.8
2023-03-13 12:28:00,49.5,10.8,28.8
2023-03-13 12:30:00,49.2,11.4,28.6
2023-03-13 12:32:00,50.1,11.8,28.8
2023-03-13 12:34:00,71.1,34.1,28.4
2023-03-13 12:36:00,50.7,13.4,29.0
2023-03-13 12:38:00,49.3,11.3,28.5
2023-03-13 12:40:00,48.7,12.4,28.4
2023-03-13 12:42:00,50.0,11.3,28.8
2023-03-13 12:44:00,95.1,88.6,28.9
2023-03-13 12:46:00,50.9,12.9,29.2
2023-03-13 12:48:00,49.4,12.5,28.8
2023-03-13 12:50:00,48.9,12.3,28.3
2023-03-13 12:52:00,49.3,11.6,28.6
2023-03-13 12:54:00,79.7,89.6,28.2
2023-03-13 12:56:00,50.6,13.0,28.8
2023-03-13 12:58:00,49.4,12.7,28.7
2023-03-13 13:00:00,49.1,11.0,28.6
2023-03-13 13:02:00,50.3,12.5,29
2023-03-13 13:04:00,52.6,33.8,28.4
2023-03-13 13:06:00,51.9,14.7,29.2
2023-03-13 13:08:00,49.6,12.8,28.9
2023-03-13 13:10:00,49.0,11.3,28.6
2023-03-13 13:12:00,49.8,13.8,28.8
2023-03-13 13:14:00,48.2,10.6,28.1
2023-03-13 13:16:00,51.5,13.5,29.0
2023-03-13 13:18:00,49.1,11.4,28.6
2023-03-13 13:20:00,48.6,10.9,28.3
2023-03-13 13:22:00,50.0,13.4,28.6
2023-03-13 13:24:00,48.4,11.6,28.3
2023-03-13 13:26:00,59.9,18.8,28.9
2023-03-13 13:28:00,49.0,10.9,28.6
2023-03-13 13:30:00,49.2,12.4,28.5
2023-03-13 13:32:00,49.5,12.1,28.6
2023-03-13 13:34:00,48.8,10.6,28.6
2023-03-13 13:36:00,90.4,71.8,29.4
2023-03-13 13:38:00,49.8,11.7,29.0
2023-03-13 13:40:00,49.1,10.6,28.4
2023-03-13 13:42:00,50.1,12.7,29
2023-03-13 13:44:00,50.2,11.5,29.0
2023-03-13 13:46:00,96.4,100.0,29.2
2023-03-13 13:48:00,49.1,11.6,28.6
2023-03-13 13:50:00,49.5,12.4,28.4
2023-03-13 13:52:00,49.8,11.7,28.7
2023-03-13 13:54:00,49.0,13.1,28.2
2023-03-13 13:56:00,63.2,54.3,29.0
2023-03-13 13:58:00,49.1,10.5,28.5
2023-03-13 14:00:00,48.5,11.2,28.3
2023-03-13 14:02:00,49.6,11.9,28.3
2023-03-13 14:04:00,49.1,12.8,28.5
2023-03-13 14:06:00,51.9,14.5,29.1
2023-03-13 14:08:00,47.8,12.2,28.2
2023-03-13 14:10:00,48.9,11.8,27.9
2023-03-13 14:12:00,49.0,11.5,28.4
2023-03-13 14:14:00,48.8,10.9,28.2
2023-03-13 14:16:00,50.5,12.6,28.8
2023-03-13 14:18:00,48.5,12.3,28.5
2023-03-13 14:20:00,48.9,11.4,28.3
2023-03-13 14:22:00,49.6,11.4,28.8
2023-03-13 14:24:00,49.6,11,28.6
2023-03-13 14:26:00,51.9,12.7,29.2
2023-03-13 14:28:00,78.5,49.0,29.0
2023-03-13 14:30:00,50.1,11.8,28.9
2023-03-13 14:32:00,49.8,11.5,28.7
2023-03-13 14:34:00,49.2,11.3,28.5
2023-03-13 14:36:00,51.2,13.2,28.7
2023-03-13 14:38:00,92.5,97.3,28.4
2023-03-13 14:40:00,49.9,11.8,28.6
2023-03-13 14:42:00,50.2,12.2,28.6
2023-03-13 14:44:00,50.1,12.4,28.5
2023-03-13 14:46:00,50.7,12.6,28.8
2023-03-13 14:48:00,67.0,61.9,28.6
2023-03-13 14:50:00,49.1,10.6,28.4
2023-03-13 14:52:00,48.9,11.8,28.2
2023-03-13 14:54:00,49.6,11.1,28.4
2023-03-13 14:56:00,51.1,13.4,28.9
2023-03-13 14:58:00,50.2,10.8,28.6
2023-03-13 15:00:00,49.4,10.6,28.5
2023-03-13 15:02:00,49.6,13.4,28.8
2023-03-13 15:04:00,49.6,11.1,28.5
2023-03-13 15:06:00,50.8,13.1,28.9
2023-03-13 15:08:00,49.2,10.5,28.6
2023-03-13 15:10:00,48.9,10.7,28.0
2023-03-13 15:12:00,49.2,10.9,28.3
2023-03-13 15:14:00,49.6,11.6,28.4
2023-03-13 15:16:00,50.3,12.7,28.6
2023-03-13 15:18:00,48.8,11.9,28.4
2023-03-13 15:20:00,81.7,56.5,28.8
2023-03-13 15:22:00,49.7,11.7,28.4
2023-03-13 15:24:00,49.4,11.6,28.6
2023-03-13 15:26:00,51.0,14.1,29.0
2023-03-13 15:28:00,49.5,10.8,28.4
2023-03-13 15:30:00,94.3,99.3,28.7
2023-03-13 15:32:00,49.8,11.9,28.5
2023-03-13 15:34:00,48.9,10.9,28.4
2023-03-13 15:36:00,51.1,15.3,29.1
2023-03-13 15:38:00,49.2,11.4,28.5
2023-03-13 15:40:00,60.7,49.1,28.4
2023-03-13 15:42:00,49.9,12.1,28.6
2023-03-13 15:44:00,50.9,11.9,28.8
2023-03-13 15:46:00,51.8,14.8,29.1
2023-03-13 15:48:00,50.0,12.5,28.7
2023-03-13 15:50:00,49.7,11.2,28.7
2023-03-13 15:52:00,50.1,11.5,28.5
2023-03-13 15:54:00,49.6,11.3,28.7
2023-03-13 15:56:00,51.1,13.7,28.9
2023-03-13 15:58:00,48.9,12.2,28.3
2023-03-13 16:00:00,49.4,11.5,28.6
2023-03-13 16:02:00,57.5,16.5,28.3
2023-03-13 16:04:00,49.3,11.0,28.6
2023-03-13 16:06:00,51.1,14.0,29.0
2023-03-13 16:08:00,49.1,10.6,28.6
2023-03-13 16:10:00,48.7,10.5,28.4
2023-03-13 16:12:00,86.3,71.4,28.5
2023-03-13 16:14:00,49.0,10.7,28.3
2023-03-13 16:16:00,51.7,13.2,29.2
2023-03-13 16:18:00,50.2,11.5,28.6
2023-03-13 16:20:00,49.9,10.7,28.8
2023-03-13 16:22:00,87.2,93.8,28.9
2023-03-13 16:24:00,49.4,10.4,28.6
2023-03-13 16:26:00,51.5,13.2,29.1
2023-03-13 16:28:00,49.8,11.6,28.5
2023-03-13 16:30:00,49.7,12.1,28.5
2023-03-13 16:32:00,57.2,41.9,28.8
2023-03-13 16:34:00,49.4,11.3,28.3
2023-03-13 16:36:00,51.1,14.0,29.0
2023-03-13 16:38:00,49.4,10.2,28.6
2023-03-13 16:40:00,49.3,12.4,28.2
2023-03-13 16:42:00,49.9,11.3,28.5
2023-03-13 16:44:00,50.3,11.5,28.6
2023-03-13 16:46:00,50.7,14.1,28.9
2023-03-13 16:48:00,48.5,11.7,28.2
2023-03-13 16:50:00,49.5,12.4,28.2
2023-03-13 16:52:00,49.5,12.5,28.5
2023-03-13 16:54:00,66.5,26.4,28.3
2023-03-13 16:56:00,50.8,12.0,28.8
2023-03-13 16:58:00,48.9,11.2,28.4
2023-03-13 17:00:00,49.8,11.7,28.4
2023-03-13 17:02:00,49.2,11.8,28.7
2023-03-13 17:04:00,92.2,82.7,28.3
2023-03-13 17:06:00,51.6,15.3,29.0
2023-03-13 17:08:00,48.5,11.0,28.4
2023-03-13 17:10:00,49.2,11.6,28.4
2023-03-13 17:12:00,50.0,12.1,28.6
2023-03-13 17:14:00,75.8,85.1,28.4
2023-03-13 17:16:00,51.4,13.2,29.0
2023-03-13 17:18:00,49,12.7,28.4
2023-03-13 17:20:00,50.2,11.3,28.7
2023-03-13 17:22:00,50.1,11.9,28.6
2023-03-13 17:24:00,50.5,28.2,28.4
2023-03-13 17:26:00,50.9,13.6,28.8
2023-03-13 17:28:00,48.9,11.5,28.4
2023-03-13 17:30:00,49.8,11.4,28.4
2023-03-13 17:32:00,49.6,11.2,28.7
2023-03-13 17:34:00,50.0,11.0,28.8
2023-03-13 17:36:00,50.9,13.4,28.8
2023-03-13 17:38:00,49.7,12.0,28.8
2023-03-13 17:40:00,49.9,12.5,28.5
2023-03-13 17:42:00,49.4,10.8,28.5
2023-03-13 17:44:00,50.5,12.6,28.5
2023-03-13 17:46:00,72.4,35.4,29.1
2023-03-13 17:48:00,49.4,12.1,28.6
2023-03-13 17:50:00,48.6,12.2,28.2
2023-03-13 17:52:00,49.5,10.9,28.7
2023-03-13 17:54:00,49.7,12.9,28.4
2023-03-13 17:56:00,93.9,91.1,28.6
2023-03-13 17:58:00,49.4,11.5,28.5
2023-03-13 18:00:00,49.2,11.7,28.3
2023-03-13 18:02:00,49.3,11.3,28.7
2023-03-13 18:04:00,49.2,11.3,28.2
2023-03-13 18:06:00,73.2,81.9,29.3
2023-03-13 18:08:00,49.4,13.8,28.7
2023-03-13 18:10:00,50.5,11.2,28.8
2023-03-13 18:12:00,49.8,10.9,28.6
2023-03-13 18:14:00,49.8,11.4,28.5
2023-03-13 18:16:00,51.0,18.3,29.0
2023-03-13 18:18:00,49.9,11.6,28.9
2023-03-13 18:20:00,49.6,11.9,28.5
2023-03-13 18:22:00,49.5,11.7,28.3
2023-03-13 18:24:00,48.7,10.1,28.2
2023-03-13 18:26:00,51.3,12.6,28.9
2023-03-13 18:28:00,49.1,11.3,28.6
2023-03-13 18:30:00,48.9,11.6,28.2
2023-03-13 18:32:00,48.6,12.4,28.1
2023-03-13 18:34:00,49.0,12.1,28.1
2023-03-13 18:36:00,50.8,14.1,28.8
2023-03-13 18:38:00,76.4,49.0,28.3
2023-03-13 18:40:00,49.4,11.4,28.5
2023-03-13 18:42:00,50.1,11.6,28.3
2023-03-13 18:44:00,50.7,11.8,28.8
2023-03-13 18:46:00,51.2,12.2,29.0
2023-03-13 18:48:00,94.6,99.1,28.5
2023-03-13 18:50:00,49.6,10.5,28.5
2023-03-13 18:52:00,49.8,10.2,28.5
2023-03-13 18:54:00,49.2,10.8,28.5
2023-03-13 18:56:00,51.2,13.2,28.8
2023-03-13 18:58:00,66.9,62.8,28.6
2023-03-13 19:00:00,49.2,11.4,28.4
2023-03-13 19:02:00,49.6,12.1,28.3
2023-03-13 19:04:00,48.6,10.5,28.2
2023-03-13 19:06:00,51.1,12.2,28.9
2023-03-13 19:08:00,49.9,11.3,28.6
