"Time","udp:99 ","udp:90","udp:50"
2023-03-13 12:00:00,179,94.5,52.5
2023-03-13 12:10:00,177,94.2,52.3
2023-03-13 12:20:00,179,94.5,52.5
2023-03-13 12:30:00,179,94.5,52.5
2023-03-13 12:40:00,185,96.4,53.6
2023-03-13 12:50:00,181,95,52.8
2023-03-13 13:00:00,189,99.0,55.0
2023-03-13 13:10:00,186,97.1,53.9
2023-03-13 13:20:00,185,96.4,53.6
2023-03-13 13:30:00,185,96.4,53.6
2023-03-13 13:40:00,174,93.6,52
2023-03-13 13:50:00,170,93.1,51.7
2023-03-13 14:00:00,117,91.1,50.6
2023-03-13 14:10:00,149,91.8,51
2023-03-13 14:20:00,163,92.5,51.4
2023-03-13 14:30:00,161,92.4,51.3
2023-03-13 14:40:00,170,93.1,51.7
2023-03-13 14:50:00,170,93.1,51.7
2023-03-13 15:00:00,157,92.1,51.2
2023-03-13 15:10:00,113,91.0,50.6
2023-03-13 15:20:00,179,94.5,52.5
2023-03-13 15:30:00,165,92.6,51.5
2023-03-13 15:40:00,189,99.0,55.0
2023-03-13 15:50:00,183,95.6,53.1
2023-03-13 16:00:00,161,92.4,51.3
2023-03-13 16:10:00,157,92.1,51.2
2023-03-13 16:20:00,188,98.2,54.5
2023-03-13 16:30:00,185,96.4,53.6
2023-03-13 16:40:00,188,98.2,54.5
2023-03-13 16:50:00,181,95,52.8
2023-03-13 17:00:00,189,99.0,55.0
2023-03-13 17:10:00,165,92.6,51.5
2023-03-13 17:20:00,185,96.4,53.6
2023-03-13 17:30:00,179,94.5,52.5
2023-03-13 17:40:00,99,90.0,50
2023-03-13 17:50:00,170,93.1,51.7
2023-03-13 18:00:00,170,93.1,51.7
2023-03-13 18:10:00,159,92.3,51.3
2023-03-13 18:20:00,174,93.6,52.0
2023-03-13 18:30:00,161,92.4,51.3
2023-03-13 18:40:00,157,92.1,51.2
2023-03-13 18:50:00,170,93.1,51.7
2023-03-13 19:00:00,157,92.1,51.2
2023-03-13 19:10:00,176,93.9,52.2
2023-03-13 19:20:00,170,93.1,51.7
2023-03-13 19:30:00,186,97.1,53.9
2023-03-13 19:40:00,189,99.0,55.0
2023-03-13 19:50:00,183,95.6,53.1
2023-03-13 20:00:00,179,94.5,52.5
2023-03-13 20:10:00,157,92.1,51.2
2023-03-13 20:20:00,179,94.5,52.5
2023-03-13 20:30:00,161,92.4,51.3
2023-03-13 20:40:00,179,94.5,52.5
2023-03-13 20:50:00,186,97.1,53.9
2023-03-13 21:00:00,189,99.0,55.0
2023-03-13 21:10:00,186,97.1,53.9
2023-03-13 21:20:00,188,98.4,54.7
2023-03-13 21:30:00,176,93.9,52.1
2023-03-13 21:40:00,179,94.5,52.5
2023-03-13 21:50:00,179,94.6,52.6
2023-03-13 22:00:00,157,92.1,51.2
2023-03-13 22:10:00,170,93.1,51.7
2023-03-13 22:20:00,163,92.5,51.4
2023-03-13 22:30:00,161,92.4,51.3
2023-03-13 22:40:00,117,91.1,50.6
2023-03-13 22:50:00,171,93.2,51.8
2023-03-13 23:00:00,157,92.1,51.2
2023-03-13 23:10:00,169,93,51.7
2023-03-13 23:20:00,171,93.2,51.8
2023-03-13 23:30:00,172,93.3,51.8
2023-03-13 23:40:00,173,93.5,51.9
2023-03-13 23:50:00,170,93.1,51.7
2023-03-14 00:00:00,179,94.5,52.5
2023-03-14 00:10:00,177,94.1,52.3
2023-03-14 00:20:00,188,98.4,54.7
2023-03-14 00:30:00,188,98.2,54.5
2023-03-14 00:40:00,161,92.4,51.3
2023-03-14 00:50:00,182,95.1,52.9
2023-03-14 01:00:00,189,99.0,55.0
2023-03-14 01:10:00,165,92.6,51.5
2023-03-14 01:20:00,185,96.6,53.7
2023-03-14 01:30:00,179,94.5,52.5
2023-03-14 01:40:00,185,96.4,53.6
2023-03-14 01:50:00,185,96.6,53.7
2023-03-14 02:00:00,179,94.5,52.5
2023-03-14 02:10:00,157,92.1,51.2
2023-03-14 02:20:00,163,92.5,51.4
2023-03-14 02:30:00,161,92.4,51.3
2023-03-14 02:40:00,170,93.1,51.7
2023-03-14 02:50:00,171,93.2,51.8
2023-03-14 03:00:00,170,93.1,51.7
2023-03-14 03:10:00,113,91.0,50.6
2023-03-14 03:20:00,170,93.1,51.7
2023-03-14 03:30:00,178,94.3,52.4
2023-03-14 03:40:00,163,92.5,51.4
2023-03-14 03:50:00,188,97.9,54.4
2023-03-14 04:00:00,185,96.4,53.6
2023-03-14 04:10:00,179,94.5,52.5
2023-03-14 04:20:00,99,90.0,50
2023-03-14 04:30:00,185,96.4,53.6
2023-03-14 04:40:00,185,96.4,53.6
2023-03-14 04:50:00,186,97.1,53.9
2023-03-14 05:00:00,185,96.4,53.6
2023-03-14 05:10:00,186,97.1,53.9
2023-03-14 05:20:00,185,96.4,53.6
2023-03-14 05:30:00,179,94.5,52.5
2023-03-14 05:40:00,185,96.4,53.6
2023-03-14 05:50:00,185,96.4,53.6
2023-03-14 06:00:00,188,98.2,54.5
2023-03-14 06:10:00,188,98.2,54.5
2023-03-14 06:20:00,191,110,56.3
2023-03-14 06:30:00,188,97.9,54.4
2023-03-14 06:40:00,170,93.1,51.7
2023-03-14 06:50:00,157,92.1,51.2
2023-03-14 07:00:00,157,92.1,51.2
2023-03-14 07:10:00,169,93,51.7
2023-03-14 07:20:00,170,93.1,51.7
2023-03-14 07:30:00,172,93.3,51.8
2023-03-14 07:40:00,174,93.6,52.0
2023-03-14 07:50:00,161,92.4,51.3
2023-03-14 08:00:00,157,92.1,51.2
2023-03-14 08:10:00,169,93,51.7
2023-03-14 08:20:00,161,92.4,51.3
2023-03-14 08:30:00,179,94.5,52.5
2023-03-14 08:40:00,185,96.4,53.6
2023-03-14 08:50:00,186,97.1,53.9
2023-03-14 09:00:00,191,110,56.3
2023-03-14 09:10:00,181,95,52.8
2023-03-14 09:20:00,188,98.2,54.5
2023-03-14 09:30:00,179,94.5,52.5
2023-03-14 09:40:00,179,94.5,52.5
2023-03-14 09:50:00,99,90.0,50
2023-03-14 10:00:00,185,96.4,53.6
2023-03-14 10:10:00,185,96.4,53.6
2023-03-14 10:20:00,185,96.4,53.6
2023-03-14 10:30:00,183,95.6,53.1
2023-03-14 10:40:00,179,94.5,52.5
2023-03-14 10:50:00,185,96.4,53.6
2023-03-14 11:00:00,161,92.4,51.3
2023-03-14 11:10:00,169,93,51.7
2023-03-14 11:20:00,117,91.1,50.6
2023-03-14 11:30:00,163,92.5,51.4
2023-03-14 11:40:00,174,93.6,52.0
2023-03-14 11:50:00,157,92.1,51.2
2023-03-14 12:00:00,171,93.2,51.8
2023-03-14 12:10:00,169,93,51.7
2023-03-14 12:20:00,170,93.1,51.7
2023-03-14 12:30:00,158,92.2,51.2
2023-03-14 12:40:00,185,96.4,53.6
2023-03-14 12:50:00,185,96.4,53.6
2023-03-14 13:00:00,189,99.3,55.2
2023-03-14 13:10:00,157,92.1,51.2
2023-03-14 13:20:00,161,92.4,51.3
2023-03-14 13:30:00,179,94.6,52.6
2023-03-14 13:40:00,173,93.5,51.9
2023-03-14 13:50:00,179,94.5,52.5
2023-03-14 14:00:00,179,94.6,52.6
2023-03-14 14:10:00,161,92.4,51.3
2023-03-14 14:20:00,185,96.4,53.6
2023-03-14 14:30:00,162,92.4,51.4
2023-03-14 14:40:00,185,96.4,53.6
2023-03-14 14:50:00,188,98.2,54.5
2023-03-14 15:00:00,188,98.4,54.7
2023-03-14 15:10:00,184,95.9,53.3
2023-03-14 15:20:00,170,93.1,51.7
2023-03-14 15:30:00,163,92.5,51.4
2023-03-14 15:40:00,163,92.5,51.4
2023-03-14 15:50:00,157,92.1,51.2
2023-03-14 16:00:00,171,93.2,51.8
2023-03-14 16:10:00,169,93,51.7
2023-03-14 16:20:00,157,92.1,51.2
2023-03-14 16:30:00,171,93.2,51.8
2023-03-14 16:40:00,170,93.1,51.7
2023-03-14 16:50:00,173,93.5,51.9
2023-03-14 17:00:00,185,96.7,53.7
2023-03-14 17:10:00,177,94.1,52.3
2023-03-14 17:20:00,179,94.5,52.5
2023-03-14 17:30:00,185,96.6,53.7
2023-03-14 17:40:00,179,94.5,52.5
2023-03-14 17:50:00,188,98.2,54.5
2023-03-14 18:00:00,179,94.5,52.5

