"Time","sum(irate({__name__=~""node_cpu_seconds_total|windows_cpu_time_total"",mode!=""idle""}[5m]))"
2023-03-13 12:00:00,0.652
2023-03-13 12:20:00,0.625
2023-03-13 12:40:00,0.666
2023-03-13 13:00:00,0.672
2023-03-13 13:20:00,0.594
2023-03-13 13:40:00,0.394
2023-03-13 14:00:00,0.561
2023-03-13 14:20:00,0.678
2023-03-13 14:40:00,0.859
2023-03-13 15:00:00,0.894
2023-03-13 15:20:00,0.932
2023-03-13 15:40:00,0.895
2023-03-13 16:00:00,0.876
2023-03-13 16:20:00,0.707
2023-03-13 16:40:00,0.746
2023-03-13 17:00:00,0.846
2023-03-13 17:20:00,0.902
2023-03-13 17:40:00,0.887
2023-03-13 18:00:00,0.855
2023-03-13 18:20:00,0.886
2023-03-13 18:40:00,0.878
2023-03-13 19:00:00,0.803
2023-03-13 19:20:00,0.732
2023-03-13 19:40:00,0.790
2023-03-13 20:00:00,0.918
2023-03-13 20:20:00,0.906
2023-03-13 20:40:00,0.866
2023-03-13 21:00:00,0.856
2023-03-13 21:20:00,0.809
2023-03-13 21:40:00,0.671
2023-03-13 22:00:00,0.803
2023-03-13 22:20:00,0.914
2023-03-13 22:40:00,0.890
2023-03-13 23:00:00,0.851
2023-03-13 23:20:00,0.880
2023-03-13 23:40:00,0.950
2023-03-14 00:00:00,0.892
2023-03-14 00:20:00,0.755
2023-03-14 00:40:00,0.671
2023-03-14 01:00:00,0.837
2023-03-14 01:20:00,0.934
2023-03-14 01:40:00,0.862
2023-03-14 02:00:00,0.875
2023-03-14 02:20:00,0.893
2023-03-14 02:40:00,0.743
2023-03-14 03:00:00,0.880
2023-03-14 03:20:00,0.715
2023-03-14 03:40:00,0.858
2023-03-14 04:00:00,0.954
2023-03-14 04:20:00,0.924
2023-03-14 04:40:00,0.894
2023-03-14 05:00:00,0.719
2023-03-14 05:20:00,0.714
2023-03-14 05:40:00,0.673
2023-03-14 06:00:00,0.607
2023-03-14 06:20:00,0.476
2023-03-14 06:40:00,0.621
2023-03-14 07:00:00,0.680
2023-03-14 07:20:00,0.642
2023-03-14 07:40:00,0.649
2023-03-14 08:00:00,0.724
2023-03-14 08:20:00,0.693
2023-03-14 08:40:00,0.659
2023-03-14 09:00:00,0.514
2023-03-14 09:20:00,0.458
2023-03-14 09:40:00,0.595
2023-03-14 10:00:00,0.952
2023-03-14 10:20:00,0.916
2023-03-14 10:40:00,0.868
2023-03-14 11:00:00,0.875
2023-03-14 11:20:00,0.939
2023-03-14 11:40:00,0.898
2023-03-14 12:00:00,0.844
2023-03-14 12:20:00,0.687
2023-03-14 12:40:00,0.891
2023-03-14 13:00:00,0.917
2023-03-14 13:20:00,0.884
2023-03-14 13:40:00,0.834
2023-03-14 14:00:00,0.912
2023-03-14 14:20:00,0.883
2023-03-14 14:40:00,0.774
2023-03-14 15:00:00,0.733
2023-03-14 15:20:00,0.831
2023-03-14 15:40:00,0.920
2023-03-14 16:00:00,0.895
2023-03-14 16:20:00,0.838
2023-03-14 16:40:00,0.950
2023-03-14 17:00:00,0.920
2023-03-14 17:20:00,0.823
2023-03-14 17:40:00,0.678
2023-03-14 18:00:00,0.782

